"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AIL","2023-05-24","477.3","477.3","431.3","451","-3.63 %","20,569.00"
"AIL","2023-05-23","441.6","468","437","468","8.08 %","13,801.00"
"AIL","2023-05-22","420.1","446","420","433","2.12 %","7,024.00"
"AIL","2023-05-21","428","435","420","424","-0.47 %","6,287.00"
"AIL","2023-05-18","410","429","410","426","3.90 %","10,818.00"
"AIL","2023-05-17","403.7","413","403","410","1.56 %","3,426.00"
"AIL","2023-05-16","400","410","397.1","403.7","0.90 %","2,609.00"
"AIL","2023-05-15","400","405","397","400.1","-0.00 %","3,000.00"
"AIL","2023-05-14","400","405","397.1","402","0.75 %","1,535.00"
"AIL","2023-05-11","400","402","399","399","-0.25 %","1,093.00"
"AIL","2023-05-10","398","405","397","400","0.00 %","1,400.00"
"AIL","2023-05-09","399","413","398","400","0.25 %","982.00"
"AIL","2023-05-08","398","420","395","399","-0.25 %","2,237.00"
"AIL","2023-05-07","402","408","398","400","-2.44 %","4,196.00"
"AIL","2023-05-04","400","410","400","410","1.79 %","2,018.00"
"AIL","2023-05-03","398","419.2","396.5","402.8","0.07 %","2,920.00"
"AIL","2023-05-02","398","409","398","402.5","-0.86 %","415.00"
"AIL","2023-04-30","402","408","402","406","-0.76 %","3,675.00"
"AIL","2023-04-27","410","416","407.5","409.1","-0.22 %","1,623.00"
"AIL","2023-04-26","410","422.8","408.2","410","-1.20 %","2,611.00"
"AIL","2023-04-25","410","415.9","405","415","1.72 %","2,989.00"
"AIL","2023-04-24","407.7","413.2","400.2","408","-1.92 %","4,899.00"
"AIL","2023-04-23","411.6","416","407.1","416","-0.95 %","1,785.00"
"AIL","2023-04-20","413.1","422","413","420","0.00 %","2,620.00"
"AIL","2023-04-19","418","426","417","420","0.26 %","3,827.00"
"AIL","2023-04-18","418","424","409.3","418.9","-1.67 %","3,003.00"
"AIL","2023-04-17","425","428","421","426","0.16 %","2,037.00"
"AIL","2023-04-16","425","434.5","423.7","425.3","-1.23 %","3,126.00"
"AIL","2023-04-13","436","444.9","429","430.6","-2.80 %","8,633.00"
"AIL","2023-04-12","420.9","446","415.1","443","6.75 %","7,995.00"
"AIL","2023-04-11","405","417.1","405","415","1.72 %","2,750.00"
"AIL","2023-04-10","406","421","401","408","0.74 %","3,817.00"
"AIL","2023-04-09","402","407.9","402","405","-1.00 %","2,666.00"
"AIL","2023-04-06","408","414.9","408","409.1","-1.66 %","2,725.00"
"AIL","2023-04-05","425","425","407.1","416","-1.86 %","15,084.00"
"AIL","2023-04-04","426","433","418","423.9","-1.56 %","13,145.00"
"AIL","2023-04-03","443","443","430","430.6","-3.88 %","6,495.00"
"AIL","2023-04-02","466","466","445.6","448","-3.86 %","10,178.00"
"AIL","2023-03-30","470","478","462","466","-1.27 %","2,600.00"
"AIL","2023-03-29","467.5","490","462.1","472","-1.05 %","3,420.00"
"AIL","2023-03-28","492","492","472","477","-1.24 %","3,933.00"
"AIL","2023-03-27","438","483","435","483","8.30 %","3,680.00"
"AIL","2023-03-26","452","455","444","446","-3.04 %","5,970.00"
"AIL","2023-03-23","453.1","468","453.1","460","-0.43 %","2,690.00"
"AIL","2023-03-22","465","470","462","462","-0.65 %","3,364.00"
"AIL","2023-03-20","461","470","455.1","465","2.65 %","2,831.00"
"AIL","2023-03-19","447.1","460","447.1","453","-0.22 %","2,013.00"
"AIL","2023-03-16","447.3","460","447.3","454","-0.22 %","1,714.00"
"AIL","2023-03-15","455","464","455","455","-1.30 %","2,333.00"
"AIL","2023-03-14","452.1","470","452.1","461","0.22 %","2,690.00"
"AIL","2023-03-13","466","466","452.3","460","-3.06 %","3,640.00"
"AIL","2023-03-12","481","488.9","470.4","474.5","-0.73 %","7,110.00"
"AIL","2023-03-09","437.1","478","437.1","478","7.42 %","5,398.00"
"AIL","2023-03-07","436.2","453.9","436.2","445","0.00 %","2,320.00"
"AIL","2023-03-05","451","460","442","445","-3.26 %","2,703.00"
"AIL","2023-03-02","454","460","453","460","-0.65 %","2,081.00"
"AIL","2023-03-01","462.2","469","462.2","463","-1.70 %","2,660.00"
"AIL","2023-02-28","474","478","465.1","471","-0.63 %","3,979.00"
"AIL","2023-02-27","488","488","461","474","-1.23 %","6,017.00"
"AIL","2023-02-26","470","488","446","479.9","0.40 %","5,853.00"
"AIL","2023-02-23","475.3","478","470","478","-1.44 %","3,296.00"
"AIL","2023-02-22","473","490.6","473","485","2.54 %","3,628.00"
"AIL","2023-02-20","471","484.5","471","473","-1.05 %","3,575.00"
"AIL","2023-02-16","485","490","478","478","-2.45 %","2,798.00"
"AIL","2023-02-15","485","497","480","490","0.41 %","1,868.00"
"AIL","2023-02-14","480.1","495","480.1","488","0.25 %","4,449.00"
"AIL","2023-02-12","505","505","486.6","486.8","-4.17 %","9,488.00"
"AIL","2023-02-09","509","510","500.5","508","-0.20 %","3,749.00"
"AIL","2023-02-08","529","529","507","509","-1.95 %","12,018.00"
"AIL","2023-02-07","490.3","519.1","490.3","519.1","5.08 %","8,360.00"
"AIL","2023-02-06","480.2","494","480.2","494","0.82 %","3,384.00"
"AIL","2023-02-05","478.1","500","476","490","1.24 %","8,062.00"
"AIL","2023-02-02","493","501","470.6","484","-3.78 %","16,882.00"
"AIL","2023-02-01","490","505","490","503","1.21 %","4,465.00"
"AIL","2023-01-31","497.1","504.9","492.2","497","-1.97 %","10,082.00"
"AIL","2023-01-30","523","530","503","507","-3.06 %","8,545.00"
"AIL","2023-01-29","524.3","544","511","523","-2.24 %","17,050.00"
