"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AKBSL","2023-03-13","953.2","958.8","912","919","-3.59 %","2,001.00"
"AKBSL","2023-03-12","958","974.5","947","953.2","-0.50 %","2,975.00"
"AKBSL","2023-03-09","920","958","903.1","958","4.13 %","1,494.00"
"AKBSL","2023-03-07","918","942.4","888","920","-0.43 %","2,615.00"
"AKBSL","2023-03-05","960","960","924","924","-5.23 %","2,162.00"
"AKBSL","2023-03-02","981","1000","967.2","975","-2.50 %","348.00"
"AKBSL","2023-03-01","1060","1060","989","1000","-4.31 %","3,008.00"
"AKBSL","2023-02-28","969","1045","969","1045","10.00 %","3,457.00"
"AKBSL","2023-02-27","975","975","916","950","-2.26 %","1,838.00"
"AKBSL","2023-02-26","912","990","847","972","4.45 %","3,842.00"
"AKBSL","2023-02-23","1014","1014","930.6","930.6","-10.00 %","2,977.00"
"AKBSL","2023-02-22","1070","1095","1032.6","1034","-5.16 %","1,725.00"
"AKBSL","2023-02-20","1120","1120","1090.2","1090.2","-2.57 %","764.00"
"AKBSL","2023-02-16","1130","1138","1114.1","1119","-0.98 %","700.00"
"AKBSL","2023-02-15","1160","1166.9","1129","1130.1","-1.22 %","518.00"
"AKBSL","2023-02-14","1176","1195","1131","1144.1","-2.71 %","1,385.00"
"AKBSL","2023-02-12","1190","1200","1167","1176","-3.13 %","840.00"
"AKBSL","2023-02-09","1220","1220","1180","1214","-0.49 %","1,188.00"
"AKBSL","2023-02-08","1227","1249","1180","1220","1.36 %","1,726.00"
"AKBSL","2023-02-07","1150","1203.6","1131.4","1203.6","4.66 %","2,031.00"
"AKBSL","2023-02-06","1134.9","1157","1119","1150","1.33 %","3,035.00"
"AKBSL","2023-02-05","1154.1","1176","1134.9","1134.9","-3.49 %","1,373.00"
"AKBSL","2023-02-02","1200","1223","1176","1176","-2.00 %","823.00"
"AKBSL","2023-02-01","1201","1217","1193","1200","-1.40 %","1,429.00"
"AKBSL","2023-01-31","1245","1245","1216","1217","-2.25 %","1,562.00"
"AKBSL","2023-01-30","1255.7","1272","1235","1245","-2.51 %","3,764.00"
"AKBSL","2023-01-29","1280","1300","1277","1277","-1.94 %","1,002.00"
"AKBSL","2023-01-26","1307","1313.7","1287.3","1302.2","-0.37 %","1,677.00"
"AKBSL","2023-01-25","1294","1319","1271","1307","0.93 %","2,569.00"
"AKBSL","2023-01-24","1256","1294.9","1256","1294.9","1.15 %","983.00"
"AKBSL","2023-01-23","1249.3","1306.1","1249.3","1280.2","0.53 %","2,444.00"
"AKBSL","2023-01-19","1286","1299.4","1260.3","1273.5","-2.78 %","4,323.00"
"AKBSL","2023-01-18","1403","1403","1275","1309.9","-4.87 %","4,017.00"
"AKBSL","2023-01-17","1393","1430","1376","1377","0.82 %","5,678.00"
"AKBSL","2023-01-12","1825.1","1866","1775.5","1775.5","-1.91 %","6,373.00"
"AKBSL","2023-01-10","1889","1907","1760","1810","-3.21 %","7,830.00"
"AKBSL","2023-01-09","1820","1881","1820","1870","2.58 %","8,127.00"
"AKBSL","2023-01-08","1710","1837","1710","1823","8.45 %","16,542.00"
"AKBSL","2023-01-05","1673","1681","1630","1681","2.44 %","8,011.00"
"AKBSL","2023-01-04","1640","1646","1586","1641","1.99 %","4,217.00"
"AKBSL","2023-01-03","1595","1620","1585","1609","2.16 %","7,218.00"
"AKBSL","2023-01-02","1548","1610","1539","1575","1.74 %","5,594.00"
"AKBSL","2023-01-01","1555","1585","1538","1548","-0.46 %","4,999.00"
"AKBSL","2022-12-29","1523.9","1575","1523.9","1555.1","0.01 %","5,000.00"
"AKBSL","2022-12-28","1565.2","1586.1","1535","1555","-2.14 %","6,943.00"
"AKBSL","2022-12-27","1664.6","1664.6","1580","1589","-2.63 %","11,667.00"
"AKBSL","2022-12-26","1560.6","1683","1560.6","1632","6.67 %","15,739.00"
"AKBSL","2022-12-22","1690.8","1790","1492","1530","-7.70 %","20,110.00"
"AKBSL","2022-12-21","1537.1","1657.7","1537.1","1657.7","10.00 %","8,290.00"
"AKBSL","2022-12-20","1397.4","1507","1397.4","1507","10.00 %","3,035.00"
"AKBSL","2022-07-06","1360.6","1407.6","1294","1370","2.70 %","9,107.00"
"AKBSL","2022-07-05","1220","1334.1","1200","1334","9.61 %","9,683.00"
"AKBSL","2022-07-04","1293","1295","1216.3","1217","-4.02 %","13,173.00"
"AKBSL","2022-07-03","1247.4","1345.3","1244","1268","3.68 %","17,224.00"
"AKBSL","2022-07-01","1134","1223","1134","1223","9.99 %","1,209.00"
"AKBSL","2022-06-30","1031","1111.9","1031","1111.9","9.99 %","6,242.00"
"AKBSL","2022-06-29","936.9","1010.9","902","1010.9","10.00 %","9,460.00"
"AKBSL","2022-06-28","902.6","927.9","886","919","-0.10 %","4,770.00"
"AKBSL","2022-06-27","928","946.7","890","919.9","1.09 %","6,726.00"
"AKBSL","2022-06-26","902.7","921","886.9","910","2.82 %","7,057.00"
"AKBSL","2022-06-24","979.9","1056.7","869.1","885","-7.88 %","15,418.00"
"AKBSL","2022-06-23","890.8","960.7","890.8","960.7","10.00 %","2,415.00"
"AKBSL","2022-06-22","809.8","873.4","809.8","873.4","10.00 %","630.00"
"AKBSL","2022-06-21","736.3","794","736.3","794","9.99 %","140.00"
"AKBSL","2022-06-20","669.4","721.9","669.4","721.9","10.00 %","100.00"
"AKBSL","2022-06-19","596.7","656.3","596.7","656.3","9.99 %","130.00"
"AKBSL","2022-06-17","553.3","596.7","553.3","596.7","9.99 %","60.00"
"AKBSL","2022-06-16","503","542.5","503","542.5","10.00 %","70.00"
"AKBSL","2022-06-15","457.3","493.2","457.3","493.2","9.99 %","150.00"
"AKBSL","2022-06-14","422.7","448.4","422.7","448.4","8.18 %","650.00"
"AKBSL","2022-06-13","391.5","414.5","391.5","414.5","4.02 %","70.00"
"AKBSL","2022-06-10","390.76","398.5","390.76","398.5","1.98 %","30.00"
"AKBSL","2022-01-02","1548","1610","1539","1575","1.74 %","5,594.00"
"AKBSL","2019-12-19","465","465","465","465","-1.90 %","30.00"
"AKBSL","2019-12-18","486","486","467","474","-1.04 %","1,610.00"
"AKBSL","2019-12-17","440","480","440","479","6.92 %","4,071.00"
"AKBSL","2019-12-16","465","465","440","448","-4.07 %","3,850.00"
"AKBSL","2019-12-15","466","466","451","457","-3.38 %","770.00"
"AKBSL","2019-12-12","496","497","472","473","-3.07 %","3,090.00"
"AKBSL","2019-12-11","461","497","461","488","3.83 %","7,560.00"
"AKBSL","2019-12-10","478","496","460","470","-3.49 %","3,988.00"
"AKBSL","2019-12-09","450","487","450","487","8.71 %","6,245.00"
"AKBSL","2019-12-08","440","448","434","448","0.00 %","1,420.00"
"AKBSL","2019-12-05","453","453","435","448","-0.22 %","1,682.00"
"AKBSL","2019-12-04","429","459","429","449","4.66 %","3,590.00"
"AKBSL","2019-12-03","430","437","425","429","-0.46 %","1,140.00"
"AKBSL","2019-12-02","430","434","425","431","0.23 %","1,030.00"
"AKBSL","2019-12-01","425","430","421","430","1.18 %","660.00"
"AKBSL","2019-11-28","424","429","423","425","-1.16 %","730.00"
"AKBSL","2019-11-27","424","430","423","430","-0.46 %","360.00"
"AKBSL","2019-11-26","418","432","418","432","1.89 %","642.00"
"AKBSL","2019-11-25","433","433","416","424","-0.24 %","350.00"
"AKBSL","2019-11-24","429","429","421","425","-0.93 %","930.00"
"AKBSL","2019-11-21","428","430","422","429","-1.38 %","1,220.00"
"AKBSL","2019-11-20","435","439","431","435","0.46 %","890.00"
"AKBSL","2019-11-19","427","434","425","433","-0.46 %","860.00"
"AKBSL","2019-11-18","425","448","425","435","0.69 %","360.00"
"AKBSL","2019-11-17","448","448","424","432","-1.82 %","910.00"
"AKBSL","2019-11-14","444","445","436","440","-0.90 %","1,899.00"
"AKBSL","2019-11-13","418","450","418","444","5.71 %","3,337.00"
"AKBSL","2019-11-12","425","438","407","420","-3.00 %","742.00"
"AKBSL","2019-11-11","419","438","407","433","4.84 %","1,160.00"
"AKBSL","2019-11-10","410","413","403","413","-1.20 %","2,010.00"
"AKBSL","2019-11-07","410","418","406","418","0.00 %","310.00"
"AKBSL","2019-11-06","413","418","407","418","-0.24 %","2,197.00"
"AKBSL","2019-11-05","411","419","407","419","2.70 %","558.00"
"AKBSL","2019-11-04","415","415","408","408","-0.73 %","360.00"
"AKBSL","2019-11-03","414","420","408","411","0.98 %","590.00"
"AKBSL","2019-10-31","408","413","405","407","-0.25 %","350.00"
"AKBSL","2019-10-24","412","414","406","408","-0.73 %","920.00"
"AKBSL","2019-10-23","408","411","397","411","0.74 %","450.00"
"AKBSL","2019-10-22","408","412","408","408","-1.69 %","440.00"
"AKBSL","2019-10-21","414","419","408","415","0.24 %","440.00"
"AKBSL","2019-10-20","408","414","405","414","-0.48 %","250.00"
"AKBSL","2019-10-17","414","416","406","416","0.48 %","370.00"
"AKBSL","2019-10-16","408","416","405","414","1.47 %","860.00"
"AKBSL","2019-10-15","402","410","402","408","0.25 %","160.00"
"AKBSL","2019-10-14","408","410","405","407","-0.73 %","420.00"
"AKBSL","2019-10-10","412","415","410","410","-1.20 %","50.00"
"AKBSL","2019-10-03","408","416","408","415","0.48 %","430.00"
"AKBSL","2019-10-02","409","416","409","413","-0.48 %","190.00"
"AKBSL","2019-10-01","409","423","409","415","0.97 %","490.00"
"AKBSL","2019-09-30","401","425","401","411","0.74 %","570.00"
