"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AKJCL","2024-08-11","201.9","217.8","199","217.8","10.00 %","566,497.00"
"AKJCL","2024-08-08","200","204","197","198","-0.50 %","161,592.00"
"AKJCL","2024-08-07","191.5","201","191.5","199","1.84 %","123,645.00"
"AKJCL","2024-08-06","204.2","206","195","195.4","-4.45 %","185,004.00"
"AKJCL","2024-08-05","206","208","202","204.5","-0.49 %","135,160.00"
"AKJCL","2024-08-01","210","212.6","205","205.5","-1.44 %","220,330.00"
"AKJCL","2024-07-31","203","213","198","208.5","4.25 %","390,286.00"
"AKJCL","2024-07-30","200","203","197.1","200","-0.50 %","183,372.00"
"AKJCL","2024-07-29","205","205","198.6","201","-0.54 %","172,151.00"
"AKJCL","2024-07-28","204","214.2","200","202.1","1.05 %","151,895.00"
"AKJCL","2024-07-25","205","205","199.2","200","-0.99 %","125,615.00"
"AKJCL","2024-07-24","210","213.9","200","202","-2.74 %","257,270.00"
"AKJCL","2024-07-23","203","209.1","200","207.7","1.32 %","198,665.00"
"AKJCL","2024-07-22","202","212.1","193","205","3.02 %","185,359.00"
"AKJCL","2024-07-21","200.8","212","195.5","199","1.07 %","398,086.00"
"AKJCL","2024-07-18","182.5","196.9","182.5","196.9","10.00 %","507,091.00"
"AKJCL","2024-07-17","166","179","166","179","9.95 %","49,212.00"
"AKJCL","2024-07-16","150.9","162.8","150.9","162.8","10.00 %","49,035.00"
"AKJCL","2024-07-15","228.1","228.1","218.9","220","-1.65 %","392,073.00"
"AKJCL","2024-07-14","223.3","227","218","223.7","2.15 %","166,180.00"
"AKJCL","2024-07-11","220","222","218","219","0.41 %","121,555.00"
"AKJCL","2024-07-10","224","224","215","218.1","-1.31 %","164,085.00"
"AKJCL","2024-07-09","220.2","223.9","219.6","221","-1.34 %","74,445.00"
"AKJCL","2024-07-08","235","235","221","224","-4.27 %","141,032.00"
"AKJCL","2024-07-07","232.2","250","230","234","2.77 %","352,443.00"
"AKJCL","2024-07-04","209","227.7","209","227.7","10.00 %","291,775.00"
"AKJCL","2024-07-03","207.5","209.9","206","207","-1.90 %","17,290.00"
"AKJCL","2024-07-02","208.4","221","206.2","211","3.23 %","56,772.00"
"AKJCL","2024-07-01","204","207","202.1","204.4","-0.05 %","14,488.00"
"AKJCL","2024-06-30","206.1","207","203","204.5","-1.16 %","28,990.00"
"AKJCL","2024-06-27","209","209","205.7","206.9","-0.05 %","20,975.00"
"AKJCL","2024-06-26","207.1","212","206.2","207","-0.48 %","22,591.00"
"AKJCL","2024-06-25","214.2","214.3","207","208","-0.95 %","48,011.00"
"AKJCL","2024-06-24","207","215.9","206","210","0.00 %","46,780.00"
"AKJCL","2024-06-23","215.1","216.2","208","210","-0.94 %","55,957.00"
"AKJCL","2024-06-20","219.7","219.7","210.4","212","-1.58 %","25,168.00"
"AKJCL","2024-06-19","213","217.8","213","215.4","0.84 %","19,936.00"
"AKJCL","2024-06-18","216","220.1","213.6","213.6","-1.52 %","42,372.00"
"AKJCL","2024-06-16","213","225","212","216.9","3.29 %","106,780.00"
"AKJCL","2024-06-13","206.2","213","206.2","210","0.48 %","32,557.00"
"AKJCL","2024-06-12","212.9","214","208.8","209","-0.95 %","32,187.00"
"AKJCL","2024-06-11","205","218","203","211","4.46 %","52,785.00"
"AKJCL","2024-06-10","194.4","204.9","194.4","202","1.87 %","21,367.00"
"AKJCL","2024-06-09","204","204","198.1","198.3","-1.83 %","32,117.00"
"AKJCL","2024-06-06","206","206.8","200","202","0.00 %","17,457.00"
"AKJCL","2024-06-05","199.9","204.9","199.9","202","-0.88 %","25,263.00"
"AKJCL","2024-06-04","202.2","203.9","201.3","203.8","-0.49 %","22,291.00"
"AKJCL","2024-06-03","202","204.8","202","204.8","0.39 %","16,323.00"
"AKJCL","2024-06-02","204.5","208","203.2","204","0.49 %","13,349.00"
"AKJCL","2024-05-30","202","207","202","203","-0.93 %","15,763.00"
"AKJCL","2024-05-29","208.5","209.6","204.3","204.9","-0.29 %","16,491.00"
"AKJCL","2024-05-27","206","208.9","204","205.5","-0.24 %","10,419.00"
"AKJCL","2024-05-26","208","210","205.5","206","-0.96 %","17,867.00"
"AKJCL","2024-05-22","210.4","211","207.2","208","-0.86 %","21,502.00"
"AKJCL","2024-05-21","208","210","205","209.8","0.87 %","24,419.00"
"AKJCL","2024-05-20","209.9","210","206","208","0.43 %","19,278.00"
"AKJCL","2024-05-19","206","207.1","203.1","207.1","1.97 %","21,394.00"
"AKJCL","2024-05-16","205","208.9","203","203.1","-1.88 %","16,277.00"
"AKJCL","2024-05-15","212.8","213","206","207","-1.43 %","11,762.00"
"AKJCL","2024-05-14","205","210.1","201.5","210","3.96 %","23,018.00"
"AKJCL","2024-05-13","205","205","201","202","-1.17 %","25,440.00"
"AKJCL","2024-05-12","202","207.9","202","204.4","0.25 %","15,553.00"
"AKJCL","2024-05-09","201","205","201","203.9","0.00 %","10,906.00"
"AKJCL","2024-05-08","207","207","203","203.9","-0.54 %","11,649.00"
"AKJCL","2024-05-07","206","207","203.6","205","-0.44 %","14,795.00"
"AKJCL","2024-05-06","211","211","204.7","205.9","-1.01 %","13,491.00"
"AKJCL","2024-05-05","208.1","210","206","208","-1.84 %","8,510.00"
"AKJCL","2024-05-02","217.2","217.2","209","211.9","-0.98 %","15,539.00"
"AKJCL","2024-04-30","205","218","205","214","2.93 %","24,984.00"
"AKJCL","2024-04-29","208","209","205.6","207.9","-0.05 %","14,735.00"
"AKJCL","2024-04-28","207.1","210","204","208","0.48 %","12,920.00"
"AKJCL","2024-04-25","207.6","210","206","207","-1.43 %","19,442.00"
"AKJCL","2024-04-24","210","212","207.3","210","-0.71 %","10,190.00"
"AKJCL","2024-04-22","214.8","215","209","211.5","-0.24 %","12,662.00"
"AKJCL","2024-04-21","205","215","205","212","2.81 %","21,880.00"
"AKJCL","2024-04-18","208","211","206","206.2","-1.81 %","13,258.00"
"AKJCL","2024-04-16","215","215","208.1","210","-0.47 %","22,539.00"
"AKJCL","2024-04-15","214","217.2","211","211","-1.40 %","17,823.00"
"AKJCL","2024-04-14","212","216.9","212","214","-0.47 %","13,382.00"
"AKJCL","2024-04-10","219.2","219.3","214","215","-0.51 %","37,298.00"
