"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BARUN","2024-08-11","392.7","400","380.3","393","2.08 %","127,489.00"
"BARUN","2024-08-08","383","400","379.3","385","2.12 %","200,466.00"
"BARUN","2024-08-07","371","384","363","377","2.17 %","102,551.00"
"BARUN","2024-08-06","400","405.4","364","369","-7.05 %","167,639.00"
"BARUN","2024-08-05","386","415.9","372.4","397","2.85 %","267,304.00"
"BARUN","2024-08-01","390","396.5","382","386","-2.77 %","239,391.00"
"BARUN","2024-07-31","405","422","396.9","397","-0.03 %","170,054.00"
"BARUN","2024-07-30","360","397.1","360","397.1","10.00 %","515,725.00"
"BARUN","2024-07-29","351.5","374","351","361","0.67 %","260,281.00"
"BARUN","2024-07-28","370.2","376","354","358.6","-1.21 %","141,608.00"
"BARUN","2024-07-25","360.9","369.9","347.5","363","2.54 %","183,825.00"
"BARUN","2024-07-24","350","375","344","354","1.17 %","204,749.00"
"BARUN","2024-07-23","330","358","330","349.9","5.08 %","336,336.00"
"BARUN","2024-07-22","342.5","344.7","327.1","333","-0.86 %","156,230.00"
"BARUN","2024-07-21","338","342","332","335.9","-2.55 %","175,896.00"
"BARUN","2024-07-18","348","371.1","330","344.7","0.47 %","180,714.00"
"BARUN","2024-07-17","332.1","353","332.1","343.1","5.37 %","457,746.00"
"BARUN","2024-07-16","301.6","325.6","301.6","325.6","10.00 %","229,723.00"
"BARUN","2024-07-15","306.9","306.9","296","296","-2.63 %","58,670.00"
"BARUN","2024-07-14","304.9","316","299","304","1.67 %","52,399.00"
"BARUN","2024-07-11","302","305.9","297","299","-0.33 %","56,344.00"
"BARUN","2024-07-10","297.3","300.3","292","300","2.39 %","69,743.00"
"BARUN","2024-07-09","297","299","290","293","-0.68 %","52,707.00"
"BARUN","2024-07-08","299.5","303","295","295","-1.30 %","49,261.00"
"BARUN","2024-07-07","296.9","305","291","298.9","0.67 %","112,111.00"
"BARUN","2024-07-04","296.29","305","293","296.9","-1.03 %","83,635.00"
"BARUN","2024-07-03","300","306","296","300","-1.35 %","66,415.00"
"BARUN","2024-07-02","308.5","329","303.3","304.1","0.53 %","90,540.00"
"BARUN","2024-07-01","305","308.2","301","302.5","0.10 %","49,502.00"
"BARUN","2024-06-30","309","313.9","302.1","302.2","-1.85 %","61,824.00"
"BARUN","2024-06-27","303","309.9","298","307.9","2.63 %","103,406.00"
"BARUN","2024-06-26","310.4","310.4","298.2","300","-1.45 %","49,606.00"
"BARUN","2024-06-25","303","309.3","300.2","304.4","2.15 %","97,897.00"
"BARUN","2024-06-24","303","309","297.2","298","-1.65 %","145,831.00"
"BARUN","2024-06-23","308","310","296.2","303","-2.10 %","130,867.00"
"BARUN","2024-06-20","301.9","316","301.9","309.5","0.49 %","183,675.00"
"BARUN","2024-06-19","309.9","319","305","308","0.00 %","142,553.00"
"BARUN","2024-06-18","307","319","305","308","0.33 %","362,124.00"
"BARUN","2024-06-16","313","319","299","307","0.00 %","344,002.00"
"BARUN","2024-06-13","288.7","311.1","283.7","307","8.44 %","399,806.00"
"BARUN","2024-06-12","279.3","301.2","279.3","283.1","3.36 %","298,525.00"
"BARUN","2024-06-11","252","273.9","251","273.9","10.00 %","225,159.00"
"BARUN","2024-06-10","244.6","255.9","231","249","3.75 %","77,506.00"
"BARUN","2024-06-09","230.3","244.4","230.3","240","2.13 %","23,311.00"
"BARUN","2024-06-06","230.4","238.5","230.3","235","0.00 %","5,783.00"
"BARUN","2024-06-05","240.5","240.5","232","235","-0.84 %","11,680.00"
"BARUN","2024-06-04","240","242","232","237","-1.04 %","13,261.00"
"BARUN","2024-06-03","244.6","245.8","238.1","239.5","-0.62 %","20,326.00"
"BARUN","2024-06-02","238.2","247","238.2","241","0.84 %","58,937.00"
"BARUN","2024-05-30","232","247.8","231","239","3.37 %","38,164.00"
"BARUN","2024-05-29","240.7","247","231.2","231.2","-2.03 %","7,025.00"
"BARUN","2024-05-27","233.6","241.5","233.6","236","-0.84 %","4,658.00"
"BARUN","2024-05-26","244.6","244.6","235","238","-1.24 %","8,723.00"
"BARUN","2024-05-22","237.4","245.6","237.4","241","-0.41 %","13,641.00"
"BARUN","2024-05-21","232","247","231","242","2.98 %","28,759.00"
"BARUN","2024-05-20","239","243","231.7","235","-0.42 %","24,219.00"
"BARUN","2024-05-19","236","243","231.4","236","0.43 %","16,217.00"
"BARUN","2024-05-16","228.1","235","226.1","235","1.34 %","23,565.00"
"BARUN","2024-05-15","238.9","239","228","231.9","-1.53 %","14,826.00"
"BARUN","2024-05-14","223","239.8","221.5","235.5","4.20 %","19,294.00"
"BARUN","2024-05-13","220","226","219","226","3.20 %","11,054.00"
"BARUN","2024-05-12","218.1","222.4","217.3","219","-0.45 %","13,130.00"
"BARUN","2024-05-09","215.3","221.9","211","220","2.18 %","21,353.00"
"BARUN","2024-05-08","220.3","222","215","215.3","-3.11 %","32,010.00"
"BARUN","2024-05-07","222.1","229","222","222.2","-1.20 %","14,540.00"
"BARUN","2024-05-06","224","227","220","224.9","-0.40 %","16,270.00"
"BARUN","2024-05-05","230.2","231.5","225.7","225.8","-2.46 %","18,727.00"
"BARUN","2024-05-02","232.6","238","230","231.5","-1.91 %","15,284.00"
"BARUN","2024-04-30","228","239","227","236","2.61 %","26,570.00"
"BARUN","2024-04-29","230.3","232.1","228","230","-1.08 %","9,804.00"
"BARUN","2024-04-28","236","236","228.7","232.5","-0.17 %","13,874.00"
"BARUN","2024-04-25","233","236","226.4","232.9","-0.04 %","24,977.00"
"BARUN","2024-04-24","231","238.6","231","233","-0.43 %","6,457.00"
"BARUN","2024-04-22","235.7","238.9","232.5","234","-2.42 %","5,725.00"
"BARUN","2024-04-21","230","239.9","230","239.8","3.81 %","16,345.00"
"BARUN","2024-04-18","231.6","236","230","231","-2.24 %","7,399.00"
"BARUN","2024-04-16","240.1","241","236","236.3","-1.58 %","11,282.00"
"BARUN","2024-04-15","239.1","247.8","239","240.1","-0.41 %","16,526.00"
"BARUN","2024-04-14","243","244.9","235.1","241.1","0.88 %","11,456.00"
"BARUN","2024-04-10","241.5","244","239","239","0.42 %","18,904.00"
"BARUN","2024-04-09","242","243.1","236.1","238","0.00 %","22,899.00"
"BARUN","2024-04-07","236","240","235.1","238","0.51 %","15,077.00"
"BARUN","2024-04-04","237","243.9","233","236.8","-1.74 %","24,367.00"
"BARUN","2024-04-03","243.2","246.1","239","241","-0.62 %","18,098.00"
"BARUN","2024-04-02","246.7","246.7","239","242.5","-0.21 %","6,517.00"
"BARUN","2024-04-01","243","248.5","243","243","-1.42 %","18,023.00"
"BARUN","2024-03-31","246","247.9","241","246.5","1.02 %","28,949.00"
"BARUN","2024-03-28","241","245","237.2","244","2.56 %","21,517.00"
"BARUN","2024-03-27","246.8","246.8","237.6","237.9","-2.14 %","38,685.00"
"BARUN","2024-03-26","239","247","238","243.1","1.33 %","18,422.00"
"BARUN","2024-03-25","245","245","237.1","239.9","-0.87 %","9,574.00"
"BARUN","2024-03-21","248","248","240.1","242","-1.22 %","15,789.00"
"BARUN","2024-03-20","249","253.9","243.1","245","-0.45 %","26,116.00"
