"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BHDC","2024-08-11","654","706.6","654","690","3.51 %","42,309.00"
"BHDC","2024-08-08","670","688.5","660.1","666.6","-1.54 %","28,668.00"
"BHDC","2024-08-07","640","677","630","677","5.78 %","41,289.00"
"BHDC","2024-08-06","660","692.9","614","640","-1.54 %","67,518.00"
"BHDC","2024-08-05","620","653","592.9","650","6.89 %","51,144.00"
"BHDC","2024-08-01","620","630","607","608.1","-1.90 %","29,524.00"
"BHDC","2024-07-31","609.9","636","603.1","619.9","3.66 %","29,281.00"
"BHDC","2024-07-30","577","599.7","577","598","1.70 %","22,319.00"
"BHDC","2024-07-29","600","602","579","588","-0.51 %","33,230.00"
"BHDC","2024-07-28","605.8","617","583","591","-0.51 %","11,858.00"
"BHDC","2024-07-25","595.9","610","590.2","594","-2.30 %","11,448.00"
"BHDC","2024-07-24","604","620","590","608","-1.14 %","24,227.00"
"BHDC","2024-07-23","627","635","602","615","-0.81 %","46,385.00"
"BHDC","2024-07-22","616.5","641","606","620","-1.43 %","26,476.00"
"BHDC","2024-07-21","625.3","640","608","629","-1.41 %","47,083.00"
"BHDC","2024-07-18","643.6","643.6","615","638","1.11 %","29,080.00"
"BHDC","2024-07-17","601","631","601","631","2.94 %","41,443.00"
"BHDC","2024-07-16","588","615","586.5","613","5.69 %","43,296.00"
"BHDC","2024-07-15","583.1","594.6","573","580","-0.34 %","55,462.00"
"BHDC","2024-07-14","586","605","575","582","0.00 %","10,556.00"
"BHDC","2024-07-11","586","586","570.1","582","1.22 %","11,943.00"
"BHDC","2024-07-10","570","580","570","575","0.88 %","8,926.00"
"BHDC","2024-07-09","560","588.9","557","570","1.79 %","32,659.00"
"BHDC","2024-07-08","574.9","574.9","560","560","-1.77 %","8,517.00"
"BHDC","2024-07-07","577","579","569","570.1","-2.20 %","11,781.00"
"BHDC","2024-07-04","587","587","571.3","582.9","0.85 %","6,101.00"
"BHDC","2024-07-03","570","585","567.6","578","0.31 %","8,734.00"
"BHDC","2024-07-02","600.7","600.7","565.8","576.2","-2.17 %","21,327.00"
"BHDC","2024-07-01","561.1","595","561.1","589","2.97 %","2,509.00"
"BHDC","2024-06-30","572","583.3","571","572","-1.38 %","6,242.00"
"BHDC","2024-06-27","581.3","582.2","566","580","-1.34 %","14,660.00"
"BHDC","2024-06-26","600","602","582","587.9","-1.19 %","16,382.00"
"BHDC","2024-06-25","594","601.9","590","595","0.68 %","13,294.00"
"BHDC","2024-06-24","576.1","604","576.1","591","1.03 %","40,097.00"
"BHDC","2024-06-23","586","591.6","575.2","585","0.52 %","10,581.00"
"BHDC","2024-06-20","575","590.5","570","582","1.22 %","22,071.00"
"BHDC","2024-06-19","563","580.9","563","575","0.70 %","8,358.00"
"BHDC","2024-06-18","577","580","570","571","-1.55 %","13,806.00"
"BHDC","2024-06-16","585.1","590.5","571","580","0.31 %","12,595.00"
"BHDC","2024-06-13","580","599.8","570.1","578.2","-1.98 %","29,330.00"
"BHDC","2024-06-12","591.1","602.9","584","589.9","-2.17 %","31,104.00"
"BHDC","2024-06-11","617.1","617.1","596.3","603","-0.33 %","35,052.00"
"BHDC","2024-06-10","634.2","634.2","604","605","-2.70 %","31,063.00"
"BHDC","2024-06-09","603","622","597","621.8","3.12 %","77,551.00"
"BHDC","2024-06-06","594","607","564.5","603","3.29 %","46,911.00"
"BHDC","2024-06-05","609.9","609.9","572","583.8","-2.37 %","14,303.00"
"BHDC","2024-06-04","590","602","586","598","1.18 %","40,120.00"
"BHDC","2024-06-03","592.1","600","577.2","591","-0.67 %","27,661.00"
