"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BHL","2024-08-11","421","427","415","422","2.18 %","72,823.00"
"BHL","2024-08-08","415","423","408","413","-0.48 %","38,979.00"
"BHL","2024-08-07","393","420","387.4","415","5.60 %","51,764.00"
"BHL","2024-08-06","431","435","390.1","393","-7.96 %","35,956.00"
"BHL","2024-08-05","425","430","417","427","1.43 %","31,217.00"
"BHL","2024-08-01","440","441.9","418","421","-2.95 %","28,884.00"
"BHL","2024-07-31","425","448","425","433.8","2.07 %","56,383.00"
"BHL","2024-07-30","416","451.8","407.7","425","2.04 %","85,984.00"
"BHL","2024-07-29","438","438","416.5","416.5","-3.14 %","29,837.00"
"BHL","2024-07-28","438","438.6","415","430","0.00 %","46,733.00"
"BHL","2024-07-25","437.5","437.5","421","430","0.23 %","33,252.00"
"BHL","2024-07-24","450","453","427","429","-4.45 %","41,274.00"
"BHL","2024-07-23","465.7","465.7","440.2","449","-1.66 %","45,648.00"
"BHL","2024-07-22","427","465","419.1","456.6","6.86 %","71,631.00"
"BHL","2024-07-21","426.8","433.6","417.1","427.3","2.10 %","72,155.00"
"BHL","2024-07-18","443.7","443.7","417.9","418.5","-3.79 %","65,750.00"
"BHL","2024-07-17","431","435","417.2","435","0.93 %","75,913.00"
"BHL","2024-07-16","414.9","446.9","410","431","3.86 %","68,683.00"
"BHL","2024-07-15","397.9","422","394","415","2.22 %","66,121.00"
"BHL","2024-07-14","429.9","433","399.9","406","-3.68 %","74,589.00"
"BHL","2024-07-11","390.8","421.5","390.8","421.5","9.99 %","109,134.00"
"BHL","2024-07-10","344","383.2","344","383.2","9.99 %","62,716.00"
"BHL","2024-07-09","352","353","342","348.4","0.96 %","9,207.00"
"BHL","2024-07-08","348","353","345.1","345.1","-2.24 %","7,233.00"
"BHL","2024-07-07","352.8","357","350","353","-1.94 %","14,033.00"
"BHL","2024-07-04","356","367","350","360","-0.25 %","9,384.00"
"BHL","2024-07-03","357","364","350","360.9","-0.55 %","6,850.00"
"BHL","2024-07-02","367","384","353.2","362.9","0.83 %","16,154.00"
"BHL","2024-07-01","343.1","360","343.1","359.9","2.86 %","8,458.00"
"BHL","2024-06-30","349","360.9","346","349.9","-1.13 %","4,640.00"
"BHL","2024-06-27","368","368","350.2","353.9","-1.97 %","5,750.00"
"BHL","2024-06-26","360","372","356.2","361","1.15 %","32,843.00"
"BHL","2024-06-25","349","359","347","356.9","4.08 %","11,338.00"
"BHL","2024-06-24","336.2","348","336.2","342.9","0.26 %","7,853.00"
"BHL","2024-06-23","352","352","338","342","-2.01 %","2,650.00"
"BHL","2024-06-20","350","354.9","343.5","349","0.00 %","6,210.00"
"BHL","2024-06-19","350","359.9","343.1","349","0.58 %","8,348.00"
"BHL","2024-06-18","359","366","344.9","347","-3.34 %","20,071.00"
"BHL","2024-06-16","375","375","355","359","-2.42 %","20,937.00"
"BHL","2024-06-13","361.1","376","361","367.9","0.27 %","29,645.00"
"BHL","2024-06-12","364.2","375.3","364","366.9","2.74 %","38,428.00"
"BHL","2024-06-11","350","369.2","345.1","357.1","3.54 %","35,873.00"
"BHL","2024-06-10","338","351","338","344.9","1.77 %","23,547.00"
"BHL","2024-06-09","330","340","325.5","338.9","2.70 %","11,229.00"
"BHL","2024-06-06","345.7","345.7","327.5","330","-2.65 %","5,851.00"
"BHL","2024-06-05","335.2","340","329","339","-0.88 %","5,523.00"
"BHL","2024-06-04","351.5","351.5","332","342","-0.78 %","2,815.00"
"BHL","2024-06-03","350.3","350.3","335.1","344.7","0.35 %","6,585.00"
"BHL","2024-06-02","342.5","348","335.7","343.5","2.29 %","8,985.00"
"BHL","2024-05-30","322.3","337.9","322.3","335.8","2.38 %","9,099.00"
"BHL","2024-05-29","331.5","334.9","322.6","328","0.92 %","5,640.00"
"BHL","2024-05-27","328","340","322","325","-0.91 %","3,067.00"
"BHL","2024-05-26","335","339","326.1","328","-2.09 %","4,315.00"
"BHL","2024-05-22","353.7","353.7","335","335","-3.43 %","8,946.00"
"BHL","2024-05-21","330","348","330","346.9","3.68 %","16,465.00"
"BHL","2024-05-20","346.1","346.1","327","334.6","-1.41 %","15,956.00"
"BHL","2024-05-19","315.3","339.4","315.3","339.4","6.06 %","5,894.00"
"BHL","2024-05-16","320","326","318.5","320","-1.54 %","4,373.00"
"BHL","2024-05-15","330","336","321.1","325","-1.13 %","6,425.00"
"BHL","2024-05-14","312.7","328.9","312.7","328.7","3.04 %","8,526.00"
"BHL","2024-05-13","313.4","325","313.4","319","-0.22 %","2,495.00"
"BHL","2024-05-12","316.1","324.9","316.1","319.7","0.06 %","2,013.00"
"BHL","2024-05-09","324","324.9","315.5","319.5","-0.16 %","5,023.00"
"BHL","2024-05-08","314.2","326.9","314.2","320","0.00 %","5,345.00"
"BHL","2024-05-07","315","332","315","320","0.00 %","6,424.00"
"BHL","2024-05-06","322.9","329","316.5","320","-0.90 %","1,572.00"
"BHL","2024-05-05","318.1","335.9","318","322.9","0.28 %","4,675.00"
"BHL","2024-05-02","326.1","344.3","320.5","322","-2.72 %","6,707.00"
"BHL","2024-04-30","320.1","341.5","320","331","1.85 %","10,670.00"
"BHL","2024-04-29","335.2","335.2","323","325","-1.13 %","6,088.00"
"BHL","2024-04-28","335.9","335.9","323","328.7","-0.21 %","2,964.00"
"BHL","2024-04-25","335","335","323","329.4","-0.18 %","8,791.00"
"BHL","2024-04-24","337","344.7","329","330","-1.79 %","6,232.00"
"BHL","2024-04-22","333.2","343","327.1","336","-1.18 %","3,390.00"
"BHL","2024-04-21","328","340","326.1","340","1.80 %","3,923.00"
"BHL","2024-04-18","338.1","340","329","334","-3.10 %","4,980.00"
"BHL","2024-04-16","342","344.7","335","344.7","0.00 %","5,944.00"
"BHL","2024-04-15","342","354.9","340.2","344.7","-0.95 %","7,745.00"
"BHL","2024-04-14","344","355.9","344","348","-0.57 %","2,553.00"
"BHL","2024-04-10","345","361","345","350","0.00 %","21,347.00"
"BHL","2024-04-09","340.5","359","340.5","350","1.16 %","8,339.00"
"BHL","2024-04-07","342.5","348","340.3","346","-0.57 %","6,220.00"
"BHL","2024-04-04","349","351.9","342.4","348","-0.29 %","12,115.00"
"BHL","2024-04-03","347","357.5","335.2","349","2.38 %","3,921.00"
"BHL","2024-04-02","345","357","338.1","340.9","-1.19 %","17,075.00"
"BHL","2024-04-01","360","360","345","345","-2.27 %","11,941.00"
"BHL","2024-03-31","371","375","351.3","353","-3.02 %","21,788.00"
"BHL","2024-03-28","362","373","361.4","364","-1.36 %","21,472.00"
"BHL","2024-03-27","350","370.2","350","369","4.27 %","45,375.00"
"BHL","2024-03-26","343.7","360","331.3","353.9","5.01 %","24,225.00"
"BHL","2024-03-25","336.5","338","331.2","337","-1.75 %","5,019.00"
"BHL","2024-03-21","342","359","337","343","-0.84 %","3,490.00"
"BHL","2024-03-20","347","364.1","341.1","345.9","-0.43 %","6,530.00"
"BHL","2024-03-19","335.2","356.6","335.2","347.4","1.58 %","7,837.00"
"BHL","2024-03-18","343.7","350.3","332","342","1.48 %","6,770.00"
"BHL","2024-03-17","340","346","333.3","337","-1.17 %","14,390.00"
"BHL","2024-03-14","351.9","373.3","339.2","341","-1.16 %","7,018.00"
"BHL","2024-03-13","363","363","342","345","-3.09 %","9,890.00"
"BHL","2024-03-12","353","360","347.1","356","0.85 %","11,929.00"
"BHL","2024-03-10","364","370","347","353","-3.02 %","14,785.00"
"BHL","2024-03-07","352.4","364","343.2","364","4.30 %","21,416.00"
"BHL","2024-03-06","331.2","353.9","331.2","349","3.87 %","37,307.00"
"BHL","2024-03-05","344","346","333","336","-2.33 %","17,331.00"
"BHL","2024-03-04","319","344","319","344","9.97 %","1,080.00"
"BHL","2024-03-03","321","329","312","312.8","-2.55 %","14,308.00"
"BHL","2024-02-29","341","346","321","321","-7.49 %","18,863.00"
"BHL","2024-02-28","348","362.1","342.1","347","-2.25 %","12,947.00"
"BHL","2024-02-27","345","362.1","341","355","3.50 %","14,593.00"
"BHL","2024-02-26","332","351.9","332","343","2.39 %","13,269.00"
"BHL","2024-02-25","362.5","362.5","334","335","-9.21 %","16,221.00"
"BHL","2024-02-22","385","389.8","355","369","-3.88 %","31,487.00"
"BHL","2024-02-21","385","393","375","383.9","1.56 %","29,245.00"
"BHL","2024-02-20","391","393.8","370.5","378","-2.60 %","81,512.00"
"BHL","2024-02-18","387","394","377","388.1","0.94 %","88,889.00"
"BHL","2024-02-15","367.1","393.9","367.1","384.5","5.34 %","122,222.00"
"BHL","2024-02-14","364","378.9","359","365","-1.35 %","53,202.00"
"BHL","2024-02-13","366.2","390","360","370","3.04 %","114,319.00"
"BHL","2024-02-12","329.9","359.1","322","359.1","9.98 %","122,077.00"
"BHL","2024-02-11","329.9","329.9","321.1","326.5","0.93 %","33,891.00"
"BHL","2024-02-08","313.5","327","307.1","323.5","5.03 %","48,546.00"
"BHL","2024-02-07","300","312.5","300","308","2.36 %","4,818.00"
"BHL","2024-02-06","309.8","309.8","298","300.9","-0.99 %","6,001.00"
