"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CBL","2023-02-23","213","220","212.8","214","-1.34 %","51,915.00"
"CBL","2023-02-22","208","216.9","208","216.9","2.60 %","40,061.00"
"CBL","2023-02-20","216","216","210.7","211.4","-1.90 %","35,445.00"
"CBL","2023-02-16","216","219","215.2","215.5","-0.23 %","22,412.00"
"CBL","2023-02-15","218","220","216","216","-0.78 %","26,751.00"
"CBL","2023-02-14","218","219.6","217.4","217.7","-0.55 %","20,750.00"
"CBL","2023-02-12","219","219","216.5","218.9","-1.40 %","22,218.00"
"CBL","2023-02-09","221","222","219","222","0.68 %","25,195.00"
"CBL","2023-02-08","221.1","225","218","220.5","0.23 %","53,461.00"
"CBL","2023-02-07","214.5","220","214","220","2.61 %","52,725.00"
"CBL","2023-02-06","215.1","217","212.7","214.4","-0.33 %","13,377.00"
"CBL","2023-02-05","215","219","215","215.1","-0.37 %","21,869.00"
"CBL","2023-02-02","218.8","219","215","215.9","-1.42 %","32,884.00"
"CBL","2023-02-01","219.2","222","217.4","219","-0.09 %","36,677.00"
"CBL","2023-01-31","224","225.8","219.1","219.2","-2.49 %","93,979.00"
"CBL","2023-01-30","226.1","230","224","224.8","-1.62 %","45,141.00"
"CBL","2023-01-29","229.1","232","228","228.5","-1.30 %","64,629.00"
"CBL","2023-01-26","230.9","233","229.2","231.5","0.13 %","48,630.00"
"CBL","2023-01-25","230.1","232.7","230.1","231.2","-0.34 %","24,594.00"
"CBL","2023-01-24","231.1","233","230.1","232","-0.43 %","33,080.00"
"CBL","2023-01-23","235","236.9","232.9","233","-0.04 %","60,806.00"
"CBL","2023-01-19","228.3","233.6","228.3","233.1","1.30 %","57,663.00"
"CBL","2023-01-18","236.6","236.6","230","230.1","-0.82 %","50,563.00"
"CBL","2023-01-17","234","235","229.5","232","-0.85 %","40,588.00"
"CBL","2023-01-12","237.6","238","231.7","234","0.43 %","99,018.00"
"CBL","2023-01-10","236","243","232.3","233","0.00 %","155,141.00"
"CBL","2023-01-09","232","233.9","230.2","233","0.09 %","99,260.00"
"CBL","2023-01-08","232","235","230.1","232.8","0.30 %","85,870.00"
"CBL","2023-01-05","235.1","237","229.5","232.1","-1.23 %","98,095.00"
"CBL","2023-01-04","234.4","236","231.7","235","0.26 %","82,293.00"
"CBL","2023-01-03","239","239.9","234.2","234.4","-1.55 %","85,274.00"
"CBL","2023-01-02","241.1","251.3","239","250","3.73 %","279,797.00"
"CBL","2023-01-01","236","242.3","235","241","2.03 %","152,835.00"
"CBL","2022-12-29","234","237","229.5","236.2","2.25 %","124,969.00"
"CBL","2022-12-28","234","234.1","229.9","231","-1.28 %","115,183.00"
"CBL","2022-12-27","228","241.7","227.5","234","3.08 %","154,440.00"
"CBL","2022-12-26","223","228","219.4","227","1.84 %","137,267.00"
"CBL","2022-12-22","219.9","223.2","217.2","222.9","1.83 %","97,606.00"
"CBL","2022-12-21","218","220.9","217","218.9","0.09 %","47,363.00"
"CBL","2022-12-20","216.4","218.8","214","218.7","2.20 %","186,275.00"
"CBL","2022-12-19","213.9","214","210","214","0.05 %","16,379.00"
"CBL","2022-12-18","210","217.2","210","213.9","0.42 %","35,190.00"
"CBL","2022-12-15","211.5","217.9","210.9","213","-0.84 %","49,734.00"
"CBL","2022-12-14","211.2","214.8","211.1","214.8","0.85 %","27,380.00"
"CBL","2022-12-13","212","215","211.3","213","-0.93 %","18,804.00"
"CBL","2022-12-12","218","219","212.2","215","0.00 %","25,896.00"
"CBL","2022-12-11","218","218","214.2","215","-1.78 %","32,423.00"
