"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CHDC","2024-08-11","1858","1892","1825","1855","1.15 %","77,166.00"
"CHDC","2024-08-08","1914.1","1939.9","1825.1","1834","-3.22 %","121,858.00"
"CHDC","2024-08-07","1820","1920","1805","1895","4.12 %","185,752.00"
"CHDC","2024-08-06","1950","2050","1816","1820","-6.58 %","226,646.00"
"CHDC","2024-08-05","1806","1948.1","1806","1948.1","10.00 %","176,877.00"
"CHDC","2024-08-01","1803.3","1803.3","1702","1771","0.17 %","240,891.00"
"CHDC","2024-07-31","1682.6","1814","1682.6","1768","7.17 %","156,771.00"
"CHDC","2024-07-30","1529.7","1649.7","1496.1","1649.7","9.99 %","172,830.00"
"CHDC","2024-07-29","1466.7","1515","1422","1499.8","4.30 %","228,981.00"
"CHDC","2024-07-28","1385","1452.4","1362","1438","5.89 %","183,926.00"
"CHDC","2024-07-25","1350","1379","1350","1358","-1.02 %","111,577.00"
"CHDC","2024-07-24","1420","1420","1357","1372","-2.43 %","104,414.00"
"CHDC","2024-07-23","1410","1440","1387","1406.1","1.09 %","109,258.00"
"CHDC","2024-07-22","1343","1423","1325","1391","3.57 %","186,230.00"
"CHDC","2024-07-21","1355","1370","1334","1343","0.90 %","198,639.00"
"CHDC","2024-07-18","1314","1394.9","1291","1331","1.29 %","160,642.00"
"CHDC","2024-07-17","1214.8","1314","1213","1314","9.87 %","154,830.00"
"CHDC","2024-07-16","1182","1205","1150","1196","3.19 %","114,727.00"
"CHDC","2024-07-15","1147.6","1195","1147.6","1159","-1.02 %","141,889.00"
"CHDC","2024-07-14","1164.8","1190","1145","1171","2.54 %","114,036.00"
"CHDC","2024-07-11","1134","1159","1118","1142","2.33 %","134,087.00"
"CHDC","2024-07-10","1091","1129","1091","1116","1.45 %","81,619.00"
"CHDC","2024-07-09","1064","1108.9","1064","1100","2.33 %","87,520.00"
"CHDC","2024-07-08","1098","1098","1063","1075","-0.35 %","89,836.00"
"CHDC","2024-07-07","1016","1079","1016","1078.8","5.25 %","131,227.00"
"CHDC","2024-07-04","1020","1040","986","1025","1.99 %","94,470.00"
"CHDC","2024-07-03","1025.1","1025.1","993","1005","-0.50 %","36,577.00"
"CHDC","2024-07-02","1017.9","1058","1000","1010","1.20 %","62,103.00"
"CHDC","2024-07-01","980.1","1000","976.1","998","1.22 %","54,763.00"
"CHDC","2024-06-30","1000","1019","985.1","986","-1.49 %","51,859.00"
"CHDC","2024-06-27","1032","1032","987.9","1000.9","-1.10 %","70,633.00"
"CHDC","2024-06-26","1038.9","1038.9","1003","1012","-1.17 %","67,472.00"
"CHDC","2024-06-25","1045","1045","1020","1024","-0.29 %","41,176.00"
