"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EHPL","2024-08-11","600","615","595.1","603.2","0.53 %","12,660.00"
"EHPL","2024-08-08","606.7","625","590","600","-3.07 %","15,453.00"
"EHPL","2024-08-07","595","631.2","585.3","619","4.05 %","19,594.00"
"EHPL","2024-08-06","620","638","585.1","594.9","-3.27 %","31,838.00"
"EHPL","2024-08-05","590","618","580","615","5.15 %","24,231.00"
"EHPL","2024-08-01","601","603","577.2","584.9","-2.52 %","14,204.00"
"EHPL","2024-07-31","607.9","610","590.1","600","0.67 %","26,995.00"
"EHPL","2024-07-30","575.2","602.7","575.2","596","2.41 %","14,651.00"
"EHPL","2024-07-29","585.6","621","582","582","-2.59 %","17,679.00"
"EHPL","2024-07-28","608.9","608.9","575.1","597.5","0.08 %","17,789.00"
"EHPL","2024-07-25","574.2","603","574.2","597","2.05 %","23,980.00"
"EHPL","2024-07-24","587.1","607","578","585","-2.17 %","21,726.00"
"EHPL","2024-07-23","578.2","605.4","566.7","598","1.36 %","20,533.00"
"EHPL","2024-07-22","589.3","601","580","590","-1.88 %","20,742.00"
"EHPL","2024-07-21","625","625","600","601.3","-3.64 %","31,230.00"
"EHPL","2024-07-18","600","642","589","624","5.94 %","44,930.00"
"EHPL","2024-07-17","568.4","594","568.4","589","1.55 %","32,224.00"
"EHPL","2024-07-16","550","580","550","580","5.44 %","22,771.00"
"EHPL","2024-07-15","566","566","547.5","550.1","-0.88 %","15,122.00"
"EHPL","2024-07-14","552.8","558","541.8","555","2.40 %","13,658.00"
"EHPL","2024-07-11","540","552","531","542","-1.28 %","9,332.00"
"EHPL","2024-07-10","555.9","555.9","537","549","0.73 %","10,207.00"
"EHPL","2024-07-09","518.6","572.2","518.6","545","3.01 %","17,723.00"
"EHPL","2024-07-08","525.9","541.6","525.9","529.1","-1.10 %","5,217.00"
"EHPL","2024-07-07","527.5","558.9","527.5","535","-0.59 %","8,020.00"
"EHPL","2024-07-04","550","559","538","538.2","-2.15 %","9,852.00"
"EHPL","2024-07-03","553.7","559","548","550","-2.65 %","3,589.00"
"EHPL","2024-07-02","558.9","581","527.4","565","3.10 %","4,873.00"
"EHPL","2024-07-01","535.1","548.8","535.1","548","0.37 %","5,800.00"
"EHPL","2024-06-30","574","574","536","546","-3.16 %","9,602.00"
"EHPL","2024-06-27","549.8","570","549.8","563.8","0.50 %","5,475.00"
"EHPL","2024-06-26","589.5","589.5","560","561","-3.26 %","8,078.00"
"EHPL","2024-06-25","557","579.9","545","579.9","6.01 %","20,224.00"
"EHPL","2024-06-24","560","560","540","547","-0.53 %","10,154.00"
"EHPL","2024-06-23","539","555","535","549.9","0.16 %","10,696.00"
"EHPL","2024-06-20","538.1","562.9","538.1","549","0.00 %","7,080.00"
"EHPL","2024-06-19","565","565","541.2","549","-1.06 %","7,649.00"
"EHPL","2024-06-18","539","559","539","554.9","0.89 %","10,550.00"
"EHPL","2024-06-16","577.5","577.5","546","550","-2.86 %","19,657.00"
"EHPL","2024-06-13","568","580.9","565.1","566.2","-2.21 %","21,635.00"
"EHPL","2024-06-12","618.1","618.1","573","579","-4.46 %","39,772.00"
"EHPL","2024-06-11","570","612","568","606","4.48 %","40,338.00"
"EHPL","2024-06-10","550","590","550","580","5.45 %","31,184.00"
"EHPL","2024-06-09","500","550","500","550","10.00 %","45,693.00"
"EHPL","2024-06-06","490","518","490","500","0.00 %","14,215.00"
"EHPL","2024-06-05","502","509.9","497","500","-1.77 %","5,341.00"
"EHPL","2024-06-04","544.6","550","508.5","509","-4.68 %","16,529.00"
"EHPL","2024-06-03","509","565","508","534","2.83 %","27,593.00"
"EHPL","2024-06-02","494","523.6","494","519.3","3.04 %","23,473.00"
"EHPL","2024-05-30","510","520","495","504","-2.70 %","26,388.00"
"EHPL","2024-05-29","543.6","543.6","511.5","518","-2.81 %","18,604.00"
"EHPL","2024-05-27","500.8","536","496.2","533","4.31 %","40,243.00"
"EHPL","2024-05-26","510","524.9","496","511","-1.73 %","31,989.00"
"EHPL","2024-05-22","502","521","491.1","520","5.35 %","45,545.00"
"EHPL","2024-05-21","455","493.6","444","493.6","9.71 %","40,213.00"
"EHPL","2024-05-20","455","455","441","449.9","0.02 %","6,008.00"
"EHPL","2024-05-19","441","454","440","449.8","0.40 %","5,707.00"
"EHPL","2024-05-16","437","455","435","448","1.13 %","7,657.00"
"EHPL","2024-05-15","442.1","467.9","442.1","443","-1.56 %","5,469.00"
"EHPL","2024-05-14","446","465","446","450","-0.88 %","9,761.00"
"EHPL","2024-05-13","464.9","464.9","440","454","-1.73 %","2,860.00"
"EHPL","2024-05-12","437","478","437","462","4.31 %","16,337.00"
"EHPL","2024-05-09","443.7","443.7","436","442.9","0.66 %","4,611.00"
"EHPL","2024-05-08","449","449","432","440","-0.56 %","1,531.00"
"EHPL","2024-05-07","448","457.9","434","442.5","-1.64 %","5,395.00"
"EHPL","2024-05-06","449","460","441.8","449.9","-1.53 %","3,541.00"
"EHPL","2024-05-05","460","460","449.1","456.9","-1.32 %","3,120.00"
"EHPL","2024-05-02","482.4","482.4","455.2","463","-2.11 %","4,591.00"
"EHPL","2024-04-30","461.1","480.4","446.7","473","4.62 %","25,494.00"
"EHPL","2024-04-29","478.9","478.9","451","452.1","-3.81 %","10,880.00"
"EHPL","2024-04-28","470.2","517","462","470","-2.02 %","37,815.00"
"EHPL","2024-04-25","474.3","482","466","479.7","3.16 %","21,376.00"
"EHPL","2024-04-24","465.1","473.1","457","465","1.97 %","41,905.00"
"EHPL","2024-04-22","453.6","465","436","456","2.47 %","26,575.00"
"EHPL","2024-04-21","447.4","456.3","431.8","445","1.41 %","2,400.00"
"EHPL","2024-04-18","437.1","443","436.1","438.8","-2.49 %","2,590.00"
"EHPL","2024-04-16","449","456","440.2","450","0.22 %","8,228.00"
"EHPL","2024-04-15","435","468","434.3","449","2.05 %","14,083.00"
"EHPL","2024-04-14","432","445.8","432","440","0.66 %","5,160.00"
"EHPL","2024-04-10","454.4","454.4","436.6","437.1","-2.00 %","12,730.00"
"EHPL","2024-04-09","442.8","458","435","446","0.72 %","5,877.00"
"EHPL","2024-04-07","430.7","443","425.7","442.8","1.56 %","6,190.00"
"EHPL","2024-04-04","423.9","445","423.9","436","0.81 %","3,719.00"
"EHPL","2024-04-03","433","459","431","432.5","-0.35 %","7,870.00"
"EHPL","2024-04-02","447","447","434","434","-1.25 %","4,384.00"
"EHPL","2024-04-01","462","462","435","439.5","-2.98 %","5,840.00"
"EHPL","2024-03-31","462.5","471","446","453","-3.49 %","20,569.00"
"EHPL","2024-03-28","474","480","460.7","469.4","-0.97 %","8,694.00"
"EHPL","2024-03-27","450","478.4","435","474","7.24 %","56,009.00"
"EHPL","2024-03-26","440","445","425.4","442","1.84 %","3,392.00"
"EHPL","2024-03-25","448.4","448.4","425","434","-1.34 %","1,362.00"
"EHPL","2024-03-21","450","454.5","431.3","439.9","-1.37 %","6,576.00"
"EHPL","2024-03-20","448","454","435.5","446","-0.22 %","3,931.00"
"EHPL","2024-03-19","454","454","438","447","0.22 %","2,060.00"
"EHPL","2024-03-18","436","448","436","446","1.36 %","2,320.00"
"EHPL","2024-03-17","434.2","444.5","434.2","440","-0.45 %","5,542.00"
"EHPL","2024-03-14","453.9","472","439","442","-0.67 %","4,697.00"
"EHPL","2024-03-13","458","460","439","445","-2.63 %","3,510.00"
"EHPL","2024-03-12","460","460","440.3","457","0.77 %","14,170.00"
"EHPL","2024-03-10","465","465","437.7","453.5","-0.53 %","9,400.00"
"EHPL","2024-03-07","456","465","436","455.9","1.76 %","4,620.00"
