"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ENL","2024-08-11","1294","1373","1294","1317.9","1.85 %","11,098.00"
"ENL","2024-08-08","1301.5","1319","1274","1294","-2.55 %","14,349.00"
"ENL","2024-08-07","1280","1328.9","1254","1327.9","3.82 %","12,905.00"
"ENL","2024-08-06","1390","1415","1260.1","1279","-7.99 %","16,317.00"
"ENL","2024-08-05","1325","1404","1325","1390","4.98 %","17,669.00"
"ENL","2024-08-01","1400","1406.9","1322","1324","-5.43 %","12,113.00"
"ENL","2024-07-31","1420","1453.5","1389","1400","0.01 %","19,052.00"
"ENL","2024-07-30","1272","1426","1252","1399.8","7.93 %","29,981.00"
"ENL","2024-07-29","1320","1335","1270","1297","-1.14 %","13,471.00"
"ENL","2024-07-28","1302","1333","1283","1312","1.00 %","11,857.00"
"ENL","2024-07-25","1321","1321","1282","1299","-2.04 %","11,949.00"
"ENL","2024-07-24","1359","1359","1275","1326","-1.34 %","17,155.00"
"ENL","2024-07-23","1319","1355","1293","1344","3.15 %","8,330.00"
"ENL","2024-07-22","1292","1305","1266","1303","-0.91 %","22,316.00"
"ENL","2024-07-21","1330","1337","1263","1315","0.00 %","16,741.00"
"ENL","2024-07-18","1260","1330","1230","1315","4.28 %","25,739.00"
"ENL","2024-07-17","1168.3","1261","1151","1261","5.97 %","20,939.00"
"ENL","2024-07-16","1130","1190","1115","1190","7.40 %","9,625.00"
"ENL","2024-07-15","1110","1133.4","1093.1","1108","-1.95 %","5,402.00"
"ENL","2024-07-14","1139.9","1162","1105.1","1130","1.11 %","6,603.00"
"ENL","2024-07-11","1145.9","1145.9","1115.2","1117.6","-0.56 %","8,763.00"
"ENL","2024-07-10","1081","1132","1081","1123.9","2.28 %","5,301.00"
"ENL","2024-07-09","1109","1109","1076","1098.8","0.99 %","6,808.00"
"ENL","2024-07-08","1099.8","1099.8","1055","1088","0.83 %","8,723.00"
"ENL","2024-07-07","1110","1120","1078","1079","-2.09 %","6,764.00"
"ENL","2024-07-04","1145","1160","1100","1102","-3.25 %","14,589.00"
"ENL","2024-07-03","1068.2","1140","1052","1139","4.51 %","14,139.00"
"ENL","2024-07-02","1058.7","1141.8","1038.1","1089.9","5.00 %","15,240.00"
"ENL","2024-07-01","1010","1050.6","998","1038","4.11 %","16,625.00"
"ENL","2024-06-30","1000","1013","977.2","997","0.91 %","7,042.00"
"ENL","2024-06-27","970","990","966.1","988","0.29 %","4,705.00"
"ENL","2024-06-26","1022","1022","982.6","985.1","-1.88 %","8,257.00"
"ENL","2024-06-25","998","1014","985","1004","2.55 %","9,859.00"
"ENL","2024-06-24","970","990","955","979","2.25 %","6,978.00"
"ENL","2024-06-23","951","973","950","957.5","-1.08 %","8,496.00"
"ENL","2024-06-20","999.6","999.6","950.6","968","-1.22 %","10,711.00"
"ENL","2024-06-19","1006","1006","975","980","-0.81 %","4,289.00"
"ENL","2024-06-18","980","1001","967.6","988","-1.00 %","5,319.00"
"ENL","2024-06-16","990.3","1018","978","998","-0.20 %","8,985.00"
"ENL","2024-06-13","997.7","1068","997.7","1000","-1.77 %","18,137.00"
"ENL","2024-06-12","987","1045.5","987","1018","1.09 %","9,501.00"
"ENL","2024-06-11","1019","1023","970.2","1007","-1.18 %","11,355.00"
"ENL","2024-06-10","1027.7","1028","971","1019","0.79 %","19,977.00"
"ENL","2024-06-09","1042.3","1118","995","1011","-1.07 %","23,781.00"
"ENL","2024-06-06","941","1021.9","925","1021.9","10.00 %","47,601.00"
"ENL","2024-06-05","887","940","887","929","2.65 %","10,482.00"
"ENL","2024-06-04","900","946","900","905","-0.55 %","2,115.00"
"ENL","2024-06-03","910","925.8","900","910","-0.28 %","7,505.00"
"ENL","2024-06-02","914","923","880","912.6","-0.37 %","7,689.00"
"ENL","2024-05-30","911","936","910.5","916","-1.40 %","5,310.00"
"ENL","2024-05-29","900","965","895.1","929","4.38 %","25,054.00"
"ENL","2024-05-27","852","908.1","852","890","4.46 %","13,934.00"
"ENL","2024-05-26","851.6","872.9","846","852","-1.94 %","3,195.00"
"ENL","2024-05-22","870","874","860","868.9","-1.81 %","2,674.00"
"ENL","2024-05-21","836","917.9","836","884.9","4.11 %","6,739.00"
"ENL","2024-05-20","881","881","840","850","-1.73 %","4,409.00"
"ENL","2024-05-19","822","875","822","865","3.22 %","6,887.00"
"ENL","2024-05-16","810","840","810","838","2.83 %","4,715.00"
"ENL","2024-05-15","802","820","802","814.9","1.85 %","1,713.00"
"ENL","2024-05-14","798","812","788.4","800.1","0.26 %","2,000.00"
"ENL","2024-05-13","804.7","804.7","784.1","798","1.14 %","1,885.00"
"ENL","2024-05-12","774","812.9","774","789","0.90 %","1,035.00"
"ENL","2024-05-09","766","794","766","782","0.13 %","803.00"
"ENL","2024-05-08","784.3","790","781","781","-1.77 %","1,250.00"
"ENL","2024-05-07","786","801","786","795.1","1.17 %","527.00"
"ENL","2024-05-06","810","810","785.1","785.9","-1.14 %","2,004.00"
"ENL","2024-05-05","775","821","775","795","0.62 %","4,061.00"
"ENL","2024-05-02","791.3","810","790.1","790.1","-1.85 %","3,425.00"
"ENL","2024-04-30","785","821.1","785","805","0.75 %","1,394.00"
"ENL","2024-04-29","780.5","799","780.5","799","2.41 %","1,280.00"
"ENL","2024-04-28","785","816.7","770","780.2","-0.61 %","2,241.00"
"ENL","2024-04-25","795","804.9","785","785","-1.63 %","1,186.00"
"ENL","2024-04-24","798","812.7","782.6","798","0.00 %","1,344.00"
"ENL","2024-04-22","803","805","787","798","-0.70 %","1,720.00"
"ENL","2024-04-21","801.2","819","801.2","803.6","-1.42 %","1,535.00"
"ENL","2024-04-18","820.1","830","812.5","815.2","-0.59 %","1,736.00"
"ENL","2024-04-16","790","820","783.1","820","2.91 %","2,535.00"
"ENL","2024-04-15","807","815","795.1","796.8","-1.02 %","4,182.00"
"ENL","2024-04-14","833","833","780.1","805","-1.43 %","3,594.00"
"ENL","2024-04-10","836","882.1","816.7","816.7","-2.20 %","5,316.00"
"ENL","2024-04-09","785.4","846","785.4","835.1","8.45 %","16,765.00"
"ENL","2024-04-07","733.3","770","733.3","770","2.91 %","2,880.00"
"ENL","2024-04-04","760","784.9","748.2","748.2","-3.46 %","2,093.00"
"ENL","2024-04-03","755","775.2","755","775","1.31 %","2,289.00"
"ENL","2024-04-02","757","785","757","765","0.35 %","1,315.00"
"ENL","2024-04-01","756","774.4","756","762.3","0.81 %","2,322.00"
"ENL","2024-03-31","753.8","780","753.8","756.2","-1.15 %","3,189.00"
"ENL","2024-03-28","753.9","768.9","753.9","765","0.13 %","824.00"
"ENL","2024-03-27","761","784.8","761","764","-1.04 %","1,491.00"
"ENL","2024-03-26","761","780","761","772","0.26 %","1,056.00"
"ENL","2024-03-25","777","787","760.1","770","1.02 %","1,418.00"
"ENL","2024-03-21","761","786","761","762.2","-1.27 %","1,493.00"
"ENL","2024-03-20","775","787","772","772","-0.13 %","2,370.00"
"ENL","2024-03-19","783.3","783.3","765","773","0.65 %","1,813.00"
"ENL","2024-03-18","764","792.1","764","768","-1.41 %","822.00"
"ENL","2024-03-17","799","799.9","766","779","-1.27 %","1,155.00"
"ENL","2024-03-14","800","804","780.1","789","-1.95 %","1,754.00"
"ENL","2024-03-13","790","804.8","780","804.7","1.60 %","3,111.00"
"ENL","2024-03-12","786","793.5","778","792","1.15 %","2,991.00"
"ENL","2024-03-10","750.4","788","748","783","2.61 %","1,802.00"
"ENL","2024-03-07","784.9","784.9","763.1","763.1","-0.90 %","1,348.00"
"ENL","2024-03-06","775.7","790","755","770","0.56 %","2,186.00"
"ENL","2024-03-05","769.8","784","746","765.7","1.44 %","1,855.00"
"ENL","2024-03-04","754.8","754.8","754.8","754.8","2.00 %","10.00"
"ENL","2024-03-03","754.8","754.8","728","740","0.00 %","1,205.00"
"ENL","2024-02-29","765","765","739.9","740","-3.28 %","1,960.00"
"ENL","2024-02-28","770.9","775.9","756","765.1","0.54 %","1,699.00"
"ENL","2024-02-27","740","782.9","740","761","2.84 %","1,085.00"
"ENL","2024-02-26","744","747","730","740","0.95 %","1,051.00"
"ENL","2024-02-25","750","750","733","733","-0.95 %","1,648.00"
"ENL","2024-02-22","746.3","774","740","740","-2.63 %","3,966.00"
"ENL","2024-02-21","774","774","752.3","760","0.00 %","543.00"
"ENL","2024-02-20","745","770.1","733","760","0.26 %","3,547.00"
"ENL","2024-02-18","781.5","785","755.8","758","-4.77 %","6,567.00"
"ENL","2024-02-15","804","818.8","776.4","796","-2.91 %","8,783.00"
"ENL","2024-02-14","806","819.9","794","819.9","-0.23 %","6,981.00"
"ENL","2024-02-13","822","829","788.9","821.8","-0.02 %","9,214.00"
"ENL","2024-02-12","850","852","788","822","-3.86 %","11,647.00"
"ENL","2024-02-11","850","860","806.9","855","0.94 %","14,084.00"
"ENL","2024-02-08","818","847","790","847","1.93 %","8,928.00"
"ENL","2024-02-07","837","854.7","815","831","1.09 %","1,277.00"
"ENL","2024-02-06","810","823","803.4","822","-0.51 %","678.00"
"ENL","2024-02-05","801","826.2","800.1","826.2","2.84 %","1,880.00"
"ENL","2024-02-04","800.1","815","800.1","803.4","-1.00 %","2,680.00"
"ENL","2024-02-01","815","822","811.5","811.5","-1.99 %","1,640.00"
"ENL","2024-01-31","820","835","818","828","-0.84 %","3,155.00"
"ENL","2024-01-30","816","840","816","835","1.21 %","2,149.00"
"ENL","2024-01-29","807.2","852.7","807.2","825","0.61 %","1,200.00"
"ENL","2024-01-28","818","822","807.1","820","0.61 %","1,408.00"
"ENL","2024-01-25","812.1","833","812.1","815","-1.21 %","2,548.00"
"ENL","2024-01-24","812.5","846.1","812.5","825","1.85 %","2,349.00"
"ENL","2024-01-23","825","840","810","810","-1.82 %","4,545.00"
"ENL","2024-01-22","847","850","824","825","-2.62 %","4,142.00"
"ENL","2024-01-21","852","860","842.8","847.2","-1.49 %","1,703.00"
"ENL","2024-01-18","876.7","876.7","853","860","-3.15 %","3,880.00"
"ENL","2024-01-17","889","907","855.1","888","-0.11 %","13,531.00"
"ENL","2024-01-16","840","894.7","832","889","5.58 %","10,709.00"
"ENL","2024-01-14","829","850.1","829","842","1.57 %","3,470.00"
"ENL","2024-01-11","820","846","820","829","-0.12 %","1,930.00"
"ENL","2024-01-10","857","857","830","830","-1.28 %","5,376.00"
"ENL","2024-01-09","856","867","839","840.8","0.10 %","6,288.00"
"ENL","2024-01-08","849.6","849.9","832.1","840","0.84 %","2,334.00"
"ENL","2024-01-07","872","872","833","833","-2.57 %","6,639.00"
"ENL","2024-01-04","879","880","851.5","855","-1.72 %","5,409.00"
"ENL","2024-01-03","870","876","849","870","1.16 %","2,466.00"
"ENL","2024-01-02","827","863","827","860","2.14 %","9,187.00"
"ENL","2024-01-01","826.2","869","825","842","3.95 %","11,641.00"
"ENL","2023-12-28","840.8","854.9","800","810","-5.58 %","8,700.00"
"ENL","2023-12-27","865.2","882.3","830","857.9","-2.82 %","7,864.00"
"ENL","2023-12-24","906","906","845","882.8","-0.81 %","7,289.00"
"ENL","2023-12-21","911.4","930","858.7","890","-4.30 %","22,380.00"
"ENL","2023-12-20","890","940","866","930","2.80 %","21,240.00"
"ENL","2023-12-19","924.7","981.2","873","904.7","-0.36 %","9,300.00"
"ENL","2023-12-18","845","929.7","845","908","5.58 %","15,787.00"
"ENL","2023-12-17","860.4","876.3","840","860","-2.04 %","3,915.00"
"ENL","2023-12-14","875","891","845","877.9","0.33 %","3,190.00"
"ENL","2023-12-13","913","930","840","875","-4.20 %","7,820.00"
"ENL","2023-12-12","860.8","913.4","836","913.4","8.22 %","8,356.00"
"ENL","2023-12-11","881","881","826","844","-3.10 %","1,275.00"
"ENL","2023-12-10","821.1","871","821.1","871","8.20 %","215.00"
"ENL","2023-12-07","841","855","790.5","805","-2.64 %","845.00"
"ENL","2023-12-06","784","843.6","784","826.8","4.00 %","131.00"
"ENL","2023-12-05","798.7","800","784","795","-0.46 %","541.00"
"ENL","2023-12-04","847","847","798.7","798.7","-4.11 %","97.00"
"ENL","2023-12-03","828.1","832.9","781.3","832.9","-1.43 %","1,888.00"
"ENL","2023-11-30","818.3","850","802","845","1.20 %","1,550.00"
"ENL","2023-11-29","855","880","835","835","-2.34 %","6,732.00"
"ENL","2023-11-28","810","856","810","855","3.69 %","2,010.00"
"ENL","2023-11-27","822","835","808.5","824.6","2.31 %","2,765.00"
"ENL","2023-11-26","798.8","830","769.7","806","2.62 %","2,419.00"
"ENL","2023-11-23","770","785.4","743.1","785.4","1.32 %","518.00"
"ENL","2023-11-22","745","775.2","734","775.2","2.00 %","170.00"
"ENL","2023-11-21","740","760","737","760","1.33 %","1,759.00"
"ENL","2023-11-20","745","756","741","750","1.35 %","1,218.00"
"ENL","2023-11-09","755.1","763.1","727","740","-3.91 %","1,132.00"
"ENL","2023-11-08","794","795","770.1","770.1","-4.81 %","1,170.00"
"ENL","2023-11-07","813.9","814.9","798.8","809","1.25 %","900.00"
"ENL","2023-11-06","790","817.9","790","799","1.63 %","540.00"
"ENL","2023-11-05","799","805","786.1","786.2","-1.85 %","100.00"
"ENL","2023-11-02","827","827","800","801","-3.14 %","365.00"
"ENL","2023-11-01","821.2","827","789.2","827","2.72 %","2,358.00"
"ENL","2023-10-31","819.3","819.3","804","805.1","-3.70 %","920.00"
"ENL","2023-10-30","816","865.8","798.7","836","4.50 %","1,385.00"
"ENL","2023-10-29","814","814","799","800","-3.61 %","1,341.00"
"ENL","2023-10-19","830","831","815","830","0.12 %","310.00"
"ENL","2023-10-18","808","833","808","829","1.47 %","762.00"
"ENL","2023-10-17","802.7","864","802.7","817","-0.23 %","1,685.00"
"ENL","2023-10-16","814","818.9","800","818.9","-0.05 %","2,290.00"
"ENL","2023-10-12","830.1","831","815.2","819.3","-2.29 %","4,125.00"
"ENL","2023-10-11","820","872.9","820","838.5","1.64 %","1,660.00"
"ENL","2023-10-10","850","867","825","825","-4.29 %","1,290.00"
"ENL","2023-10-09","826","907","820.1","862","4.36 %","5,204.00"
"ENL","2023-10-08","823.8","848.9","823.8","826","-1.24 %","1,815.00"
"ENL","2023-10-05","836","856.8","836","836.4","-0.11 %","1,756.00"
"ENL","2023-10-04","826.2","870","826.2","837.3","-0.56 %","328.00"
"ENL","2023-10-03","838","854","838","842","-1.52 %","2,400.00"
"ENL","2023-10-02","810","856","810","855","3.64 %","881.00"
"ENL","2023-10-01","865","865","823","825","-5.17 %","2,303.00"
"ENL","2023-09-27","881","895","835","870","-3.06 %","2,781.00"
"ENL","2023-09-26","875","904.9","875","897.5","0.84 %","2,896.00"
"ENL","2023-09-25","890","905","890","890","-1.66 %","1,715.00"
"ENL","2023-09-24","953","953","901.7","905","-5.06 %","4,731.00"
"ENL","2023-09-21","950.7","1054.1","940","953.2","-1.73 %","5,136.00"
"ENL","2023-09-19","1050","1050","949","970","-8.00 %","9,243.00"
"ENL","2023-09-18","939.5","1054.4","925.5","1054.4","9.99 %","7,897.00"
"ENL","2023-09-17","960.4","967.7","924","958.6","-2.18 %","5,107.00"
"ENL","2023-09-13","942","980","941.8","980","1.98 %","2,160.00"
"ENL","2023-09-12","942.6","980","930","961","-0.08 %","7,598.00"
"ENL","2023-09-11","925","961.8","925","961.8","2.47 %","5,029.00"
"ENL","2023-09-10","949","964.9","918","938.6","0.82 %","1,310.00"
"ENL","2023-09-07","998.9","998.9","931","931","-5.19 %","1,335.00"
"ENL","2023-09-05","956.8","982","894","982","4.03 %","5,879.00"
"ENL","2023-09-04","959.9","959.9","909","944","0.00 %","7,990.00"
"ENL","2023-09-03","936","950","917.3","944","-1.15 %","2,682.00"
"ENL","2023-08-30","949","968.9","942.1","955","-1.33 %","2,483.00"
"ENL","2023-08-29","946","967.9","946","967.9","0.40 %","2,520.00"
"ENL","2023-08-28","951","988","934","964","-0.62 %","9,184.00"
"ENL","2023-08-27","999","999","950.2","970","-1.02 %","10,011.00"
"ENL","2023-08-24","1010","1060","970.1","980","-2.44 %","2,519.00"
"ENL","2023-08-23","1000","1007.9","985.1","1004.5","1.57 %","11,060.00"
"ENL","2023-08-22","1007.7","1007.7","965","989","-0.10 %","3,386.00"
"ENL","2023-08-21","1004.1","1009.9","965.4","990","-1.39 %","7,614.00"
"ENL","2023-08-20","1005","1017","987.9","1004","-0.10 %","16,361.00"
"ENL","2023-08-17","975","1005","963","1005","2.61 %","14,511.00"
"ENL","2023-08-16","1005","1035","968","979.4","-3.60 %","31,875.00"
"ENL","2023-08-15","979","1017","955.1","1016","5.18 %","23,644.00"
"ENL","2023-08-14","933","979","921.2","966","5.11 %","9,746.00"
"ENL","2023-08-13","900","930","872","919","3.49 %","16,930.00"
"ENL","2023-08-10","865","907","851","888","2.07 %","17,078.00"
"ENL","2023-08-09","815","880","796","870","8.07 %","15,679.00"
"ENL","2023-08-08","817","881","802","805","0.50 %","21,112.00"
"ENL","2023-08-07","775","805","775","801","1.39 %","4,332.00"
"ENL","2023-08-06","814.2","814.2","784","790","-1.04 %","7,578.00"
"ENL","2023-08-03","790","805","782","798.3","-0.18 %","9,691.00"
"ENL","2023-08-02","763.6","799.7","763.6","799.7","3.19 %","1,866.00"
"ENL","2023-08-01","781","811","753.1","775","1.17 %","7,049.00"
"ENL","2023-07-31","752.1","812","752.1","766","-0.13 %","9,708.00"
"ENL","2023-07-30","819","819","767","767","-4.48 %","3,017.00"
"ENL","2023-07-27","775","825","770.6","803","5.66 %","11,782.00"
"ENL","2023-07-26","740","780","740","760","2.49 %","17,351.00"
"ENL","2023-07-25","750","768","736.6","741.5","-1.13 %","4,101.00"
"ENL","2023-07-24","764","780","750","750","-3.71 %","3,654.00"
"ENL","2023-07-23","740","784","739.6","778.9","5.27 %","12,000.00"
"ENL","2023-07-20","705.1","749.7","696","739.9","4.95 %","4,684.00"
"ENL","2023-07-19","704.1","715","696","705","-1.40 %","4,738.00"
"ENL","2023-07-18","705","724.9","700.8","715","0.00 %","1,089.00"
"ENL","2023-07-17","683.1","715","682.1","715","2.73 %","1,171.00"
"ENL","2023-07-16","705","719.1","680","696","0.56 %","886.00"
"ENL","2023-07-13","717","725","692.1","692.1","-1.95 %","2,816.00"
"ENL","2023-07-12","682.3","720","682.3","705.9","1.42 %","1,192.00"
"ENL","2023-07-11","675.5","696","675.3","696","1.16 %","489.00"
"ENL","2023-07-10","720","720","685","688","-3.78 %","955.00"
"ENL","2023-07-09","685.3","721","685.3","715","2.66 %","1,124.00"
"ENL","2023-07-06","685","700","676.2","696.5","-0.21 %","1,279.00"
"ENL","2023-07-05","691","703","681","698","1.01 %","1,486.00"
"ENL","2023-07-04","710","719","687","691","-3.09 %","2,169.00"
"ENL","2023-07-03","700","727","690","713","1.86 %","3,688.00"
"ENL","2023-07-02","712","745","687","700","-2.51 %","6,810.00"
"ENL","2023-06-28","685","740","673.5","718","4.66 %","8,105.00"
"ENL","2023-06-27","666.4","700","662","686","0.88 %","3,254.00"
"ENL","2023-06-26","698","703","660","680","-0.66 %","1,460.00"
"ENL","2023-06-25","647.3","688","647.3","684.5","3.63 %","1,805.00"
"ENL","2023-06-22","659.8","675","650.7","660.5","-1.89 %","1,412.00"
"ENL","2023-06-21","661.5","685","651.7","673.2","-0.27 %","782.00"
"ENL","2023-06-20","649.1","680","649.1","675","2.27 %","3,692.00"
"ENL","2023-06-19","670","688","657.1","660","-2.65 %","3,272.00"
"ENL","2023-06-18","662.3","682.2","658","678","1.36 %","3,430.00"
"ENL","2023-06-15","665.5","678.8","652.3","668.9","-1.49 %","1,380.00"
"ENL","2023-06-14","689.9","697.9","655","679","-0.80 %","7,494.00"
"ENL","2023-06-13","647.2","684.5","647.2","684.5","3.71 %","6,230.00"
"ENL","2023-06-12","653","678.8","648","660","-0.83 %","3,636.00"
"ENL","2023-06-11","640","669.5","640","665.5","4.15 %","8,142.00"
"ENL","2023-06-08","611","641.9","610.2","639","3.23 %","6,955.00"
"ENL","2023-06-07","628","640","613.1","619","0.32 %","1,230.00"
"ENL","2023-06-06","615","620","604","617","-1.28 %","2,345.00"
"ENL","2023-06-05","604","638","604","625","1.63 %","310.00"
"ENL","2023-06-04","622.2","625","605","615","0.82 %","120.00"
"ENL","2023-06-01","620","620","600.1","610","-1.13 %","160.00"
"ENL","2023-05-31","618","618","605.1","617","-2.06 %","135.00"
"ENL","2023-05-30","624.3","630","590","630","-1.10 %","2,251.00"
"ENL","2023-05-28","625","642","618","637","0.00 %","1,779.00"
"ENL","2023-05-24","640","651","618.2","637","-0.47 %","399.00"
"ENL","2023-05-23","628","650.9","627.9","640","1.59 %","827.00"
"ENL","2023-05-22","607.6","630","584.1","630","1.61 %","494.00"
"ENL","2023-05-21","633","633","612","620","-0.64 %","380.00"
"ENL","2023-05-18","610.2","624","601","624","0.22 %","755.00"
"ENL","2023-05-17","599","635.3","599","622.6","1.95 %","304.00"
"ENL","2023-05-16","599.8","611.7","572","610.7","3.84 %","900.00"
"ENL","2023-05-15","590","619","588.1","588.1","-0.02 %","622.00"
"ENL","2023-05-14","600","605","593.1","600","-1.48 %","580.00"
"ENL","2023-05-11","608","615","605.7","609","-1.46 %","180.00"
"ENL","2023-05-10","610.4","618","610.4","618","-0.77 %","1,672.00"
"ENL","2023-05-09","598.8","623.2","598.8","622.8","1.93 %","390.00"
"ENL","2023-05-08","608","611","589","611","-1.45 %","663.00"
"ENL","2023-05-07","639","639","614.3","620","-4.02 %","1,083.00"
"ENL","2023-05-04","621.4","646","603.8","646","1.89 %","3,820.00"
"ENL","2023-05-03","632.3","634","616","634","-1.71 %","2,529.00"
"ENL","2023-05-02","662.7","662.7","630","645","-0.75 %","200.00"
"ENL","2023-04-30","640","650","629","649.9","0.76 %","280.00"
"ENL","2023-04-27","645","645","637","645","-0.77 %","1,260.00"
"ENL","2023-04-26","645","669.8","633","650","0.68 %","395.00"
"ENL","2023-04-25","625","645.6","625","645.6","2.28 %","290.00"
"ENL","2023-04-24","630","650","630","631.2","-1.53 %","390.00"
"ENL","2023-04-23","640","651.9","630","641","-1.34 %","860.00"
"ENL","2023-04-20","641","649.7","635","649.7","-0.64 %","640.00"
"ENL","2023-04-19","646","669.9","634.1","653.9","1.35 %","290.00"
"ENL","2023-04-18","645.9","658.2","633","645.2","-2.09 %","410.00"
"ENL","2023-04-17","650","659","650","659","-0.53 %","33.00"
"ENL","2023-04-16","650","662.5","640","662.5","-0.06 %","610.00"
"ENL","2023-04-13","655.7","675","635.1","662.9","-0.91 %","655.00"
"ENL","2023-04-12","653.8","669","642.5","669","4.37 %","393.00"
"ENL","2023-04-11","619.9","659.4","619.9","641","1.34 %","723.00"
"ENL","2023-04-10","636.5","662.1","612","632.5","1.35 %","630.00"
"ENL","2023-04-09","654.9","654.9","624.1","624.1","-3.23 %","891.00"
"ENL","2023-04-06","632.1","650","630","644.9","-0.02 %","1,090.00"
"ENL","2023-04-05","652.6","652.6","639.6","645","0.78 %","1,320.00"
"ENL","2023-04-04","652.6","652.6","628","640","0.00 %","1,071.00"
"ENL","2023-04-03","652.8","670","640","640","0.00 %","2,664.00"
"ENL","2023-04-02","648","660","636.2","640","-1.23 %","400.00"
"ENL","2023-03-30","647.9","655","646","648","-1.67 %","1,290.00"
"ENL","2023-03-29","647.1","659","647.1","659","-0.15 %","141.00"
"ENL","2023-03-28","647.3","668","647.3","660","-0.06 %","1,100.00"
"ENL","2023-03-27","645","660.7","640","660.4","1.62 %","270.00"
"ENL","2023-03-26","639","649.9","635","649.9","-0.32 %","4,960.00"
"ENL","2023-03-23","660","660","652","652","-1.95 %","515.00"
"ENL","2023-03-22","669.5","670","660","665","-2.64 %","669.00"
"ENL","2023-03-20","658.7","683","652","683","1.62 %","1,105.00"
"ENL","2023-03-19","646","672.1","646","672.1","1.99 %","280.00"
