"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBBL","2024-08-11","459","468.1","455","466","3.56 %","192,836.00"
"GBBL","2024-08-08","454","468","449","450","-0.04 %","143,095.00"
"GBBL","2024-08-07","435","454.7","431","450.2","2.55 %","151,484.00"
"GBBL","2024-08-06","465","470","439","439","-5.39 %","234,477.00"
"GBBL","2024-08-05","469.2","477","459.9","464","0.87 %","158,542.00"
"GBBL","2024-08-01","446.9","473","446.9","460","0.88 %","321,574.00"
"GBBL","2024-07-31","448","467","444","456","3.17 %","288,720.00"
"GBBL","2024-07-30","450","450","432.3","442","0.00 %","141,259.00"
"GBBL","2024-07-29","460","460","441.6","442","-2.00 %","176,493.00"
"GBBL","2024-07-28","441.6","459","433","451","4.16 %","210,178.00"
"GBBL","2024-07-25","430.2","438.9","430.2","433","-0.46 %","131,969.00"
"GBBL","2024-07-24","450","453","430","435","-2.05 %","177,987.00"
"GBBL","2024-07-23","430","446","422.2","444.1","3.28 %","160,437.00"
"GBBL","2024-07-22","436","438","421.4","430","-0.23 %","166,252.00"
"GBBL","2024-07-21","419.1","436","415.2","431","2.84 %","205,395.00"
"GBBL","2024-07-18","422","429","414","419.1","1.26 %","203,716.00"
"GBBL","2024-07-17","400","415","396","413.9","3.79 %","174,506.00"
"GBBL","2024-07-16","385.1","399.9","384","398.8","3.56 %","93,031.00"
"GBBL","2024-07-15","400","400","380","385.1","-1.81 %","117,774.00"
"GBBL","2024-07-14","392.7","400","385.1","392.2","1.87 %","123,635.00"
"GBBL","2024-07-11","386","392.7","384","385","0.00 %","106,272.00"
"GBBL","2024-07-10","386","389","381.7","385","0.26 %","67,621.00"
"GBBL","2024-07-09","371","387","371","384","3.17 %","126,338.00"
"GBBL","2024-07-08","376","376","371","372.2","-0.75 %","35,125.00"
"GBBL","2024-07-07","377","380","373.1","375","-0.45 %","42,819.00"
"GBBL","2024-07-04","375.3","384.7","365","376.7","2.36 %","187,625.00"
"GBBL","2024-07-03","364","368.8","357.5","368","1.10 %","30,179.00"
"GBBL","2024-07-02","361.4","375.8","361.4","364","2.71 %","37,886.00"
"GBBL","2024-07-01","350.1","354.5","350.1","354.4","0.48 %","21,307.00"
"GBBL","2024-06-30","354.2","355","351","352.7","-0.37 %","19,604.00"
"GBBL","2024-06-27","354","356.9","352.3","354","-0.28 %","21,096.00"
"GBBL","2024-06-26","358","361.1","354.2","355","-1.39 %","27,500.00"
"GBBL","2024-06-25","360","363.1","359","360","0.28 %","20,092.00"
"GBBL","2024-06-24","356","361","356","359","0.84 %","16,771.00"
"GBBL","2024-06-23","355.6","359","355.5","356","-0.56 %","19,352.00"
"GBBL","2024-06-20","359","362","357.4","358","-0.28 %","31,323.00"
"GBBL","2024-06-19","360","363.7","357.3","359","-0.28 %","30,630.00"
"GBBL","2024-06-18","362","364.5","359.3","360","-0.55 %","36,364.00"
"GBBL","2024-06-16","365","367","362","362","-0.85 %","16,892.00"
"GBBL","2024-06-13","365","374","362","365.1","0.11 %","46,373.00"
"GBBL","2024-06-12","370","371","364.7","364.7","-0.36 %","22,150.00"
"GBBL","2024-06-11","366","367","362","366","1.39 %","46,012.00"
"GBBL","2024-06-10","360","362","360","361","0.25 %","20,619.00"
"GBBL","2024-06-09","362.5","364","360","360.1","-0.66 %","29,379.00"
"GBBL","2024-06-06","361","364","360.5","362.5","-0.41 %","16,208.00"
"GBBL","2024-06-05","365","365","362","364","0.00 %","22,068.00"
"GBBL","2024-06-04","360","367.4","358.2","364","0.55 %","30,886.00"
"GBBL","2024-06-03","365","365","361","362","0.25 %","21,553.00"
"GBBL","2024-06-02","362","365","357","361.1","0.03 %","26,766.00"
"GBBL","2024-05-30","365","365","360.1","361","-0.88 %","14,199.00"
"GBBL","2024-05-29","377.2","377.2","364.2","364.2","-1.54 %","16,295.00"
"GBBL","2024-05-27","371","373.2","366","369.9","0.52 %","21,590.00"
"GBBL","2024-05-26","372","373","368","368","-1.08 %","33,825.00"
"GBBL","2024-05-22","375.8","376","370.1","372","0.22 %","27,333.00"
"GBBL","2024-05-21","370.5","374.7","370","371.2","0.30 %","16,715.00"
"GBBL","2024-05-20","370.5","378","367.1","370.1","1.12 %","36,591.00"
"GBBL","2024-05-19","371.2","371.2","361.6","366","0.55 %","40,681.00"
"GBBL","2024-05-16","369","370","363","364","-0.79 %","23,046.00"
"GBBL","2024-05-15","375.1","376.9","366.1","366.9","-0.73 %","28,285.00"
"GBBL","2024-05-14","373","373","365.6","369.6","0.30 %","25,974.00"
"GBBL","2024-05-13","370","370","364","368.5","0.66 %","21,160.00"
"GBBL","2024-05-12","362","370","361.3","366.1","1.10 %","16,116.00"
"GBBL","2024-05-09","362","368.9","362","362.1","-0.79 %","23,257.00"
"GBBL","2024-05-08","369.9","370","364","365","-0.27 %","10,403.00"
"GBBL","2024-05-07","363","369","360.7","366","0.58 %","28,901.00"
"GBBL","2024-05-06","364","369","360.6","363.9","-0.03 %","20,725.00"
"GBBL","2024-05-05","372","374","362.8","364","-1.65 %","41,770.00"
"GBBL","2024-05-02","384","385.4","370","370.1","-2.55 %","59,231.00"
"GBBL","2024-04-30","370","386","365","379.8","4.05 %","162,238.00"
"GBBL","2024-04-29","361","369.6","360","365","0.55 %","38,918.00"
"GBBL","2024-04-28","360.5","363","355.6","363","2.17 %","14,089.00"
"GBBL","2024-04-25","358","360","355.1","355.3","-0.75 %","13,012.00"
"GBBL","2024-04-24","358.1","366.5","356.1","358","-0.56 %","16,373.00"
"GBBL","2024-04-22","360.5","362.1","357.5","360","-0.53 %","8,257.00"
"GBBL","2024-04-21","359","363.5","353","361.9","0.53 %","15,664.00"
"GBBL","2024-04-18","361","364.9","359.1","360","-1.91 %","22,064.00"
"GBBL","2024-04-16","364.1","368.9","364","367","0.82 %","13,601.00"
"GBBL","2024-04-15","365.9","371","362","364","-0.52 %","17,659.00"
"GBBL","2024-04-14","372","372","365.6","365.9","-1.11 %","22,549.00"
"GBBL","2024-04-10","376","376.3","362","370","0.27 %","31,657.00"
"GBBL","2024-04-09","370","373.5","367","369","0.76 %","38,818.00"
"GBBL","2024-04-07","357.2","369","357.2","366.2","2.01 %","29,651.00"
"GBBL","2024-04-04","360","361.9","357.1","359","-0.31 %","16,950.00"
"GBBL","2024-04-03","360","364","360","360.1","-0.52 %","20,066.00"
