"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GHL","2024-08-11","217","234.8","215.2","234.2","8.43 %","905,804.00"
"GHL","2024-08-08","217","225","215","216","0.23 %","542,883.00"
"GHL","2024-08-07","207","217.7","207","215.5","3.51 %","402,893.00"
"GHL","2024-08-06","220","225","205","208.2","-5.36 %","611,587.00"
"GHL","2024-08-05","218","227","211","220","0.92 %","565,822.00"
"GHL","2024-08-01","223","229","215.3","218","-1.80 %","560,831.00"
"GHL","2024-07-31","200.9","225.5","200.9","222","8.29 %","1,036,316.00"
"GHL","2024-07-30","202","209","199","205","0.99 %","408,477.00"
"GHL","2024-07-29","210.1","214","201.7","203","-1.46 %","521,994.00"
"GHL","2024-07-28","208","214","196.9","206","0.98 %","457,582.00"
"GHL","2024-07-25","206","213.1","203","204","-0.49 %","552,698.00"
"GHL","2024-07-24","203.9","214","198","205","2.50 %","869,430.00"
"GHL","2024-07-23","193.2","202","191.3","200","3.52 %","685,015.00"
"GHL","2024-07-22","189","198.5","179.9","193.2","3.98 %","685,170.00"
"GHL","2024-07-21","185.6","187","177.3","185.8","2.09 %","616,911.00"
"GHL","2024-07-18","189.7","192.4","180","182","-2.15 %","518,025.00"
"GHL","2024-07-17","184","187.1","178","186","2.76 %","739,487.00"
"GHL","2024-07-16","168","181.9","165","181","8.58 %","754,529.00"
"GHL","2024-07-15","170","174","165","166.7","-1.94 %","403,806.00"
"GHL","2024-07-14","161.9","171","161.1","170","7.05 %","493,392.00"
"GHL","2024-07-11","156","159.6","153","158.8","3.12 %","306,490.00"
"GHL","2024-07-10","149.9","155","148.6","154","3.70 %","172,182.00"
"GHL","2024-07-09","151.8","151.8","148","148.5","-0.74 %","59,782.00"
"GHL","2024-07-08","151","152.1","149","149.6","-0.66 %","52,649.00"
"GHL","2024-07-07","150","151.9","147.5","150.6","1.07 %","85,434.00"
"GHL","2024-07-04","153.5","153.5","148.4","149","-1.00 %","93,876.00"
"GHL","2024-07-03","150.2","150.9","147.6","150.5","0.00 %","53,506.00"
"GHL","2024-07-02","148.9","157.8","147","150.5","3.08 %","113,984.00"
"GHL","2024-07-01","145","147.2","144.4","146","0.48 %","23,850.00"
"GHL","2024-06-30","147.3","148","145.3","145.3","-1.36 %","36,212.00"
"GHL","2024-06-27","148","149","146.5","147.3","0.20 %","41,835.00"
"GHL","2024-06-26","150.1","150.1","146.8","147","-0.14 %","71,979.00"
"GHL","2024-06-25","150","152","147.2","147.2","-1.60 %","78,266.00"
"GHL","2024-06-24","150","151.7","147.1","149.6","0.81 %","99,272.00"
"GHL","2024-06-23","147.8","150","147","148.4","0.54 %","68,150.00"
"GHL","2024-06-20","154","154","147.5","147.6","-2.89 %","66,109.00"
"GHL","2024-06-19","153.9","153.9","149.5","152","0.66 %","34,835.00"
"GHL","2024-06-18","153","156","150.5","151","-1.69 %","146,316.00"
"GHL","2024-06-16","153","160","149.8","153.6","1.25 %","333,157.00"
"GHL","2024-06-13","154","154","149","151.7","-0.20 %","140,962.00"
"GHL","2024-06-12","151.7","156.9","150","152","2.15 %","226,502.00"
"GHL","2024-06-11","146","150","145.1","148.8","3.26 %","86,827.00"
"GHL","2024-06-10","144","149.6","143","144.1","0.84 %","58,332.00"
"GHL","2024-06-09","145","145","142","142.9","-0.07 %","32,429.00"
"GHL","2024-06-06","144.9","144.9","141.6","143","0.00 %","52,674.00"
"GHL","2024-06-05","143.9","146","143","143","-1.31 %","40,846.00"
"GHL","2024-06-04","149.8","149.8","144","144.9","-1.36 %","39,476.00"
"GHL","2024-06-03","148","149.9","145.3","146.9","0.62 %","34,122.00"
"GHL","2024-06-02","149.9","149.9","145","146","-0.68 %","59,528.00"
"GHL","2024-05-30","151.4","151.4","146.2","147","-1.01 %","60,362.00"
"GHL","2024-05-29","152.4","155.4","148","148.5","-0.67 %","57,451.00"
"GHL","2024-05-27","150","152.2","148","149.5","0.95 %","67,993.00"
"GHL","2024-05-26","155","155","148.1","148.1","-2.57 %","54,475.00"
"GHL","2024-05-22","155","156.1","151.4","152","-1.23 %","94,533.00"
"GHL","2024-05-21","151.1","155","149","153.9","1.92 %","123,763.00"
"GHL","2024-05-20","153.5","153.5","150.1","151","-0.53 %","112,434.00"
"GHL","2024-05-19","150","152.9","147","151.8","1.20 %","59,405.00"
"GHL","2024-05-16","152","154.8","149.1","150","0.00 %","67,737.00"
"GHL","2024-05-15","150","159.1","148.6","150","1.21 %","152,799.00"
"GHL","2024-05-14","146.8","150.5","143.3","148.2","2.92 %","77,887.00"
"GHL","2024-05-13","142.4","144.2","141","144","1.12 %","29,183.00"
"GHL","2024-05-12","146.6","146.7","142","142.4","-1.04 %","33,144.00"
"GHL","2024-05-09","144.5","144.5","141.7","143.9","0.70 %","42,367.00"
"GHL","2024-05-08","145","145","142","142.9","-0.83 %","23,213.00"
"GHL","2024-05-07","147","147","143.6","144.1","-1.17 %","34,809.00"
"GHL","2024-05-06","149","149","144","145.8","-0.34 %","43,135.00"
"GHL","2024-05-05","150","150","146","146.3","-2.47 %","47,215.00"
"GHL","2024-05-02","153.9","154","149","150","-0.66 %","38,977.00"
"GHL","2024-04-30","147.1","156","147","151","2.65 %","91,868.00"
"GHL","2024-04-29","150","151.3","147","147.1","-0.88 %","48,613.00"
"GHL","2024-04-28","150","151","148","148.4","0.20 %","48,387.00"
"GHL","2024-04-25","149.9","151","148","148.1","-0.60 %","55,116.00"
"GHL","2024-04-24","150.2","153","148.2","149","-0.67 %","39,109.00"
"GHL","2024-04-22","155","155","149","150","-2.60 %","47,696.00"
"GHL","2024-04-21","148","154","147","154","3.36 %","68,954.00"
"GHL","2024-04-18","150","151","148","149","-0.67 %","27,189.00"
"GHL","2024-04-16","150.5","152","149.1","150","-1.64 %","53,407.00"
"GHL","2024-04-15","155.5","155.5","152.5","152.5","-1.61 %","78,613.00"
"GHL","2024-04-14","153","156","151","155","1.24 %","112,114.00"
"GHL","2024-04-10","157.3","158","153","153.1","-1.23 %","96,351.00"
"GHL","2024-04-09","154","159","152.7","155","1.97 %","260,140.00"
"GHL","2024-04-07","150","152","149","152","1.33 %","87,366.00"
"GHL","2024-04-04","151.9","151.9","148","150","0.00 %","82,578.00"
"GHL","2024-04-03","150.5","152","148.6","150","-0.60 %","59,836.00"
"GHL","2024-04-02","149","153.9","149","150.9","-0.07 %","39,548.00"
"GHL","2024-04-01","152","154","150","151","-0.66 %","74,981.00"
