"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GIC","2022-07-13","367","373.5","365","370","0.84 %","3,360.00"
"GIC","2022-07-12","356","368","355","366.9","2.77 %","5,095.00"
"GIC","2022-07-11","381.5","381.5","350.1","357","-8.23 %","12,560.00"
"GIC","2022-07-08","391.1","391.1","382","389","-2.51 %","562.00"
"GIC","2022-07-07","404.1","408","392","399","-1.48 %","2,269.00"
"GIC","2022-07-06","392","405","383.3","405","2.79 %","1,110.00"
"GIC","2022-07-05","401.8","409","393","394","-3.90 %","2,725.00"
"GIC","2022-07-04","403","433","403","410","0.24 %","5,633.00"
"GIC","2022-07-03","395","412","387.1","409","3.54 %","2,300.00"
"GIC","2022-07-01","401","406","393","395","-3.42 %","1,689.00"
"GIC","2022-06-30","395","410","395","409","3.57 %","3,189.00"
"GIC","2022-06-29","388.6","395","375.5","394.9","3.65 %","3,516.00"
"GIC","2022-06-28","392","392","378","381","-4.75 %","2,070.00"
"GIC","2022-06-27","385.5","400","370.5","400","2.43 %","4,067.00"
"GIC","2022-06-26","362.1","390.5","350","390.5","10.00 %","5,218.00"
"GIC","2022-06-24","353","360","340","355","0.57 %","2,245.00"
"GIC","2022-06-23","370","370","352","353","-6.37 %","3,788.00"
"GIC","2022-06-22","383.2","385","377","377","-3.58 %","822.00"
"GIC","2022-06-21","370","395.3","370","391","4.18 %","2,720.00"
"GIC","2022-06-20","382","382","375","375.3","-3.02 %","1,416.00"
"GIC","2022-06-19","400","400","387","387","-3.73 %","1,507.00"
"GIC","2022-06-17","408","415","400","402","-1.47 %","651.00"
"GIC","2022-06-16","387.2","408","387.2","408","3.29 %","765.00"
"GIC","2022-06-15","392","403.9","390","395","-1.25 %","1,590.00"
"GIC","2022-06-14","401","409","395","400","-2.20 %","1,269.00"
"GIC","2022-06-13","404","410","399","409","-0.73 %","830.00"
"GIC","2022-06-10","409","414","401","412","-0.99 %","993.00"
"GIC","2022-06-09","420.1","435.2","416.1","416.1","-2.48 %","2,544.00"
"GIC","2022-06-08","397","426.7","397","426.7","5.36 %","3,208.00"
"GIC","2022-06-07","409","425.3","400","405","-2.88 %","2,232.00"
"GIC","2022-06-06","420.1","425","413","417","-1.65 %","1,970.00"
"GIC","2022-06-03","423.7","434.6","421.1","424","-1.90 %","1,720.00"
"GIC","2022-06-02","436.1","444.4","432.2","432.2","-2.66 %","2,535.00"
"GIC","2022-06-01","460","460","444","444","-2.20 %","3,666.00"
"GIC","2022-05-31","460","470","451","454","-2.58 %","3,309.00"
"GIC","2022-05-30","485","485","466","466","-2.92 %","2,401.00"
"GIC","2022-05-27","480","490","478.5","480","-0.62 %","2,112.00"
"GIC","2022-05-26","478","487","478","483","1.02 %","2,192.00"
"GIC","2022-05-25","480","484.9","476","478.1","0.65 %","5,673.00"
"GIC","2022-05-24","490","492","470","475","-2.66 %","16,507.00"
"GIC","2022-05-23","512","525","480.2","488","-2.79 %","18,756.00"
"GIC","2022-05-20","509","515","493","502","-3.28 %","10,216.00"
"GIC","2022-05-19","485","519","485","519","7.45 %","23,114.00"
"GIC","2022-05-18","466","495","460.1","483","0.02 %","5,923.00"
"GIC","2022-05-17","492","492","472","475","-5.00 %","3,952.00"
"GIC","2022-05-12","510","520","500","500","-2.91 %","4,173.00"
"GIC","2022-05-11","500","518","498","515","3.00 %","3,021.00"
"GIC","2022-05-10","490","503","488.4","500","2.04 %","2,779.00"
"GIC","2022-05-09","480","505","480","490","0.20 %","1,494.00"
"GIC","2022-05-08","486","489.1","477.3","489","-1.21 %","2,424.00"
"GIC","2022-05-05","497.9","504","491.2","495","-2.56 %","1,942.00"
"GIC","2022-05-04","510","522","505.1","508","-1.93 %","2,570.00"
"GIC","2022-05-02","528.7","528.8","517","518","-3.95 %","3,430.00"
"GIC","2022-04-28","536.1","546","536.1","539.3","-1.23 %","2,211.00"
"GIC","2022-04-27","558","558.1","542","546","-0.22 %","2,290.00"
"GIC","2022-04-26","548","557","540.1","547.2","-2.11 %","1,790.00"
"GIC","2022-04-25","564","571.2","546.1","559","-0.89 %","2,309.00"
"GIC","2022-04-24","516","564","516","564","9.28 %","3,948.00"
"GIC","2022-04-21","524","524","512","516.1","-3.33 %","2,254.00"
"GIC","2022-04-20","535","540","521.5","533.9","-1.68 %","2,401.00"
"GIC","2022-04-19","538","559.6","528","543","0.93 %","3,112.00"
"GIC","2022-04-18","550","550","533","538","-3.41 %","4,015.00"
"GIC","2022-04-17","562","564","545","557","-1.42 %","3,590.00"
"GIC","2022-04-13","557","575","557","565","-0.35 %","2,801.00"
"GIC","2022-04-12","563","567","555","567","-1.25 %","2,040.00"
"GIC","2022-04-11","580","600","574.2","574.2","-2.51 %","4,480.00"
"GIC","2022-04-07","572","590","572","589","2.97 %","2,931.00"
"GIC","2022-04-06","580.2","590","568.6","572","-1.41 %","5,404.00"
"GIC","2022-04-05","610","610","579","580.2","-5.69 %","9,624.00"
"GIC","2022-04-04","630","639.4","615.1","615.2","-1.88 %","3,011.00"
"GIC","2022-04-03","622.9","631","621","627","-0.48 %","2,646.00"
"GIC","2022-03-31","634.3","657","630","630","-2.63 %","3,565.00"
