"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GLBSL","2024-08-11","1850","1924.8","1825","1919","5.45 %","4,824.00"
"GLBSL","2024-08-08","1825.1","1887","1785","1819.9","-1.79 %","8,915.00"
"GLBSL","2024-08-07","1850","1890","1845.5","1853","0.43 %","1,700.00"
"GLBSL","2024-08-06","1860.1","1900","1823","1845","-2.12 %","2,736.00"
"GLBSL","2024-08-05","1899","1936","1866","1885","-0.74 %","3,943.00"
"GLBSL","2024-08-01","1930","1970","1882","1899","-1.61 %","4,559.00"
"GLBSL","2024-07-31","1999","1999","1915","1930","-1.53 %","7,584.00"
"GLBSL","2024-07-30","1988","1988","1912","1960","0.06 %","5,237.00"
"GLBSL","2024-07-29","2110","2152","1905","1958.9","-6.72 %","9,172.00"
"GLBSL","2024-07-28","2148","2277","2064","2100","-0.28 %","9,721.00"
"GLBSL","2024-07-25","2059","2140","2059","2106","4.05 %","7,074.00"
"GLBSL","2024-07-24","1915","2045","1901","2024","6.75 %","16,901.00"
"GLBSL","2024-07-23","1855","1918","1844","1896","1.12 %","12,157.00"
"GLBSL","2024-07-22","1910","1926.9","1873","1875","-0.79 %","3,411.00"
"GLBSL","2024-07-21","1890","1924.7","1880","1890","0.16 %","4,528.00"
"GLBSL","2024-07-18","1907","1925","1877.4","1887","0.91 %","6,111.00"
"GLBSL","2024-07-17","1890","1927.8","1856.1","1870","0.75 %","4,371.00"
"GLBSL","2024-07-16","1821","1887","1821","1856","1.92 %","2,726.00"
"GLBSL","2024-07-15","1912","1912","1821","1821","-2.88 %","3,973.00"
"GLBSL","2024-07-14","1907.4","1945","1864","1875","0.27 %","4,116.00"
"GLBSL","2024-07-11","1910","1920","1870","1870","-2.50 %","4,914.00"
"GLBSL","2024-07-10","1937","1999","1900","1918","0.95 %","6,286.00"
"GLBSL","2024-07-09","1800","1925","1750.1","1900","6.50 %","10,548.00"
"GLBSL","2024-07-08","1810","1810","1746.1","1784","-0.22 %","4,279.00"
"GLBSL","2024-07-07","1805.4","1805.4","1740","1788","1.02 %","2,880.00"
"GLBSL","2024-07-04","1806.4","1806.4","1750","1770","-0.06 %","4,094.00"
"GLBSL","2024-07-03","1740.7","1790","1740.7","1771","-0.23 %","541.00"
"GLBSL","2024-07-02","1785","1890","1760","1775","1.43 %","2,146.00"
"GLBSL","2024-07-01","1710.7","1753","1710.7","1750","0.57 %","1,025.00"
"GLBSL","2024-06-30","1730.2","1764.9","1730.2","1740","-1.19 %","3,336.00"
"GLBSL","2024-06-27","1789","1789","1761","1761","-1.57 %","2,398.00"
"GLBSL","2024-06-26","1810","1810","1761","1789","0.33 %","2,184.00"
"GLBSL","2024-06-25","1795","1818.6","1780","1783.1","0.01 %","6,325.00"
"GLBSL","2024-06-24","1794","1813","1782","1783","0.05 %","2,125.00"
"GLBSL","2024-06-23","1800","1800","1780","1782.1","-0.44 %","5,723.00"
"GLBSL","2024-06-20","1839","1839","1790","1790","-1.76 %","3,427.00"
"GLBSL","2024-06-19","1780.1","1840","1780.1","1822","0.39 %","1,554.00"
"GLBSL","2024-06-18","1869.9","1869.9","1800","1815","-1.89 %","7,087.00"
"GLBSL","2024-06-16","1878","1878","1775","1850","0.43 %","4,425.00"
"GLBSL","2024-06-13","1856","1879","1840","1842.1","-1.49 %","5,133.00"
"GLBSL","2024-06-12","1847.3","2037","1847.3","1870","-0.80 %","4,586.00"
"GLBSL","2024-06-11","1870","1898","1840","1885","-0.11 %","2,972.00"
"GLBSL","2024-06-10","1866.1","1924.9","1845","1887","-0.68 %","3,217.00"
"GLBSL","2024-06-09","1910","1917","1862","1900","1.06 %","3,651.00"
"GLBSL","2024-06-06","1872","1947.1","1870","1880","-1.52 %","7,092.00"
"GLBSL","2024-06-05","1905","1942","1885","1909","-0.52 %","3,993.00"
"GLBSL","2024-06-04","1901","1948","1877.1","1919","0.37 %","2,033.00"
"GLBSL","2024-06-03","1862","1930.8","1862","1912","1.00 %","3,132.00"
"GLBSL","2024-06-02","1830","1895","1830","1893","2.70 %","2,564.00"
"GLBSL","2024-05-30","1865","1893","1830","1843.2","-1.17 %","3,957.00"
"GLBSL","2024-05-29","1910","1924","1840","1865","-0.64 %","2,669.00"
"GLBSL","2024-05-27","1840","1948","1805","1877","0.11 %","4,851.00"
"GLBSL","2024-05-26","1897","1925","1875","1875","-2.85 %","4,667.00"
"GLBSL","2024-05-22","1980","1989","1844.8","1930","-3.45 %","3,669.00"
"GLBSL","2024-05-21","1880","2025","1880","1999","4.50 %","8,195.00"
"GLBSL","2024-05-20","1973","1998.9","1911","1913","-4.35 %","5,543.00"
"GLBSL","2024-05-19","2068.1","2114","1980","2000","-5.21 %","11,153.00"
"GLBSL","2024-05-16","2096.6","2138.5","2000","2110","-1.37 %","15,425.00"
"GLBSL","2024-05-15","2420","2420","2139.3","2139.3","-10.00 %","8,965.00"
"GLBSL","2024-05-14","2156","2377","2063","2377","8.05 %","19,397.00"
"GLBSL","2024-05-13","1964","2204","1964","2200","9.78 %","10,827.00"
"GLBSL","2024-05-12","2009","2088","1932.6","2004","-2.24 %","8,838.00"
"GLBSL","2024-05-09","1965","2160","1888","2050","2.27 %","24,117.00"
"GLBSL","2024-05-08","1910","2023","1910","2004.5","4.94 %","13,703.00"
"GLBSL","2024-05-07","1800","1945","1791","1910.1","4.66 %","4,883.00"
"GLBSL","2024-05-06","1839.5","2029","1802.8","1825","-2.77 %","5,311.00"
"GLBSL","2024-05-05","1907.1","1907.1","1847.3","1877","-3.55 %","2,794.00"
"GLBSL","2024-05-02","1940.4","1994.1","1860","1946","-1.72 %","2,763.00"
"GLBSL","2024-04-30","2077.6","2077.6","1916.5","1980","-6.60 %","9,233.00"
"GLBSL","2024-04-29","1930.6","2129","1900","2120","7.61 %","10,477.00"
"GLBSL","2024-04-28","1929.5","1998","1906","1970","0.06 %","3,806.00"
"GLBSL","2024-04-25","1910","1972.9","1910","1968.8","1.48 %","6,747.00"
"GLBSL","2024-04-24","1800","1941.5","1800","1940","9.92 %","15,237.00"
"GLBSL","2024-04-22","1715.1","1880","1715.1","1765","0.85 %","3,296.00"
"GLBSL","2024-04-21","1799.3","1871","1693.7","1750.1","-4.68 %","5,349.00"
"GLBSL","2024-04-18","1745","1872","1652.4","1836","0.00 %","11,579.00"
"GLBSL","2024-04-16","1857.5","1857.5","1705.9","1836","-3.13 %","7,643.00"
"GLBSL","2024-04-15","2063.9","2063.9","1895.4","1895.4","-10.00 %","565.00"
"GLBSL","2024-04-14","2386.8","2386.8","2106","2106","-10.00 %","713.00"
"GLBSL","2024-04-10","2128.6","2340","1956","2340","7.73 %","13,160.00"
"GLBSL","2024-04-09","2130.2","2259","1957","2172","-0.07 %","22,607.00"
"GLBSL","2024-04-07","1936.5","2173.6","1896","2173.6","10.00 %","18,536.00"
"GLBSL","2024-04-04","1760.9","1976","1760.9","1976","9.97 %","9,997.00"
"GLBSL","2024-04-03","1600.9","1796.8","1600.9","1796.8","10.00 %","15,658.00"
"GLBSL","2024-04-02","1456","1633.5","1456","1633.5","10.00 %","16,215.00"
"GLBSL","2024-04-01","1359","1485","1340","1485","10.00 %","16,490.00"
"GLBSL","2024-03-31","1317","1350","1317","1350","2.51 %","5,423.00"
"GLBSL","2024-03-28","1341.9","1359.9","1315.1","1317","-1.86 %","1,805.00"
"GLBSL","2024-03-27","1293.5","1355","1293","1341.9","1.81 %","1,337.00"
"GLBSL","2024-03-26","1351.5","1378.5","1316","1318","-0.53 %","2,306.00"
"GLBSL","2024-03-25","1396.5","1397","1320","1325","-7.01 %","7,310.00"
"GLBSL","2024-03-21","1476.9","1536","1383.1","1424.9","-5.45 %","14,168.00"
"GLBSL","2024-03-20","1343.4","1507","1276","1507","9.94 %","5,994.00"
"GLBSL","2024-03-19","1323","1407","1281","1370.8","1.54 %","3,155.00"
"GLBSL","2024-03-18","1314.2","1449","1238","1350","0.67 %","5,426.00"
"GLBSL","2024-03-17","1199.6","1341","1133","1341","9.56 %","5,563.00"
"GLBSL","2024-03-14","1100","1224.8","1080","1224","9.92 %","5,047.00"
"GLBSL","2024-03-13","1036","1136","1036","1113.5","7.48 %","5,344.00"
"GLBSL","2024-03-12","996","1058","996","1036","4.23 %","2,284.00"
"GLBSL","2024-03-10","970.5","994","962","994","4.46 %","1,337.00"
"GLBSL","2024-03-07","969","969","933","951.6","0.17 %","900.00"
"GLBSL","2024-03-06","975.1","975.1","932","950","-4.52 %","627.00"
"GLBSL","2024-03-05","915","995","911","995","8.73 %","1,770.00"
"GLBSL","2024-03-04","915.1","915.1","915.1","915.1","2.00 %","10.00"
"GLBSL","2024-03-03","897","898","897","897.2","-1.95 %","109.00"
"GLBSL","2024-02-29","914","915","900","915","0.11 %","1,128.00"
"GLBSL","2024-02-28","952.6","952.6","914","914","-5.97 %","291.00"
"GLBSL","2024-02-27","900","972","891","972","8.00 %","1,542.00"
"GLBSL","2024-02-26","900","972","890","900","0.00 %","1,028.00"
"GLBSL","2024-02-25","897","913.5","897","900","0.45 %","787.00"
"GLBSL","2024-02-22","907.8","925.9","892","896","0.67 %","249.00"
"GLBSL","2024-02-21","920","920","883.6","890","-3.26 %","388.00"
"GLBSL","2024-02-20","890","974.9","890","920","3.32 %","1,379.00"
"GLBSL","2024-02-18","908.5","927.1","890.4","890.4","-3.95 %","737.00"
"GLBSL","2024-02-15","930","975","925","927","-1.70 %","737.00"
"GLBSL","2024-02-14","959.5","963","943","943","-3.68 %","1,616.00"
"GLBSL","2024-02-13","1105","1105","975.8","979","-9.70 %","6,014.00"
"GLBSL","2024-02-12","983.5","1084.2","965","1084.2","8.10 %","4,702.00"
"GLBSL","2024-02-11","1058.4","1100","981","1003","-7.13 %","5,184.00"
"GLBSL","2024-02-08","1054.6","1096","973","1080","0.39 %","6,523.00"
"GLBSL","2024-02-07","964.9","1075.8","912","1075.8","10.00 %","3,104.00"
"GLBSL","2024-02-06","890","978","866","978","9.42 %","4,531.00"
"GLBSL","2024-02-05","845","912","831","893.8","7.69 %","1,540.00"
"GLBSL","2024-02-04","810","830","810","830","0.63 %","756.00"
"GLBSL","2024-02-01","827","833","810.5","824.8","-1.93 %","844.00"
"GLBSL","2024-01-31","869.5","869.5","839","841","-4.32 %","904.00"
"GLBSL","2024-01-30","911.4","947.9","871","879","-5.48 %","494.00"
"GLBSL","2024-01-29","916.3","930","863","930","-0.52 %","2,382.00"
