"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GUFL","2024-08-11","831.3","847","815","840","3.07 %","97,966.00"
"GUFL","2024-08-08","863","863","815","815","-3.89 %","87,322.00"
"GUFL","2024-08-07","776.5","870","745.8","848","7.03 %","140,199.00"
"GUFL","2024-08-06","865","870","792.3","792.3","-10.00 %","250,116.00"
"GUFL","2024-08-05","931","932.9","880.3","880.3","-5.45 %","182,455.00"
"GUFL","2024-08-01","875.1","943.8","875.1","931","8.51 %","233,614.00"
"GUFL","2024-07-31","781","858","781","858","10.00 %","173,974.00"
"GUFL","2024-07-30","770","795","756.6","780","2.36 %","140,000.00"
"GUFL","2024-07-29","775","786","761","762","-1.68 %","92,753.00"
"GUFL","2024-07-28","785.4","799","744","775","0.65 %","67,123.00"
"GUFL","2024-07-25","784","788","760","770","0.13 %","80,657.00"
"GUFL","2024-07-24","779","799","760","769","-0.79 %","109,796.00"
"GUFL","2024-07-23","762","779","758","775.1","2.66 %","76,787.00"
"GUFL","2024-07-22","756","770","743.5","755","0.00 %","80,471.00"
"GUFL","2024-07-21","755","773.9","740","755","0.48 %","131,346.00"
"GUFL","2024-07-18","762","775","751.2","751.4","-0.78 %","88,983.00"
"GUFL","2024-07-17","744.5","772","726","757.3","1.94 %","87,353.00"
"GUFL","2024-07-16","706.1","754","706.1","742.9","3.18 %","69,515.00"
"GUFL","2024-07-15","750.3","750.3","718","720","-2.12 %","47,245.00"
"GUFL","2024-07-14","743.5","758","721.3","735.6","0.91 %","43,428.00"
"GUFL","2024-07-11","710","739","701","729","4.16 %","96,658.00"
"GUFL","2024-07-10","707","710","698","699.9","0.39 %","46,320.00"
"GUFL","2024-07-09","694.2","706.9","694.2","697.2","0.03 %","32,717.00"
"GUFL","2024-07-08","709.9","710.1","695","697","-0.44 %","58,770.00"
"GUFL","2024-07-07","710.5","714","700.1","700.1","-1.46 %","42,944.00"
"GUFL","2024-07-04","738","738","710.5","710.5","-2.27 %","61,645.00"
"GUFL","2024-07-03","700","735","692","727","3.41 %","84,106.00"
"GUFL","2024-07-02","710.8","740","700.1","703","0.88 %","43,786.00"
"GUFL","2024-07-01","692","712","692","696.9","-0.44 %","31,571.00"
"GUFL","2024-06-30","710","717.9","698","700","-1.55 %","43,110.00"
"GUFL","2024-06-27","717.4","744","710","711","-2.87 %","68,000.00"
"GUFL","2024-06-26","729.2","760","729.2","732","-1.61 %","72,413.00"
"GUFL","2024-06-25","754.6","775","740","744","-3.36 %","83,904.00"
"GUFL","2024-06-24","765.4","790.5","755.1","769.9","-1.42 %","107,114.00"
"GUFL","2024-06-23","779","798.6","775","781","0.79 %","109,737.00"
"GUFL","2024-06-20","758","793","750","774.9","3.32 %","112,673.00"
"GUFL","2024-06-19","736.7","758","728","750","1.81 %","129,003.00"
"GUFL","2024-06-18","720","745","715.2","736.7","1.06 %","102,035.00"
"GUFL","2024-06-16","735","745.5","720","729","-1.47 %","63,411.00"
"GUFL","2024-06-13","740","747.5","711.5","739.9","0.94 %","80,523.00"
"GUFL","2024-06-12","731","744.5","725","733","0.27 %","75,199.00"
"GUFL","2024-06-11","703","739.5","695","731","5.64 %","128,856.00"
"GUFL","2024-06-10","657","704","646","692","7.12 %","99,039.00"
"GUFL","2024-06-09","660","665","645","646","-1.43 %","45,107.00"
"GUFL","2024-06-06","668.1","673","655","655.4","-1.89 %","40,441.00"
"GUFL","2024-06-05","670.1","679.9","668","668","-0.30 %","30,061.00"
"GUFL","2024-06-04","670","671.9","663.2","670","0.30 %","27,244.00"
"GUFL","2024-06-03","679","679","665.3","668","-0.22 %","40,976.00"
"GUFL","2024-06-02","666","675","660.1","669.5","1.90 %","59,114.00"
"GUFL","2024-05-30","676.9","676.9","653","657","-1.93 %","45,855.00"
"GUFL","2024-05-29","685","685.3","660","669.9","-0.31 %","47,225.00"
"GUFL","2024-05-27","665.1","680","665","672","0.16 %","44,813.00"
"GUFL","2024-05-26","673","678","668","670.9","-0.01 %","38,820.00"
"GUFL","2024-05-22","690","693","670.4","671","-2.04 %","70,854.00"
"GUFL","2024-05-21","670.9","693.6","670","685","2.24 %","66,176.00"
"GUFL","2024-05-20","670","696","668.1","670","-1.90 %","72,783.00"
"GUFL","2024-05-19","706.8","706.8","683","683","-1.44 %","68,364.00"
"GUFL","2024-05-16","693.9","718","687","693","-2.12 %","82,143.00"
"GUFL","2024-05-15","700.3","715.8","700.3","708","-0.91 %","47,687.00"
"GUFL","2024-05-14","699","717","699","714.5","0.18 %","35,815.00"
"GUFL","2024-05-13","699.1","719.1","699.1","713.2","0.03 %","85,980.00"
"GUFL","2024-05-12","725.2","725.2","690","713","0.28 %","61,527.00"
"GUFL","2024-05-09","688.9","730","688.9","711","1.15 %","85,563.00"
"GUFL","2024-05-08","690","705.8","681.5","702.9","3.67 %","81,824.00"
"GUFL","2024-05-07","713","713","677.6","678","-3.14 %","59,810.00"
"GUFL","2024-05-06","712.1","729","700","700","-2.78 %","89,365.00"
"GUFL","2024-05-05","711","734","711","720","-0.69 %","86,171.00"
"GUFL","2024-05-02","711","743.6","680","725","1.97 %","223,183.00"
"GUFL","2024-04-30","745.1","746","710","711","-4.58 %","224,124.00"
"GUFL","2024-04-29","760","762","741","745.1","-1.99 %","121,068.00"
"GUFL","2024-04-28","785.4","785.4","760.1","760.2","-1.27 %","111,346.00"
"GUFL","2024-04-25","775","794.5","757","770","0.14 %","103,424.00"
"GUFL","2024-04-24","770.1","770.1","740.1","768.9","1.84 %","110,945.00"
"GUFL","2024-04-22","771.4","827","754.6","755","-4.08 %","150,131.00"
"GUFL","2024-04-21","804","805","765.6","787.1","-4.01 %","129,366.00"
"GUFL","2024-04-18","844.9","845","819.2","820","-9.39 %","218,705.00"
"GUFL","2024-04-16","823","905.3","800","905","9.96 %","212,626.00"
"GUFL","2024-04-15","812","845.4","812","823","-0.66 %","75,837.00"
"GUFL","2024-04-14","799.7","831","799.7","828.5","1.53 %","62,527.00"
"GUFL","2024-04-10","835","854.8","812.2","816","-4.23 %","133,529.00"
"GUFL","2024-04-09","901.5","901.5","850","852","-3.62 %","186,879.00"
"GUFL","2024-04-07","854.9","885.3","854.9","884","3.40 %","220,985.00"
"GUFL","2024-04-04","853","930.2","846","854.9","-1.72 %","270,698.00"
"GUFL","2024-04-03","862.4","877","845.3","869.9","-1.15 %","136,836.00"
"GUFL","2024-04-02","853","904","850","880","1.16 %","173,197.00"
"GUFL","2024-04-01","861.5","877","855","869.9","-1.04 %","115,371.00"
"GUFL","2024-03-31","881","888","860.2","879","-0.11 %","144,150.00"
"GUFL","2024-03-28","840.9","890","833","880","2.56 %","186,907.00"
"GUFL","2024-03-27","860.6","870","820.1","858","-2.28 %","69,174.00"
"GUFL","2024-03-26","854.6","878","838.1","878","0.69 %","93,160.00"
"GUFL","2024-03-25","837.9","922.7","790","872","1.99 %","343,485.00"
"GUFL","2024-03-21","927.1","927.1","852","855","-9.62 %","327,548.00"
"GUFL","2024-03-20","850","946","820.5","946","10.00 %","139,705.00"
"GUFL","2024-03-19","846.3","930","783.1","860","-0.41 %","190,766.00"
"GUFL","2024-03-18","800","863.5","775.1","863.5","10.00 %","292,380.00"
"GUFL","2024-03-17","750","785","750","785","4.67 %","136,140.00"
"GUFL","2024-03-14","755","830","728","750","-0.66 %","168,293.00"
"GUFL","2024-03-13","713","767","695","755","7.55 %","190,425.00"
"GUFL","2024-03-12","684.4","713.8","662","702","4.62 %","134,207.00"
"GUFL","2024-03-10","654","674","645","671","2.60 %","101,983.00"
"GUFL","2024-03-07","670","670","643","654","-2.10 %","120,326.00"
"GUFL","2024-03-06","605.9","668","585","668","8.09 %","99,214.00"
"GUFL","2024-03-05","625","625","596","618","-0.96 %","92,213.00"
"GUFL","2024-03-04","591.7","627.3","591.7","624","7.57 %","1,300.00"
"GUFL","2024-03-03","575","595","575","580.1","-0.50 %","23,695.00"
"GUFL","2024-02-29","618","619.9","580","583","-5.05 %","57,875.00"
"GUFL","2024-02-28","628","628","614","614","-2.23 %","36,112.00"
"GUFL","2024-02-27","621.2","636.4","610","628","1.78 %","49,522.00"
"GUFL","2024-02-26","664.9","664.9","615","617","-5.35 %","99,486.00"
"GUFL","2024-02-25","620","668.3","620","651.9","5.16 %","165,634.00"
"GUFL","2024-02-22","577.3","647.9","577.3","619.9","5.25 %","225,994.00"
"GUFL","2024-02-21","562","590.5","562","589","2.79 %","39,680.00"
"GUFL","2024-02-20","558.6","581","558.6","573","0.53 %","28,511.00"
"GUFL","2024-02-18","578.2","581","567.3","570","-2.40 %","34,801.00"
"GUFL","2024-02-15","609","615","580.1","584","-3.63 %","56,571.00"
"GUFL","2024-02-14","562.1","619","562","606","7.26 %","208,840.00"
"GUFL","2024-02-13","565","574.9","560","565","-0.88 %","32,650.00"
"GUFL","2024-02-12","565","571","565","570","1.79 %","21,952.00"
"GUFL","2024-02-11","574","576","560","560","-0.88 %","6,907.00"
"GUFL","2024-02-08","558","569","558","565","-0.18 %","13,808.00"
"GUFL","2024-02-07","562","573","558","566","-0.53 %","17,875.00"
"GUFL","2024-02-06","550.1","570","550.1","569","1.61 %","16,740.00"
"GUFL","2024-02-05","549.4","566","549.4","560","0.38 %","20,859.00"
"GUFL","2024-02-04","540.5","563","540.5","557.9","1.70 %","14,486.00"
"GUFL","2024-02-01","551.2","565","548.1","548.6","-0.89 %","33,671.00"
"GUFL","2024-01-31","555.1","574","553","553.5","-1.79 %","17,519.00"
"GUFL","2024-01-30","557","573","557","563.6","0.25 %","9,331.00"
"GUFL","2024-01-29","566","577","557","562.2","0.39 %","18,328.00"
"GUFL","2024-01-28","563.9","563.9","555.1","560","0.18 %","5,549.00"
"GUFL","2024-01-25","547.8","575","547.8","559","0.02 %","22,132.00"
"GUFL","2024-01-24","554","571.1","554","558.9","-0.20 %","20,287.00"
"GUFL","2024-01-23","550","569","550","560","0.36 %","17,756.00"
