"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GVL","2024-08-11","614","635","608.1","622","1.30 %","72,281.00"
"GVL","2024-08-08","614.9","627.1","609","614","-2.07 %","36,024.00"
"GVL","2024-08-07","605","630","592","627","3.64 %","39,211.00"
"GVL","2024-08-06","625","638.9","600","605","-3.94 %","63,272.00"
"GVL","2024-08-05","625.7","632","601","629.8","2.66 %","66,094.00"
"GVL","2024-08-01","635","640","612","613.5","-3.08 %","58,858.00"
"GVL","2024-07-31","645.2","653","625","633","-1.86 %","78,474.00"
"GVL","2024-07-30","636","653.8","624","645","1.74 %","100,171.00"
"GVL","2024-07-29","610","639","605","634","4.24 %","214,686.00"
"GVL","2024-07-28","622.2","656.8","608","608.2","-0.30 %","37,716.00"
"GVL","2024-07-25","611","624.7","604.7","610","-1.61 %","52,525.00"
"GVL","2024-07-24","633","635","616.3","620","-2.05 %","50,216.00"
"GVL","2024-07-23","618","655","618","633","0.48 %","105,474.00"
"GVL","2024-07-22","645","649","622","630","-2.58 %","61,068.00"
"GVL","2024-07-21","678","678","627.2","646.7","-3.78 %","82,759.00"
"GVL","2024-07-18","669","699.9","613","672.1","0.46 %","163,912.00"
"GVL","2024-07-17","649","669","620.6","669","3.08 %","121,615.00"
"GVL","2024-07-16","632.1","657.5","608","649","0.62 %","99,171.00"
"GVL","2024-07-15","632.4","645","583.5","645","4.03 %","97,143.00"
"GVL","2024-07-14","591","627","568.5","620","5.08 %","99,775.00"
"GVL","2024-07-11","600","636.4","575.8","590","-1.67 %","130,647.00"
"GVL","2024-07-10","587.1","623","577","600","0.17 %","31,241.00"
"GVL","2024-07-09","570.1","599.7","566.5","599","3.08 %","25,319.00"
"GVL","2024-07-08","589","589","567.6","581.1","0.54 %","23,981.00"
"GVL","2024-07-07","600","600","574.3","578","-2.20 %","25,625.00"
"GVL","2024-07-04","600","600","578","591","-0.51 %","25,255.00"
"GVL","2024-07-03","600.8","600.8","582","594","0.34 %","22,511.00"
"GVL","2024-07-02","599.6","635.4","580","592","0.70 %","48,007.00"
"GVL","2024-07-01","593.8","593.8","574","587.9","0.98 %","39,428.00"
"GVL","2024-06-30","596","605","582.2","582.2","-4.24 %","33,132.00"
"GVL","2024-06-27","621.6","624","595","608","-0.25 %","39,005.00"
"GVL","2024-06-26","588","609.5","585.2","609.5","2.09 %","111,110.00"
"GVL","2024-06-25","595","605","587","597","0.17 %","86,635.00"
"GVL","2024-06-24","576","596.8","554","596","5.49 %","136,034.00"
"GVL","2024-06-23","580","580","557.1","565","-2.25 %","60,584.00"
"GVL","2024-06-20","550","578","545.2","578","5.09 %","63,470.00"
"GVL","2024-06-19","548.8","560","545","550","0.22 %","29,297.00"
"GVL","2024-06-18","544","565","544","548.8","-1.12 %","41,662.00"
"GVL","2024-06-16","562","572","546","555","-1.28 %","57,237.00"
"GVL","2024-06-13","563","575","558.7","562.2","-1.37 %","69,322.00"
"GVL","2024-06-12","598","598","561","570","-2.78 %","75,113.00"
"GVL","2024-06-11","522.4","586.3","515","586.3","10.00 %","145,197.00"
"GVL","2024-06-10","501","533","497","533","6.81 %","175,272.00"
"GVL","2024-06-09","508","508","488","499","-1.19 %","85,895.00"
"GVL","2024-06-06","500","506.9","491.1","505","1.00 %","75,393.00"
"GVL","2024-06-05","500","502.8","486","500","0.60 %","54,126.00"
"GVL","2024-06-04","508","518","496.9","497","-2.17 %","90,506.00"
"GVL","2024-06-03","475.3","508.6","475.3","508","4.74 %","249,198.00"
"GVL","2024-06-02","474.3","485","452.1","485","4.30 %","96,453.00"
"GVL","2024-05-30","427","465","427","465","6.90 %","25,974.00"
"GVL","2024-05-29","447.7","455","433.2","435","-0.91 %","23,857.00"
"GVL","2024-05-27","430","440","430","439","0.23 %","12,196.00"
"GVL","2024-05-26","440","444","427.5","438","-1.35 %","18,263.00"
"GVL","2024-05-22","445.8","456","444","444","-2.37 %","12,634.00"
"GVL","2024-05-21","457","458","445","454.8","1.29 %","18,404.00"
"GVL","2024-05-20","440","460","440","449","0.67 %","10,357.00"
"GVL","2024-05-19","450.3","450.3","432.7","446","1.02 %","8,469.00"
"GVL","2024-05-16","441","449","436.7","441.5","-0.56 %","8,287.00"
"GVL","2024-05-15","443.1","460","441.4","444","-1.77 %","4,360.00"
"GVL","2024-05-14","433.5","453","433.5","452","4.15 %","32,158.00"
