"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HATHY","2024-08-11","1601.4","1626","1570","1578","0.51 %","90,835.00"
"HATHY","2024-08-08","1670","1710","1563.1","1570","-4.56 %","127,178.00"
"HATHY","2024-08-07","1600","1698","1575","1645","2.63 %","116,558.00"
"HATHY","2024-08-06","1816","1816","1602.9","1602.9","-10.00 %","200,293.00"
"HATHY","2024-08-05","1652.4","1781","1631","1781","9.94 %","163,637.00"
"HATHY","2024-08-01","1672.8","1729","1565","1620","-1.22 %","197,986.00"
"HATHY","2024-07-31","1580","1737.5","1580","1640","3.82 %","144,625.00"
"HATHY","2024-07-30","1436.9","1580.5","1430","1579.6","9.93 %","107,565.00"
"HATHY","2024-07-29","1381.1","1480","1350","1436.9","6.11 %","145,616.00"
"HATHY","2024-07-28","1255.6","1354.1","1230.5","1354.1","10.00 %","212,001.00"
"HATHY","2024-07-25","1285.2","1297","1216.1","1231","-2.30 %","102,097.00"
"HATHY","2024-07-24","1210","1305.5","1210","1260","6.16 %","175,829.00"
"HATHY","2024-07-23","1070","1186.9","1070","1186.9","10.00 %","100,641.00"
"HATHY","2024-07-22","1076","1091","1058","1079","0.28 %","84,035.00"
"HATHY","2024-07-21","1090","1100","1059","1076","-0.37 %","79,354.00"
"HATHY","2024-07-18","1079","1119","1056","1080","1.22 %","116,913.00"
"HATHY","2024-07-17","1004.2","1078","1004.2","1067","4.14 %","99,977.00"
"HATHY","2024-07-16","1013","1045","1011","1024.6","1.15 %","57,867.00"
"HATHY","2024-07-15","1050","1050","1012","1013","-1.65 %","87,437.00"
"HATHY","2024-07-14","1040.4","1080","1023","1030","0.98 %","70,746.00"
"HATHY","2024-07-11","1038.9","1045","1014","1020","-0.34 %","76,776.00"
"HATHY","2024-07-10","989","1033.8","989","1023.5","3.91 %","148,103.00"
"HATHY","2024-07-09","945","985","940","985","3.79 %","92,026.00"
"HATHY","2024-07-08","970","970","945","949","-1.15 %","41,376.00"
"HATHY","2024-07-07","930","969","930","960","3.56 %","91,842.00"
"HATHY","2024-07-04","930.1","949","926","927","0.22 %","38,906.00"
"HATHY","2024-07-03","933","933.8","916","925","-0.86 %","17,142.00"
"HATHY","2024-07-02","924","970","924","933","0.97 %","46,607.00"
"HATHY","2024-07-01","917.1","932","913.2","924","0.64 %","20,116.00"
"HATHY","2024-06-30","906.2","937.3","906.2","918.1","-0.10 %","43,495.00"
"HATHY","2024-06-27","920","937","915","919","-0.86 %","33,542.00"
"HATHY","2024-06-26","944","962","923.1","927","-2.11 %","83,888.00"
"HATHY","2024-06-25","885.1","955","885.1","947","6.64 %","91,062.00"
