"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HLBSL","2024-08-11","1060.8","1136","1058.5","1136","9.23 %","55,919.00"
"HLBSL","2024-08-08","1086.3","1098","1020","1040","-2.35 %","36,488.00"
"HLBSL","2024-08-07","1040","1080","1040","1065","0.47 %","32,494.00"
"HLBSL","2024-08-06","1180.6","1180.6","1045","1060","-8.42 %","66,503.00"
"HLBSL","2024-08-05","1228","1250","1127.7","1157.5","-7.62 %","83,454.00"
"HLBSL","2024-08-01","1305","1309","1225","1253","-2.42 %","38,567.00"
"HLBSL","2024-07-31","1259","1335","1235","1284.1","1.99 %","83,054.00"
"HLBSL","2024-07-30","1297.9","1297.9","1247","1259","-1.10 %","38,351.00"
"HLBSL","2024-07-29","1330","1333","1263","1273","-4.29 %","47,520.00"
"HLBSL","2024-07-28","1390","1447","1296","1330","-2.56 %","41,206.00"
"HLBSL","2024-07-25","1265","1385","1265","1365","6.06 %","62,411.00"
"HLBSL","2024-07-24","1257.4","1290","1257.4","1287","0.31 %","34,724.00"
"HLBSL","2024-07-23","1275","1299.9","1275","1283","-1.08 %","35,749.00"
"HLBSL","2024-07-22","1300","1300","1276","1297","0.62 %","26,552.00"
"HLBSL","2024-07-21","1316","1340","1270","1289","-2.05 %","39,554.00"
"HLBSL","2024-07-18","1302.5","1355","1302.5","1316","-0.98 %","52,429.00"
"HLBSL","2024-07-17","1310","1360","1302","1329","-0.45 %","22,628.00"
"HLBSL","2024-07-16","1255","1340","1255","1335","4.30 %","46,836.00"
"HLBSL","2024-07-15","1255","1293","1255","1280","0.07 %","21,755.00"
"HLBSL","2024-07-14","1282.1","1359","1267","1279.1","1.76 %","22,493.00"
"HLBSL","2024-07-11","1250","1298","1250","1257","-1.02 %","24,121.00"
"HLBSL","2024-07-10","1260","1300","1260","1270","-0.63 %","24,060.00"
"HLBSL","2024-07-09","1235","1294","1235","1278","1.59 %","29,960.00"
"HLBSL","2024-07-08","1241","1282.1","1241","1258","-0.63 %","8,270.00"
"HLBSL","2024-07-07","1265","1285","1256.1","1266","0.00 %","16,692.00"
"HLBSL","2024-07-04","1270","1319","1260","1266","-2.13 %","15,323.00"
"HLBSL","2024-07-03","1300","1314","1274","1293.5","-1.49 %","67,279.00"
"HLBSL","2024-07-02","1312.5","1399.9","1288","1313","2.02 %","33,930.00"
"HLBSL","2024-07-01","1290","1299","1283","1287","-0.92 %","16,692.00"
"HLBSL","2024-06-30","1274","1310","1274","1298.9","-0.08 %","20,833.00"
"HLBSL","2024-06-27","1300","1313","1287.1","1300","-1.14 %","15,031.00"
"HLBSL","2024-06-26","1300","1318.6","1297","1315","-0.45 %","31,315.00"
"HLBSL","2024-06-25","1273","1333.1","1273","1321","1.77 %","34,536.00"
"HLBSL","2024-06-24","1220.6","1298","1220.6","1298","4.22 %","29,720.00"
"HLBSL","2024-06-23","1245","1315","1245","1245.5","-1.93 %","38,278.00"
"HLBSL","2024-06-20","1300","1345","1252","1270","-3.71 %","36,807.00"
"HLBSL","2024-06-19","1300","1406","1274","1319","0.38 %","57,652.00"
"HLBSL","2024-06-18","1314","1333","1290.7","1314","-1.94 %","56,500.00"
"HLBSL","2024-06-16","1275","1345","1272","1340","3.40 %","65,965.00"
"HLBSL","2024-06-13","1305","1384","1284.1","1296","-2.41 %","26,382.00"
"HLBSL","2024-06-12","1308.3","1388","1302","1328","-0.52 %","43,254.00"
"HLBSL","2024-06-11","1313.2","1350","1313.2","1335","-0.37 %","33,421.00"
"HLBSL","2024-06-10","1301","1349.4","1286","1340","1.52 %","75,322.00"
"HLBSL","2024-06-09","1333","1338","1287","1320","-2.94 %","55,226.00"
"HLBSL","2024-06-06","1370","1446.2","1324","1360","-2.65 %","75,971.00"
"HLBSL","2024-06-05","1353","1410","1341","1397","1.23 %","47,165.00"
"HLBSL","2024-06-04","1255","1380","1255","1380","7.82 %","71,386.00"
"HLBSL","2024-06-03","1221.1","1290","1197","1279.9","6.91 %","80,956.00"
"HLBSL","2024-06-02","1210","1218","1194","1197.2","-0.23 %","32,392.00"
"HLBSL","2024-05-30","1180","1224","1180","1200","0.00 %","52,533.00"
"HLBSL","2024-05-29","1205","1220","1181.1","1200","-1.88 %","39,043.00"
"HLBSL","2024-05-27","1184.9","1238.9","1184.9","1223","1.16 %","52,210.00"
"HLBSL","2024-05-26","1201.2","1223","1181","1209","-1.06 %","64,866.00"
"HLBSL","2024-05-22","1247.5","1259","1176","1222","-4.00 %","33,427.00"
"HLBSL","2024-05-21","1136.8","1272.9","1136.8","1272.9","9.73 %","78,377.00"
"HLBSL","2024-05-20","1130","1160","1069.2","1160","0.87 %","88,775.00"
"HLBSL","2024-05-19","1060.1","1166.4","1040","1150","8.45 %","61,087.00"
"HLBSL","2024-05-16","973","1060.4","949","1060.4","10.00 %","71,638.00"
"HLBSL","2024-05-15","951","978","931.5","964","1.58 %","30,394.00"
"HLBSL","2024-05-14","882.3","951.5","857","949","9.71 %","67,484.00"
"HLBSL","2024-05-13","872.1","872.1","846","865","1.17 %","11,869.00"
"HLBSL","2024-05-12","861.9","870","814.2","855","1.18 %","32,215.00"
"HLBSL","2024-05-09","870","886","825","845","-3.44 %","26,860.00"
"HLBSL","2024-05-08","870","890","858.1","875.1","2.15 %","28,447.00"
"HLBSL","2024-05-07","763.5","856.7","763.5","856.7","9.99 %","63,490.00"
"HLBSL","2024-05-06","794","797","775","778.9","-3.83 %","8,697.00"
"HLBSL","2024-05-05","801","850","772.2","809.9","3.04 %","30,844.00"
"HLBSL","2024-05-02","744","800","743.9","786","7.67 %","26,431.00"
"HLBSL","2024-04-30","718","739","697","730","0.14 %","4,821.00"
"HLBSL","2024-04-29","694.9","750","681.1","729","2.82 %","2,605.00"
"HLBSL","2024-04-28","690","727","683.3","709","3.35 %","3,054.00"
"HLBSL","2024-04-25","714","714","686","686","-2.00 %","1,929.00"
"HLBSL","2024-04-24","694.1","713","694.1","700","-0.14 %","5,099.00"
"HLBSL","2024-04-22","730","730","690.1","701","-4.74 %","4,575.00"
"HLBSL","2024-04-21","720","736","701","735.9","1.94 %","6,252.00"
"HLBSL","2024-04-18","728","735","712.2","721.9","-1.58 %","4,725.00"
"HLBSL","2024-04-16","750","750","733.1","733.5","-1.15 %","9,215.00"
"HLBSL","2024-04-15","759","774","735","742","-0.32 %","7,311.00"
"HLBSL","2024-04-14","712.1","754","712.1","744.4","2.68 %","2,045.00"
"HLBSL","2024-04-10","730","735","724.1","725","-1.63 %","5,191.00"
"HLBSL","2024-04-09","745.6","751","731","737","0.82 %","5,358.00"
"HLBSL","2024-04-07","761","776","726","731","-2.04 %","15,764.00"
"HLBSL","2024-04-04","741.9","769","729","746.2","2.50 %","23,242.00"
"HLBSL","2024-04-03","714.3","734","710","728","3.59 %","12,546.00"
"HLBSL","2024-04-02","694.9","718","694","702.8","2.58 %","9,525.00"
"HLBSL","2024-04-01","677.1","698.9","677.1","685.1","-0.67 %","7,122.00"
"HLBSL","2024-03-31","690","695","676","689.7","0.20 %","3,680.00"
"HLBSL","2024-03-28","700","700","686.1","688.3","-0.25 %","5,345.00"
"HLBSL","2024-03-27","707","707","688","690","-0.59 %","11,562.00"
"HLBSL","2024-03-26","688","700","680","694.1","2.37 %","18,975.00"
"HLBSL","2024-03-25","695","695","672.5","678","-2.87 %","23,812.00"
"HLBSL","2024-03-21","726","726.9","677.2","698","-3.86 %","18,153.00"
"HLBSL","2024-03-20","704","746.9","691.1","726","2.96 %","26,609.00"
"HLBSL","2024-03-19","650","711","650","705.1","8.48 %","48,698.00"
"HLBSL","2024-03-18","635","650","624","650","2.85 %","18,639.00"
"HLBSL","2024-03-17","641","641","624","632","-0.16 %","8,880.00"
"HLBSL","2024-03-14","626","642","613.5","633","-0.63 %","15,121.00"
"HLBSL","2024-03-13","644.9","644.9","625","637","-0.33 %","11,683.00"
"HLBSL","2024-03-12","616","644","608","639.1","5.81 %","13,637.00"
"HLBSL","2024-03-10","580","628","571","604","4.32 %","8,586.00"
"HLBSL","2024-03-07","570","580","566.5","579","1.58 %","2,037.00"
"HLBSL","2024-03-06","563.1","574.3","559","570","1.42 %","1,332.00"
"HLBSL","2024-03-05","572","572","557","562","-3.60 %","1,050.00"
"HLBSL","2024-03-04","562","584","562","583","4.27 %","295.00"
"HLBSL","2024-03-03","563.9","563.9","545.1","559.1","1.10 %","2,482.00"
"HLBSL","2024-02-29","556.5","557","547","553","-2.12 %","2,060.00"
"HLBSL","2024-02-28","580","580","559","565","-0.69 %","1,359.00"
"HLBSL","2024-02-27","566","569","560","568.9","0.51 %","2,562.00"
"HLBSL","2024-02-26","578.5","585","555","566","-0.35 %","1,170.00"
"HLBSL","2024-02-25","560","581.4","559","568","-0.35 %","2,240.00"
"HLBSL","2024-02-22","590","600","560","570","-3.41 %","13,595.00"
"HLBSL","2024-02-21","579","638","578.2","590.1","0.03 %","3,584.00"
"HLBSL","2024-02-20","576","619","576","589.9","0.99 %","1,302.00"
"HLBSL","2024-02-18","582.2","595","580","584.1","-1.17 %","1,706.00"
"HLBSL","2024-02-15","594","604","591","591","-2.31 %","1,994.00"
"HLBSL","2024-02-14","600","653","585","605","1.68 %","2,972.00"
"HLBSL","2024-02-13","595","600","594","595","-1.36 %","2,163.00"
"HLBSL","2024-02-12","607","609","597","603.2","-0.63 %","2,609.00"
"HLBSL","2024-02-11","600.1","612","596","607","0.50 %","5,192.00"
"HLBSL","2024-02-08","605","612","595","604","0.00 %","3,892.00"
"HLBSL","2024-02-07","610.9","610.9","599","604","0.67 %","820.00"
"HLBSL","2024-02-06","588","640","588","600","0.98 %","6,030.00"
"HLBSL","2024-02-05","604.9","604.9","580","594.2","-0.97 %","4,415.00"
"HLBSL","2024-02-04","580","600","574","600","2.56 %","5,668.00"
"HLBSL","2024-02-01","615.1","620","585","585","-4.89 %","4,787.00"
"HLBSL","2024-01-31","622","630","610","615.1","-1.11 %","2,788.00"
"HLBSL","2024-01-30","621.4","659.3","620","622","-1.89 %","2,584.00"
"HLBSL","2024-01-29","607.6","656.8","607.6","634","2.26 %","4,266.00"
"HLBSL","2024-01-28","613.5","644","603.7","620","-0.96 %","5,211.00"
"HLBSL","2024-01-25","645.6","658","600","626","-1.11 %","9,562.00"
"HLBSL","2024-01-24","621.4","677","621.4","633","-0.16 %","6,993.00"
"HLBSL","2024-01-23","643.4","656.2","627.2","634","-3.43 %","7,208.00"
"HLBSL","2024-01-22","693.9","693.9","640.4","656.5","-7.27 %","19,087.00"
"HLBSL","2024-01-21","631.2","708","628.1","708","9.94 %","16,077.00"
"HLBSL","2024-01-18","641","673.2","630","644","-1.53 %","10,274.00"
"HLBSL","2024-01-17","630","701","630","654","2.51 %","35,643.00"
"HLBSL","2024-01-16","598.7","660.6","598.7","638","4.44 %","15,197.00"
"HLBSL","2024-01-14","578.9","636.6","578.9","610.9","3.42 %","9,569.00"
"HLBSL","2024-01-11","587","635","579.2","590.7","-1.37 %","12,134.00"
"HLBSL","2024-01-10","578.2","607","578.2","598.9","1.51 %","11,834.00"
"HLBSL","2024-01-09","571","604","570","590","1.72 %","6,050.00"
"HLBSL","2024-01-08","560","601","559","580","3.76 %","9,657.00"
"HLBSL","2024-01-07","574","574","549","559","-0.71 %","10,579.00"
"HLBSL","2024-01-04","580","580","555","563","-1.92 %","4,655.00"
"HLBSL","2024-01-03","567.5","578","565.1","574","-0.86 %","5,874.00"
"HLBSL","2024-01-02","571.2","609","565","579","0.70 %","5,447.00"
"HLBSL","2024-01-01","593.6","628","575","575","-1.20 %","6,467.00"
"HLBSL","2023-12-28","600","604","580.2","582","-3.00 %","2,053.00"
"HLBSL","2023-12-27","610.8","658.7","585","600","0.18 %","4,606.00"
"HLBSL","2023-12-24","600","620","588","598.9","-0.18 %","10,706.00"
"HLBSL","2023-12-21","611","628","600","600","-3.23 %","8,124.00"
"HLBSL","2023-12-20","621","629.4","613","620","-0.16 %","8,914.00"
"HLBSL","2023-12-19","637.3","637.3","612.6","621","-0.62 %","5,164.00"
"HLBSL","2023-12-18","612","644","596.5","624.9","3.80 %","16,236.00"
"HLBSL","2023-12-17","658.6","658.6","583.1","602","-6.77 %","17,982.00"
"HLBSL","2023-12-14","575.3","645.7","565","645.7","10.00 %","6,017.00"
"HLBSL","2023-12-13","585","596","552","587","2.28 %","6,871.00"
"HLBSL","2023-12-12","551","584","551","573.9","2.30 %","13,420.00"
"HLBSL","2023-12-11","578.2","586","555.4","561","-4.92 %","4,528.00"
"HLBSL","2023-12-10","536","590","536","590","7.88 %","1,791.00"
"HLBSL","2023-12-07","530","549","530","546.9","1.30 %","5,054.00"
"HLBSL","2023-12-06","539.9","539.9","519.1","539.9","-2.00 %","5,907.00"
"HLBSL","2023-12-05","538.1","556.8","520","550.9","0.35 %","5,418.00"
"HLBSL","2023-12-04","526.1","573","522.3","549","3.58 %","2,578.00"
"HLBSL","2023-12-03","529.2","535","520.1","530","-1.85 %","1,548.00"
"HLBSL","2023-11-30","540.1","552","531","540","-1.64 %","2,081.00"
"HLBSL","2023-11-29","546.3","549","540.2","549","0.55 %","311.00"
"HLBSL","2023-11-28","530.5","595","530.5","546","0.87 %","3,571.00"
"HLBSL","2023-11-27","549.8","582","539","541.3","-3.51 %","1,804.00"
"HLBSL","2023-11-26","525.4","576","525.4","561","4.64 %","5,039.00"
"HLBSL","2023-11-23","559","559.9","531","536.1","-3.73 %","4,206.00"
"HLBSL","2023-11-22","556.7","565","545","556.9","-1.95 %","1,542.00"
