"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HPPL","2024-08-11","358.1","386.2","353.8","370","5.38 %","103,927.00"
"HPPL","2024-08-08","367.2","369.9","349","351.1","-2.47 %","63,904.00"
"HPPL","2024-08-07","347","363","336.3","360","5.26 %","84,767.00"
"HPPL","2024-08-06","374.9","374.9","341","342","-7.82 %","66,223.00"
"HPPL","2024-08-05","370","372.9","354","371","0.27 %","108,838.00"
"HPPL","2024-08-01","370","377","359.2","370","0.00 %","159,636.00"
"HPPL","2024-07-31","374.3","389","362","370","0.82 %","94,697.00"
"HPPL","2024-07-30","360","372.3","347","367","3.97 %","108,293.00"
"HPPL","2024-07-29","348.8","367","336","353","3.22 %","192,635.00"
"HPPL","2024-07-28","332.5","342","319.5","342","4.91 %","87,059.00"
"HPPL","2024-07-25","331.7","331.7","320.1","326","0.25 %","54,174.00"
"HPPL","2024-07-24","344.8","344.8","325","325.2","-4.07 %","95,831.00"
"HPPL","2024-07-23","330","345","330","339","1.04 %","82,514.00"
"HPPL","2024-07-22","333.5","339.3","321","335.5","2.60 %","82,327.00"
"HPPL","2024-07-21","329","330","316","327","0.62 %","151,562.00"
"HPPL","2024-07-18","327","340","315","325","0.31 %","155,948.00"
"HPPL","2024-07-17","329.4","329.4","314","324","0.31 %","118,041.00"
"HPPL","2024-07-16","305","329","300","323","5.56 %","166,216.00"
"HPPL","2024-07-15","300","306","293.2","306","2.34 %","133,035.00"
"HPPL","2024-07-14","299.7","300","290","299","1.74 %","68,113.00"
"HPPL","2024-07-11","290","295","285","293.9","2.76 %","41,121.00"
"HPPL","2024-07-10","288","288","280.7","286","1.24 %","45,428.00"
"HPPL","2024-07-09","288","288","280.5","282.5","-0.07 %","13,154.00"
"HPPL","2024-07-08","296.8","296.8","282","282.7","-2.85 %","28,783.00"
"HPPL","2024-07-07","293.7","293.7","285","291","1.04 %","63,454.00"
"HPPL","2024-07-04","284.2","294","284.2","288","-0.69 %","64,823.00"
"HPPL","2024-07-03","305","305","285.2","290","-3.33 %","57,405.00"
"HPPL","2024-07-02","306","318.2","294","300","0.00 %","59,703.00"
"HPPL","2024-07-01","304.9","304.9","293.7","300","0.33 %","49,635.00"
"HPPL","2024-06-30","307","308","295","299","-2.61 %","85,773.00"
"HPPL","2024-06-27","301","308","290.1","307","3.79 %","240,614.00"
"HPPL","2024-06-26","295","297","285.4","295.8","0.96 %","112,739.00"
"HPPL","2024-06-25","276","296","273.6","293","5.02 %","101,545.00"
"HPPL","2024-06-24","279","285.6","272.1","279","0.72 %","37,455.00"
"HPPL","2024-06-23","270","280","267.1","277","4.53 %","80,245.00"
"HPPL","2024-06-20","269","269","263.1","265","-1.08 %","20,033.00"
"HPPL","2024-06-19","271.7","271.7","265.1","267.9","0.15 %","18,776.00"
"HPPL","2024-06-18","260","269.1","260","267.5","1.36 %","49,918.00"
"HPPL","2024-06-16","255.2","270","255.2","263.9","1.50 %","19,521.00"
"HPPL","2024-06-13","265","265","260","260","-1.89 %","11,140.00"
"HPPL","2024-06-12","270","270","260.8","265","0.00 %","20,813.00"
"HPPL","2024-06-11","263.8","268","258","265","1.92 %","50,381.00"
"HPPL","2024-06-10","256.2","265","254","260","3.50 %","29,122.00"
"HPPL","2024-06-09","258.9","269","250","251.2","-1.06 %","13,920.00"
"HPPL","2024-06-06","251.1","258","250.4","253.9","1.12 %","11,048.00"
"HPPL","2024-06-05","252.8","255.5","250","251.1","-2.30 %","8,551.00"
"HPPL","2024-06-04","258","260","253","257","-1.15 %","8,972.00"
"HPPL","2024-06-03","257","261.9","250","260","1.17 %","28,280.00"
"HPPL","2024-06-02","254","260","254","257","0.00 %","7,500.00"
"HPPL","2024-05-30","252","263.5","251","257","1.18 %","9,630.00"
"HPPL","2024-05-29","265.2","265.2","253.7","254","-2.31 %","12,777.00"
"HPPL","2024-05-27","254","262.4","254","260","0.97 %","9,622.00"
"HPPL","2024-05-26","257.2","263.9","252","257.5","-1.68 %","9,444.00"
"HPPL","2024-05-22","265","266","259.5","261.9","-0.80 %","11,286.00"
"HPPL","2024-05-21","264.9","266.9","259.7","264","0.76 %","15,330.00"
"HPPL","2024-05-20","262.4","262.4","257.1","262","1.16 %","16,649.00"
"HPPL","2024-05-19","261.3","261.3","252","259","1.09 %","9,827.00"
"HPPL","2024-05-16","260","263","251","256.2","-1.84 %","5,851.00"
"HPPL","2024-05-15","268.1","268.1","254.2","261","-0.72 %","18,635.00"
"HPPL","2024-05-14","249","263","249","262.9","3.50 %","8,592.00"
"HPPL","2024-05-13","248","255","244.1","254","2.42 %","3,615.00"
"HPPL","2024-05-12","250","255","245.1","248","-0.80 %","9,085.00"
"HPPL","2024-05-09","245","254","245","250","1.96 %","6,400.00"
"HPPL","2024-05-08","250.9","254","245.2","245.2","-2.27 %","7,130.00"
"HPPL","2024-05-07","258","258","244","250.9","-1.10 %","10,263.00"
"HPPL","2024-05-06","247","256.9","247","253.7","0.67 %","6,723.00"
"HPPL","2024-05-05","254.8","259","251.1","252","-3.08 %","7,633.00"
"HPPL","2024-05-02","269","269.2","258","260","-1.52 %","7,719.00"
"HPPL","2024-04-30","258.7","268.4","251","264","3.98 %","16,951.00"
"HPPL","2024-04-29","257","257","253.9","253.9","-1.97 %","3,648.00"
"HPPL","2024-04-28","252","259","250.4","259","1.57 %","9,081.00"
"HPPL","2024-04-25","255.2","260.2","250","255","-1.54 %","24,375.00"
"HPPL","2024-04-24","262","262","255","259","0.74 %","5,179.00"
"HPPL","2024-04-22","260.1","265.3","250","257.1","0.82 %","19,614.00"
"HPPL","2024-04-21","262","270","254.8","255","-0.82 %","11,127.00"
"HPPL","2024-04-18","259","264","256","257.1","-2.61 %","7,110.00"
"HPPL","2024-04-16","267","268","261.7","264","-2.22 %","25,328.00"
"HPPL","2024-04-15","270","272","262.8","270","-1.03 %","15,925.00"
"HPPL","2024-04-14","268.1","278.4","268.1","272.8","-0.07 %","50,701.00"
"HPPL","2024-04-10","275","280","268","273","-0.66 %","31,658.00"
"HPPL","2024-04-09","272","275.5","267","274.8","1.40 %","58,050.00"
"HPPL","2024-04-07","273","273.5","265","271","-0.73 %","15,550.00"
"HPPL","2024-04-04","272","274","266","273","1.11 %","49,318.00"
"HPPL","2024-04-03","272.8","272.8","267.1","270","-0.30 %","14,799.00"
"HPPL","2024-04-02","272.9","278.5","266.6","270.8","-1.13 %","18,151.00"
"HPPL","2024-04-01","267","275","267","273.9","0.66 %","17,298.00"
"HPPL","2024-03-31","268.9","277.4","266.1","272.1","2.02 %","20,341.00"
"HPPL","2024-03-28","268.1","268.1","261.7","266.7","-1.95 %","18,803.00"
"HPPL","2024-03-27","275","275","268.7","272","-0.69 %","6,196.00"
"HPPL","2024-03-26","258.2","275.8","258.2","273.9","4.14 %","11,684.00"
"HPPL","2024-03-25","266","275","260.7","263","-2.88 %","31,255.00"
"HPPL","2024-03-21","276.9","276.9","268","270.8","-0.44 %","5,383.00"
"HPPL","2024-03-20","279","279","271","272","-1.09 %","4,400.00"
"HPPL","2024-03-19","280","280","272","275","-0.69 %","3,624.00"
"HPPL","2024-03-18","267","282","267","276.9","2.14 %","21,272.00"
"HPPL","2024-03-17","272.9","283","270","271.1","-2.59 %","9,511.00"
"HPPL","2024-03-14","285","289.3","278.3","278.3","-3.97 %","11,205.00"
"HPPL","2024-03-13","285.3","289.8","280.1","289.8","0.28 %","20,418.00"
"HPPL","2024-03-12","286","289","282.3","289","1.05 %","20,207.00"
"HPPL","2024-03-10","278","286","275","286","3.25 %","113,878.00"
"HPPL","2024-03-07","280","282","271.2","277","0.18 %","32,872.00"
"HPPL","2024-03-06","277","277","267","276.5","1.69 %","38,782.00"
"HPPL","2024-03-05","288","288.7","269.1","271.9","-5.59 %","27,234.00"
"HPPL","2024-03-04","269.7","290.9","269.7","288","8.88 %","8,500.00"
"HPPL","2024-03-03","267","272.3","258.1","264.5","-0.94 %","15,284.00"
"HPPL","2024-02-29","287.4","287.4","267","267","-5.99 %","32,104.00"
"HPPL","2024-02-28","292.7","292.7","278.4","284","-1.05 %","20,345.00"
"HPPL","2024-02-27","271","287","267.8","287","6.30 %","23,319.00"
"HPPL","2024-02-26","268.2","278","266","270","2.66 %","17,529.00"
"HPPL","2024-02-25","284","288","263","263","-5.77 %","13,817.00"
