"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HURJA","2024-08-11","235","250","228.4","243.2","4.60 %","218,863.00"
"HURJA","2024-08-08","229.5","240","229","232.5","3.33 %","117,955.00"
"HURJA","2024-08-07","218.5","226.4","217","225","2.74 %","78,529.00"
"HURJA","2024-08-06","237","237","219","219","-6.01 %","73,900.00"
"HURJA","2024-08-05","235","238","227","233","-0.43 %","89,993.00"
"HURJA","2024-08-01","240","241","234","234","-0.85 %","78,199.00"
"HURJA","2024-07-31","237.5","245","234","236","1.29 %","155,823.00"
"HURJA","2024-07-30","225.1","235.4","225.1","233","1.75 %","86,120.00"
"HURJA","2024-07-29","235","239","228.9","229","-2.55 %","65,463.00"
"HURJA","2024-07-28","239.7","248.8","225.6","235","0.00 %","88,833.00"
"HURJA","2024-07-25","244","244","232","235","-2.89 %","124,584.00"
"HURJA","2024-07-24","253.3","258.9","240","242","-2.58 %","159,291.00"
"HURJA","2024-07-23","225.8","248.4","223","248.4","9.96 %","156,465.00"
"HURJA","2024-07-22","225","229","220","225.9","0.44 %","109,356.00"
"HURJA","2024-07-21","217","225.4","214","224.9","5.59 %","222,645.00"
"HURJA","2024-07-18","217.2","219.8","211","213","0.00 %","95,734.00"
"HURJA","2024-07-17","217.2","221","207.8","213","0.00 %","188,204.00"
"HURJA","2024-07-16","198","213.2","196","213","9.23 %","155,545.00"
"HURJA","2024-07-15","200","204","191.7","195","-0.56 %","62,766.00"
"HURJA","2024-07-14","191.9","203.5","188.2","196.1","4.20 %","63,369.00"
"HURJA","2024-07-11","190.1","191.4","188","188.2","-0.95 %","66,170.00"
"HURJA","2024-07-10","186.8","196.5","186","190","2.70 %","41,692.00"
"HURJA","2024-07-09","189","189","183.6","185","-1.07 %","45,724.00"
"HURJA","2024-07-08","190","190.8","184.5","187","-0.53 %","44,295.00"
"HURJA","2024-07-07","198.9","198.9","186.6","188","-3.59 %","119,494.00"
"HURJA","2024-07-04","188.1","201.9","188.1","195","5.69 %","193,657.00"
"HURJA","2024-07-03","284","284","265","269","-4.27 %","220,771.00"
"HURJA","2024-07-02","303.5","303.5","277","281","-6.21 %","201,706.00"
"HURJA","2024-07-01","267.6","299.6","267.6","299.6","9.74 %","72,846.00"
"HURJA","2024-06-30","276","279","266.5","273","-1.27 %","76,457.00"
"HURJA","2024-06-27","284","284","275","276.5","-2.33 %","160,802.00"
"HURJA","2024-06-26","294","295","280","283.1","-5.25 %","101,858.00"
"HURJA","2024-06-25","312","312","291","298.8","-2.67 %","137,206.00"
"HURJA","2024-06-24","301.9","326.6","301","307","-0.32 %","49,822.00"
"HURJA","2024-06-23","301.9","315.1","301.9","308","4.05 %","175,655.00"
"HURJA","2024-06-20","296","302","294.1","296","-0.70 %","25,544.00"
"HURJA","2024-06-19","304.6","305","297.4","298.1","-0.30 %","26,988.00"
"HURJA","2024-06-18","304","315.9","298.6","299","-1.64 %","100,632.00"
"HURJA","2024-06-16","296","312","293.6","304","4.11 %","164,348.00"
"HURJA","2024-06-13","284.2","297.9","284.2","292","1.71 %","83,251.00"
"HURJA","2024-06-12","288.9","312","287.1","287.1","1.09 %","34,950.00"
"HURJA","2024-06-11","275","288.6","275","284","3.27 %","53,074.00"
"HURJA","2024-06-10","274.9","279.8","274.9","275","0.44 %","15,418.00"
"HURJA","2024-06-09","280","280","270","273.8","-0.80 %","13,275.00"
"HURJA","2024-06-06","275.1","279.5","274","276","0.18 %","11,390.00"
"HURJA","2024-06-05","276","281.5","275.5","275.5","-0.18 %","13,059.00"
"HURJA","2024-06-04","280","281","276","276","-0.36 %","8,620.00"
"HURJA","2024-06-03","284.5","284.5","276","277","-1.07 %","16,973.00"
"HURJA","2024-06-02","284.5","284.5","279.1","280","0.00 %","12,200.00"
"HURJA","2024-05-30","280","286.9","277","280","-0.78 %","23,529.00"
