"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JBLB","2024-08-11","1678","1737","1678","1734","5.35 %","33,220.00"
"JBLB","2024-08-08","1626","1680","1626","1646","1.23 %","20,587.00"
"JBLB","2024-08-07","1601","1630","1580","1626","1.56 %","22,174.00"
"JBLB","2024-08-06","1655","1715","1601","1601","-3.26 %","21,803.00"
"JBLB","2024-08-05","1682","1699.9","1647.5","1655","-1.48 %","16,957.00"
"JBLB","2024-08-01","1719","1720","1666","1679.9","-0.66 %","17,646.00"
"JBLB","2024-07-31","1699.9","1700","1650","1691","0.65 %","21,032.00"
"JBLB","2024-07-30","1684.9","1705","1600","1680","-0.30 %","22,352.00"
"JBLB","2024-07-29","1720.1","1740","1680","1685","-3.71 %","32,745.00"
"JBLB","2024-07-28","1717","1880","1650","1749.9","1.92 %","33,523.00"
"JBLB","2024-07-25","1565","1717.2","1552","1717","9.99 %","56,291.00"
"JBLB","2024-07-24","1600","1620","1555","1561.1","-2.67 %","18,142.00"
"JBLB","2024-07-23","1586","1614.8","1585","1604","1.17 %","21,556.00"
"JBLB","2024-07-22","1615","1615","1551","1585.5","-0.97 %","18,017.00"
"JBLB","2024-07-21","1561","1620","1561","1601","2.04 %","22,291.00"
"JBLB","2024-07-18","1505","1590","1505","1569","4.59 %","24,341.00"
"JBLB","2024-07-17","1510","1511","1490","1500.1","1.22 %","15,323.00"
"JBLB","2024-07-16","1465","1483","1455","1482","1.16 %","11,669.00"
"JBLB","2024-07-15","1500","1500","1461","1465","-1.01 %","10,352.00"
"JBLB","2024-07-14","1488.1","1547.3","1460","1479.9","1.43 %","11,293.00"
"JBLB","2024-07-11","1480","1491","1451","1459","-0.96 %","18,207.00"
"JBLB","2024-07-10","1490","1517","1451","1473.2","0.56 %","22,558.00"
"JBLB","2024-07-09","1434","1473","1416.2","1465","2.16 %","24,122.00"
"JBLB","2024-07-08","1380","1435","1370","1434","3.91 %","22,647.00"
"JBLB","2024-07-07","1339.9","1380","1328","1380","3.37 %","13,644.00"
"JBLB","2024-07-04","1323","1336","1323","1335","0.91 %","7,752.00"
"JBLB","2024-07-03","1320","1330","1310","1323","-0.53 %","5,604.00"
"JBLB","2024-07-02","1334.1","1400","1315","1330","1.68 %","4,503.00"
"JBLB","2024-07-01","1295","1313","1295","1308","-0.15 %","3,104.00"
"JBLB","2024-06-30","1314","1325","1300","1310","-0.30 %","6,281.00"
"JBLB","2024-06-27","1310","1320","1309.3","1314","-0.76 %","3,155.00"
"JBLB","2024-06-26","1333","1348","1320","1324","-0.82 %","5,572.00"
"JBLB","2024-06-25","1315","1340","1315","1335","0.52 %","4,597.00"
