"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KBSH","2024-08-11","2671.5","2671.5","2453.4","2453.4","-10.00 %","10,228.00"
"KBSH","2024-08-08","2429.5","2726","2231.1","2726","9.96 %","15,555.00"
"KBSH","2024-08-07","2209","2479","2028.7","2479","9.98 %","14,120.00"
"KBSH","2024-08-06","2011","2254","1880","2254","9.97 %","11,078.00"
"KBSH","2024-08-05","1863.4","2049.7","1863.4","2049.7","10.00 %","7,960.00"
"KBSH","2024-08-01","1727","1863.4","1727","1863.4","10.00 %","6,523.00"
"KBSH","2024-07-31","1569.9","1694","1520","1694","10.00 %","12,947.00"
"KBSH","2024-07-30","1472","1564","1470","1540","2.84 %","4,286.00"
"KBSH","2024-07-29","1505","1547","1468.1","1497.4","-2.07 %","2,129.00"
"KBSH","2024-07-28","1555","1581","1499","1529","-1.35 %","2,038.00"
"KBSH","2024-07-25","1500","1639","1500","1550","4.03 %","4,577.00"
"KBSH","2024-07-24","1540","1560","1470","1490","-1.65 %","3,202.00"
"KBSH","2024-07-23","1543.3","1543.3","1500","1515","0.00 %","2,002.00"
"KBSH","2024-07-22","1480","1560","1480","1515","0.33 %","3,218.00"
"KBSH","2024-07-21","1510","1599","1481.1","1510","0.33 %","4,463.00"
"KBSH","2024-07-18","1511","1550","1490","1505","-0.33 %","3,320.00"
"KBSH","2024-07-17","1503","1540","1485","1510","2.44 %","1,758.00"
"KBSH","2024-07-16","1537","1550","1474","1474","-2.32 %","2,722.00"
"KBSH","2024-07-15","1550","1597.9","1490.2","1509","-2.27 %","1,719.00"
"KBSH","2024-07-14","1558.5","1589.5","1490","1544","1.05 %","4,165.00"
"KBSH","2024-07-11","1497","1580","1470","1528","3.95 %","3,888.00"
"KBSH","2024-07-10","1478.8","1508","1450","1470","1.39 %","1,593.00"
"KBSH","2024-07-09","1454","1456","1426","1449.9","0.27 %","3,352.00"
"KBSH","2024-07-08","1430","1479","1415","1446","1.12 %","2,650.00"
"KBSH","2024-07-07","1440","1460","1421","1430","-0.69 %","1,680.00"
"KBSH","2024-07-04","1496","1496","1439","1440","-1.91 %","970.00"
"KBSH","2024-07-03","1470","1478","1440","1468","1.17 %","852.00"
"KBSH","2024-07-02","1463.7","1521","1451","1451","1.11 %","1,109.00"
"KBSH","2024-07-01","1470","1470","1430","1435","-1.03 %","1,017.00"
"KBSH","2024-06-30","1515.1","1515.1","1430","1450","-4.29 %","1,703.00"
"KBSH","2024-06-27","1555","1670","1493","1515","-1.87 %","1,510.00"
"KBSH","2024-06-26","1560","1589","1505.1","1543.9","-1.35 %","645.00"
"KBSH","2024-06-25","1553","1634","1530","1565","2.29 %","8,888.00"
"KBSH","2024-06-24","1520","1543","1510","1530","0.99 %","2,475.00"
"KBSH","2024-06-23","1545","1570","1484.7","1515","-1.94 %","3,380.00"
"KBSH","2024-06-20","1669","1669","1532.7","1545","-9.28 %","12,697.00"
"KBSH","2024-06-19","1525.9","1703","1461","1703","9.38 %","6,084.00"
"KBSH","2024-06-18","1695.4","1695.4","1557","1557","-10.00 %","12,879.00"
"KBSH","2024-06-16","1580","1730","1500","1730","7.35 %","15,074.00"
"KBSH","2024-06-13","1435.7","1611.5","1435.7","1611.5","10.00 %","12,473.00"
"KBSH","2024-06-12","1479.2","1659","1367","1465","-2.94 %","11,235.00"
"KBSH","2024-06-11","1345","1509.3","1345","1509.3","10.00 %","9,899.00"
"KBSH","2024-06-10","1222.5","1372.1","1222.5","1372.1","10.00 %","8,868.00"
"KBSH","2024-06-09","1149.9","1247.4","1140","1247.4","10.00 %","13,007.00"
"KBSH","2024-06-06","1145","1169","1115.2","1134","0.71 %","2,957.00"
"KBSH","2024-06-05","1135","1145","1113.2","1126","1.15 %","1,028.00"
"KBSH","2024-06-04","1153","1153","1111","1113.2","-3.45 %","770.00"
"KBSH","2024-06-03","1139.6","1185","1072.8","1153","-0.84 %","1,465.00"
"KBSH","2024-06-02","1101.6","1162.8","1079.7","1162.8","3.45 %","2,400.00"
"KBSH","2024-05-30","1100.6","1145","1080","1124","0.09 %","434.00"
"KBSH","2024-05-29","1150","1170","1025","1123","-0.62 %","650.00"
"KBSH","2024-05-27","1088","1177","1088","1130","1.80 %","680.00"
"KBSH","2024-05-26","1107","1127","1087","1110","-1.60 %","833.00"
"KBSH","2024-05-22","1151.5","1160","1084.2","1128","-4.00 %","1,055.00"
"KBSH","2024-05-21","1053.5","1175.1","1011.9","1175","9.30 %","6,409.00"
"KBSH","2024-05-20","1095","1109","1052.2","1075","-1.83 %","1,002.00"
"KBSH","2024-05-19","1080","1123","1032","1095","3.35 %","1,710.00"
"KBSH","2024-05-16","1090","1090","1040.1","1059.5","-1.44 %","1,197.00"
"KBSH","2024-05-15","1069","1110","1055","1075","2.38 %","1,167.00"
"KBSH","2024-05-14","1008","1050","1008","1050","2.94 %","1,859.00"
"KBSH","2024-05-13","1019","1030","1008.7","1020","0.10 %","1,180.00"
"KBSH","2024-05-12","1007.2","1019","1007.2","1019","-0.10 %","530.00"
"KBSH","2024-05-09","1019","1020","1003.5","1020","0.10 %","160.00"
"KBSH","2024-05-08","1006","1019","1006","1019","-0.48 %","565.00"
"KBSH","2024-05-07","1032","1052.8","1002","1023.9","1.18 %","980.00"
"KBSH","2024-05-06","1000","1061.2","1000","1012","0.20 %","1,277.00"
"KBSH","2024-05-05","1030","1030","1002.2","1010","0.00 %","441.00"
"KBSH","2024-05-02","1035","1035","1010","1010","-2.42 %","595.00"
"KBSH","2024-04-30","1025","1065","1013","1035","0.49 %","1,099.00"
"KBSH","2024-04-29","1050.5","1050.5","1017","1030","-1.44 %","623.00"
"KBSH","2024-04-28","1019.3","1050","1019.2","1045","0.48 %","940.00"
"KBSH","2024-04-25","1045","1045","1035","1040","-0.95 %","59.00"
"KBSH","2024-04-24","1040","1060.8","1030","1050","0.96 %","697.00"
"KBSH","2024-04-22","1070","1070.4","1029","1040","-3.42 %","706.00"
"KBSH","2024-04-21","1015","1076.8","1015","1076.8","4.05 %","1,466.00"
"KBSH","2024-04-18","1000.2","1039.9","1000.2","1034.9","1.56 %","398.00"
"KBSH","2024-04-16","1039","1039.8","1019","1019","-3.87 %","809.00"
"KBSH","2024-04-15","1055","1060","1045","1060","0.47 %","1,049.00"
"KBSH","2024-04-14","1012.7","1055","1012.5","1055","2.13 %","1,132.00"
"KBSH","2024-04-10","1040","1049","1020","1033","0.29 %","519.00"
"KBSH","2024-04-09","1030","1050","1016","1030","0.00 %","761.00"
"KBSH","2024-04-07","1047","1047","1019.2","1030","0.29 %","1,100.00"
"KBSH","2024-04-04","1001","1027","1001","1027","2.80 %","1,207.00"
"KBSH","2024-04-03","1000","1035","999","999","-1.96 %","1,280.00"
"KBSH","2024-04-02","1020","1043.4","1004.5","1019","1.60 %","525.00"
"KBSH","2024-04-01","1020","1040","994","1003","0.30 %","401.00"
"KBSH","2024-03-31","1020","1024","990","1000","0.00 %","990.00"
"KBSH","2024-03-28","1020","1040","999.6","1000","-1.96 %","1,497.00"
"KBSH","2024-03-27","1031","1031","1008","1020","-3.04 %","550.00"
"KBSH","2024-03-26","1032","1052","1015.1","1052","0.29 %","290.00"
"KBSH","2024-03-25","1059.7","1079","1016.2","1049","0.96 %","360.00"
"KBSH","2024-03-21","1050.6","1060","1018","1039","0.87 %","1,270.00"
"KBSH","2024-03-20","1045","1050","1025","1030","0.29 %","2,604.00"
"KBSH","2024-03-19","1026","1046.5","1020","1027","0.16 %","1,818.00"
"KBSH","2024-03-18","1040","1040","1008","1025.4","-0.45 %","520.00"
"KBSH","2024-03-17","1040","1045","994","1030","-1.44 %","2,070.00"
"KBSH","2024-03-14","1029.5","1049","1000","1045","1.47 %","1,265.00"
"KBSH","2024-03-13","1059.9","1059.9","1015","1029.9","-1.07 %","1,790.00"
"KBSH","2024-03-12","1025","1065.9","1003.7","1041","3.58 %","960.00"
"KBSH","2024-03-10","1024","1060","1004","1005","0.10 %","1,620.00"
"KBSH","2024-03-07","970","1005","950","1004","4.04 %","1,580.00"
"KBSH","2024-03-06","942.1","1014.9","942.1","965","1.58 %","653.00"
"KBSH","2024-03-05","972","994","950","950","-2.18 %","795.00"
"KBSH","2024-03-04","952.2","971.2","952.2","971.2","4.03 %","20.00"
"KBSH","2024-03-03","949.6","949.6","915","933.6","0.28 %","465.00"
"KBSH","2024-02-29","968","970","931","931","-5.34 %","1,397.00"
"KBSH","2024-02-28","980.1","993","945.7","983.5","-1.45 %","1,294.00"
"KBSH","2024-02-27","980","998","975","998","1.42 %","160.00"
"KBSH","2024-02-26","1007.7","1007.7","935","984","-0.40 %","2,528.00"
"KBSH","2024-02-25","985.1","1004","950.1","988","-1.69 %","3,083.00"
"KBSH","2024-02-22","1065","1070","1005","1005","-4.47 %","960.00"
"KBSH","2024-02-21","1080","1100","1052","1052","-3.49 %","1,867.00"
"KBSH","2024-02-20","1059.5","1102.6","1059.5","1090","0.83 %","1,980.00"
"KBSH","2024-02-18","1030","1111","1015","1081","4.44 %","6,423.00"
"KBSH","2024-02-15","1029","1052.1","1021","1035","-1.15 %","2,765.00"
"KBSH","2024-02-14","1078","1078","1035.5","1047","-4.82 %","7,550.00"
"KBSH","2024-02-13","1120","1210","1030","1100","-0.07 %","12,534.00"
"KBSH","2024-02-12","1020.8","1100.8","1020.8","1100.8","9.99 %","1,560.00"
