"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KEF","2024-08-11","9.55","9.79","9.55","9.77","0.72 %","105,961.00"
"KEF","2024-08-08","9.6","9.7","9.52","9.7","-0.92 %","31,500.00"
"KEF","2024-08-07","9.41","9.79","9.15","9.79","1.98 %","24,725.00"
"KEF","2024-08-06","9.61","9.8","9.55","9.6","-2.04 %","143,500.00"
"KEF","2024-08-05","9.8","9.99","9.65","9.8","-1.21 %","149,450.00"
"KEF","2024-08-01","10.1","10.1","9.45","9.92","-0.70 %","109,405.00"
"KEF","2024-07-31","9.54","9.99","9.54","9.99","2.67 %","39,630.00"
"KEF","2024-07-30","9.73","9.9","9.55","9.73","-1.82 %","42,640.00"
"KEF","2024-07-29","10.2","10.2","9.76","9.91","-1.00 %","76,335.00"
"KEF","2024-07-28","9.66","10.04","9.65","10.01","1.62 %","150,337.00"
"KEF","2024-07-25","9.69","10.07","9.15","9.85","3.68 %","227,070.00"
"KEF","2024-07-24","9.27","9.9","9.27","9.5","0.53 %","61,157.00"
"KEF","2024-07-23","9.5","9.98","9.41","9.45","-1.56 %","55,788.00"
"KEF","2024-07-22","9.8","10.18","9.1","9.6","-0.52 %","13,300.00"
"KEF","2024-07-21","9.47","9.84","9.12","9.65","3.88 %","31,275.00"
"KEF","2024-07-18","9.39","9.57","9.05","9.29","0.76 %","188,398.00"
"KEF","2024-07-17","9.85","10.04","9.03","9.22","-4.55 %","11,576.00"
"KEF","2024-07-15","9.4","9.66","8.81","9.66","4.77 %","51,548.00"
"KEF","2024-07-14","8.7","9.22","8.7","9.22","3.95 %","18,495.00"
"KEF","2024-07-11","8.6","8.93","8.6","8.87","1.60 %","24,494.00"
"KEF","2024-07-10","8.7","9","8.6","8.73","-1.58 %","262,830.00"
"KEF","2024-07-09","8.53","8.87","8.41","8.87","1.95 %","12,750.00"
"KEF","2024-07-08","8.63","8.8","8.63","8.7","0.81 %","8,250.00"
"KEF","2024-07-07","8.55","8.71","8.36","8.63","-0.58 %","23,825.00"
"KEF","2024-07-04","8.4","8.68","8.4","8.68","2.12 %","15,300.00"
"KEF","2024-07-03","8.41","8.57","8.41","8.5","-0.35 %","4,800.00"
"KEF","2024-07-02","8.45","8.6","8.45","8.53","-0.81 %","3,600.00"
"KEF","2024-07-01","8.5","8.6","8.33","8.6","-0.81 %","43,800.00"
"KEF","2024-06-30","8.15","8.67","8.15","8.67","4.33 %","116,875.00"
"KEF","2024-06-27","8.3","8.4","8.3","8.31","-1.66 %","2,725.00"
"KEF","2024-06-26","8.5","8.5","8.35","8.45","-2.54 %","4,525.00"
"KEF","2024-06-25","8.93","9","8.35","8.67","-1.03 %","40,925.00"
"KEF","2024-06-24","8.7","8.93","8.59","8.76","0.00 %","4,350.00"
"KEF","2024-06-23","8.8","8.8","8.36","8.76","1.15 %","35,545.00"
"KEF","2024-06-20","8.45","8.75","8.28","8.66","4.46 %","12,675.00"
"KEF","2024-06-19","8.3","8.35","8.24","8.29","-0.96 %","8,500.00"
"KEF","2024-06-18","8.43","8.76","8.26","8.37","-2.67 %","38,325.00"
"KEF","2024-06-16","8.49","8.65","8.33","8.6","3.12 %","17,135.00"
"KEF","2024-06-13","8.35","8.7","8.33","8.34","0.24 %","43,984.00"
"KEF","2024-06-12","8.21","8.32","8.21","8.32","0.60 %","3,200.00"
