"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KKHC","2024-08-11","278","305.8","278","305.8","10.00 %","254,996.00"
"KKHC","2024-08-08","290.7","296.5","274.4","278","-2.46 %","56,333.00"
"KKHC","2024-08-07","278","285","267","285","4.40 %","54,431.00"
"KKHC","2024-08-06","290","302","268","273","-6.19 %","121,821.00"
"KKHC","2024-08-05","291","296","280.4","291","1.75 %","61,749.00"
"KKHC","2024-08-01","284","300","273.4","286","2.55 %","135,382.00"
"KKHC","2024-07-31","275","280.8","271","278.9","3.33 %","87,704.00"
"KKHC","2024-07-30","269","271","260","269.9","1.93 %","48,726.00"
"KKHC","2024-07-29","267","273","262","264.8","-0.79 %","66,892.00"
"KKHC","2024-07-28","268","283","259","266.9","0.49 %","49,094.00"
"KKHC","2024-07-25","269","274.3","263.7","265.6","-1.23 %","44,001.00"
"KKHC","2024-07-24","270","280","257","268.9","-0.41 %","66,757.00"
"KKHC","2024-07-23","265","277","265","270","0.75 %","45,155.00"
"KKHC","2024-07-22","270","275.5","256.1","268","0.37 %","69,078.00"
"KKHC","2024-07-21","263","271","255","267","2.89 %","79,889.00"
"KKHC","2024-07-18","261","265","255","259.5","0.23 %","55,823.00"
"KKHC","2024-07-17","256.1","263","248.2","258.9","1.61 %","74,680.00"
"KKHC","2024-07-16","240","255","236.1","254.8","6.66 %","72,408.00"
"KKHC","2024-07-15","245.5","250","235.2","238.9","-0.87 %","30,684.00"
"KKHC","2024-07-14","240.7","259","238.5","241","2.12 %","23,455.00"
"KKHC","2024-07-11","234.6","236","232","236","2.61 %","29,409.00"
"KKHC","2024-07-10","227.5","230","226.1","230","0.88 %","16,464.00"
"KKHC","2024-07-09","226.5","230","226","228","0.00 %","14,615.00"
"KKHC","2024-07-08","229","229","224","228","-0.44 %","26,187.00"
"KKHC","2024-07-07","231","233.5","225.5","229","0.00 %","29,827.00"
"KKHC","2024-07-04","223","231.5","221.9","229","3.15 %","37,873.00"
"KKHC","2024-07-03","225","225","219","222","-1.33 %","19,627.00"
"KKHC","2024-07-02","226.4","235.5","224","225","1.35 %","31,776.00"
"KKHC","2024-07-01","218","224","218","222","0.45 %","11,266.00"
"KKHC","2024-06-30","223","225","217.5","221","-2.21 %","25,066.00"
"KKHC","2024-06-27","226","226","220.5","226","-0.44 %","19,660.00"
"KKHC","2024-06-26","227.6","234.9","225","227","-1.73 %","17,732.00"
"KKHC","2024-06-25","233","233","226","231","0.65 %","10,727.00"
"KKHC","2024-06-24","230","232","224.5","229.5","0.66 %","5,606.00"
"KKHC","2024-06-23","231","233","224","228","-1.64 %","16,196.00"
"KKHC","2024-06-20","238.5","241","228.4","231.8","-0.94 %","11,990.00"
"KKHC","2024-06-19","230","242.5","230","234","0.00 %","18,240.00"
"KKHC","2024-06-18","242","242","231.1","234","-1.68 %","23,522.00"
"KKHC","2024-06-16","235","244.6","234.7","238","2.50 %","72,717.00"
"KKHC","2024-06-13","232","236","227","232.2","1.84 %","36,063.00"
"KKHC","2024-06-12","229","236.6","225.6","228","-0.78 %","23,409.00"
"KKHC","2024-06-11","224.3","230","220","229.8","4.45 %","48,052.00"
"KKHC","2024-06-10","217","222","215","220","1.38 %","23,105.00"
"KKHC","2024-06-09","214","217","214","217","1.40 %","7,492.00"
"KKHC","2024-06-06","220.9","220.9","213","214","-1.38 %","7,705.00"
"KKHC","2024-06-05","217.1","218.9","215","217","0.00 %","13,557.00"
"KKHC","2024-06-04","218.1","222","217","217","-1.36 %","10,247.00"
"KKHC","2024-06-03","217.1","225.2","217","220","-0.41 %","10,001.00"
"KKHC","2024-06-02","223","223","219","220.9","0.82 %","5,991.00"
"KKHC","2024-05-30","223","225","219","219.1","-0.86 %","16,735.00"
"KKHC","2024-05-29","228","229","220","221","-1.65 %","8,977.00"
"KKHC","2024-05-27","223.1","225","220","224.7","0.31 %","12,380.00"
"KKHC","2024-05-26","227.3","227.3","221.5","224","0.45 %","7,500.00"
"KKHC","2024-05-22","231.4","231.4","223","223","-1.72 %","11,061.00"
"KKHC","2024-05-21","227","228","223.9","226.9","1.52 %","19,904.00"
"KKHC","2024-05-20","223","227","223","223.5","-0.13 %","14,393.00"
"KKHC","2024-05-19","220","224","220","223.8","1.73 %","7,988.00"
"KKHC","2024-05-16","219.1","227","218","220","-1.35 %","14,205.00"
"KKHC","2024-05-15","230.6","230.6","221.7","223","-1.46 %","12,399.00"
"KKHC","2024-05-14","217.2","227.4","217.2","226.3","3.33 %","10,504.00"
"KKHC","2024-05-13","219","221","215","219","0.00 %","7,748.00"
"KKHC","2024-05-12","221.3","230","215","219","0.92 %","5,968.00"
"KKHC","2024-05-09","218.2","224","217","217","0.00 %","9,130.00"
"KKHC","2024-05-08","220","224","216.6","217","-1.81 %","7,306.00"
"KKHC","2024-05-07","227","227","221","221","-1.34 %","6,389.00"
"KKHC","2024-05-06","225","227.9","220.9","224","-0.44 %","14,214.00"
"KKHC","2024-05-05","222","225","220.7","225","0.00 %","7,182.00"
"KKHC","2024-05-02","229","229","222","225","0.00 %","18,105.00"
"KKHC","2024-04-30","221","235","219","225","0.90 %","40,388.00"
"KKHC","2024-04-29","228.4","228.4","222","223","-0.45 %","18,760.00"
"KKHC","2024-04-28","230","233.9","222.1","224","-0.67 %","15,700.00"
"KKHC","2024-04-25","232.5","232.5","225","225.5","-1.10 %","12,591.00"
"KKHC","2024-04-24","230.1","232","228","228","-1.30 %","8,799.00"
"KKHC","2024-04-22","234.5","239.1","224.1","231","0.43 %","26,804.00"
"KKHC","2024-04-21","248.1","248.1","222.5","230","-5.47 %","91,063.00"
"KKHC","2024-04-18","234","243.3","224.4","243.3","7.94 %","22,336.00"
"KKHC","2024-04-16","232.4","240","225.4","225.4","-1.14 %","23,356.00"
"KKHC","2024-04-15","243.1","244.5","228","228","-7.43 %","68,636.00"
"KKHC","2024-04-14","249.9","253.8","238.3","246.3","-1.08 %","36,291.00"
"KKHC","2024-04-10","225.4","252","209","249","8.26 %","237,861.00"
"KKHC","2024-04-09","233","235","226","230","0.00 %","74,647.00"
"KKHC","2024-04-07","230.4","235","228","230","-1.29 %","16,238.00"
