"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KLBSL","2024-07-10","1051.5","1113.1","1051.5","1070","3.78 %","3,998.00"
"KLBSL","2024-07-09","990.1","1040","988","1031","2.28 %","4,901.00"
"KLBSL","2024-07-08","972","1010.8","972","1008","1.72 %","1,276.00"
"KLBSL","2024-07-07","986","1000","985","991","0.50 %","1,509.00"
"KLBSL","2024-07-04","980","987","980","986.1","-0.39 %","191.00"
"KLBSL","2024-07-03","980","990","972","990","1.02 %","845.00"
"KLBSL","2024-07-02","999.6","999.6","980","980","0.00 %","894.00"
"KLBSL","2024-07-01","980","989.9","976","980","-2.00 %","558.00"
"KLBSL","2024-06-30","1020","1024","966.1","1000","-0.40 %","832.00"
"KLBSL","2024-06-27","985","1004","985","1004","0.40 %","896.00"
"KLBSL","2024-06-26","1010","1035","994.1","1000","0.50 %","1,484.00"
"KLBSL","2024-06-25","1000","1007.8","990","995","-1.29 %","1,501.00"
"KLBSL","2024-06-24","990","1026.8","990","1008","1.92 %","5,192.00"
"KLBSL","2024-06-23","968","989","963.5","989","1.33 %","1,644.00"
"KLBSL","2024-06-20","1004","1004","976","976","-2.69 %","1,382.00"
"KLBSL","2024-06-19","1010.8","1025","990","1003","1.21 %","1,522.00"
"KLBSL","2024-06-18","999","1019","991","991","1.12 %","1,854.00"
"KLBSL","2024-06-16","1030","1040","980","980","-3.92 %","3,141.00"
"KLBSL","2024-06-13","1011.7","1089","1011.7","1020","2.82 %","10,462.00"
"KLBSL","2024-06-12","995.9","996.5","977.1","992","1.54 %","1,846.00"
"KLBSL","2024-06-11","966","985.3","966","977","-0.50 %","2,500.00"
"KLBSL","2024-06-10","959.2","989.9","959.2","981.9","0.50 %","767.00"
"KLBSL","2024-06-09","978","978","960.5","977","-0.11 %","420.00"
"KLBSL","2024-06-06","983.2","998","978.1","978.1","-0.52 %","3,289.00"
"KLBSL","2024-06-05","1000","1000","980","983.2","-0.79 %","1,893.00"
"KLBSL","2024-06-04","997.8","1000","979","991","0.81 %","2,221.00"
"KLBSL","2024-06-03","945","983","933.2","983","4.02 %","1,105.00"
