"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KMCDB","2024-08-11","1106.7","1149.9","1106.7","1137","4.79 %","20,271.00"
"KMCDB","2024-08-08","1139","1139","1078","1085","-3.47 %","9,961.00"
"KMCDB","2024-08-07","1090","1133","1080","1124","4.06 %","14,088.00"
"KMCDB","2024-08-06","1143.3","1163.3","1080.1","1080.1","-4.01 %","14,203.00"
"KMCDB","2024-08-05","1078","1167.2","1078","1125.2","2.29 %","11,317.00"
"KMCDB","2024-08-01","1125","1160","1090","1100","-3.93 %","20,165.00"
"KMCDB","2024-07-31","1155","1201.6","1134","1145","0.62 %","11,873.00"
"KMCDB","2024-07-30","1120","1141","1110","1137.9","1.38 %","8,510.00"
"KMCDB","2024-07-29","1163","1163.8","1122","1122.4","-3.49 %","22,987.00"
"KMCDB","2024-07-28","1189","1220","1120.1","1163","-2.19 %","13,442.00"
"KMCDB","2024-07-25","1167.3","1203","1155","1189","3.89 %","23,713.00"
"KMCDB","2024-07-24","1177.1","1197.9","1136.8","1144.5","-2.84 %","22,346.00"
"KMCDB","2024-07-23","1152.1","1244","1152.1","1177.9","0.32 %","32,090.00"
"KMCDB","2024-07-22","1202","1251","1158","1174.1","-0.50 %","19,404.00"
"KMCDB","2024-07-21","1210","1215","1170","1180","-2.07 %","23,537.00"
"KMCDB","2024-07-18","1209.9","1265","1182","1205","-1.86 %","26,251.00"
"KMCDB","2024-07-17","1206.5","1280","1180","1227.9","-0.26 %","23,967.00"
"KMCDB","2024-07-16","1176","1239.3","1160","1231.1","2.60 %","18,881.00"
"KMCDB","2024-07-15","1213.8","1285","1177","1199.9","-3.12 %","22,730.00"
"KMCDB","2024-07-14","1244.4","1265","1154","1238.5","1.52 %","19,524.00"
"KMCDB","2024-07-11","1180.9","1272","1132.6","1220","1.24 %","39,289.00"
"KMCDB","2024-07-10","1157.5","1251","1134.4","1205","2.02 %","35,531.00"
"KMCDB","2024-07-09","1128","1192","1128","1181.1","2.62 %","31,576.00"
"KMCDB","2024-07-08","1087.9","1173","1087.9","1151","3.68 %","49,720.00"
"KMCDB","2024-07-07","1074.1","1125","1070.1","1110.1","1.29 %","25,237.00"
"KMCDB","2024-07-04","1048.6","1100","1048.6","1096","2.43 %","12,697.00"
"KMCDB","2024-07-03","1065","1099.9","1035.2","1070","-1.38 %","24,629.00"
"KMCDB","2024-07-02","1101","1145","1056.6","1085","0.46 %","13,759.00"
"KMCDB","2024-07-01","1060","1080","1039.1","1080","0.47 %","17,377.00"
"KMCDB","2024-06-30","1055","1080","1055","1075","0.00 %","15,113.00"
"KMCDB","2024-06-27","1055","1089","1055","1075","0.00 %","14,809.00"
"KMCDB","2024-06-26","1063.1","1083","1060","1075","-0.89 %","10,670.00"
"KMCDB","2024-06-25","1070","1110","1051","1084.7","-0.65 %","13,877.00"
"KMCDB","2024-06-24","1078","1142","1058","1091.8","-0.74 %","16,022.00"
"KMCDB","2024-06-23","1136.8","1136.8","1044","1099.9","-5.18 %","24,587.00"
