"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KSBBL","2024-08-11","501","506","494","504","2.23 %","174,980.00"
"KSBBL","2024-08-08","498","505.9","493","493","-0.60 %","154,680.00"
"KSBBL","2024-08-07","485","502","485","496","2.27 %","168,913.00"
"KSBBL","2024-08-06","502","510","483","485","-3.19 %","336,947.00"
"KSBBL","2024-08-05","508.9","508.9","492.1","501","0.40 %","197,226.00"
"KSBBL","2024-08-01","494","506","485.1","499","1.01 %","294,250.00"
"KSBBL","2024-07-31","492.6","503","484.1","494","2.28 %","231,826.00"
"KSBBL","2024-07-30","481","493.5","470.4","483","0.42 %","146,696.00"
"KSBBL","2024-07-29","495","500","480","481","-2.24 %","128,321.00"
"KSBBL","2024-07-28","488.5","498.2","472.2","492","2.71 %","187,990.00"
"KSBBL","2024-07-25","490","492","475.3","479","-0.83 %","128,156.00"
"KSBBL","2024-07-24","474.4","505","474.4","483","3.85 %","368,450.00"
"KSBBL","2024-07-23","448.1","469","448","465.1","2.56 %","106,985.00"
"KSBBL","2024-07-22","457","460","445","453.5","-0.33 %","201,280.00"
"KSBBL","2024-07-21","448.1","456","439.1","455","1.56 %","140,476.00"
"KSBBL","2024-07-18","455.9","465.2","447","448","-1.54 %","142,792.00"
"KSBBL","2024-07-17","438.4","456","426","455","5.84 %","183,323.00"
"KSBBL","2024-07-16","415","431","412","429.9","3.34 %","88,075.00"
"KSBBL","2024-07-15","428.4","428.4","411","416","-0.95 %","120,148.00"
"KSBBL","2024-07-14","426","434","418.5","420","0.55 %","89,950.00"
"KSBBL","2024-07-11","418","429","416","417.7","0.72 %","103,250.00"
"KSBBL","2024-07-10","420","422","412.1","414.7","-1.03 %","71,513.00"
"KSBBL","2024-07-09","408","420.2","405.7","419","2.80 %","126,765.00"
"KSBBL","2024-07-08","414.1","414.1","402.8","407.6","0.39 %","79,396.00"
"KSBBL","2024-07-07","408","413.6","403","406","-0.32 %","115,834.00"
"KSBBL","2024-07-04","398.6","413","391","407.3","4.22 %","286,687.00"
"KSBBL","2024-07-03","381","391","373.1","390.8","2.57 %","120,269.00"
"KSBBL","2024-07-02","377.4","395","372.1","381","2.97 %","86,982.00"
"KSBBL","2024-07-01","374","374","367","370","0.00 %","24,555.00"
"KSBBL","2024-06-30","374.5","374.5","363.2","370","0.49 %","37,906.00"
"KSBBL","2024-06-27","366","370","365","368.2","0.05 %","27,476.00"
"KSBBL","2024-06-26","371.1","375","367.1","368","-1.34 %","30,888.00"
"KSBBL","2024-06-25","375","380","369.1","373","1.36 %","42,967.00"
"KSBBL","2024-06-24","373.3","373.3","366","368","0.55 %","37,534.00"
"KSBBL","2024-06-23","370","370","364.1","366","-0.22 %","40,333.00"
"KSBBL","2024-06-20","370","370.2","365","366.8","-0.86 %","31,573.00"
"KSBBL","2024-06-19","371","376.3","368.5","370","-0.27 %","13,649.00"
"KSBBL","2024-06-18","369.1","377.9","368","371","-0.27 %","28,904.00"
"KSBBL","2024-06-16","379","382","372","372","-1.85 %","27,293.00"
"KSBBL","2024-06-13","371.1","391","371","379","0.66 %","97,452.00"
"KSBBL","2024-06-12","374","381","374","376.5","0.67 %","56,946.00"
"KSBBL","2024-06-11","380.3","380.3","366","374","0.29 %","44,496.00"
"KSBBL","2024-06-10","363.1","372.9","362","372.9","1.75 %","44,682.00"
"KSBBL","2024-06-09","370","371.8","366.5","366.5","-0.95 %","31,358.00"
"KSBBL","2024-06-06","370","374.9","368.6","370","-0.11 %","23,358.00"
"KSBBL","2024-06-05","370","375","370","370.4","-1.17 %","38,385.00"
"KSBBL","2024-06-04","370","376.9","370","374.8","0.75 %","14,257.00"
"KSBBL","2024-06-03","377","377","369.5","372","0.49 %","30,143.00"
"KSBBL","2024-06-02","376.5","377.4","370","370.2","0.05 %","35,154.00"
"KSBBL","2024-05-30","384","384","370","370","-2.06 %","58,971.00"
"KSBBL","2024-05-29","389","389","377.7","377.8","-1.36 %","65,040.00"
"KSBBL","2024-05-27","387.5","387.5","374","383","0.52 %","44,740.00"
"KSBBL","2024-05-26","373.7","388","373.7","381","-0.08 %","75,027.00"
"KSBBL","2024-05-22","377.6","387","377.6","381.3","0.98 %","107,355.00"
