"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MANDU","2024-08-11","1180","1227","1180","1206.1","1.78 %","36,158.00"
"MANDU","2024-08-08","1199","1219.5","1176.6","1185","-1.17 %","27,686.00"
"MANDU","2024-08-07","1182.9","1202","1167","1199","3.27 %","22,593.00"
"MANDU","2024-08-06","1250","1279","1160","1161","-7.42 %","53,231.00"
"MANDU","2024-08-05","1146.9","1278","1146.9","1254","7.18 %","69,941.00"
"MANDU","2024-08-01","1190","1220","1167.1","1170","-3.54 %","43,879.00"
"MANDU","2024-07-31","1200","1230","1178","1213","-0.41 %","89,604.00"
"MANDU","2024-07-30","1220","1220","1175","1218","0.50 %","46,776.00"
"MANDU","2024-07-29","1170","1259","1165","1212","2.02 %","44,251.00"
"MANDU","2024-07-28","1245","1245","1179","1188","-3.02 %","25,477.00"
"MANDU","2024-07-25","1260","1260","1200","1225","-4.68 %","34,610.00"
"MANDU","2024-07-24","1353","1353","1224.5","1285.2","-5.01 %","46,633.00"
"MANDU","2024-07-23","1230","1353","1200","1353","10.00 %","40,789.00"
"MANDU","2024-07-22","1250","1300","1200","1230","-1.60 %","56,127.00"
"MANDU","2024-07-21","1280","1304.7","1230","1250","-3.77 %","46,777.00"
"MANDU","2024-07-18","1350","1460","1272","1299","-3.78 %","68,534.00"
"MANDU","2024-07-17","1372.2","1385","1340","1350","-3.57 %","28,047.00"
"MANDU","2024-07-16","1463.3","1463.3","1345.2","1400","-6.24 %","30,687.00"
"MANDU","2024-07-15","1355","1493.1","1308","1493.1","10.00 %","48,109.00"
"MANDU","2024-07-14","1258.6","1357.4","1243","1357.4","10.00 %","40,222.00"
"MANDU","2024-07-11","1177","1240","1147","1234","5.48 %","61,691.00"
"MANDU","2024-07-10","1130","1216","1121","1169.9","3.99 %","22,095.00"
"MANDU","2024-07-09","1072.1","1137","1060.2","1125","2.93 %","52,439.00"
"MANDU","2024-07-08","1071.2","1105","1063.1","1093","0.28 %","17,365.00"
"MANDU","2024-07-07","1042","1102","1042","1090","4.01 %","21,990.00"
"MANDU","2024-07-04","1068","1080","1030","1048","-2.33 %","35,612.00"
"MANDU","2024-07-03","1101","1101","1071","1073","-4.11 %","32,085.00"
