"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MCHL","2024-08-11","515","541.2","510.1","537","3.47 %","34,393.00"
"MCHL","2024-08-08","503.8","543","503","519","0.97 %","22,813.00"
"MCHL","2024-08-07","488","525","481","514","3.23 %","27,044.00"
"MCHL","2024-08-06","525","535","486","497.9","-6.25 %","38,640.00"
"MCHL","2024-08-05","501.1","555","490.1","531.1","4.14 %","47,185.00"
"MCHL","2024-08-01","530","535","507.1","510","-3.77 %","34,137.00"
"MCHL","2024-07-31","543","553","524.3","530","-0.56 %","51,537.00"
"MCHL","2024-07-30","524","553","523","533","0.00 %","22,681.00"
"MCHL","2024-07-29","570","570","529.4","533","-4.82 %","54,617.00"
"MCHL","2024-07-28","574.2","609.2","535.1","560","-0.53 %","28,824.00"
"MCHL","2024-07-25","534","588.3","524.3","563","5.25 %","61,794.00"
"MCHL","2024-07-24","510","545","504.2","534.9","5.30 %","57,001.00"
"MCHL","2024-07-23","500","530","491","508","1.20 %","43,171.00"
"MCHL","2024-07-22","502.8","517","480.3","502","1.83 %","48,739.00"
"MCHL","2024-07-21","500","502","483","493","-3.33 %","44,805.00"
"MCHL","2024-07-18","514","530","495.5","510","0.87 %","43,589.00"
"MCHL","2024-07-17","488.5","510","481","505.6","5.55 %","62,991.00"
"MCHL","2024-07-16","448","485","448","479","6.68 %","69,845.00"
"MCHL","2024-07-15","448.8","457","432.1","449","2.05 %","19,318.00"
"MCHL","2024-07-14","443.7","470","435","440","1.15 %","9,925.00"
"MCHL","2024-07-11","435","441.6","432","435","0.46 %","10,273.00"
"MCHL","2024-07-10","427.9","435","421","433","1.19 %","11,366.00"
"MCHL","2024-07-09","422","430.4","422","427.9","0.00 %","11,321.00"
"MCHL","2024-07-08","416.1","430.1","416.1","427.9","1.02 %","6,229.00"
"MCHL","2024-07-07","421","432.9","421","423.6","-1.07 %","20,708.00"
"MCHL","2024-07-04","429","435.8","427","428.2","-0.19 %","17,780.00"
"MCHL","2024-07-03","433","434","426","429","-0.92 %","6,004.00"
"MCHL","2024-07-02","434.5","451.6","427","433","1.64 %","16,004.00"
"MCHL","2024-07-01","420","430","417.1","426","0.83 %","5,724.00"
"MCHL","2024-06-30","421.2","438","421.2","422.5","-1.68 %","4,459.00"
"MCHL","2024-06-27","426.3","443.5","411","429.7","-1.22 %","13,817.00"
"MCHL","2024-06-26","440","457","426.8","435","-2.25 %","17,920.00"
"MCHL","2024-06-25","428.4","452","428.4","445","1.81 %","26,237.00"
"MCHL","2024-06-24","418.5","450","418.5","437.1","4.32 %","40,834.00"
"MCHL","2024-06-23","424.5","426","414","419","-0.21 %","11,876.00"
"MCHL","2024-06-20","432","432","415.8","419.9","-0.94 %","7,759.00"
"MCHL","2024-06-19","407","427","407","423.9","2.07 %","16,146.00"
"MCHL","2024-06-18","434.9","440","415.3","415.3","-4.09 %","16,447.00"
"MCHL","2024-06-16","430","442","427.2","433","0.93 %","22,740.00"
"MCHL","2024-06-13","421.4","438","421.4","429","-0.23 %","25,608.00"
"MCHL","2024-06-12","430","438.5","418.2","430","0.94 %","33,634.00"
"MCHL","2024-06-11","430","438.5","422.2","426","-0.47 %","40,916.00"
"MCHL","2024-06-10","411","439.9","411","428","3.13 %","54,177.00"
"MCHL","2024-06-09","401","418","395","415","3.75 %","24,029.00"
"MCHL","2024-06-06","385","404.4","385","400","2.30 %","19,010.00"
"MCHL","2024-06-05","401","401","386.5","391","-0.76 %","12,748.00"
"MCHL","2024-06-04","396.4","408","392","394","-2.48 %","13,316.00"
"MCHL","2024-06-03","422","422","401.2","404","-2.42 %","16,277.00"
"MCHL","2024-06-02","399","418.2","399","414","4.70 %","39,179.00"
"MCHL","2024-05-30","390.4","399.3","378.1","395.4","3.24 %","23,957.00"
"MCHL","2024-05-29","391.6","399.4","378.2","383","-0.26 %","7,772.00"
"MCHL","2024-05-27","371.2","389.9","371.2","384","1.59 %","7,416.00"
"MCHL","2024-05-26","387.8","387.8","374","378","-2.53 %","14,700.00"
"MCHL","2024-05-22","401","410","385.3","387.8","-3.05 %","20,450.00"
"MCHL","2024-05-21","374","402","374","400","6.95 %","47,287.00"
"MCHL","2024-05-20","370","383","370","374","1.08 %","9,252.00"
"MCHL","2024-05-19","368","376","364.1","370","0.14 %","8,690.00"
"MCHL","2024-05-16","368.1","375","363.6","369.5","-0.94 %","13,484.00"
"MCHL","2024-05-15","372","385","372","373","-1.58 %","19,924.00"
"MCHL","2024-05-14","371.2","383.8","362.6","379","4.12 %","11,837.00"
"MCHL","2024-05-13","361","367","359","364","0.83 %","6,683.00"
"MCHL","2024-05-12","359","365","355","361","0.56 %","4,451.00"
"MCHL","2024-05-09","356","367.1","356","359","-0.17 %","8,740.00"
"MCHL","2024-05-08","355","364.9","355","359.6","0.70 %","7,359.00"
"MCHL","2024-05-07","365","372","357","357.1","-2.16 %","8,522.00"
"MCHL","2024-05-06","365.1","365.1","356","365","1.96 %","7,428.00"
"MCHL","2024-05-05","379.9","379.9","355","358","-4.15 %","19,543.00"
"MCHL","2024-05-02","375.1","388.9","373","373.5","-2.20 %","10,286.00"
"MCHL","2024-04-30","362","385","362","381.9","5.58 %","20,208.00"
"MCHL","2024-04-29","373.9","381","361.7","361.7","-3.21 %","21,953.00"
"MCHL","2024-04-28","375","400","372.2","373.7","-1.40 %","11,119.00"
"MCHL","2024-04-25","376","389","370","379","-0.79 %","21,865.00"
"MCHL","2024-04-24","392","397","375","382","-1.80 %","15,713.00"
"MCHL","2024-04-22","400.1","419","389","389","-3.95 %","46,301.00"
"MCHL","2024-04-21","407","412","398","405","-0.98 %","23,500.00"
"MCHL","2024-04-18","400","424","397","409","1.74 %","32,951.00"
"MCHL","2024-04-16","418","420","400","402","-1.95 %","32,237.00"
"MCHL","2024-04-15","390.6","419","385","410","7.05 %","79,690.00"
"MCHL","2024-04-14","371","395","370","383","3.51 %","26,335.00"
"MCHL","2024-04-10","363","376.2","360","370","1.93 %","22,042.00"
"MCHL","2024-04-09","360","372","358","363","1.40 %","10,610.00"
"MCHL","2024-04-07","365","365","353","358","-0.50 %","5,643.00"
"MCHL","2024-04-04","349.1","364","349.1","359.8","1.93 %","7,666.00"
"MCHL","2024-04-03","363","368","352","353","-2.75 %","9,605.00"
"MCHL","2024-04-02","372","372","351","363","-0.55 %","12,941.00"
"MCHL","2024-04-01","365","371","353","365","1.39 %","31,472.00"
"MCHL","2024-03-31","358","375","355","360","1.41 %","27,069.00"
"MCHL","2024-03-28","335","364","335","355","5.03 %","25,478.00"
"MCHL","2024-03-27","344","347","332","338","-1.97 %","11,616.00"
"MCHL","2024-03-26","319.1","347.7","319","344.8","6.42 %","13,625.00"
