"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MDB","2024-08-11","622.3","660","622.3","645","1.57 %","105,977.00"
"MDB","2024-08-08","608","651","608","635","2.42 %","124,576.00"
"MDB","2024-08-07","601.8","627","601.8","620","0.98 %","65,177.00"
"MDB","2024-08-06","627.1","635","600.1","614","-0.15 %","108,909.00"
"MDB","2024-08-05","606.3","620","601.3","614.9","0.80 %","78,404.00"
"MDB","2024-08-01","611.6","623.9","610","610","-2.24 %","81,019.00"
"MDB","2024-07-31","636.4","644","620","624","0.00 %","124,578.00"
"MDB","2024-07-30","617.6","624","600","624","3.06 %","52,954.00"
"MDB","2024-07-29","638.5","638.5","605","605.5","-3.27 %","114,129.00"
"MDB","2024-07-28","640","652.8","612.5","626","-2.19 %","126,964.00"
"MDB","2024-07-25","679.2","679.2","635","640","-7.65 %","190,757.00"
"MDB","2024-07-24","630.9","694","617","693","7.66 %","229,860.00"
"MDB","2024-07-23","595","643.7","595","643.7","7.10 %","128,450.00"
"MDB","2024-07-22","596.7","631.3","592.1","601","-1.28 %","77,125.00"
"MDB","2024-07-21","585","628.3","578.1","608.8","2.16 %","82,076.00"
"MDB","2024-07-18","588","620","585","595.9","-0.68 %","110,187.00"
"MDB","2024-07-17","599.7","618","575","600","2.04 %","95,321.00"
"MDB","2024-07-16","550","591","531","588","8.89 %","97,769.00"
"MDB","2024-07-15","559","559","540","540","-2.00 %","33,621.00"
"MDB","2024-07-14","559","582.4","549","551","0.36 %","44,102.00"
"MDB","2024-07-11","546.9","580.2","545","549","-1.61 %","95,701.00"
"MDB","2024-07-10","553.7","587.4","549","558","-1.22 %","82,756.00"
"MDB","2024-07-09","548.8","592","548.8","564.9","0.88 %","102,831.00"
"MDB","2024-07-08","550.1","560","541","560","0.54 %","62,725.00"
"MDB","2024-07-07","574.1","574.1","545","557","-1.05 %","83,433.00"
"MDB","2024-07-04","549.2","575","547.1","562.9","3.10 %","87,252.00"
"MDB","2024-07-03","515","548","505.1","546","6.64 %","145,468.00"
"MDB","2024-07-02","506.9","527.3","498","512","3.02 %","49,923.00"
"MDB","2024-07-01","502.4","502.4","490.2","497","0.89 %","16,241.00"
"MDB","2024-06-30","495.1","503","492.4","492.6","-2.07 %","33,791.00"
"MDB","2024-06-27","508","515","498.1","503","-0.87 %","37,611.00"
"MDB","2024-06-26","491","507.9","487","507.4","3.55 %","67,213.00"
"MDB","2024-06-25","500","511","483.2","490","-0.61 %","55,921.00"
"MDB","2024-06-24","485","500","482","493","1.65 %","26,881.00"
"MDB","2024-06-23","484","490","480","485","0.83 %","12,486.00"
"MDB","2024-06-20","494","494","481","481","-1.43 %","22,747.00"
"MDB","2024-06-19","487.8","495","483","488","-1.37 %","19,761.00"
"MDB","2024-06-18","495","504.9","487","494.8","-0.82 %","20,636.00"
"MDB","2024-06-16","508","516","495","498.9","-1.97 %","36,485.00"
"MDB","2024-06-13","482","520","482","508.9","4.07 %","102,761.00"
"MDB","2024-06-12","492","496","485","489","-0.71 %","17,076.00"
"MDB","2024-06-11","483.1","494","482","492.5","2.18 %","37,984.00"
"MDB","2024-06-10","481.1","490","480","482","-0.06 %","19,479.00"
"MDB","2024-06-09","484","490","478.1","482.3","0.92 %","39,753.00"
"MDB","2024-06-06","480.1","488","477.4","477.9","-2.07 %","14,531.00"
"MDB","2024-06-05","485","489.1","477.9","488","1.04 %","23,527.00"
"MDB","2024-06-04","493","493","476.1","483","-0.21 %","13,062.00"
"MDB","2024-06-03","480","490","475","484","0.85 %","26,708.00"
"MDB","2024-06-02","488.5","495","476.8","479.9","-0.02 %","13,308.00"
"MDB","2024-05-30","480","485","477.3","480","-1.03 %","26,289.00"
"MDB","2024-05-29","496.7","496.7","479","485","-0.41 %","32,324.00"
"MDB","2024-05-27","485","495","480","487","2.08 %","40,624.00"
"MDB","2024-05-26","479.3","490","470","477.1","-2.43 %","74,385.00"
"MDB","2024-05-22","494.9","495","484","489","-0.71 %","21,143.00"
"MDB","2024-05-21","495","500","478","492.5","0.92 %","37,493.00"
"MDB","2024-05-20","500","500","483.2","488","-1.21 %","50,153.00"
"MDB","2024-05-19","476.9","503.5","476.9","494","1.52 %","81,828.00"
"MDB","2024-05-16","472","502.8","469.2","486.6","2.44 %","112,929.00"
"MDB","2024-05-15","475","480","471.2","475","0.02 %","48,856.00"
"MDB","2024-05-14","463","490","460","474.9","2.13 %","79,052.00"
"MDB","2024-05-13","473","473","460","465","0.22 %","33,170.00"
"MDB","2024-05-12","460","472","453","464","2.88 %","119,457.00"
