"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEGA","2023-01-10","218","230","213","219","0.92 %","213,804.00"
"MEGA","2023-01-09","207","217","207","217","4.88 %","268,379.00"
"MEGA","2023-01-08","205.9","211","205","206.9","0.49 %","185,890.00"
"MEGA","2023-01-05","207","210","205","205.9","-0.48 %","114,403.00"
"MEGA","2023-01-04","206","207","204","206.9","-0.05 %","68,005.00"
"MEGA","2023-01-03","204.2","207","204","207","0.98 %","92,007.00"
"MEGA","2023-01-02","204","207.5","203.6","205","0.00 %","88,555.00"
"MEGA","2023-01-01","207","208.5","203.2","205","0.10 %","190,796.00"
"MEGA","2022-12-29","201.1","204.9","200","204.8","0.84 %","85,420.00"
"MEGA","2022-12-28","203.9","204.9","200","203.1","-0.73 %","68,008.00"
"MEGA","2022-12-27","197","210","197","204.6","4.12 %","98,090.00"
"MEGA","2022-12-26","190.7","198","186.7","196.5","5.08 %","58,503.00"
"MEGA","2022-12-22","187.2","191","186.7","187","-1.79 %","71,436.00"
"MEGA","2022-12-21","186","192","186","190.4","1.17 %","14,217.00"
"MEGA","2022-12-20","187","190.6","187","188.2","0.16 %","28,668.00"
"MEGA","2022-12-19","185","188.7","183.5","187.9","1.57 %","68,725.00"
"MEGA","2022-12-18","194.5","194.5","185","185","-3.39 %","64,418.00"
"MEGA","2022-12-15","195.9","196","191.1","191.5","-1.24 %","24,900.00"
"MEGA","2022-12-14","196","196","193.2","193.9","-0.05 %","9,217.00"
"MEGA","2022-12-13","193.3","198.9","193","194","-1.52 %","33,003.00"
"MEGA","2022-12-12","196.3","198","192.7","197","0.36 %","51,482.00"
"MEGA","2022-12-11","205","205","196.2","196.3","-4.07 %","53,477.00"
"MEGA","2022-12-07","214","216","212.6","212.8","-0.75 %","39,069.00"
"MEGA","2022-12-06","214","216","213.6","214.4","0.14 %","95,761.00"
"MEGA","2022-12-05","214","218","214","214.1","-0.88 %","116,986.00"
"MEGA","2022-12-04","215","216.2","214","216","0.47 %","92,050.00"
"MEGA","2022-12-01","214","216.3","213","215","1.03 %","50,380.00"
"MEGA","2022-11-30","216","216.2","212.8","212.8","-1.48 %","64,573.00"
"MEGA","2022-11-29","214","217","213.4","216","0.00 %","46,017.00"
"MEGA","2022-11-28","219","219","214.1","216","-0.69 %","70,682.00"
"MEGA","2022-11-27","219","219","216","217.5","-0.68 %","79,945.00"
"MEGA","2022-11-24","218","222","217.4","219","-0.45 %","46,893.00"
"MEGA","2022-11-23","222","222","217.8","220","-1.35 %","113,447.00"
"MEGA","2022-11-22","230.5","230.5","215.1","223","-1.33 %","169,828.00"
"MEGA","2022-06-10","230","230","223","226","-1.31 %","140,978.00"
"MEGA","2022-06-09","226.1","231.9","226.1","229","-0.35 %","82,552.00"
"MEGA","2022-06-08","226","231.5","223","229.8","2.13 %","50,058.00"
"MEGA","2022-06-07","226.2","230","225","225","-1.75 %","37,576.00"
"MEGA","2022-06-06","231","232.9","226.3","229","-0.65 %","54,218.00"
"MEGA","2022-06-03","239","241","230.5","230.5","-2.74 %","96,278.00"
"MEGA","2022-06-02","238","242","235.4","237","1.28 %","86,865.00"
"MEGA","2022-06-01","230","235.5","228","234","0.43 %","118,830.00"
"MEGA","2022-05-31","238","238","232.2","233","-3.72 %","74,764.00"
"MEGA","2022-05-30","254","255","239","242","-3.20 %","98,529.00"
"MEGA","2022-05-27","252.4","262","243","250","1.01 %","388,507.00"
"MEGA","2022-05-26","227","247.5","224","247.5","10.00 %","225,628.00"
"MEGA","2022-05-25","226","226","222.1","225","0.00 %","23,382.00"
"MEGA","2022-05-24","222","226.4","220.1","225","0.90 %","20,607.00"
"MEGA","2022-05-23","225","228","221.9","223","-0.89 %","40,650.00"
"MEGA","2022-05-20","227.1","228","224.2","225","-1.01 %","25,004.00"
"MEGA","2022-05-19","228","230","226.1","227.3","-0.74 %","18,686.00"
"MEGA","2022-05-18","227.7","230","225.4","229","0.00 %","13,060.00"
"MEGA","2022-05-17","232.3","233","228","228","-3.80 %","28,131.00"
"MEGA","2022-05-12","240","240","236","237","0.00 %","21,671.00"
"MEGA","2022-05-11","235","237","231","237","2.16 %","38,166.00"
"MEGA","2022-05-10","230","232","228","232","0.83 %","19,411.00"
"MEGA","2022-05-09","229","233","227","230.1","1.77 %","29,436.00"
"MEGA","2022-05-08","226.1","226.1","222.1","226.1","0.00 %","30,196.00"
"MEGA","2022-05-05","229","229","225","226.1","-1.27 %","27,162.00"
"MEGA","2022-05-04","231","231","227","229","-0.69 %","21,999.00"
"MEGA","2022-05-02","235","235","230.5","230.6","-1.87 %","20,347.00"
"MEGA","2022-04-28","235","239","235","235","-0.51 %","27,074.00"
"MEGA","2022-04-27","235","239","235","236.2","-0.76 %","14,105.00"
"MEGA","2022-04-26","240","241","236.5","238","-0.08 %","11,791.00"
"MEGA","2022-04-25","245","246","238","238.2","-1.57 %","25,325.00"
"MEGA","2022-04-24","233","243.5","233","242","3.86 %","30,352.00"
"MEGA","2022-04-21","236","236","231","233","-0.81 %","21,164.00"
"MEGA","2022-04-20","235","238","233","234.9","-0.04 %","26,677.00"
"MEGA","2022-04-19","233.1","236.9","231","235","0.82 %","22,063.00"
"MEGA","2022-04-18","240","240","233","233.1","-1.23 %","34,791.00"
"MEGA","2022-04-17","237","239","235","236","-0.21 %","28,078.00"
"MEGA","2022-04-13","239","239","232.4","236.5","0.85 %","25,771.00"
"MEGA","2022-04-12","242","242","233","234.5","-1.47 %","37,102.00"
"MEGA","2022-04-11","245","248","238","238","-0.96 %","51,972.00"
"MEGA","2022-04-07","241","243","238","240.3","0.54 %","53,546.00"
"MEGA","2022-04-06","244","244","238","239","-1.40 %","40,629.00"
"MEGA","2022-04-05","246","246.5","239.5","242.4","-1.46 %","75,001.00"
"MEGA","2022-04-04","249","252.5","245.5","246","-1.80 %","58,685.00"
"MEGA","2022-04-03","256","256","250","250.5","-0.99 %","40,895.00"
"MEGA","2022-03-31","256.9","256.9","253","253","-0.39 %","26,594.00"
"MEGA","2022-03-30","254","254.9","251","254","0.43 %","25,129.00"
"MEGA","2022-03-29","250","256","250","252.9","0.16 %","49,468.00"
"MEGA","2022-03-28","255","255.9","251","252.5","-1.37 %","39,508.00"
"MEGA","2022-03-27","262","262","254","256","-1.16 %","57,940.00"
"MEGA","2022-03-24","258","261","258","259","-0.77 %","37,592.00"
"MEGA","2022-03-23","265","265","260","261","-1.51 %","33,790.00"
"MEGA","2022-03-22","264.5","265.9","262.1","265","0.76 %","38,246.00"
"MEGA","2022-03-21","263","263","259","263","0.04 %","35,947.00"
"MEGA","2022-03-20","266","267","261","262.9","-1.17 %","34,576.00"
