"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKHL","2024-08-11","560","608","560","602","5.60 %","71,445.00"
"MKHL","2024-08-08","572","593.9","566","570.1","-0.33 %","29,831.00"
"MKHL","2024-08-07","560","581","551","572","2.14 %","12,080.00"
"MKHL","2024-08-06","575","595.9","555","560","-2.44 %","29,561.00"
"MKHL","2024-08-05","568.4","591.6","557.1","574","-1.03 %","31,545.00"
"MKHL","2024-08-01","586.3","592","563.5","580","-3.01 %","37,916.00"
"MKHL","2024-07-31","600","611","590","598","-2.13 %","111,128.00"
"MKHL","2024-07-30","614","636","600","611","0.16 %","97,109.00"
"MKHL","2024-07-29","634","634","585.9","610","-3.79 %","29,931.00"
"MKHL","2024-07-28","599","646.6","567","634","7.46 %","34,347.00"
"MKHL","2024-07-25","559","614","554.8","590","3.51 %","28,837.00"
"MKHL","2024-07-24","568","579","560","570","-1.55 %","33,469.00"
"MKHL","2024-07-23","565","580","555","579","3.37 %","36,600.00"
"MKHL","2024-07-22","566","570","550.5","560.1","0.20 %","22,749.00"
"MKHL","2024-07-21","555.3","572","555","559","-1.06 %","22,357.00"
"MKHL","2024-07-18","572.4","585","565","565","-3.25 %","84,404.00"
"MKHL","2024-07-17","590","633","580.1","584","-2.99 %","102,921.00"
"MKHL","2024-07-16","580","626","580","602","1.88 %","98,736.00"
"MKHL","2024-07-15","565","590.9","555","590.9","5.61 %","64,050.00"
"MKHL","2024-07-14","544.6","561","543","559.5","4.78 %","34,653.00"
"MKHL","2024-07-11","526.3","535.3","514","534","3.49 %","55,213.00"
"MKHL","2024-07-10","504","518","504","516","2.58 %","24,212.00"
"MKHL","2024-07-09","505","506","500.1","503","0.00 %","25,183.00"
"MKHL","2024-07-08","505","513","500","503","0.40 %","54,018.00"
"MKHL","2024-07-07","485.1","506","485.1","501","2.14 %","45,812.00"
"MKHL","2024-07-04","494","494","476","490.5","1.15 %","48,005.00"
"MKHL","2024-07-03","485","486","480","484.9","-0.23 %","30,375.00"
"MKHL","2024-07-02","486","504.9","477","486","1.99 %","23,476.00"
"MKHL","2024-07-01","475","480","475","476.5","0.27 %","24,324.00"
"MKHL","2024-06-30","480","487.5","470","475.2","-0.59 %","39,597.00"
"MKHL","2024-06-27","460","487","460","478","3.69 %","80,579.00"
"MKHL","2024-06-26","468.9","473.9","456.7","461","0.22 %","29,285.00"
"MKHL","2024-06-25","439","464","439","460","3.35 %","18,844.00"
"MKHL","2024-06-24","442","452.8","442","445.1","0.70 %","8,746.00"
"MKHL","2024-06-23","446","454","441","442","-2.21 %","11,120.00"
"MKHL","2024-06-20","450","458","446","452","0.44 %","7,168.00"
"MKHL","2024-06-19","445","458","441.3","450","2.11 %","14,837.00"
"MKHL","2024-06-18","453","459.9","440","440.7","-2.72 %","20,831.00"
"MKHL","2024-06-16","465","465","452","453","-1.09 %","17,147.00"
"MKHL","2024-06-13","469","469","456","458","-0.43 %","50,974.00"
"MKHL","2024-06-12","461","470","456","460","1.52 %","55,063.00"
"MKHL","2024-06-11","460","463","450","453.1","-0.31 %","32,792.00"
"MKHL","2024-06-10","443","465","440","454.5","2.60 %","28,575.00"
"MKHL","2024-06-09","458.7","466","443","443","-5.34 %","58,149.00"
"MKHL","2024-06-06","510","510","456","468","-6.40 %","100,712.00"
"MKHL","2024-06-05","447","501","447","500","9.65 %","55,086.00"
"MKHL","2024-06-04","451","465","446.2","456","-0.85 %","21,889.00"
"MKHL","2024-06-03","469.9","470","453.1","459.9","-2.13 %","35,766.00"
"MKHL","2024-06-02","435.3","472","435.3","469.9","8.02 %","68,687.00"
"MKHL","2024-05-30","421","440","420.5","435","3.69 %","31,309.00"
"MKHL","2024-05-29","435","452.5","419.5","419.5","-1.76 %","17,301.00"
"MKHL","2024-05-27","427","438.6","425","427","-0.21 %","12,118.00"
"MKHL","2024-05-26","426.2","435","425","427.9","-1.41 %","17,384.00"
"MKHL","2024-05-22","448.8","448.8","430","434","-2.03 %","25,650.00"
"MKHL","2024-05-21","452.8","456","430","443","-0.23 %","34,792.00"
"MKHL","2024-05-20","418","450","415.1","444","8.21 %","67,616.00"
"MKHL","2024-05-19","401","418","400.1","410.3","0.56 %","12,963.00"
"MKHL","2024-05-16","410.7","417","403.8","408","-1.45 %","18,697.00"
"MKHL","2024-05-15","425","433","411","414","-2.59 %","8,906.00"
"MKHL","2024-05-14","418","435","416","425","1.67 %","21,045.00"
"MKHL","2024-05-13","410.1","418","406.9","418","0.05 %","11,634.00"
"MKHL","2024-05-12","425","425","410","417.8","-1.69 %","10,303.00"
"MKHL","2024-05-09","420.9","442","420.9","425","0.97 %","50,549.00"
"MKHL","2024-05-08","407","420.9","407","420.9","2.66 %","8,418.00"
"MKHL","2024-05-07","399","418.7","399","410","0.74 %","10,438.00"
"MKHL","2024-05-06","417","417","400.7","407","-0.73 %","15,954.00"
"MKHL","2024-05-05","430.4","430.4","405.1","410","-2.84 %","17,199.00"
"MKHL","2024-05-02","430","442","416.5","422","-3.01 %","30,571.00"
"MKHL","2024-04-30","433.1","450","433.1","435.1","-1.34 %","61,324.00"
"MKHL","2024-04-29","456.9","464","428","441","-1.56 %","37,631.00"
