"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MLBL","2024-08-11","445","453.9","438","447","2.29 %","220,766.00"
"MLBL","2024-08-08","449.5","459","435","437","-0.91 %","162,896.00"
"MLBL","2024-08-07","413","441.9","410","441","6.78 %","209,561.00"
"MLBL","2024-08-06","447","449.8","410.1","413","-7.65 %","247,767.00"
"MLBL","2024-08-05","467","467","436","447.2","-2.36 %","238,541.00"
"MLBL","2024-08-01","452.8","475","452.8","458","-0.43 %","221,378.00"
"MLBL","2024-07-31","427.9","461.7","418","460","9.58 %","466,288.00"
"MLBL","2024-07-30","412","428","403","419.8","1.65 %","176,059.00"
"MLBL","2024-07-29","435.5","435.5","410","413","-3.28 %","197,784.00"
"MLBL","2024-07-28","410.5","430","406","427","6.09 %","206,498.00"
"MLBL","2024-07-25","397","407.5","396","402.5","0.55 %","135,904.00"
"MLBL","2024-07-24","390.2","417","390.2","400.3","0.55 %","297,488.00"
"MLBL","2024-07-23","386.6","403.9","382","398.1","2.34 %","183,818.00"
"MLBL","2024-07-22","389.9","392","377.3","389","-0.23 %","133,922.00"
"MLBL","2024-07-21","387","392.7","376","389.9","1.19 %","151,508.00"
"MLBL","2024-07-18","386","399.8","381","385.3","0.34 %","227,089.00"
"MLBL","2024-07-17","377.4","384.5","366.1","384","3.78 %","180,537.00"
"MLBL","2024-07-16","350","375","350","370","5.11 %","111,293.00"
"MLBL","2024-07-15","370","370","350","352","-2.98 %","119,376.00"
"MLBL","2024-07-14","364.1","371","357.5","362.8","1.62 %","116,544.00"
"MLBL","2024-07-11","364.9","364.9","355","357","-0.28 %","87,865.00"
"MLBL","2024-07-10","360","364","355.2","358","0.03 %","86,067.00"
"MLBL","2024-07-09","349","360","345","357.9","3.74 %","221,445.00"
"MLBL","2024-07-08","350","350","342.2","345","-1.12 %","81,427.00"
"MLBL","2024-07-07","354.9","357","346","348.9","-0.31 %","138,907.00"
"MLBL","2024-07-04","340","354","335","350","4.17 %","492,748.00"
"MLBL","2024-07-03","322","336","321.3","336","2.75 %","137,793.00"
"MLBL","2024-07-02","329.4","341","323","327","1.24 %","81,009.00"
"MLBL","2024-07-01","316.2","324","316.2","323","2.44 %","56,827.00"
"MLBL","2024-06-30","311.7","318.1","311.7","315.3","-0.85 %","18,669.00"
"MLBL","2024-06-27","318.2","324","316.7","318","-1.18 %","32,221.00"
"MLBL","2024-06-26","323","328","320","321.8","-0.92 %","18,654.00"
"MLBL","2024-06-25","329","329.9","324.6","324.8","-0.37 %","34,515.00"
"MLBL","2024-06-24","322","327.9","319","326","2.77 %","126,801.00"
"MLBL","2024-06-23","324.8","324.8","317.2","317.2","-0.44 %","19,492.00"
"MLBL","2024-06-20","321.1","322","318","318.6","-1.58 %","38,952.00"
"MLBL","2024-06-19","329","329.3","321","323.7","0.22 %","15,340.00"
"MLBL","2024-06-18","331","331","323","323","-0.95 %","15,147.00"
"MLBL","2024-06-16","330","336","326.1","326.1","-0.88 %","25,799.00"
"MLBL","2024-06-13","329","339","324","329","0.95 %","70,287.00"
"MLBL","2024-06-12","329.9","330","323.4","325.9","0.43 %","21,334.00"
"MLBL","2024-06-11","321","327","321","324.5","1.09 %","20,047.00"
"MLBL","2024-06-10","321","326","320","321","-0.47 %","19,322.00"
"MLBL","2024-06-09","323.1","324.9","320.1","322.5","0.09 %","22,355.00"
"MLBL","2024-06-06","323","325","321","322.2","-0.46 %","28,273.00"
"MLBL","2024-06-05","328.7","328.7","321.1","323.7","-0.09 %","9,293.00"
"MLBL","2024-06-04","330","330","323","324","0.06 %","44,527.00"
"MLBL","2024-06-03","327.9","328","322.2","323.8","0.50 %","21,671.00"
"MLBL","2024-06-02","330","330","321","322.2","-0.52 %","19,020.00"
"MLBL","2024-05-30","325","327.7","321.4","323.9","-0.37 %","28,370.00"
"MLBL","2024-05-29","336","337","325","325.1","-1.78 %","32,634.00"
"MLBL","2024-05-27","332","335.7","329.1","331","0.61 %","34,184.00"
"MLBL","2024-05-26","332","338","329","329","-1.08 %","22,911.00"
"MLBL","2024-05-22","335","339","330.3","332.6","-0.72 %","34,584.00"
"MLBL","2024-05-21","330.3","338","330","335","0.30 %","28,519.00"
"MLBL","2024-05-20","335","341","332","334","1.00 %","39,361.00"
"MLBL","2024-05-19","334.5","334.5","327.4","330.7","0.82 %","31,223.00"
"MLBL","2024-05-16","333","333","326","328","-0.61 %","21,541.00"
