"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MMKJL","2024-08-11","692","692","665.2","689","-0.14 %","63,833.00"
"MMKJL","2024-08-08","632.1","690","618","690","6.98 %","83,941.00"
"MMKJL","2024-08-07","600.8","660","583.5","645","5.22 %","72,116.00"
"MMKJL","2024-08-06","618.2","640","578","613","1.14 %","92,416.00"
"MMKJL","2024-08-05","551","606.1","546.1","606.1","10.00 %","75,324.00"
"MMKJL","2024-08-01","569.9","575","550","551","-1.61 %","30,054.00"
"MMKJL","2024-07-31","570","581","556","560","-1.75 %","54,751.00"
"MMKJL","2024-07-30","574","590","568.4","570","-2.56 %","48,468.00"
"MMKJL","2024-07-29","573.3","632","569","585","0.00 %","31,134.00"
"MMKJL","2024-07-28","580","586","556","585","2.81 %","23,624.00"
"MMKJL","2024-07-25","590","590","565.1","569","-2.23 %","24,951.00"
"MMKJL","2024-07-24","593","598","575","582","-3.77 %","39,604.00"
"MMKJL","2024-07-23","599","632","587.1","604.8","2.34 %","47,314.00"
"MMKJL","2024-07-22","601.9","601.9","575","591","-3.75 %","56,707.00"
"MMKJL","2024-07-21","637","647.9","590","614","-5.54 %","127,406.00"
"MMKJL","2024-07-18","593","665","580","650","7.44 %","63,478.00"
"MMKJL","2024-07-17","602","605","580.1","605","2.37 %","47,934.00"
"MMKJL","2024-07-16","547.7","597.7","547.7","591","5.76 %","52,139.00"
"MMKJL","2024-07-15","536.1","568.9","530","558.8","2.16 %","59,974.00"
"MMKJL","2024-07-14","527.3","548","508","547","5.80 %","45,122.00"
"MMKJL","2024-07-11","522","527","512","517","-0.54 %","43,921.00"
"MMKJL","2024-07-10","504.9","523","493.9","519.8","4.59 %","64,426.00"
"MMKJL","2024-07-09","500","500","488","497","-1.19 %","13,873.00"
"MMKJL","2024-07-08","500","510","496","503","-0.20 %","12,587.00"
"MMKJL","2024-07-07","499","509","493","504","-0.20 %","98,271.00"
"MMKJL","2024-07-04","490","505","490","505","2.02 %","30,166.00"
"MMKJL","2024-07-03","496.4","504","492","495","-2.17 %","33,899.00"
"MMKJL","2024-07-02","515.6","525.9","493","506","0.10 %","19,379.00"
"MMKJL","2024-07-01","494","505.5","484.2","505.5","0.60 %","47,931.00"
"MMKJL","2024-06-30","505.7","558.1","498","502.5","-2.62 %","160,959.00"
"MMKJL","2024-06-27","511","517","505.5","516","1.20 %","83,968.00"
"MMKJL","2024-06-26","479.3","509.9","469.9","509.9","4.27 %","63,761.00"
"MMKJL","2024-06-25","481.3","494","481.3","489","-0.41 %","24,409.00"
"MMKJL","2024-06-24","485","493","483","491","0.10 %","28,367.00"
"MMKJL","2024-06-23","456","490.6","456","490.5","6.17 %","67,482.00"
"MMKJL","2024-06-20","471","487","462","462","-2.74 %","17,569.00"
"MMKJL","2024-06-19","464.2","476","450","475","4.37 %","24,599.00"
"MMKJL","2024-06-18","474","480.5","447","455.1","-2.98 %","35,114.00"
"MMKJL","2024-06-16","477.3","487","469.1","469.1","-3.60 %","10,668.00"
"MMKJL","2024-06-13","483.2","492.8","475","486.6","-1.30 %","32,753.00"
"MMKJL","2024-06-12","505.9","505.9","477","493","-0.60 %","55,858.00"
"MMKJL","2024-06-11","504.5","529","496","496","-1.59 %","38,509.00"
"MMKJL","2024-06-10","482","508.9","482","504","3.07 %","117,744.00"
"MMKJL","2024-06-09","488","497","480","489","0.20 %","64,639.00"
"MMKJL","2024-06-06","476","493","470.4","488","0.62 %","50,375.00"
"MMKJL","2024-06-05","479.4","498","456","485","3.19 %","72,970.00"
"MMKJL","2024-06-04","445","475","445","470","7.01 %","128,790.00"
"MMKJL","2024-06-03","445","447","437.1","439.2","0.50 %","29,675.00"
"MMKJL","2024-06-02","421.5","446","421.5","437","2.37 %","28,150.00"
"MMKJL","2024-05-30","427","440","418","426.9","-1.84 %","12,898.00"
"MMKJL","2024-05-29","443","443.2","414","434.9","0.07 %","8,686.00"
