"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NBB","2022-01-13","405","405","394","399","-0.25 %","254,583.00"
"NBB","2022-01-12","397.2","404","389","400","2.70 %","721,055.00"
"NBB","2022-01-11","397","397","385","389.5","-0.15 %","170,334.00"
"NBB","2022-01-10","400","405","387","390.1","-2.35 %","229,336.00"
"NBB","2022-01-09","405","410","399","399.5","0.13 %","171,653.00"
"NBB","2022-01-06","404","404","392.3","399","0.63 %","104,973.00"
"NBB","2022-01-05","411","411","396","396.5","-2.20 %","194,032.00"
"NBB","2022-01-04","405","407","395.3","405.4","1.86 %","367,258.00"
"NBB","2022-01-03","416","416","392","398","-2.45 %","312,095.00"
"NBB","2022-01-02","410.5","426.8","402.5","408","1.37 %","456,727.00"
"NBB","2021-12-29","376","402.5","369","402.5","9.08 %","525,944.00"
"NBB","2021-12-28","378.3","378.3","363.1","369","-0.51 %","68,062.00"
"NBB","2021-12-27","380","385","366","370.9","-0.56 %","164,764.00"
"NBB","2021-12-26","385","390","370","373","-1.35 %","105,948.00"
"NBB","2021-12-23","380","390","377","378.1","0.08 %","216,726.00"
"NBB","2021-12-22","382.5","390","375","377.8","0.75 %","164,774.00"
"NBB","2021-12-21","361.9","377.4","355","375","5.31 %","176,225.00"
"NBB","2021-12-20","360","367.2","354.8","356.1","0.42 %","136,629.00"
"NBB","2021-12-16","323","354.6","320","354.6","9.99 %","203,425.00"
"NBB","2021-12-15","328.9","335.5","321","322.4","-1.10 %","67,462.00"
"NBB","2021-12-14","320","332.5","320","326","3.49 %","25,367.00"
"NBB","2021-12-13","321","324","312","315","-3.67 %","78,901.00"
"NBB","2021-12-12","335","335.1","325.4","327","-3.00 %","82,215.00"
"NBB","2021-12-09","346","346","336.1","337.1","-2.29 %","42,617.00"
"NBB","2021-12-08","351","351","344.1","345","-1.71 %","34,072.00"
"NBB","2021-12-07","361.1","367","350","351","-2.23 %","30,470.00"
"NBB","2021-12-06","360","361","343.3","359","-0.28 %","82,415.00"
"NBB","2021-12-05","369.9","371","357","360","-1.37 %","143,547.00"
"NBB","2021-12-02","372","381","362.7","365","-1.30 %","129,851.00"
"NBB","2021-12-01","367.2","373","361.1","369.8","2.72 %","81,842.00"
"NBB","2021-11-30","349","360","344.3","360","3.15 %","73,923.00"
"NBB","2021-11-29","350","358","345.1","349","0.87 %","72,901.00"
"NBB","2021-11-28","360","360","343","346","-3.89 %","112,898.00"
"NBB","2021-11-25","372","372","357.7","360","-1.37 %","52,068.00"
"NBB","2021-11-24","360","369","357.1","365","0.27 %","61,841.00"
"NBB","2021-11-23","375","376","362","364","-1.36 %","55,968.00"
"NBB","2021-11-22","379.9","380","368","369","-1.34 %","61,531.00"
"NBB","2021-11-21","390.6","390.6","367.2","374","-2.35 %","128,540.00"
"NBB","2021-11-18","402.2","408.5","372","383","-2.89 %","298,399.00"
"NBB","2021-11-17","365","394.4","365","394.4","9.98 %","461,290.00"
"NBB","2021-11-16","332.5","358.6","332.5","358.6","10.00 %","221,034.00"
"NBB","2021-11-15","335.2","335.2","325","326","-0.82 %","39,735.00"
"NBB","2021-11-14","330","333","326","328.7","-1.91 %","51,481.00"
"NBB","2021-11-11","344","350","331","335.1","-2.59 %","49,935.00"
"NBB","2021-11-09","363","363.1","344","344","-3.37 %","60,478.00"
"NBB","2021-11-08","356.1","372.4","356","356","-0.31 %","69,406.00"
"NBB","2021-11-03","360","365","357","357.1","0.08 %","67,905.00"
"NBB","2021-11-02","360","367","355","356.8","-2.75 %","73,319.00"
"NBB","2021-11-01","380","380","365.1","366.9","-3.49 %","150,604.00"
"NBB","2021-10-31","435","435","422","425.8","-0.98 %","295,888.00"
"NBB","2021-10-28","434","434","427","430","0.00 %","79,071.00"
"NBB","2021-10-27","428","436","412.6","430","2.26 %","121,478.00"
"NBB","2021-10-26","409","425","406","420.5","3.83 %","67,324.00"
"NBB","2021-10-25","395","405","390","405","3.00 %","99,354.00"
"NBB","2021-10-24","386","395.5","383","393.2","1.87 %","58,351.00"
"NBB","2021-10-21","394.9","394.9","382","386","-1.05 %","76,582.00"
"NBB","2021-10-20","394.2","410","388","390.1","0.93 %","59,726.00"
"NBB","2021-10-19","402","402","382.3","386.5","-4.09 %","107,086.00"
"NBB","2021-10-18","405","412","402","403","-2.18 %","49,026.00"
"NBB","2021-10-17","424","424","410","412","-0.96 %","22,504.00"
"NBB","2021-10-11","417.8","421","408","416","-0.43 %","76,663.00"
"NBB","2021-10-10","445","445","417.7","417.8","-4.83 %","358,811.00"
"NBB","2021-10-06","441","444","433","439","1.20 %","65,141.00"
"NBB","2021-10-05","428.1","435","426.5","433.8","1.85 %","53,907.00"
"NBB","2021-10-04","422","430","421","425.9","-0.26 %","115,303.00"
"NBB","2021-10-03","443","446","426","427","-2.51 %","88,843.00"
