"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NGPL","2024-08-11","470","485.8","465","473.3","0.72 %","761,420.00"
"NGPL","2024-08-08","453","484","453","469.9","3.73 %","715,228.00"
"NGPL","2024-08-07","422","454","412","453","8.63 %","757,613.00"
"NGPL","2024-08-06","449.2","449.2","415.1","417","-5.44 %","607,905.00"
"NGPL","2024-08-05","423","448.7","411.6","441","4.01 %","675,640.00"
"NGPL","2024-08-01","435","436.5","418","424","-2.53 %","787,692.00"
"NGPL","2024-07-31","443","455","429","435","-1.58 %","560,468.00"
"NGPL","2024-07-30","420","451","417","442","5.24 %","557,180.00"
"NGPL","2024-07-29","397","432","395.3","420","5.79 %","891,073.00"
"NGPL","2024-07-28","397.8","400","378.3","397","1.77 %","445,984.00"
"NGPL","2024-07-25","390.7","392","383","390.1","-0.15 %","253,904.00"
"NGPL","2024-07-24","399.9","406","382.6","390.7","-1.86 %","429,627.00"
"NGPL","2024-07-23","384","406","376","398.1","5.04 %","510,959.00"
"NGPL","2024-07-22","376","382.5","366.1","379","1.07 %","433,884.00"
"NGPL","2024-07-21","380.4","384","365.1","375","0.54 %","479,924.00"
"NGPL","2024-07-18","367","387","360.3","373","1.91 %","805,741.00"
"NGPL","2024-07-17","377","380","358","366","-1.05 %","519,651.00"
"NGPL","2024-07-16","347","370","347","369.9","8.48 %","600,715.00"
"NGPL","2024-07-15","334.5","348","326","341","3.96 %","524,139.00"
"NGPL","2024-07-14","330","339","325","328","1.23 %","276,534.00"
"NGPL","2024-07-11","335.5","335.5","323","324","-1.52 %","132,938.00"
"NGPL","2024-07-10","333","336.5","327","329","0.77 %","266,017.00"
"NGPL","2024-07-09","318","330","312.1","326.5","3.65 %","408,836.00"
"NGPL","2024-07-08","315","317.3","311.2","315","1.25 %","142,089.00"
"NGPL","2024-07-07","315","316","308.7","311.1","0.35 %","167,049.00"
"NGPL","2024-07-04","313.4","315","308","310","0.65 %","82,308.00"
"NGPL","2024-07-03","318","318","305","308","-1.22 %","73,713.00"
"NGPL","2024-07-02","311.1","323","308","311.8","2.23 %","154,856.00"
"NGPL","2024-07-01","303","307.1","303","305","0.66 %","46,711.00"
"NGPL","2024-06-30","307","308","301","303","-0.69 %","42,437.00"
"NGPL","2024-06-27","306","310.1","302.1","305.1","-0.94 %","93,356.00"
"NGPL","2024-06-26","308","314.9","305.1","308","0.33 %","93,993.00"
"NGPL","2024-06-25","313.5","313.8","306.3","307","-0.94 %","63,933.00"
"NGPL","2024-06-24","312.1","319","307","309.9","-0.67 %","81,786.00"
"NGPL","2024-06-23","314","321","311.1","312","0.65 %","141,205.00"
"NGPL","2024-06-20","315","316.1","308.7","310","-1.59 %","108,345.00"
"NGPL","2024-06-19","319.9","320","314","315","0.00 %","53,914.00"
"NGPL","2024-06-18","320","325","311","315","-0.32 %","193,574.00"
"NGPL","2024-06-16","311","329","310","316","2.27 %","474,800.00"
"NGPL","2024-06-13","313","313.9","306","309","-1.44 %","184,652.00"
"NGPL","2024-06-12","313","316","307.8","313.5","0.48 %","91,509.00"
"NGPL","2024-06-11","305","319","303.5","312","3.31 %","254,316.00"
"NGPL","2024-06-10","300","308","299","302","0.50 %","129,663.00"
"NGPL","2024-06-09","303","305","300","300.5","0.13 %","76,543.00"
"NGPL","2024-06-06","303.2","307","300","300.1","-0.96 %","85,803.00"
"NGPL","2024-06-05","306","310","301","303","-1.27 %","45,588.00"
"NGPL","2024-06-04","309.5","311","306","306.9","-0.39 %","51,148.00"
"NGPL","2024-06-03","308","310","305","308.1","0.00 %","80,302.00"
"NGPL","2024-06-02","310","314","308","308.1","-0.29 %","63,437.00"
"NGPL","2024-05-30","301.1","320","300","309","2.05 %","495,343.00"
"NGPL","2024-05-29","310","313","300","302.8","-0.66 %","63,911.00"
"NGPL","2024-05-27","304","307","301.4","304.8","0.63 %","36,696.00"
"NGPL","2024-05-26","309.9","309.9","301","302.9","-1.17 %","59,944.00"
"NGPL","2024-05-22","310.8","315","306","306.5","-1.35 %","59,227.00"
"NGPL","2024-05-21","310","316.1","305","310.7","1.21 %","165,632.00"
"NGPL","2024-05-20","305.3","314","304.5","307","0.82 %","113,985.00"
"NGPL","2024-05-19","307.8","308","299.9","304.5","0.89 %","73,274.00"
"NGPL","2024-05-16","300.6","307","300.1","301.8","-0.40 %","57,099.00"
"NGPL","2024-05-15","311","312","301.3","303","-2.19 %","47,828.00"
"NGPL","2024-05-14","303","310","302.6","309.8","2.92 %","77,381.00"
"NGPL","2024-05-13","299","304","298.5","301","0.17 %","58,713.00"
"NGPL","2024-05-12","300","305","299","300.5","0.74 %","47,696.00"
"NGPL","2024-05-09","303","304.9","298.3","298.3","-1.36 %","89,158.00"
"NGPL","2024-05-08","309","309","300","302.4","-0.20 %","41,397.00"
"NGPL","2024-05-07","302.1","311","300","303","-0.66 %","59,755.00"
"NGPL","2024-05-06","306","309.9","303","305","0.07 %","54,326.00"
"NGPL","2024-05-05","316.8","316.8","302.8","304.8","-1.90 %","117,423.00"
"NGPL","2024-05-02","319","323","310.4","310.7","-2.88 %","79,496.00"
"NGPL","2024-04-30","310.1","321.3","310","319.9","2.17 %","123,906.00"
"NGPL","2024-04-29","319","319","313","313.1","-0.67 %","52,617.00"
"NGPL","2024-04-28","319","321","312.1","315.2","0.70 %","82,595.00"
"NGPL","2024-04-25","313.1","318","311","313","-0.79 %","63,328.00"
"NGPL","2024-04-24","313","324","304.2","315.5","1.77 %","115,450.00"
"NGPL","2024-04-22","320.9","323","309.7","310","-2.67 %","79,884.00"
"NGPL","2024-04-21","311","326","306.1","318.5","2.05 %","68,568.00"
"NGPL","2024-04-18","314","315","307","312.1","-0.92 %","113,068.00"
"NGPL","2024-04-16","330","330","314.8","315","-3.37 %","102,481.00"
