"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NHDL","2024-08-11","661.9","674","649","660","1.69 %","29,501.00"
"NHDL","2024-08-08","662","670","641.1","649","-1.80 %","26,881.00"
"NHDL","2024-08-07","620","660.9","607.6","660.9","6.60 %","65,033.00"
"NHDL","2024-08-06","672","685.4","618","620","-7.74 %","41,521.00"
"NHDL","2024-08-05","690","695","660","672","-4.55 %","49,557.00"
"NHDL","2024-08-01","644","704","617","704","10.00 %","88,770.00"
"NHDL","2024-07-31","602","640","601.5","640","8.14 %","88,126.00"
"NHDL","2024-07-30","586.5","595","572.1","591.8","2.92 %","30,853.00"
"NHDL","2024-07-29","561.2","590","561.2","575","0.52 %","28,663.00"
"NHDL","2024-07-28","586","586","558.8","572","-0.52 %","22,676.00"
"NHDL","2024-07-25","573","580","564.1","575","0.30 %","26,048.00"
"NHDL","2024-07-24","599","599","569.1","573.3","-3.52 %","30,094.00"
"NHDL","2024-07-23","606","606","590","594.2","-0.13 %","42,188.00"
"NHDL","2024-07-22","579","595","566","595","4.59 %","23,348.00"
"NHDL","2024-07-21","576","578.9","567.2","568.9","-1.23 %","38,723.00"
"NHDL","2024-07-18","577","598","575","576","0.17 %","29,639.00"
"NHDL","2024-07-17","573","583","562.1","575","2.31 %","40,618.00"
"NHDL","2024-07-16","534","573","526","562","5.24 %","77,100.00"
"NHDL","2024-07-15","535.1","545.8","534","534","-1.64 %","80,042.00"
"NHDL","2024-07-14","531","543","522","542.9","4.12 %","42,828.00"
"NHDL","2024-07-11","521","527","517.6","521.4","0.08 %","10,871.00"
"NHDL","2024-07-10","512.1","527","512.1","521","0.19 %","10,279.00"
"NHDL","2024-07-09","524.8","524.8","510.2","520","0.97 %","32,919.00"
"NHDL","2024-07-08","518","519","512","515","0.39 %","10,581.00"
"NHDL","2024-07-07","524.1","531.8","512.1","513","-0.19 %","13,583.00"
"NHDL","2024-07-04","530","530","514","514","-1.15 %","29,081.00"
"NHDL","2024-07-03","514","534","514","520","-0.80 %","22,538.00"
"NHDL","2024-07-02","533.4","554","523","524.2","0.23 %","19,149.00"
"NHDL","2024-07-01","515.2","528","513.4","523","0.38 %","30,252.00"
"NHDL","2024-06-30","528","533","520.2","521","0.19 %","42,550.00"
"NHDL","2024-06-27","532","532","520","520","-0.76 %","7,090.00"
"NHDL","2024-06-26","543.6","543.6","516.6","524","-1.69 %","9,078.00"
"NHDL","2024-06-25","530","539.9","525","533","2.50 %","26,539.00"
"NHDL","2024-06-24","524","527","515","520","1.17 %","20,101.00"
"NHDL","2024-06-23","530.7","540","514","514","-1.21 %","13,476.00"
"NHDL","2024-06-20","525","530","520","520.3","-0.33 %","40,046.00"
"NHDL","2024-06-19","524","533.7","520","522","-0.95 %","21,047.00"
"NHDL","2024-06-18","540.5","548","524.4","527","-3.64 %","32,362.00"
"NHDL","2024-06-16","549.9","555","530","546.9","1.09 %","28,463.00"
"NHDL","2024-06-13","540","544","529.2","541","0.71 %","54,583.00"
"NHDL","2024-06-12","541","556","534","537.2","-2.11 %","37,480.00"
"NHDL","2024-06-11","544.6","551.8","523.2","548.8","2.77 %","72,988.00"
"NHDL","2024-06-10","502.5","542.6","502.5","534","6.35 %","184,176.00"
"NHDL","2024-06-09","522","522","494","502.1","-2.33 %","36,531.00"
"NHDL","2024-06-06","476.1","514.1","476.1","514.1","6.66 %","30,001.00"
"NHDL","2024-06-05","489","493","477","482","0.35 %","10,636.00"
"NHDL","2024-06-04","502","502","480","480.3","-2.58 %","29,540.00"
"NHDL","2024-06-03","516","516","490","493","-2.59 %","54,807.00"
"NHDL","2024-06-02","500","510","490","506.1","1.22 %","52,424.00"
"NHDL","2024-05-30","472.5","509","472.5","500","5.02 %","106,835.00"
"NHDL","2024-05-29","483.2","487","470","476.1","0.42 %","21,060.00"
"NHDL","2024-05-27","476","483.5","458","474.1","1.52 %","10,143.00"
"NHDL","2024-05-26","499","499","463.1","467","-4.69 %","15,811.00"
"NHDL","2024-05-22","523","523","484","490","-4.48 %","27,382.00"
"NHDL","2024-05-21","480","513","464.1","513","8.69 %","64,319.00"
"NHDL","2024-05-20","474.9","480","465.5","472","0.43 %","59,452.00"
"NHDL","2024-05-19","464","476","454.4","470","1.29 %","41,047.00"
"NHDL","2024-05-16","445","474.1","443.2","464","2.61 %","35,006.00"
"NHDL","2024-05-15","444.1","475.3","444.1","452.2","1.16 %","37,114.00"
"NHDL","2024-05-14","428","448","428","447","5.90 %","38,137.00"
"NHDL","2024-05-13","416.1","422.1","415.2","422.1","0.57 %","2,905.00"
"NHDL","2024-05-12","436.3","436.5","419.7","419.7","-1.94 %","3,883.00"
"NHDL","2024-05-09","416.5","433.5","410","428","0.71 %","5,627.00"
"NHDL","2024-05-08","430","430","408.9","425","0.24 %","5,888.00"
"NHDL","2024-05-07","424.4","424.4","413.3","424","1.90 %","1,617.00"
"NHDL","2024-05-06","434.8","434.9","415.8","416.1","-2.78 %","2,157.00"
"NHDL","2024-05-05","417","436.9","417","428","1.37 %","9,835.00"
"NHDL","2024-05-02","429","430","422.2","422.2","-0.78 %","8,093.00"
"NHDL","2024-04-30","432.8","433.5","424.5","425.5","0.24 %","9,001.00"
"NHDL","2024-04-29","414.4","424.5","414.4","424.5","2.49 %","5,347.00"
"NHDL","2024-04-28","420","420.5","412.5","414.2","0.53 %","2,717.00"
"NHDL","2024-04-25","425","430","412","412","-1.44 %","4,531.00"
"NHDL","2024-04-24","415","418","410","418","0.70 %","2,813.00"
"NHDL","2024-04-22","420.9","420.9","415.1","415.1","0.02 %","1,931.00"
"NHDL","2024-04-21","408","418","408","415","0.85 %","1,534.00"
"NHDL","2024-04-18","410.7","424","410.7","411.5","-1.58 %","2,838.00"
"NHDL","2024-04-16","412.2","425","412.2","418.1","-0.45 %","3,628.00"
"NHDL","2024-04-15","424.6","429","420","420","-2.10 %","2,292.00"
"NHDL","2024-04-14","423","434.8","421","429","2.63 %","3,175.00"
"NHDL","2024-04-10","417.1","428.4","414","418","-0.95 %","5,195.00"
"NHDL","2024-04-09","430.9","430.9","422","422","-0.24 %","3,398.00"
"NHDL","2024-04-07","414","425","414","423","2.15 %","1,968.00"
"NHDL","2024-04-04","412","420","412","414.1","-0.70 %","2,336.00"
"NHDL","2024-04-03","416.4","420","416.4","417","0.17 %","2,681.00"
"NHDL","2024-04-02","416","418.5","416","416.3","-0.64 %","1,257.00"
"NHDL","2024-04-01","416","422","416","419","-0.05 %","2,399.00"
"NHDL","2024-03-31","421","426","419","419.2","-1.36 %","6,479.00"
"NHDL","2024-03-28","413.4","428","413.4","425","0.95 %","1,226.00"
"NHDL","2024-03-27","430","431","420.7","421","-1.86 %","3,796.00"
"NHDL","2024-03-26","429.5","436","416.2","429","1.88 %","4,342.00"
"NHDL","2024-03-25","420","429.9","420","421.1","-0.33 %","1,837.00"
"NHDL","2024-03-21","421.6","429.9","421.6","422.5","-1.74 %","4,262.00"
"NHDL","2024-03-20","425","433.5","425","430","-0.02 %","2,246.00"
"NHDL","2024-03-19","445","445","429","430.1","-3.57 %","4,814.00"
"NHDL","2024-03-18","429.9","446.7","424","446","4.18 %","4,298.00"
"NHDL","2024-03-17","438","438","425","428.1","-0.44 %","4,340.00"
"NHDL","2024-03-14","431","439","428","430","-0.23 %","3,633.00"
"NHDL","2024-03-13","438","440","430.1","431","-1.60 %","3,717.00"
"NHDL","2024-03-12","440","442","431.2","438","0.92 %","5,507.00"
"NHDL","2024-03-10","440","441","430","434","-0.91 %","3,344.00"
"NHDL","2024-03-07","435","444.9","428","438","2.34 %","6,977.00"
"NHDL","2024-03-06","427","435","420.5","428","-1.56 %","8,832.00"
"NHDL","2024-03-05","433","437.9","426.1","434.8","0.21 %","10,428.00"
"NHDL","2024-03-04","425.4","433.9","425.4","433.9","4.03 %","40.00"
"NHDL","2024-03-03","425","428","417.1","417.1","-2.55 %","3,488.00"
"NHDL","2024-02-29","425","433.5","420","428","-1.04 %","10,274.00"
"NHDL","2024-02-28","425","433.5","425","432.5","0.82 %","3,688.00"
"NHDL","2024-02-27","430.5","433","427","429","1.39 %","5,437.00"
"NHDL","2024-02-26","428","430.4","423.1","423.1","0.26 %","5,622.00"
"NHDL","2024-02-25","429","439","421.4","422","-0.71 %","9,480.00"
"NHDL","2024-02-22","438.1","442","422","425","-2.52 %","10,962.00"
"NHDL","2024-02-21","449","450","436","436","-0.95 %","4,763.00"
"NHDL","2024-02-20","438","453","438","440.2","-1.12 %","16,701.00"
"NHDL","2024-02-18","458","466","445.2","445.2","-4.07 %","13,365.00"
"NHDL","2024-02-15","483","483","459","464.1","-3.91 %","45,908.00"
"NHDL","2024-02-14","455.9","483","445","483","8.05 %","52,337.00"
"NHDL","2024-02-13","459.5","459.5","439","447","-0.78 %","25,350.00"
"NHDL","2024-02-12","452","453","439","450.5","1.42 %","12,031.00"
"NHDL","2024-02-11","456","460","444","444.2","-0.85 %","32,853.00"
"NHDL","2024-02-08","441","449","434","448","2.75 %","11,272.00"
"NHDL","2024-02-07","440","440","433","436","-0.89 %","3,163.00"
"NHDL","2024-02-06","430","447.2","430","439.9","2.47 %","2,217.00"
"NHDL","2024-02-05","438","446","429.3","429.3","-1.99 %","3,532.00"
"NHDL","2024-02-04","431.2","448","431.2","438","-0.45 %","5,447.00"
"NHDL","2024-02-01","449.9","449.9","439","440","-4.14 %","26,563.00"
"NHDL","2024-01-31","466.1","466.1","438.3","459","0.44 %","57,236.00"
"NHDL","2024-01-30","459","459","445","457","1.56 %","18,584.00"
"NHDL","2024-01-29","447.6","450","432.1","450","2.27 %","27,502.00"
"NHDL","2024-01-28","456.2","456.2","427.5","440","-1.63 %","50,838.00"
"NHDL","2024-01-25","414","447.3","414","447.3","7.01 %","29,830.00"
"NHDL","2024-01-24","428.4","440","412.5","418","-0.48 %","15,248.00"
"NHDL","2024-01-23","419","420","407","420","2.21 %","28,024.00"
"NHDL","2024-01-22","427.3","427.3","410.9","410.9","-1.93 %","23,591.00"
"NHDL","2024-01-21","433.1","441","418","419","-3.23 %","30,688.00"
"NHDL","2024-01-18","425","444","425","433","0.23 %","63,600.00"
"NHDL","2024-01-17","443.7","450","430","432","-0.69 %","68,373.00"
"NHDL","2024-01-16","449","449.7","435","435","-1.38 %","33,153.00"
"NHDL","2024-01-14","433.5","452","426.2","441.1","3.79 %","117,496.00"
"NHDL","2024-01-11","417","437.4","415","425","1.43 %","59,928.00"
"NHDL","2024-01-10","430.1","433","417.2","419","-4.34 %","28,248.00"
"NHDL","2024-01-09","450","450","421.2","438","-1.13 %","36,626.00"
"NHDL","2024-01-08","435.1","452.6","430","443","3.75 %","73,195.00"
"NHDL","2024-01-07","396.6","427.9","383","427","9.77 %","122,934.00"
"NHDL","2024-01-04","377","390","377","389","5.14 %","26,859.00"
"NHDL","2024-01-03","372","379.4","370","370","-1.07 %","5,580.00"
"NHDL","2024-01-02","379","380","367.5","374","-1.32 %","6,479.00"
"NHDL","2024-01-01","382.5","390.1","375","379","-0.92 %","10,067.00"
"NHDL","2023-12-28","374.6","385.9","374.5","382.5","0.66 %","7,225.00"
"NHDL","2023-12-27","391","399","375","380","-1.04 %","17,336.00"
"NHDL","2023-12-24","380","402.9","380","384","0.52 %","41,760.00"
"NHDL","2023-12-21","395","402","378.3","382","-3.29 %","48,424.00"
"NHDL","2023-12-20","380","398.2","374","395","5.90 %","22,266.00"
"NHDL","2023-12-19","375","376","367.1","373","-1.58 %","7,972.00"
"NHDL","2023-12-18","385","391.8","373.1","379","-1.81 %","23,328.00"
"NHDL","2023-12-17","375.2","390","365","386","0.84 %","14,988.00"
"NHDL","2023-12-14","348","382.8","346.4","382.8","10.00 %","10,932.00"
"NHDL","2023-12-13","354.9","360","347.1","348","-0.29 %","12,474.00"
"NHDL","2023-12-12","344","350","331","349","1.45 %","7,449.00"
"NHDL","2023-12-11","352.7","358","331.6","344","-0.52 %","6,227.00"
"NHDL","2023-12-10","349.5","370","349.5","370","7.97 %","350.00"
"NHDL","2023-12-07","333.2","344.8","333.2","342.7","0.79 %","2,342.00"
"NHDL","2023-12-06","333","345","327.2","340","0.41 %","1,464.00"
"NHDL","2023-12-05","330","338.6","327.4","338.6","1.38 %","1,916.00"
"NHDL","2023-12-04","335","341.5","328.3","334","-0.30 %","4,486.00"
"NHDL","2023-12-03","332","338","328","335","1.48 %","4,699.00"
"NHDL","2023-11-30","329.5","331","329.2","330.1","-1.46 %","3,500.00"
"NHDL","2023-11-29","342","342.6","335","335","-0.30 %","2,295.00"
"NHDL","2023-11-28","350.8","350.8","335","336","-2.33 %","1,151.00"
"NHDL","2023-11-27","350","355","338","344","-0.49 %","1,738.00"
"NHDL","2023-11-26","334","345.7","333.1","345.7","3.81 %","1,362.00"
"NHDL","2023-11-23","325.1","341.7","325.1","333","1.40 %","5,539.00"
"NHDL","2023-11-22","312","337.5","312","328.4","3.27 %","325.00"
"NHDL","2023-11-21","321.1","324","318","318","-1.24 %","2,747.00"
"NHDL","2023-11-20","321.1","327.1","320.5","322","-1.53 %","3,438.00"
"NHDL","2023-11-09","346","346","327","327","-3.82 %","1,165.00"
"NHDL","2023-11-08","331","340","331","340","3.03 %","1,616.00"
"NHDL","2023-11-07","336.6","336.6","324.9","330","0.00 %","809.00"
"NHDL","2023-11-06","320","333.4","320","330","1.29 %","1,328.00"
"NHDL","2023-11-05","318.8","325.8","318.8","325.8","0.25 %","1,499.00"
"NHDL","2023-11-02","330","330","323.6","325","-0.61 %","822.00"
"NHDL","2023-11-01","328","328","327","327","-1.95 %","1,007.00"
"NHDL","2023-10-31","326.1","345","325.5","333.5","0.60 %","2,393.00"
"NHDL","2023-10-30","332.1","337","330","331.5","-2.13 %","4,175.00"
"NHDL","2023-10-29","335.9","340","334","338.7","-1.17 %","579.00"
"NHDL","2023-10-19","336","342.7","327","342.7","3.85 %","1,555.00"
"NHDL","2023-10-18","323","330","318.1","330","4.10 %","716.00"
"NHDL","2023-10-17","319.2","325.6","317","317","1.28 %","1,227.00"
"NHDL","2023-10-16","320","323","313","313","-2.95 %","3,027.00"
"NHDL","2023-10-12","325","326","322.1","322.5","-1.38 %","3,774.00"
"NHDL","2023-10-11","321.6","332","321.6","327","0.46 %","1,847.00"
"NHDL","2023-10-10","330","337.6","325.5","325.5","-1.96 %","3,736.00"
"NHDL","2023-10-09","331.2","347.8","329","332","-0.90 %","2,835.00"
"NHDL","2023-10-08","338.1","344","333.1","335","-2.90 %","5,536.00"
"NHDL","2023-10-05","342.1","345.1","337.2","345","0.85 %","3,431.00"
"NHDL","2023-10-04","340.3","346.2","340.3","342.1","0.77 %","1,625.00"
"NHDL","2023-10-03","340.3","344.9","339.5","339.5","-1.54 %","2,069.00"
"NHDL","2023-10-02","340","350","337.4","344.8","0.17 %","6,428.00"
"NHDL","2023-10-01","350","350","337.5","344.2","-3.04 %","2,018.00"
"NHDL","2023-09-27","352.8","365","349","355","-1.39 %","3,953.00"
"NHDL","2023-09-26","356","363","355","360","2.71 %","4,476.00"
"NHDL","2023-09-25","344.1","357","344.1","350.5","-0.14 %","4,638.00"
"NHDL","2023-09-24","360.5","368.9","342","351","-3.57 %","5,985.00"
"NHDL","2023-09-21","355.6","377","353","364","4.39 %","11,161.00"
"NHDL","2023-09-19","331.1","348.7","331","348.7","3.44 %","4,868.00"
"NHDL","2023-09-18","330","356","321.1","337.1","3.40 %","3,840.00"
"NHDL","2023-09-17","330","338","325.5","326","-1.81 %","2,042.00"
"NHDL","2023-09-13","326.5","339","326.5","332","1.53 %","5,028.00"
"NHDL","2023-09-12","322","334.9","317.6","327","-0.30 %","3,948.00"
"NHDL","2023-09-11","319","337.5","319","328","1.86 %","2,243.00"
"NHDL","2023-09-10","320.5","330","313.8","322","-1.23 %","782.00"
"NHDL","2023-09-07","331","342","324","326","-3.26 %","3,666.00"
"NHDL","2023-09-05","322.5","337","322.5","337","2.43 %","547.00"
"NHDL","2023-09-04","335","335.5","303","329","-2.08 %","15,510.00"
"NHDL","2023-09-03","356.8","356.8","330.4","336","-3.97 %","2,592.00"
"NHDL","2023-08-30","350.8","357","339.1","349.9","1.72 %","347.00"
"NHDL","2023-08-29","337.2","344.2","337.2","344","1.93 %","1,806.00"
"NHDL","2023-08-28","340","348","336","337.5","-1.37 %","5,286.00"
"NHDL","2023-08-27","349","349","342.2","342.2","-1.98 %","904.00"
"NHDL","2023-08-24","371.1","371.1","349.1","349.1","-4.07 %","1,640.00"
"NHDL","2023-08-23","353","364.8","350","363.9","1.65 %","2,629.00"
"NHDL","2023-08-22","344","358","337.5","358","4.07 %","1,789.00"
"NHDL","2023-08-21","340","345","337.1","344","0.06 %","1,100.00"
"NHDL","2023-08-20","341.1","351.9","337","343.8","-0.92 %","3,944.00"
"NHDL","2023-08-17","360","360","346","347","-1.70 %","2,788.00"
"NHDL","2023-08-16","353","353.9","341.1","353","-0.03 %","6,382.00"
"NHDL","2023-08-15","352.1","370","352.1","353.1","-1.64 %","3,368.00"
"NHDL","2023-08-14","369","369","358","359","-2.15 %","4,456.00"
"NHDL","2023-08-13","359.1","379.9","359","366.9","0.25 %","847.00"
"NHDL","2023-08-10","373","377","364.7","366","-1.61 %","3,602.00"
"NHDL","2023-08-09","367","372","360","372","3.33 %","4,556.00"
"NHDL","2023-08-08","365","365","350","360","-2.17 %","2,627.00"
"NHDL","2023-08-07","358","372","355.4","368","1.10 %","5,951.00"
"NHDL","2023-08-06","370","370","358","364","-1.62 %","3,612.00"
"NHDL","2023-08-03","372","379.4","365.6","370","-1.07 %","6,305.00"
"NHDL","2023-08-02","366.7","374","366.7","374","0.00 %","4,835.00"
"NHDL","2023-08-01","363","378.9","363","374","1.08 %","2,641.00"
"NHDL","2023-07-31","374","385","370","370","-1.07 %","3,185.00"
"NHDL","2023-07-30","381.8","385","373","374","-0.13 %","2,132.00"
"NHDL","2023-07-27","377","378","369.5","374.5","-1.96 %","2,868.00"
"NHDL","2023-07-26","390","390","375","382","-2.30 %","2,674.00"
"NHDL","2023-07-25","379","391","379","391","1.56 %","628.00"
"NHDL","2023-07-24","396","396","385","385","-1.53 %","4,288.00"
"NHDL","2023-07-23","393","393","381.2","391","1.03 %","11,906.00"
"NHDL","2023-07-20","390","390","371","387","0.78 %","7,954.00"
"NHDL","2023-07-19","375.5","390","375.5","384","0.26 %","2,106.00"
"NHDL","2023-07-18","380","395","380","383","-0.36 %","8,820.00"
"NHDL","2023-07-17","380","384.4","376.2","384.4","1.96 %","3,190.00"
"NHDL","2023-07-16","382.7","382.9","375.3","377","0.48 %","1,412.00"
"NHDL","2023-07-13","396.6","404.3","375","375.2","-3.52 %","6,687.00"
"NHDL","2023-07-12","370","389","370","388.9","6.52 %","9,894.00"
"NHDL","2023-07-11","370","372","360","365.1","-0.92 %","9,250.00"
"NHDL","2023-07-10","385","385","368.5","368.5","-3.03 %","5,697.00"
"NHDL","2023-07-09","365.6","388","365.6","380","2.15 %","2,732.00"
"NHDL","2023-07-06","380","380","361","372","-0.93 %","4,632.00"
"NHDL","2023-07-05","376.6","391.9","371.5","375.5","-1.75 %","5,333.00"
"NHDL","2023-07-04","376","390","376","382.2","0.05 %","3,090.00"
"NHDL","2023-07-03","380","405","377","382","-0.47 %","6,471.00"
"NHDL","2023-07-02","391.2","405","383.4","383.8","-3.81 %","9,081.00"
"NHDL","2023-06-28","401","408","392","399","-2.21 %","14,618.00"
"NHDL","2023-06-27","389.5","413","389.5","408","2.69 %","9,366.00"
"NHDL","2023-06-26","416","416","397","397.3","-2.62 %","7,849.00"
"NHDL","2023-06-25","409","409","385.1","408","1.24 %","13,581.00"
"NHDL","2023-06-22","405","413.1","395.1","403","-0.47 %","5,856.00"
"NHDL","2023-06-21","412","415","400","404.9","-1.72 %","10,078.00"
"NHDL","2023-06-20","415.5","431","410","412","-1.44 %","28,649.00"
"NHDL","2023-06-19","415","423","408.1","418","-0.92 %","16,583.00"
"NHDL","2023-06-18","415","423.3","408.3","421.9","1.66 %","9,959.00"
"NHDL","2023-06-15","412","416.9","406","415","-0.72 %","13,206.00"
"NHDL","2023-06-14","416","423","407","418","0.48 %","26,174.00"
"NHDL","2023-06-13","398","416","396.1","416","4.26 %","25,739.00"
"NHDL","2023-06-12","406","406","392","399","-0.13 %","8,899.00"
"NHDL","2023-06-11","398","400","392","399.5","1.40 %","3,378.00"
"NHDL","2023-06-08","402","402","390.2","394","-0.25 %","10,033.00"
"NHDL","2023-06-07","398.9","407","392.1","395","1.00 %","12,272.00"
"NHDL","2023-06-06","380.2","398.7","380.2","391.1","1.06 %","5,801.00"
"NHDL","2023-06-05","401","401","384","387","-2.03 %","1,973.00"
"NHDL","2023-06-04","385.5","395","385","395","4.50 %","8,849.00"
"NHDL","2023-06-01","373","378","367.5","378","1.34 %","5,250.00"
"NHDL","2023-05-31","373","381","370","373","-1.84 %","6,724.00"
"NHDL","2023-05-30","384.1","398.9","376.5","380","-3.04 %","3,344.00"
"NHDL","2023-05-28","390.1","399","382.3","391.9","-1.53 %","5,580.00"
"NHDL","2023-05-24","400","400","386","398","0.25 %","3,288.00"
"NHDL","2023-05-23","381.1","402","381.1","397","2.32 %","4,634.00"
"NHDL","2023-05-22","383","392.7","375.4","388","0.00 %","1,328.00"
"NHDL","2023-05-21","381.2","396.5","381.2","388","-0.23 %","4,047.00"
"NHDL","2023-05-18","369.5","389","365","388.9","3.16 %","5,000.00"
"NHDL","2023-05-17","369","378","362","377","0.29 %","1,919.00"
"NHDL","2023-05-16","357","376.3","357","375.9","3.27 %","1,351.00"
