"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NHPC","2024-08-11","205","222.2","204","222.2","10.00 %","1,195,461.00"
"NHPC","2024-08-08","205","209","200","202","-0.49 %","430,065.00"
"NHPC","2024-08-07","192","203.8","188","203","5.24 %","344,683.00"
"NHPC","2024-08-06","210","210","191.6","192.9","-7.26 %","557,983.00"
"NHPC","2024-08-05","210","213.1","202","208","-0.48 %","484,733.00"
"NHPC","2024-08-01","210","216","208","209","-0.48 %","404,082.00"
"NHPC","2024-07-31","203","216","203","210","3.45 %","852,230.00"
"NHPC","2024-07-30","197","210","190","203","3.15 %","496,646.00"
"NHPC","2024-07-29","203.5","204","196","196.8","-1.40 %","402,511.00"
"NHPC","2024-07-28","196.3","209.1","194","199.6","3.69 %","344,986.00"
"NHPC","2024-07-25","195.8","196","190","192.5","-0.26 %","261,547.00"
"NHPC","2024-07-24","196","201.5","191.3","193","-0.41 %","686,562.00"
"NHPC","2024-07-23","185","195","182","193.8","5.33 %","448,664.00"
"NHPC","2024-07-22","185.6","186","176","184","1.10 %","373,435.00"
"NHPC","2024-07-21","179","183","175.3","182","1.68 %","433,024.00"
"NHPC","2024-07-18","180.5","182.9","173.1","179","1.13 %","478,557.00"
"NHPC","2024-07-17","178","184","173","177","1.14 %","461,024.00"
"NHPC","2024-07-16","159.7","175","159.7","175","7.43 %","439,035.00"
"NHPC","2024-07-15","163.7","170","159.9","162.9","1.50 %","366,412.00"
"NHPC","2024-07-14","150.4","162.2","150.4","160.5","8.81 %","271,064.00"
"NHPC","2024-07-11","147.7","148.9","144","147.5","1.79 %","113,591.00"
"NHPC","2024-07-10","140.2","145","140.2","144.9","1.33 %","60,988.00"
"NHPC","2024-07-09","140.2","144.8","140.2","143","0.00 %","54,449.00"
"NHPC","2024-07-08","145","145","142","143","-0.69 %","43,744.00"
"NHPC","2024-07-07","143","145","142","144","0.63 %","54,462.00"
"NHPC","2024-07-04","141","146.8","140","143.1","0.07 %","86,699.00"
"NHPC","2024-07-03","148.5","148.5","141.8","143","-1.79 %","48,122.00"
"NHPC","2024-07-02","140.7","149.2","140.7","145.6","5.51 %","148,243.00"
"NHPC","2024-07-01","138.3","139.9","136.7","138","-0.29 %","52,339.00"
"NHPC","2024-06-30","138.4","141.8","136","138.4","-1.84 %","135,611.00"
"NHPC","2024-06-27","139.8","142","139.2","141","0.00 %","58,525.00"
"NHPC","2024-06-26","145.6","145.6","140.1","141","-1.26 %","61,050.00"
"NHPC","2024-06-25","145","145","141.5","142.8","0.28 %","31,600.00"
"NHPC","2024-06-24","145.1","145.1","141.5","142.4","-0.42 %","65,363.00"
"NHPC","2024-06-23","146","146","142.1","143","-1.24 %","87,325.00"
"NHPC","2024-06-20","145.1","149.1","144","144.8","-1.63 %","60,323.00"
"NHPC","2024-06-19","150","150","145.1","147.2","-0.47 %","29,868.00"
"NHPC","2024-06-18","150","150.9","146","147.9","-0.74 %","45,238.00"
"NHPC","2024-06-16","145","154","145","149","1.43 %","152,017.00"
"NHPC","2024-06-13","149.2","149.2","144.5","146.9","-0.07 %","63,081.00"
"NHPC","2024-06-12","148.3","150","146.6","147","0.48 %","79,911.00"
"NHPC","2024-06-11","144","148.1","144","146.3","1.95 %","81,323.00"
"NHPC","2024-06-10","142","145.8","142","143.5","0.99 %","53,353.00"
"NHPC","2024-06-09","146.8","146.8","141.7","142.1","-1.32 %","30,715.00"
"NHPC","2024-06-06","144.9","146","142.5","144","-1.37 %","45,976.00"
"NHPC","2024-06-05","145.5","147","144.5","146","-0.82 %","38,181.00"
"NHPC","2024-06-04","146","147.8","145.1","147.2","1.17 %","45,324.00"
"NHPC","2024-06-03","144","148","144","145.5","-0.34 %","46,991.00"
"NHPC","2024-06-02","147","148","145.1","146","0.07 %","40,539.00"
"NHPC","2024-05-30","147","149","145.1","145.9","-0.75 %","49,015.00"
"NHPC","2024-05-29","149","154.8","145.8","147","0.07 %","56,276.00"
"NHPC","2024-05-27","146.2","149.1","146","146.9","-0.07 %","71,635.00"
"NHPC","2024-05-26","151","151","146.4","147","-1.34 %","37,180.00"
"NHPC","2024-05-22","148.1","151","148","149","0.00 %","50,132.00"
"NHPC","2024-05-21","150","150","146","149","0.68 %","44,414.00"
"NHPC","2024-05-20","148","150","146.5","148","1.37 %","64,187.00"
"NHPC","2024-05-19","146","148.8","146","146","0.00 %","58,566.00"
"NHPC","2024-05-16","148","148.9","145.4","146","-1.35 %","26,455.00"
"NHPC","2024-05-15","150","150.8","146.1","148","-0.40 %","37,039.00"
"NHPC","2024-05-14","145.1","150","143.4","148.6","2.41 %","74,581.00"
"NHPC","2024-05-13","145.5","145.5","143.2","145.1","0.76 %","47,953.00"
"NHPC","2024-05-12","143","145.3","142.1","144","0.77 %","47,001.00"
"NHPC","2024-05-09","144","144.4","141.2","142.9","0.21 %","26,075.00"
"NHPC","2024-05-08","145","147","142.2","142.6","-1.66 %","36,540.00"
"NHPC","2024-05-07","146.9","146.9","144","145","0.42 %","16,125.00"
"NHPC","2024-05-06","144","146.8","144","144.4","-0.35 %","24,173.00"
"NHPC","2024-05-05","148.6","148.6","144","144.9","-1.09 %","38,531.00"
"NHPC","2024-05-02","150","151","146.1","146.5","-1.68 %","45,018.00"
"NHPC","2024-04-30","145.1","152.8","142.2","149","2.76 %","79,454.00"
"NHPC","2024-04-29","148","148","144.1","145","-0.55 %","25,583.00"
"NHPC","2024-04-28","146","148.8","144.2","145.8","1.25 %","29,417.00"
"NHPC","2024-04-25","145","148.9","144","144","-1.57 %","50,963.00"
"NHPC","2024-04-24","147","147","145","146.3","0.48 %","24,880.00"
"NHPC","2024-04-22","149.9","150","145.5","145.6","-1.62 %","17,710.00"
"NHPC","2024-04-21","147","148","144","148","2.07 %","43,687.00"
"NHPC","2024-04-18","147","147.9","144.2","145","-1.29 %","41,814.00"
"NHPC","2024-04-16","146","148.9","146","146.9","0.48 %","30,193.00"
"NHPC","2024-04-15","149","151","146.2","146.2","-1.62 %","33,944.00"
"NHPC","2024-04-14","152","152.5","148.5","148.6","-1.91 %","42,953.00"
"NHPC","2024-04-10","154","154.9","151","151.5","-0.33 %","40,628.00"
"NHPC","2024-04-09","151.5","153","149.2","152","1.81 %","66,000.00"
"NHPC","2024-04-07","147","150","145","149.3","2.61 %","51,063.00"
"NHPC","2024-04-04","146","147.8","145","145.5","0.34 %","59,820.00"
"NHPC","2024-04-03","147","148","144.5","145","-0.82 %","113,063.00"
"NHPC","2024-04-02","150","150.4","146","146.2","-1.22 %","60,659.00"
"NHPC","2024-04-01","150","151","147","148","-1.33 %","80,608.00"
"NHPC","2024-03-31","152","153","149.1","150","-1.12 %","59,149.00"
"NHPC","2024-03-28","154","154","150.1","151.7","-0.85 %","54,477.00"
"NHPC","2024-03-27","156","156.9","151.6","153","-0.65 %","53,976.00"
"NHPC","2024-03-26","156","156","152.2","154","0.00 %","48,278.00"
"NHPC","2024-03-25","157","157","153","154","-0.90 %","36,999.00"
"NHPC","2024-03-21","156","158","154.6","155.4","-0.96 %","81,783.00"
"NHPC","2024-03-20","159","160","155.5","156.9","0.51 %","44,513.00"
"NHPC","2024-03-19","161","161.8","156.1","156.1","-2.25 %","66,869.00"
"NHPC","2024-03-18","161","161","158.1","159.7","0.06 %","29,409.00"
"NHPC","2024-03-17","163","164.9","159","159.6","-2.09 %","62,634.00"
"NHPC","2024-03-14","165","165","161","163","-0.12 %","50,890.00"
"NHPC","2024-03-13","165.5","167","162.2","163.2","-1.09 %","87,398.00"
"NHPC","2024-03-12","165.5","168.8","162.6","165","1.54 %","87,778.00"
"NHPC","2024-03-10","164.2","165","161","162.5","0.93 %","42,085.00"
"NHPC","2024-03-07","163.2","166","161","161","0.63 %","82,744.00"
"NHPC","2024-03-06","162","165.7","155.1","160","-1.23 %","137,565.00"
"NHPC","2024-03-05","169","169.3","157","162","-2.41 %","200,814.00"
"NHPC","2024-03-04","154","166.1","154","166","9.93 %","13,325.00"
"NHPC","2024-03-03","152","158","149","151","0.67 %","88,617.00"
"NHPC","2024-02-29","154.8","155","149.7","150","-2.28 %","67,871.00"
"NHPC","2024-02-28","153","158","153","153.5","-1.60 %","23,363.00"
"NHPC","2024-02-27","156","158","153","156","1.96 %","57,837.00"
"NHPC","2024-02-26","152","157","150.1","153","0.66 %","59,886.00"
"NHPC","2024-02-25","159","160.2","152","152","-3.31 %","93,304.00"
"NHPC","2024-02-22","156.9","162","156.9","157.2","-1.75 %","87,006.00"
"NHPC","2024-02-21","163","164.2","159.8","160","-0.62 %","65,891.00"
"NHPC","2024-02-20","164","165","161","161","-0.62 %","84,862.00"
"NHPC","2024-02-18","166","168.4","161","162","-2.41 %","131,065.00"
"NHPC","2024-02-15","166","169","165.5","166","0.00 %","132,803.00"
"NHPC","2024-02-14","168","169","165","166","-1.19 %","134,730.00"
"NHPC","2024-02-13","175.4","175.4","167","168","-2.33 %","104,875.00"
