"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIL","2024-08-11","949","982","945","977","4.05 %","52,195.00"
"NIL","2024-08-08","940","955","930","939","1.73 %","34,466.00"
"NIL","2024-08-07","904.1","927","904","923","2.10 %","25,102.00"
"NIL","2024-08-06","952","970","902.6","904","-5.05 %","44,800.00"
"NIL","2024-08-05","966","966.9","930","952.1","0.43 %","50,412.00"
"NIL","2024-08-01","945","979","911","948","2.05 %","55,977.00"
"NIL","2024-07-31","928","942","914.2","929","2.09 %","37,276.00"
"NIL","2024-07-30","901","918","876","910","0.55 %","40,526.00"
"NIL","2024-07-29","915","919","903","905","-1.42 %","28,150.00"
"NIL","2024-07-28","913.9","930","901","918","2.46 %","48,442.00"
"NIL","2024-07-25","896","925","885","896","-0.88 %","58,066.00"
"NIL","2024-07-24","920","930","890","904","-1.51 %","30,152.00"
"NIL","2024-07-23","881","922.7","881","917.9","2.57 %","37,376.00"
"NIL","2024-07-22","897","897","875","894.9","-0.01 %","34,737.00"
"NIL","2024-07-21","886","909","886","895","1.02 %","20,661.00"
"NIL","2024-07-18","872.2","900","870","886","1.61 %","31,295.00"
"NIL","2024-07-17","867","900","860","872","1.40 %","27,712.00"
"NIL","2024-07-16","834","860","833","860","2.87 %","11,636.00"
"NIL","2024-07-15","855.7","855.7","834","836","-0.36 %","36,370.00"
"NIL","2024-07-14","846","853","835","839","1.10 %","20,670.00"
"NIL","2024-07-11","826","835","825.5","829.9","0.57 %","30,558.00"
"NIL","2024-07-10","824","836","813","825.2","0.05 %","18,641.00"
"NIL","2024-07-09","841.5","841.5","810","824.8","-0.02 %","21,874.00"
"NIL","2024-07-08","836.4","836.4","806.1","825","0.61 %","9,943.00"
"NIL","2024-07-07","807","821","805","820","1.70 %","21,135.00"
"NIL","2024-07-04","807","810","793.1","806.3","0.29 %","8,835.00"
"NIL","2024-07-03","790","805","790","804","0.21 %","6,133.00"
"NIL","2024-07-02","805.9","840.9","797","802.3","1.54 %","8,392.00"
"NIL","2024-07-01","783","792","783","790.1","0.65 %","2,956.00"
"NIL","2024-06-30","802","802","785","785","-0.25 %","17,300.00"
"NIL","2024-06-27","790.2","794","785.5","787","-1.63 %","5,927.00"
"NIL","2024-06-26","804.7","804.7","790.2","800","0.74 %","5,815.00"
"NIL","2024-06-25","800","800","794","794.1","-0.24 %","7,280.00"
"NIL","2024-06-24","800","804.5","793.1","796","0.00 %","10,501.00"
"NIL","2024-06-23","805","821.1","790","796","0.76 %","26,100.00"
