"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLG","2024-08-11","965","999.6","961","998","3.42 %","73,154.00"
"NLG","2024-08-08","983.9","983.9","947","965","0.00 %","48,059.00"
"NLG","2024-08-07","950","970","923.3","965","3.32 %","60,859.00"
"NLG","2024-08-06","982","985","920.3","934","-3.01 %","111,698.00"
"NLG","2024-08-05","975","989.4","960","963","-0.72 %","75,506.00"
"NLG","2024-08-01","930.1","1000","930.1","970","3.75 %","108,733.00"
"NLG","2024-07-31","932.8","950","920.1","934.9","2.06 %","62,786.00"
"NLG","2024-07-30","908.1","930","887","916","-0.11 %","84,086.00"
"NLG","2024-07-29","935","948","915.1","917","-1.93 %","41,014.00"
"NLG","2024-07-28","949","949","915.4","935","0.43 %","47,323.00"
"NLG","2024-07-25","910","945","900.2","931","2.92 %","65,604.00"
"NLG","2024-07-24","900","907","875","904.6","2.21 %","91,907.00"
"NLG","2024-07-23","840.2","894.9","840","885","4.12 %","43,580.00"
"NLG","2024-07-22","865","865","837.2","850","-0.23 %","15,965.00"
"NLG","2024-07-21","847","858.4","835","852","0.59 %","36,200.00"
"NLG","2024-07-18","856.8","863","833.1","847","0.83 %","32,485.00"
"NLG","2024-07-17","813","841","813","840","3.32 %","24,082.00"
"NLG","2024-07-16","795","813","792","813","2.28 %","14,030.00"
"NLG","2024-07-15","820","820","785","794.9","-1.49 %","47,269.00"
"NLG","2024-07-14","817.7","825","802","806.9","0.65 %","11,437.00"
"NLG","2024-07-11","803.5","815","801","801.7","-0.57 %","31,935.00"
"NLG","2024-07-10","791.9","806.3","785","806.3","3.68 %","32,948.00"
"NLG","2024-07-09","769.8","784.9","765.4","777.7","1.03 %","9,821.00"
"NLG","2024-07-08","774","782","765.1","769.8","-1.05 %","17,945.00"
"NLG","2024-07-07","760","790","757.3","778","1.70 %","29,891.00"
"NLG","2024-07-04","769.9","770","756","765","1.32 %","4,664.00"
"NLG","2024-07-03","759","759","747.2","755","-0.79 %","3,304.00"
"NLG","2024-07-02","761.8","777","755","761","1.89 %","8,919.00"
"NLG","2024-07-01","741","752","735","746.9","0.66 %","8,118.00"
"NLG","2024-06-30","740","743","732","742","-0.01 %","8,819.00"
"NLG","2024-06-27","753","753","742","742.1","-1.45 %","4,582.00"
"NLG","2024-06-26","760","760","745.1","753","0.27 %","4,227.00"
"NLG","2024-06-25","748","762","748","751","0.40 %","5,815.00"
"NLG","2024-06-24","759","759","745.6","748","0.11 %","2,143.00"
"NLG","2024-06-23","759","759","747.2","747.2","-1.54 %","4,677.00"
"NLG","2024-06-20","746.5","758.9","746.4","758.9","-0.01 %","4,534.00"
"NLG","2024-06-19","754.2","769","746.1","759","0.64 %","7,426.00"
"NLG","2024-06-18","765","765","754","754.2","-1.53 %","4,502.00"
"NLG","2024-06-16","776.2","776.2","754.1","765.9","0.64 %","4,968.00"
"NLG","2024-06-13","762","778","759.1","761","-1.42 %","11,369.00"
"NLG","2024-06-12","770","789.5","770","772","-0.31 %","10,260.00"
"NLG","2024-06-11","745.2","790","745.2","774.4","3.25 %","19,732.00"
"NLG","2024-06-10","747","756","745","750","0.40 %","4,426.00"
"NLG","2024-06-09","752.4","752.4","742.3","747","-0.77 %","10,690.00"
"NLG","2024-06-06","777","777","752.4","752.8","-1.18 %","2,311.00"
"NLG","2024-06-05","779.2","779.2","748.8","761.8","-0.29 %","4,852.00"
"NLG","2024-06-04","755","768.9","745","764","1.19 %","12,086.00"
"NLG","2024-06-03","764.9","767.9","752.3","755","-0.13 %","4,576.00"
"NLG","2024-06-02","773.9","773.9","751","756","-0.40 %","3,851.00"
"NLG","2024-05-30","763","763","753","759","-0.78 %","6,959.00"
"NLG","2024-05-29","768","783.3","757","765","-0.39 %","5,564.00"
"NLG","2024-05-27","772","775","762","768","-0.65 %","3,922.00"
"NLG","2024-05-26","770","783.8","770","773","-0.26 %","3,126.00"
"NLG","2024-05-22","777","785","766","775","-0.37 %","11,656.00"
"NLG","2024-05-21","789","789","770.1","777.9","-0.01 %","9,403.00"
"NLG","2024-05-20","795","798","778","778","-2.14 %","24,558.00"
"NLG","2024-05-19","770","801.1","770","795","4.61 %","31,062.00"
"NLG","2024-05-16","756","769.9","756","760","-0.52 %","6,586.00"
"NLG","2024-05-15","769","779","757","764","1.08 %","22,295.00"
"NLG","2024-05-14","750.1","770","750","755.8","0.35 %","10,704.00"
"NLG","2024-05-13","765","765","748.5","753.2","-0.13 %","1,545.00"
"NLG","2024-05-12","746.1","764","741","754.2","1.18 %","4,700.00"
"NLG","2024-05-09","762.9","762.9","745.4","745.4","-1.25 %","2,896.00"
"NLG","2024-05-08","754.7","755","746.2","754.8","0.01 %","3,174.00"
"NLG","2024-05-07","769.9","769.9","747","754.7","-0.30 %","1,451.00"
"NLG","2024-05-06","751","761.7","751","757","-0.79 %","1,283.00"
"NLG","2024-05-05","760.1","769","754","763","0.39 %","4,969.00"
"NLG","2024-05-02","782.3","782.3","760","760","-0.91 %","6,547.00"
"NLG","2024-04-30","750","772","748","767","2.33 %","5,367.00"
"NLG","2024-04-29","755","755","745","749.5","-0.72 %","978.00"
"NLG","2024-04-28","742","755","741","754.9","0.67 %","5,000.00"
"NLG","2024-04-25","740","751","738","749.9","-0.15 %","5,081.00"
"NLG","2024-04-24","743","765","743","751","0.00 %","2,104.00"
"NLG","2024-04-22","751.1","759","746.4","751","0.00 %","1,362.00"
"NLG","2024-04-21","742","758","741.2","751","0.66 %","1,387.00"
"NLG","2024-04-18","755","755","746","746.1","-1.44 %","3,487.00"
"NLG","2024-04-16","763","763","752.1","757","-0.79 %","415.00"
"NLG","2024-04-15","757.1","763","750.2","763","-0.26 %","4,205.00"
"NLG","2024-04-14","760","765","756.1","765","-0.26 %","2,344.00"
"NLG","2024-04-10","780","780","763.5","767","-0.39 %","12,157.00"
"NLG","2024-04-09","791","791","765","770","-0.77 %","8,252.00"
"NLG","2024-04-07","751","776","751","776","1.44 %","6,345.00"
"NLG","2024-04-04","746","771.9","746","765","1.86 %","3,839.00"
"NLG","2024-04-03","764","779","740","751","0.13 %","3,797.00"
"NLG","2024-04-02","753","753","747","750","0.00 %","5,972.00"
"NLG","2024-04-01","751","754.9","745.1","750","-0.92 %","6,058.00"
"NLG","2024-03-31","755.1","768","755","757","0.26 %","4,396.00"
"NLG","2024-03-28","769","769","754.2","755","-0.85 %","3,310.00"
"NLG","2024-03-27","765","765","758","761.5","-0.22 %","2,290.00"
"NLG","2024-03-26","773","773","762.1","763.2","-1.40 %","5,579.00"
"NLG","2024-03-25","770","775","770","774","-0.77 %","1,155.00"
"NLG","2024-03-21","778","793.4","778","780","-0.64 %","4,446.00"
"NLG","2024-03-20","799","799","781","785","-0.63 %","3,868.00"
"NLG","2024-03-19","790","795","779.3","790","0.00 %","2,339.00"
"NLG","2024-03-18","781","805","781","790","-0.63 %","2,148.00"
"NLG","2024-03-17","792","807","791.2","795","-1.61 %","23,609.00"
"NLG","2024-03-14","806.1","808","790","808","-0.74 %","9,012.00"
"NLG","2024-03-13","804","823","801","814","1.11 %","17,369.00"
"NLG","2024-03-12","801","814.9","791.6","805.1","2.44 %","11,572.00"
"NLG","2024-03-10","780","801","780","785.9","0.76 %","22,101.00"
"NLG","2024-03-07","757","814","757","780","3.31 %","9,628.00"
"NLG","2024-03-06","751","790.9","745","755","-0.79 %","11,961.00"
"NLG","2024-03-05","765","780","740","761","1.47 %","18,636.00"
"NLG","2024-03-04","740","754","740","750","3.31 %","120.00"
"NLG","2024-03-03","735","738.9","726","726","-0.82 %","3,238.00"
"NLG","2024-02-29","750","752","732","732","-2.92 %","9,697.00"
"NLG","2024-02-28","742.1","775","742.1","754","0.80 %","6,769.00"
"NLG","2024-02-27","724","750","724","748","4.02 %","8,244.00"
"NLG","2024-02-26","733","744","715.3","719.1","-1.90 %","4,903.00"
"NLG","2024-02-25","749","808.4","725","733","-0.27 %","3,425.00"
"NLG","2024-02-22","740.8","740.8","732","735","-0.98 %","3,244.00"
"NLG","2024-02-21","765","781.6","742.3","742.3","-1.20 %","5,408.00"
"NLG","2024-02-20","775.2","775.2","744.6","751.3","-1.14 %","5,749.00"
"NLG","2024-02-18","770","773.3","758","760","-1.17 %","1,937.00"
"NLG","2024-02-15","778","778","765","769","-1.03 %","6,262.00"
"NLG","2024-02-14","798.8","809","775.1","777","-0.79 %","2,559.00"
"NLG","2024-02-13","782","787","782","783.2","-1.73 %","4,442.00"
"NLG","2024-02-12","796","799.5","790","797","0.25 %","5,684.00"
"NLG","2024-02-11","800","800","790","795","0.21 %","4,619.00"
