"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NRIC","2024-08-11","977","995","954","975","-0.20 %","324,297.00"
"NRIC","2024-08-08","1012","1052","960","977","-1.53 %","261,668.00"
"NRIC","2024-08-07","902","992.2","900.1","992.2","10.00 %","334,439.00"
"NRIC","2024-08-06","910","963","884","902","0.00 %","522,831.00"
"NRIC","2024-08-05","854.9","902.1","833","902","5.51 %","264,624.00"
"NRIC","2024-08-01","870","884.9","845","854.9","-1.17 %","153,285.00"
"NRIC","2024-07-31","842.9","890","842.9","865","3.09 %","196,738.00"
"NRIC","2024-07-30","784","845","771","839.1","7.03 %","297,921.00"
"NRIC","2024-07-29","791","799.9","770.3","784","-0.33 %","138,722.00"
"NRIC","2024-07-28","775","805","774","786.6","1.43 %","77,710.00"
"NRIC","2024-07-25","762.6","782","762.6","775.5","-0.33 %","78,170.00"
"NRIC","2024-07-24","808","808","770","778.1","-1.87 %","105,557.00"
"NRIC","2024-07-23","794","841","782","792.9","1.52 %","85,299.00"
"NRIC","2024-07-22","770","839.3","750.5","781","2.36 %","135,483.00"
"NRIC","2024-07-21","729","780","721","763","4.53 %","148,887.00"
"NRIC","2024-07-18","720","760","715.1","729.9","1.53 %","102,617.00"
"NRIC","2024-07-17","720","727","705","718.9","0.83 %","65,712.00"
"NRIC","2024-07-16","698","729","686.1","713","2.15 %","55,874.00"
"NRIC","2024-07-15","718","744","690","698","-0.85 %","91,549.00"
"NRIC","2024-07-14","704","718","690","704","2.00 %","74,984.00"
"NRIC","2024-07-11","690.7","693","676.4","690.2","1.92 %","77,253.00"
"NRIC","2024-07-10","693.6","699","672","677.2","-0.41 %","59,694.00"
"NRIC","2024-07-09","679","700","670","680","0.89 %","38,641.00"
"NRIC","2024-07-08","678","690","670.5","674","-0.59 %","30,063.00"
"NRIC","2024-07-07","664","685","650","678","3.89 %","119,336.00"
"NRIC","2024-07-04","636","658","636","652.6","1.65 %","55,409.00"
"NRIC","2024-07-03","650","657","631","642","-1.68 %","33,315.00"
"NRIC","2024-07-02","655.8","690","645","653","1.56 %","41,185.00"
"NRIC","2024-07-01","634","646","630.3","643","1.42 %","18,028.00"
"NRIC","2024-06-30","644","656.8","634","634","-1.96 %","19,678.00"
"NRIC","2024-06-27","640","648","632.4","646.7","1.55 %","28,915.00"
"NRIC","2024-06-26","656.8","656.8","633","636.8","-1.12 %","27,184.00"
"NRIC","2024-06-25","654","654","644","644","-0.62 %","14,617.00"
"NRIC","2024-06-24","644","696","644","648","0.62 %","22,029.00"
"NRIC","2024-06-23","636.5","690","636","644","1.18 %","27,655.00"
"NRIC","2024-06-20","644.6","647.7","630.1","636.5","0.71 %","20,777.00"
"NRIC","2024-06-19","633","642","631","632","0.21 %","43,838.00"
"NRIC","2024-06-18","646","646","630.4","630.7","-0.68 %","21,529.00"
"NRIC","2024-06-16","643","655","633.1","635","-2.01 %","50,261.00"
"NRIC","2024-06-13","647","655","644","648","-1.32 %","66,007.00"
"NRIC","2024-06-12","663.8","663.8","656.5","656.7","0.29 %","14,621.00"
"NRIC","2024-06-11","659.9","659.9","645","654.8","1.21 %","24,438.00"
"NRIC","2024-06-10","644.1","655","644.1","647","-0.31 %","12,893.00"
"NRIC","2024-06-09","668","668","641.9","649","-1.07 %","27,773.00"
"NRIC","2024-06-06","660","674","652","656","-0.91 %","17,068.00"
"NRIC","2024-06-05","660.1","669","656","662","-0.15 %","37,201.00"
"NRIC","2024-06-04","679.3","679.3","663","663","-0.45 %","13,526.00"
"NRIC","2024-06-03","680","680","664","666","-0.45 %","10,572.00"
"NRIC","2024-06-02","680","680","664","669","0.04 %","14,506.00"
"NRIC","2024-05-30","678","678","660.5","668.7","0.41 %","18,002.00"
"NRIC","2024-05-29","687","687","663","666","-1.33 %","10,178.00"
"NRIC","2024-05-27","680.4","693","668.2","675","1.05 %","20,175.00"
"NRIC","2024-05-26","691.5","691.5","668","668","-1.47 %","22,831.00"
"NRIC","2024-05-22","680","690","668","678","-2.02 %","52,362.00"
"NRIC","2024-05-21","681","698","675.1","692","1.33 %","18,140.00"
"NRIC","2024-05-20","691.1","693","679","682.9","0.44 %","26,833.00"
"NRIC","2024-05-19","674.8","687.5","667.3","679.9","2.77 %","34,132.00"
"NRIC","2024-05-16","701.2","701.2","680","693","0.80 %","28,988.00"
"NRIC","2024-05-15","707.8","707.8","681.1","687.5","-0.94 %","17,408.00"
"NRIC","2024-05-14","680","695","678","694","1.31 %","9,641.00"
"NRIC","2024-05-13","691.5","691.5","678.1","685","1.03 %","12,364.00"
"NRIC","2024-05-12","678.1","688","670","678","0.00 %","13,457.00"
"NRIC","2024-05-09","687.9","687.9","675","678","0.37 %","11,556.00"
"NRIC","2024-05-08","672.5","688","671.5","675.5","-1.01 %","7,634.00"
"NRIC","2024-05-07","680","688.5","675","682.4","1.10 %","13,156.00"
"NRIC","2024-05-06","702.9","702.9","670","675","-2.16 %","17,328.00"
"NRIC","2024-05-05","698","704","680","689.9","-2.14 %","39,140.00"
"NRIC","2024-05-02","720.3","720.3","700","705","-0.17 %","19,328.00"
"NRIC","2024-04-30","717","717","698.1","706.2","0.46 %","16,660.00"
"NRIC","2024-04-29","722.1","722.1","698","703","-0.71 %","29,302.00"
"NRIC","2024-04-28","716","716","702.1","708","0.85 %","10,104.00"
"NRIC","2024-04-25","701","710","700","702","-0.92 %","12,532.00"
"NRIC","2024-04-24","723","723","705","708.5","-0.77 %","9,626.00"
"NRIC","2024-04-22","727","727","708","714","0.14 %","7,779.00"
"NRIC","2024-04-21","706.5","717","702","713","0.99 %","10,450.00"
"NRIC","2024-04-18","720","720","704","706","-1.67 %","13,252.00"
"NRIC","2024-04-16","750.8","750.8","711","718","-2.46 %","20,911.00"
"NRIC","2024-04-15","760","766","735","736.1","-3.14 %","16,299.00"
"NRIC","2024-04-14","776","776","756.1","760","-1.95 %","26,585.00"
"NRIC","2024-04-10","754","775.1","753","775.1","2.93 %","113,069.00"
"NRIC","2024-04-09","737.4","760","725.2","753","4.15 %","75,942.00"
"NRIC","2024-04-07","718","730","701","723","2.70 %","26,119.00"
"NRIC","2024-04-04","700","710","699.1","704","0.01 %","18,675.00"
"NRIC","2024-04-03","715","715","700","703.9","-1.15 %","18,827.00"
"NRIC","2024-04-02","720.2","725","711.3","712.1","-1.58 %","17,425.00"
"NRIC","2024-04-01","726.1","729","720","723.5","-0.74 %","10,770.00"
"NRIC","2024-03-31","721","734","721","728.9","-0.69 %","15,424.00"
"NRIC","2024-03-28","723.3","734","721","734","0.27 %","16,883.00"
"NRIC","2024-03-27","735.6","747","728","732","-0.49 %","25,479.00"
"NRIC","2024-03-26","733","737","727.1","735.6","0.35 %","15,803.00"
"NRIC","2024-03-25","726","734.9","725.5","733","-0.81 %","12,686.00"
"NRIC","2024-03-21","747","752","735.1","739","-1.06 %","19,620.00"
"NRIC","2024-03-20","750.7","763","745","746.9","-0.51 %","14,289.00"
"NRIC","2024-03-19","750","771","750","750.7","-1.09 %","14,981.00"
"NRIC","2024-03-18","753.2","768","753.2","759","-0.65 %","20,204.00"
"NRIC","2024-03-17","762.1","776","761.1","764","-1.55 %","6,832.00"
"NRIC","2024-03-14","772.4","780.2","770","776","-1.52 %","43,320.00"
"NRIC","2024-03-13","792.5","792.5","770","788","1.42 %","56,884.00"
"NRIC","2024-03-12","775.2","780","753","777","2.24 %","29,866.00"
"NRIC","2024-03-10","758","760","750.4","760","0.40 %","13,788.00"
"NRIC","2024-03-07","753","762","748","757","0.41 %","20,323.00"
"NRIC","2024-03-06","733","764","733","753.9","1.47 %","45,182.00"
"NRIC","2024-03-05","780","780","742.3","743","-5.95 %","32,845.00"
"NRIC","2024-03-04","735","793","735","790","9.57 %","2,611.00"
"NRIC","2024-03-03","746","746","715.1","721","-1.50 %","17,475.00"
"NRIC","2024-02-29","736.1","748.8","732","732","-2.14 %","41,945.00"
"NRIC","2024-02-28","750","753","743","748","0.27 %","16,322.00"
"NRIC","2024-02-27","741","757","741","746","0.66 %","16,919.00"
"NRIC","2024-02-26","750","753","738","741.1","-1.19 %","40,673.00"
"NRIC","2024-02-25","767","767","737","750","-0.41 %","77,257.00"
"NRIC","2024-02-22","770","770","747","753.1","-0.63 %","47,646.00"
"NRIC","2024-02-21","770","776","756","757.9","-0.67 %","19,231.00"
"NRIC","2024-02-20","755","771.1","746","763","0.63 %","33,852.00"
"NRIC","2024-02-18","760.2","775","755.2","758.2","-1.83 %","32,763.00"
"NRIC","2024-02-15","775.2","780","772","772.3","-2.24 %","41,798.00"
"NRIC","2024-02-14","790","792","766","790","1.80 %","25,620.00"
"NRIC","2024-02-13","782.1","800","765","776","-2.51 %","75,316.00"
"NRIC","2024-02-12","795","799.9","786","796","0.13 %","50,306.00"
"NRIC","2024-02-11","800","816","790.1","795","0.51 %","68,772.00"
"NRIC","2024-02-08","817","817","790","791","-1.25 %","37,575.00"
"NRIC","2024-02-07","818","825","801","801","-2.08 %","43,523.00"
"NRIC","2024-02-06","787","852","780.1","818","4.47 %","107,644.00"
"NRIC","2024-02-05","777","791","777","783","0.77 %","30,993.00"
"NRIC","2024-02-04","777","795.5","777","777","-1.89 %","67,130.00"
"NRIC","2024-02-01","832","832","790","792","-2.95 %","180,358.00"
"NRIC","2024-01-31","826","849","800.2","816.1","-1.20 %","239,643.00"
"NRIC","2024-01-30","788.3","845","788","826","6.87 %","253,558.00"
"NRIC","2024-01-29","759.5","785","755","772.9","2.78 %","128,237.00"
"NRIC","2024-01-28","722.5","754","722","752","3.71 %","104,221.00"
"NRIC","2024-01-25","721.2","739.5","720.1","725.1","-0.12 %","72,934.00"
