"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PFL","2024-08-11","642.4","650","615","634","0.65 %","91,036.00"
"PFL","2024-08-08","661.9","670","625","629.9","-2.94 %","88,787.00"
"PFL","2024-08-07","610","664","610","649","4.85 %","118,331.00"
"PFL","2024-08-06","650","665","615","619","-6.61 %","168,353.00"
"PFL","2024-08-05","676","687","657","662.8","-1.89 %","169,316.00"
"PFL","2024-08-01","715","734","675","675.6","-3.75 %","218,865.00"
"PFL","2024-07-31","651.9","704","650","701.9","9.67 %","309,263.00"
"PFL","2024-07-30","625","649.9","624.1","640","2.56 %","163,148.00"
"PFL","2024-07-29","625","636.8","617","624","-0.16 %","124,927.00"
"PFL","2024-07-28","638.6","645.9","617","625","-0.18 %","83,350.00"
"PFL","2024-07-25","632.1","640","626.1","626.1","-0.95 %","87,266.00"
"PFL","2024-07-24","649","656.8","632.1","632.1","-1.85 %","111,625.00"
"PFL","2024-07-23","631","645","628.2","644","2.12 %","123,908.00"
"PFL","2024-07-22","634","640","621","630.6","0.57 %","101,281.00"
"PFL","2024-07-21","631","642","620","627","-0.32 %","89,797.00"
"PFL","2024-07-18","651.7","651.7","625.2","629","-1.56 %","115,936.00"
"PFL","2024-07-17","608","643","607","639","5.45 %","171,856.00"
"PFL","2024-07-16","601","608.5","592.3","606","2.36 %","68,845.00"
"PFL","2024-07-15","607","612","590","592","-1.66 %","75,609.00"
"PFL","2024-07-14","609.9","622","600","602","0.67 %","65,732.00"
"PFL","2024-07-11","600","610","597","598","0.67 %","66,766.00"
"PFL","2024-07-10","600","600","592","594","0.34 %","41,137.00"
"PFL","2024-07-09","604.9","606","590.1","592","-0.19 %","43,031.00"
"PFL","2024-07-08","592.1","607","592.1","593.1","-0.98 %","43,173.00"
"PFL","2024-07-07","617.1","617.1","595","599","-0.99 %","68,882.00"
"PFL","2024-07-04","615","623","605","605","-1.55 %","79,414.00"
"PFL","2024-07-03","588.9","625","588.9","614.5","2.26 %","142,092.00"
"PFL","2024-07-02","609.9","645.6","598","600.9","0.48 %","62,859.00"
"PFL","2024-07-01","603","614.8","595","598","-0.83 %","91,604.00"
"PFL","2024-06-30","608.6","632","603","603","-2.90 %","88,892.00"
"PFL","2024-06-27","629.2","665","620","621","-3.27 %","139,587.00"
"PFL","2024-06-26","657","672","641.2","642","-2.28 %","134,874.00"
"PFL","2024-06-25","664.5","695","657","657","-3.10 %","141,461.00"
"PFL","2024-06-24","649.7","708.9","640","678","2.28 %","238,935.00"
"PFL","2024-06-23","632.1","663","627","662.9","6.95 %","265,347.00"
"PFL","2024-06-20","605","626","596","619.8","2.45 %","144,566.00"
"PFL","2024-06-19","606.9","616.9","590.1","605","1.68 %","106,499.00"
"PFL","2024-06-18","580.2","605","580.2","595","0.51 %","93,591.00"
"PFL","2024-06-16","599","609","590","592","-1.17 %","92,060.00"
"PFL","2024-06-13","580.2","621","580.2","599","1.18 %","137,696.00"
"PFL","2024-06-12","618","618","590","592","-4.19 %","111,615.00"
"PFL","2024-06-11","592.7","625","592.7","617.9","2.18 %","77,988.00"
"PFL","2024-06-10","572","606","558.59","604.7","6.09 %","139,729.00"
"PFL","2024-06-09","601.5","607","569","570","-7.12 %","212,294.00"
"PFL","2024-06-06","646.8","646.8","596","613.7","-5.12 %","229,730.00"
"PFL","2024-06-05","640","678","628","646.8","-0.17 %","189,508.00"
"PFL","2024-06-04","645","654","636","647.9","-1.37 %","124,048.00"
"PFL","2024-06-03","655","673.2","639","656.9","0.29 %","213,418.00"
"PFL","2024-06-02","677.4","677.4","626","655","-5.24 %","285,115.00"
"PFL","2024-05-30","752.7","752.7","691.2","691.2","-10.00 %","78,021.00"
"PFL","2024-05-29","695.8","781","656","768","8.17 %","287,963.00"
"PFL","2024-05-27","641.9","718","641.9","710","8.40 %","277,756.00"
"PFL","2024-05-26","690","690","655","655","-5.07 %","72,648.00"
