"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PICL","2023-05-09","374","379","367.6","367.6","-1.16 %","987.00"
"PICL","2023-05-08","372.1","374.9","365","371.9","-1.59 %","4,856.00"
"PICL","2023-05-07","376","378","373","377.9","-0.50 %","1,719.00"
"PICL","2023-05-04","370.1","380.4","370","379.8","1.82 %","5,488.00"
"PICL","2023-05-03","373","377","372.4","373","-1.82 %","3,533.00"
"PICL","2023-05-02","373.1","380","372","379.9","0.26 %","5,935.00"
"PICL","2023-04-30","375.1","378.9","375.1","378.9","-0.94 %","2,662.00"
"PICL","2023-04-27","377.3","382.5","375","382.5","0.13 %","3,690.00"
"PICL","2023-04-26","394.9","395.9","382","382","-2.05 %","3,250.00"
"PICL","2023-04-25","390.9","390.9","385","390","0.96 %","567.00"
"PICL","2023-04-24","382.1","392","382.1","386.3","-0.90 %","1,320.00"
"PICL","2023-04-23","383.1","389.8","381","389.8","-0.05 %","1,746.00"
"PICL","2023-04-20","390","395","390","390","-1.52 %","88.00"
"PICL","2023-04-19","389","396","389","396","1.56 %","1,459.00"
"PICL","2023-04-18","388","399.7","380","389.9","-1.29 %","2,353.00"
"PICL","2023-04-17","393","395","390","395","-1.25 %","1,208.00"
"PICL","2023-04-16","400","402.7","395","400","0.25 %","1,089.00"
"PICL","2023-04-13","402","413.9","398","399","-2.16 %","3,243.00"
"PICL","2023-04-12","393.7","407.8","393","407.8","5.65 %","9,075.00"
"PICL","2023-04-11","381","386","373.4","386","1.31 %","1,720.00"
"PICL","2023-04-10","380","382","375","381","0.82 %","3,011.00"
"PICL","2023-04-09","380.1","381.1","375.2","377.9","-1.84 %","2,773.00"
"PICL","2023-04-06","386","390","380.1","385","-1.28 %","5,166.00"
"PICL","2023-04-05","390","390","385.3","390","-0.48 %","3,397.00"
"PICL","2023-04-04","381","392","381","391.9","1.01 %","3,415.00"
"PICL","2023-04-03","386.2","393","380.3","388","-1.52 %","1,151.00"
"PICL","2023-04-02","399","403.9","389","394","-1.25 %","11,646.00"
"PICL","2023-03-30","406","406.9","395","399","0.00 %","14,390.00"
"PICL","2023-03-29","395","409","393","399","0.58 %","5,838.00"
"PICL","2023-03-28","394.1","403","388.2","396.7","0.69 %","5,718.00"
"PICL","2023-03-27","385","395","379.1","394","2.07 %","8,852.00"
"PICL","2023-03-26","380","393.4","380","386","-0.28 %","526.00"
"PICL","2023-03-23","390","395","384.1","387.1","-0.79 %","5,266.00"
"PICL","2023-03-22","403","404","390.2","390.2","-2.45 %","2,769.00"
"PICL","2023-03-20","400","400","395","400","0.25 %","8,151.00"
"PICL","2023-03-19","402","402","395","399","-0.42 %","3,302.00"
"PICL","2023-03-16","405","415","400.2","414","2.25 %","12,183.00"
"PICL","2023-03-15","405","408","400.2","404.9","0.47 %","7,110.00"
"PICL","2023-03-14","402.1","408","400","403","-1.23 %","4,333.00"
"PICL","2023-03-13","406.1","409","401","408","-0.27 %","6,501.00"
"PICL","2023-03-12","421","421","409.1","409.1","-2.83 %","3,827.00"
"PICL","2023-03-09","410","425.3","404","421","4.21 %","13,302.00"
"PICL","2023-03-07","411.9","411.9","396.9","404","0.00 %","2,161.00"
"PICL","2023-03-05","405","406","398.1","404","-0.49 %","8,024.00"
"PICL","2023-03-02","410","410","403.1","406","-1.22 %","6,516.00"
"PICL","2023-03-01","414.6","422.8","411","411","-2.84 %","6,101.00"
"PICL","2023-02-28","421.4","424","414.1","423","-1.63 %","9,417.00"
"PICL","2023-02-27","435","435","409","430","0.00 %","28,884.00"
"PICL","2023-02-26","418.4","434.5","407","430","0.73 %","21,121.00"
"PICL","2023-02-23","431","431","418","426.9","-2.53 %","17,536.00"
"PICL","2023-02-22","425.1","438","418","438","4.53 %","10,035.00"
"PICL","2023-02-20","421.7","427.7","416","419","-2.10 %","10,320.00"
"PICL","2023-02-16","432","445","418","428","-2.73 %","16,434.00"
"PICL","2023-02-15","456","456","433.8","440","-2.00 %","12,676.00"
"PICL","2023-02-14","446","458","442","449","-1.32 %","7,995.00"
"PICL","2023-02-12","463.5","466","449","455","-3.79 %","23,913.00"
"PICL","2023-02-09","465","479","461.1","472.9","0.19 %","22,756.00"
"PICL","2023-02-08","484","489","472","472","-2.28 %","45,319.00"
"PICL","2023-02-07","441.3","483","441.3","483","8.54 %","24,975.00"
"PICL","2023-02-06","455.9","455.9","440.1","445","-0.45 %","9,251.00"
"PICL","2023-02-05","456.4","456.4","438.4","447","-0.11 %","17,811.00"
"PICL","2023-02-02","457","457","439.3","447.5","-0.33 %","15,894.00"
"PICL","2023-02-01","450","459","449","449","-0.22 %","11,439.00"
"PICL","2023-01-31","465","465","450","450","-1.32 %","17,399.00"
"PICL","2023-01-30","484.8","485","455","456","-5.00 %","23,117.00"
"PICL","2023-01-29","480","485","472","480","0.21 %","33,920.00"
"PICL","2023-01-26","484.9","489","475.6","479","-0.19 %","19,750.00"
"PICL","2023-01-25","478","484.9","467.3","479.9","2.13 %","15,521.00"
"PICL","2023-01-24","470","474","445","469.9","0.19 %","30,158.00"
"PICL","2023-01-23","474.1","487.4","469","469","-1.88 %","15,041.00"
"PICL","2023-01-19","477","486.5","474.6","478","-0.62 %","16,396.00"
"PICL","2023-01-18","488","498","473.1","481","-1.62 %","39,805.00"
"PICL","2023-01-17","474","492","466","488.9","2.93 %","35,913.00"
"PICL","2023-01-12","491.6","496.9","470","475","-1.45 %","91,108.00"
"PICL","2023-01-10","510","520","481","482","-4.93 %","45,366.00"
"PICL","2023-01-09","495","510","486","507","3.68 %","75,428.00"
"PICL","2023-01-08","479","499","456.1","489","3.38 %","117,018.00"
"PICL","2023-01-05","478.3","478.3","451","473","0.85 %","29,731.00"
"PICL","2023-01-04","443.9","474","433","469","6.59 %","34,588.00"
"PICL","2023-01-03","439.6","463","433","440","2.09 %","45,829.00"
"PICL","2023-01-02","398.8","433","394.5","431","5.92 %","30,039.00"
"PICL","2023-01-01","409","421.2","401","406.9","0.59 %","30,730.00"
"PICL","2022-12-29","379","406","373.9","404.5","6.03 %","17,432.00"
"PICL","2022-12-28","367","394","367","381.5","2.01 %","12,476.00"
"PICL","2022-12-27","360","384","360","374","5.95 %","22,878.00"
"PICL","2022-12-26","347.6","359.1","347","353","3.22 %","14,361.00"
"PICL","2022-12-22","336.1","342","336.1","342","0.59 %","1,201.00"
"PICL","2022-12-21","340.1","342","340","340","-1.45 %","540.00"
"PICL","2022-12-20","348","348","345","345","-1.99 %","3,295.00"
"PICL","2022-12-19","336","353.9","336","352","2.92 %","1,282.00"
"PICL","2022-12-18","344","344","335","342","0.53 %","1,732.00"
"PICL","2022-12-15","341","341","340.1","340.2","-1.96 %","1,721.00"
"PICL","2022-12-14","340.2","347","340.2","347","1.58 %","133.00"
"PICL","2022-12-13","340","346.8","340","341.6","-0.50 %","159.00"
"PICL","2022-12-12","340","343.3","339","343.3","1.99 %","4,641.00"
"PICL","2022-12-11","340","340","336.6","336.6","-2.43 %","4,795.00"
"PICL","2022-12-07","352","352","345","345","-0.86 %","1,201.00"
"PICL","2022-12-06","347","354","347","348","-1.69 %","2,330.00"
"PICL","2022-12-05","356.1","360","353","354","-1.67 %","4,545.00"
"PICL","2022-12-04","363","363","356.1","360","0.03 %","3,462.00"
"PICL","2022-12-01","358.9","360","353","359.9","0.67 %","3,601.00"
"PICL","2022-11-30","353","357.5","350","357.5","-0.67 %","3,048.00"
"PICL","2022-11-29","356","360","354","359.9","0.81 %","2,310.00"
"PICL","2022-11-28","360","363","352.1","357","-1.35 %","3,182.00"
"PICL","2022-11-27","346","361.9","346","361.9","4.57 %","4,355.00"
"PICL","2022-11-24","346","355","346","346.1","-1.40 %","3,660.00"
"PICL","2022-11-23","358","358","349","351","-1.96 %","2,184.00"
"PICL","2022-11-22","357","359.9","352.9","358","-0.31 %","728.00"
"PICL","2022-11-17","359.9","364","354","359.1","1.44 %","3,137.00"
"PICL","2022-11-16","345","355","345","354","0.57 %","3,880.00"
"PICL","2022-11-15","355","357.9","348.1","352","-0.28 %","3,622.00"
"PICL","2022-11-14","354","354","347","353","1.18 %","502.00"
"PICL","2022-11-13","345","358","338.1","348.9","-0.60 %","2,005.00"
"PICL","2022-11-10","358","358","344","351","-1.96 %","2,413.00"
"PICL","2022-11-09","373","373","348","358","-3.24 %","5,654.00"
"PICL","2022-11-08","362","370","362","370","0.27 %","4,796.00"
"PICL","2022-11-07","364","377","363","369","-0.27 %","12,908.00"
"PICL","2022-11-06","359","373","359","370","3.06 %","8,539.00"
"PICL","2022-11-03","358","364","356","359","-0.28 %","1,228.00"
"PICL","2022-11-02","362","370","356","360","-1.07 %","8,358.00"
"PICL","2022-11-01","349.9","363.9","349.9","363.9","4.75 %","4,598.00"
"PICL","2022-10-31","344","347.5","338","347.4","0.99 %","1,912.00"
"PICL","2022-10-23","340","344","339","344","1.50 %","411.00"
"PICL","2022-10-20","339","339","333","338.9","-0.03 %","2,071.00"
"PICL","2022-10-19","339.1","342","337","339","-1.74 %","1,145.00"
"PICL","2022-10-17","339","345","338.2","345","0.88 %","2,265.00"
"PICL","2022-10-16","346","353","342","342","-2.01 %","1,849.00"
"PICL","2022-10-13","354.7","356.9","344.5","349","0.58 %","3,973.00"
"PICL","2022-10-12","341","355.9","337.6","350","1.74 %","1,977.00"
"PICL","2022-10-11","340","344","335.1","344","1.12 %","5,008.00"
"PICL","2022-10-10","348","356","340.2","340.2","-3.60 %","3,589.00"
"PICL","2022-10-09","347","352.9","343.5","352.9","1.70 %","1,555.00"
"PICL","2022-09-29","343","349.8","339","347","2.97 %","1,386.00"
"PICL","2022-09-28","340","341.9","337","337","-0.30 %","833.00"
"PICL","2022-09-27","330","341","330","338","0.84 %","2,359.00"
"PICL","2022-09-25","342","342","335.2","335.2","-0.83 %","2,632.00"
"PICL","2022-09-22","346","346","337.5","338","-2.31 %","2,355.00"
"PICL","2022-09-21","343.7","352","340","346","2.67 %","1,790.00"
"PICL","2022-09-20","348","348.8","335","337","-1.46 %","4,621.00"
"PICL","2022-09-18","347.1","354","342","342","-2.87 %","3,717.00"
"PICL","2022-09-16","347.5","359","347","352.1","-0.59 %","3,371.00"
"PICL","2022-09-15","371.1","371.1","352.1","354.2","-5.01 %","19,610.00"
"PICL","2022-09-14","367","378","367","372.9","3.58 %","5,056.00"
"PICL","2022-09-13","361","365","354.1","360","1.41 %","4,319.00"
"PICL","2022-09-12","356","357","352","355","-0.11 %","2,207.00"
"PICL","2022-09-11","361.2","361.2","355.4","355.4","-2.63 %","3,088.00"
"PICL","2022-09-08","357","373","357","365","0.83 %","3,686.00"
"PICL","2022-09-07","371.8","371.8","358","362","-0.82 %","1,737.00"
"PICL","2022-09-06","382","382","364.9","365","-3.21 %","4,832.00"
"PICL","2022-09-05","380","387.6","376.1","377.1","-0.74 %","7,226.00"
"PICL","2022-09-04","370","389.9","367","379.9","4.08 %","13,278.00"
"PICL","2022-09-02","378","380","360","365","-2.14 %","12,600.00"
"PICL","2022-09-01","360","384","357","373","3.04 %","7,857.00"
"PICL","2022-08-31","366","367","358","362","-0.82 %","3,798.00"
"PICL","2022-08-30","362","372","362","365","0.83 %","6,295.00"
"PICL","2022-08-29","356.4","367.8","356.4","362","-0.28 %","7,200.00"
"PICL","2022-08-28","380","380","363","363","-4.47 %","7,988.00"
"PICL","2022-08-26","377.1","384.3","377.1","380","-0.60 %","2,790.00"
"PICL","2022-08-25","387","397","382.2","382.3","-2.72 %","7,249.00"
"PICL","2022-08-24","397","397","386.2","393","0.77 %","1,678.00"
"PICL","2022-08-23","392.2","394","387","390","-0.54 %","7,181.00"
"PICL","2022-08-22","394","398","391.1","392.1","-1.73 %","3,706.00"
"PICL","2022-08-21","403","406.5","397","399","0.00 %","5,548.00"
"PICL","2022-08-18","401","401","393.1","399","1.01 %","3,287.00"
"PICL","2022-08-17","386.2","401","386.2","395","0.25 %","5,368.00"
"PICL","2022-08-16","408","412","394","394","-3.90 %","10,528.00"
"PICL","2022-08-15","385","410","381.3","410","6.72 %","12,142.00"
"PICL","2022-08-14","396","400","384.2","384.2","-3.95 %","3,616.00"
"PICL","2022-08-11","394.1","401.7","384","400","1.55 %","8,297.00"
"PICL","2022-08-10","387.1","399","387","393.9","-0.03 %","11,034.00"
"PICL","2022-08-09","401","408","392.1","394","-3.43 %","15,241.00"
"PICL","2022-08-08","407.1","420","399.2","408","-0.73 %","28,792.00"
"PICL","2022-08-07","405","412","401","411","1.99 %","12,529.00"
"PICL","2022-08-05","420","422","399.1","403","-2.89 %","11,116.00"
"PICL","2022-08-04","425","427","412.6","415","-4.13 %","20,786.00"
"PICL","2022-08-03","417.5","449.4","417.5","432.9","1.62 %","21,987.00"
"PICL","2022-08-02","433","437","416","426","-1.64 %","25,486.00"
"PICL","2022-08-01","437.5","456","428","433.1","0.96 %","59,333.00"
