"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PRVU","2024-08-11","230.6","238.5","226.4","238","5.26 %","908,870.00"
"PRVU","2024-08-08","232","232","225","226.1","-0.83 %","503,890.00"
"PRVU","2024-08-07","217","233","217","228","3.17 %","637,116.00"
"PRVU","2024-08-06","240","241","220","221","-6.55 %","1,034,154.00"
"PRVU","2024-08-05","228.1","246","228.1","236.5","5.72 %","1,546,475.00"
"PRVU","2024-08-01","227.5","230.5","219","223.7","-1.58 %","575,209.00"
"PRVU","2024-07-31","229.6","230","225.1","227.3","0.98 %","668,454.00"
"PRVU","2024-07-30","230","230.5","218","225.1","-1.66 %","881,708.00"
"PRVU","2024-07-29","223.2","240","223.2","228.9","4.57 %","1,649,446.00"
"PRVU","2024-07-28","202.9","218.9","202.9","218.9","10.00 %","938,841.00"
"PRVU","2024-07-25","200","201.9","195.5","199","0.25 %","671,902.00"
"PRVU","2024-07-24","204","207.8","197","198.5","-2.17 %","732,781.00"
"PRVU","2024-07-23","199.8","203.1","195.9","202.9","1.55 %","511,955.00"
"PRVU","2024-07-22","208.6","208.6","195.1","199.8","-2.35 %","994,966.00"
"PRVU","2024-07-21","190","204.8","188.3","204.6","7.68 %","987,853.00"
"PRVU","2024-07-18","175.5","190.8","173","190","9.51 %","1,058,642.00"
"PRVU","2024-07-17","172","177.9","170","173.5","1.76 %","313,465.00"
"PRVU","2024-07-16","160.5","171","160.5","170.5","4.15 %","282,371.00"
"PRVU","2024-07-15","170.2","172","161.4","163.7","-1.92 %","448,766.00"
"PRVU","2024-07-14","161.3","173","160","166.9","5.50 %","353,767.00"
"PRVU","2024-07-11","153.5","158.4","149","158.2","5.12 %","310,098.00"
"PRVU","2024-07-10","147.9","152","146.1","150.5","1.76 %","233,060.00"
"PRVU","2024-07-09","145.3","149","145.3","147.9","-0.07 %","66,758.00"
"PRVU","2024-07-08","148","148.5","146.4","148","0.14 %","54,050.00"
"PRVU","2024-07-07","149","149.8","147","147.8","0.54 %","107,328.00"
"PRVU","2024-07-04","146","150","146","147","-0.68 %","97,805.00"
"PRVU","2024-07-03","149.8","149.8","143","148","0.27 %","66,292.00"
"PRVU","2024-07-02","147","155.9","146","147.6","2.36 %","143,538.00"
"PRVU","2024-07-01","137.5","144.3","137","144.2","4.49 %","85,392.00"
"PRVU","2024-06-30","139","139.5","138","138","-0.36 %","64,456.00"
"PRVU","2024-06-27","139.9","141","138.2","138.5","-1.00 %","40,535.00"
"PRVU","2024-06-26","138.39","141.8","138.39","139.9","-0.14 %","42,589.00"
"PRVU","2024-06-25","138.5","142.8","138.5","140.1","-0.64 %","70,165.00"
"PRVU","2024-06-24","144.8","144.8","139.6","141","-0.70 %","39,416.00"
"PRVU","2024-06-23","141.5","143.9","141","142","0.07 %","40,249.00"
"PRVU","2024-06-20","145.4","145.4","141","141.9","-0.49 %","31,331.00"
"PRVU","2024-06-19","145.7","145.7","141","142.6","-0.21 %","46,140.00"
"PRVU","2024-06-18","145","145","141.5","142.9","-1.52 %","65,065.00"
"PRVU","2024-06-16","148","148","144.3","145.1","-1.29 %","67,078.00"
"PRVU","2024-06-13","151.1","151.1","146","147","-0.81 %","60,481.00"
"PRVU","2024-06-12","147","149","145.5","148.2","1.09 %","93,632.00"
"PRVU","2024-06-11","144.8","146.8","141","146.6","3.24 %","52,871.00"
"PRVU","2024-06-10","143.8","143.8","140.1","142","0.71 %","45,348.00"
"PRVU","2024-06-09","145.6","145.6","139.1","141","-1.26 %","68,083.00"
"PRVU","2024-06-06","146.1","146.1","141","142.8","-0.35 %","35,225.00"
"PRVU","2024-06-05","145.9","145.9","141","143.3","0.14 %","51,923.00"
"PRVU","2024-06-04","147.2","147.2","143","143.1","-0.90 %","41,170.00"
"PRVU","2024-06-03","147.7","147.7","143.2","144.4","-0.35 %","48,131.00"
"PRVU","2024-06-02","147.5","147.5","143.4","144.9","0.14 %","68,843.00"
"PRVU","2024-05-30","151.5","151.5","144.3","144.7","-2.62 %","86,567.00"
"PRVU","2024-05-29","155","157","148.6","148.6","-2.24 %","95,416.00"
"PRVU","2024-05-27","153","155","151.1","152","-1.23 %","101,787.00"
"PRVU","2024-05-26","157.2","159.9","153.1","153.9","-2.10 %","186,901.00"
"PRVU","2024-05-22","148","159","148","157.2","4.11 %","256,224.00"
"PRVU","2024-05-21","150","151.9","148","151","1.00 %","98,708.00"
"PRVU","2024-05-20","145.9","155","144","149.5","4.47 %","255,420.00"
"PRVU","2024-05-19","141.7","143.4","140","143.1","2.95 %","145,883.00"
"PRVU","2024-05-16","142.8","142.8","138","139","-0.71 %","51,280.00"
"PRVU","2024-05-15","143.4","143.5","139","140","-1.06 %","73,883.00"
"PRVU","2024-05-14","145.6","145.6","139","141.5","-0.91 %","70,637.00"
"PRVU","2024-05-13","138","144","135.2","142.8","5.00 %","176,962.00"
"PRVU","2024-05-12","136.6","137.2","134.6","136","1.49 %","56,576.00"
"PRVU","2024-05-09","134.9","134.9","133.4","134","0.45 %","52,196.00"
"PRVU","2024-05-08","133","135","132","133.4","-0.22 %","52,273.00"
"PRVU","2024-05-07","135","135.9","133.6","133.7","-0.96 %","53,949.00"
"PRVU","2024-05-06","138.7","138.7","134","135","-0.74 %","110,076.00"
"PRVU","2024-05-05","137.6","138.8","135.5","136","-1.09 %","95,053.00"
"PRVU","2024-05-02","144.1","144.1","137","137.5","-2.69 %","123,562.00"
"PRVU","2024-04-30","142.4","142.4","139","141.3","1.15 %","78,388.00"
"PRVU","2024-04-29","141.4","141.4","138","139.7","0.72 %","56,473.00"
"PRVU","2024-04-28","141.8","141.8","138","138.7","-0.29 %","44,272.00"
"PRVU","2024-04-25","140","140.8","138.1","139.1","-0.36 %","64,133.00"
"PRVU","2024-04-24","140","140","137","139.6","1.23 %","43,990.00"
"PRVU","2024-04-22","138.9","139","136.7","137.9","0.58 %","91,797.00"
"PRVU","2024-04-21","140","142","137","137.1","-1.37 %","46,573.00"
"PRVU","2024-04-18","138","139.3","137","139","1.02 %","134,005.00"
"PRVU","2024-04-16","137","139","136.2","137.6","-0.29 %","39,191.00"
"PRVU","2024-04-15","136.7","139.3","136.7","138","-0.79 %","48,007.00"
"PRVU","2024-04-14","141.1","141.6","139","139.1","-2.04 %","64,568.00"
"PRVU","2024-04-10","142","143","141","142","0.78 %","60,817.00"
"PRVU","2024-04-09","140","142","139","140.9","1.37 %","51,324.00"
"PRVU","2024-04-07","138.5","140","135.8","139","-0.07 %","85,099.00"
"PRVU","2024-04-04","140","141.5","138.2","139.1","-0.29 %","49,921.00"
"PRVU","2024-04-03","139.4","140","138","139.5","0.14 %","68,897.00"
"PRVU","2024-04-02","142.6","142.6","139","139.3","-0.43 %","65,618.00"
"PRVU","2024-04-01","141","141","138.8","139.9","-0.78 %","50,623.00"
"PRVU","2024-03-31","143","143","140","141","0.00 %","53,069.00"
"PRVU","2024-03-28","141","142.5","140","141","-0.21 %","37,985.00"
"PRVU","2024-03-27","142.5","142.5","140.1","141.3","-0.84 %","41,914.00"
"PRVU","2024-03-26","144","144","141.4","142.5","0.35 %","44,466.00"
"PRVU","2024-03-25","144","144.5","141.1","142","-0.70 %","48,738.00"
"PRVU","2024-03-21","142","144.5","142","143","0.14 %","78,100.00"
"PRVU","2024-03-20","147.9","147.9","142.5","142.8","-1.52 %","90,210.00"
"PRVU","2024-03-19","145","146.5","144","145","-0.34 %","82,215.00"
"PRVU","2024-03-18","148.9","148.9","143.1","145.5","-0.34 %","48,642.00"
"PRVU","2024-03-17","151.8","151.8","145.1","146","-1.95 %","68,802.00"
"PRVU","2024-03-14","151.6","151.6","147.5","148.9","-0.93 %","53,208.00"
"PRVU","2024-03-13","152","152","149.2","150.3","0.20 %","72,367.00"
"PRVU","2024-03-12","149.9","150.6","146.2","150","2.04 %","94,872.00"
"PRVU","2024-03-10","147","147.8","143.7","147","1.38 %","56,657.00"
"PRVU","2024-03-07","141.5","145.9","141.5","145","0.76 %","46,618.00"
"PRVU","2024-03-06","145.9","149","141","143.9","0.00 %","85,534.00"
"PRVU","2024-03-05","154.9","154.9","143","143.9","-5.27 %","91,632.00"
"PRVU","2024-03-04","143.1","151.9","143.1","151.9","7.73 %","3,257.00"
"PRVU","2024-03-03","141","141.1","139.5","141","-0.35 %","62,430.00"
"PRVU","2024-02-29","144","145.5","141.2","141.5","-1.74 %","93,101.00"
"PRVU","2024-02-28","146","146.5","143.1","144","-2.04 %","118,082.00"
"PRVU","2024-02-27","148","148.3","146.6","147","-0.81 %","77,943.00"
"PRVU","2024-02-26","148","149.5","147","148.2","0.07 %","63,747.00"
"PRVU","2024-02-25","149","151","148","148.1","-0.87 %","61,284.00"
"PRVU","2024-02-22","150","152","149","149.4","-0.80 %","74,676.00"
"PRVU","2024-02-21","150.5","152","150","150.6","0.13 %","53,184.00"
"PRVU","2024-02-20","149","151.6","149","150.4","0.67 %","58,193.00"
"PRVU","2024-02-18","153.4","153.4","149.4","149.4","-1.32 %","106,527.00"
"PRVU","2024-02-15","152.5","154.7","151.1","151.4","-0.85 %","65,033.00"
