"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RLI","2023-03-22","395","400","385","387","-1.78 %","10,158.00"
"RLI","2023-03-20","391.1","402","391.1","394","0.23 %","4,735.00"
"RLI","2023-03-19","388.2","400","388.2","393.1","0.03 %","2,541.00"
"RLI","2023-03-16","390.3","399","390.3","393","-1.26 %","2,724.00"
"RLI","2023-03-15","390.2","398.8","390.2","398","0.76 %","2,942.00"
"RLI","2023-03-14","390","400","385.3","395","-0.30 %","4,730.00"
"RLI","2023-03-13","395","403","394.1","396.2","-1.44 %","2,222.00"
"RLI","2023-03-12","405","421","400","402","-2.66 %","3,740.00"
"RLI","2023-03-09","393","413","390.1","413","5.09 %","10,880.00"
"RLI","2023-03-07","386","395.7","385","393","1.29 %","4,132.00"
"RLI","2023-03-05","391.1","396","386.1","388","-1.27 %","4,448.00"
"RLI","2023-03-02","394.3","401","393","393","-2.00 %","5,359.00"
"RLI","2023-03-01","397","411","391","401","-0.99 %","3,693.00"
"RLI","2023-02-28","397","412","391.1","405","0.00 %","6,118.00"
"RLI","2023-02-27","410","418","394.2","405","0.75 %","9,799.00"
"RLI","2023-02-26","395","406","387","402","0.00 %","6,804.00"
"RLI","2023-02-23","405","405","399","402","-2.66 %","14,232.00"
"RLI","2023-02-22","400","417","400","413","2.97 %","4,889.00"
"RLI","2023-02-20","405","410","400.1","401.1","-0.27 %","7,356.00"
"RLI","2023-02-16","405","414","401","402.2","-1.90 %","9,198.00"
"RLI","2023-02-15","412","420.1","410","410","-1.68 %","6,695.00"
"RLI","2023-02-14","415","423.4","411.5","417","-0.48 %","4,500.00"
"RLI","2023-02-12","435","435","418","419","-4.77 %","8,846.00"
"RLI","2023-02-09","430.1","440.6","428","440","0.46 %","10,765.00"
"RLI","2023-02-08","445","453.9","430","438","-1.04 %","14,640.00"
"RLI","2023-02-07","412","442.6","412","442.6","6.14 %","8,069.00"
"RLI","2023-02-06","409.1","417","409.1","417","0.70 %","7,658.00"
"RLI","2023-02-05","420.2","427","412","414.1","-2.10 %","10,510.00"
"RLI","2023-02-02","430","440","420","423","-2.15 %","6,215.00"
"RLI","2023-02-01","432","432.3","421.7","432.3","0.49 %","6,803.00"
"RLI","2023-01-31","447.6","447.6","425.1","430.2","-2.00 %","8,019.00"
"RLI","2023-01-30","456","458","433","439","-4.11 %","11,486.00"
"RLI","2023-01-29","455","459.9","446.1","457.8","1.06 %","9,493.00"
"RLI","2023-01-26","455","462","446.2","453","1.36 %","9,548.00"
"RLI","2023-01-25","435","452","429","446.9","4.66 %","13,944.00"
"RLI","2023-01-24","428.3","431","425.1","427","-2.29 %","5,598.00"
"RLI","2023-01-23","445","448","437","437","-2.02 %","6,913.00"
"RLI","2023-01-19","436.9","448","436.9","446","0.22 %","11,803.00"
