"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SABSL","2024-07-11","1093","1093","1034","1045","-2.52 %","10,540.00"
"SABSL","2024-07-10","1068.9","1110","1055.1","1072","0.37 %","13,986.00"
"SABSL","2024-07-09","969.6","1068.5","969.6","1068","9.15 %","18,129.00"
"SABSL","2024-07-08","1003","1024.5","977","978.5","-0.65 %","6,467.00"
"SABSL","2024-07-07","1004.7","1022","984.9","984.9","-0.01 %","8,977.00"
"SABSL","2024-07-04","1002","1044","985","985","-1.40 %","7,963.00"
"SABSL","2024-07-03","982","1007","972","999","1.32 %","4,943.00"
"SABSL","2024-07-02","1009.8","1030","986","986","-0.40 %","4,247.00"
"SABSL","2024-07-01","947","1024","947","990","2.48 %","1,059.00"
"SABSL","2024-06-30","1010","1010","966","966","-4.54 %","8,205.00"
"SABSL","2024-06-27","1060","1060","1003","1011.9","-2.67 %","6,562.00"
"SABSL","2024-06-26","1050","1060","1029","1039.7","-1.36 %","6,396.00"
"SABSL","2024-06-25","1031","1085","1031","1054","0.19 %","7,582.00"
"SABSL","2024-06-24","1016","1079.9","1016","1052","1.53 %","10,619.00"
"SABSL","2024-06-23","1102","1102","1036","1036.1","-4.15 %","10,845.00"
"SABSL","2024-06-20","1050","1107","1046.3","1081","1.50 %","8,949.00"
"SABSL","2024-06-19","1040","1094.6","1040","1065","0.47 %","4,295.00"
"SABSL","2024-06-18","1057","1100.1","1050","1060","1.44 %","17,706.00"
"SABSL","2024-06-16","1078","1111","1039","1045","-5.00 %","19,778.00"
"SABSL","2024-06-13","1133.2","1173","1097.7","1100","-0.99 %","24,060.00"
"SABSL","2024-06-12","1067.9","1135","1026","1111","6.11 %","34,085.00"
"SABSL","2024-06-11","1024.1","1065","983.7","1047","0.20 %","6,048.00"
"SABSL","2024-06-10","1009.4","1050","1009.4","1044.9","1.45 %","4,231.00"
"SABSL","2024-06-09","1036.9","1100","1021","1030","-2.65 %","13,718.00"
"SABSL","2024-06-06","1050","1060","1013","1058","1.93 %","23,688.00"
"SABSL","2024-06-05","1002.1","1050","982.1","1038","2.39 %","11,982.00"
"SABSL","2024-06-04","965","1015","965","1013.8","3.13 %","12,577.00"
"SABSL","2024-06-03","945","1000","945","983","4.13 %","6,055.00"
"SABSL","2024-06-02","951","970","920","944","1.18 %","3,270.00"
"SABSL","2024-05-30","931","974.8","931","933","-1.79 %","2,347.00"
"SABSL","2024-05-29","990","995","925.4","950","-2.68 %","8,742.00"
"SABSL","2024-05-27","982.2","1000","924","976.2","1.37 %","5,360.00"
"SABSL","2024-05-26","1027.1","1027.1","961","963","-4.37 %","7,944.00"
"SABSL","2024-05-22","1050","1050","990.8","1007","-3.54 %","9,912.00"
"SABSL","2024-05-21","1020.1","1049.9","961.4","1044","4.39 %","9,862.00"
"SABSL","2024-05-20","1054","1071","999.9","1000.1","-3.28 %","20,070.00"
"SABSL","2024-05-19","950","1034","925","1034","10.00 %","28,902.00"
"SABSL","2024-05-16","870","960","870","940","5.98 %","26,636.00"
"SABSL","2024-05-15","907","908","872","887","-0.34 %","10,900.00"
"SABSL","2024-05-14","860","897.6","860","890","5.20 %","16,061.00"
"SABSL","2024-05-13","812.5","849.6","812","846","2.72 %","5,680.00"
"SABSL","2024-05-12","835","841.9","815.1","823.6","-1.95 %","7,080.00"
"SABSL","2024-05-09","871","871","840","840","-4.76 %","9,306.00"
"SABSL","2024-05-08","872","900","850","882","3.16 %","18,271.00"
"SABSL","2024-05-07","800","855","790","855","7.04 %","15,280.00"
"SABSL","2024-05-06","810","833","796","798.8","-3.06 %","5,057.00"
"SABSL","2024-05-05","797","867","797","824","3.52 %","14,912.00"
"SABSL","2024-05-02","754","817.1","754","796","5.57 %","11,722.00"
"SABSL","2024-04-30","716","780","712.5","754","3.87 %","2,698.00"
"SABSL","2024-04-29","724","725.9","715","725.9","0.96 %","2,758.00"
"SABSL","2024-04-28","725","725","688","719","-0.83 %","3,951.00"
"SABSL","2024-04-25","756.6","756.6","725","725","-6.09 %","9,943.00"
"SABSL","2024-04-24","770.1","773.5","770","772","-0.64 %","3,719.00"
"SABSL","2024-04-22","789","799.9","765","777","0.39 %","3,321.00"
"SABSL","2024-04-21","761","791.7","746.2","774","1.71 %","1,536.00"
"SABSL","2024-04-18","776.1","776.1","751","761","-3.55 %","1,692.00"
"SABSL","2024-04-16","805","805","785","789","-3.78 %","2,506.00"
"SABSL","2024-04-15","845","866","800","820","-1.56 %","6,821.00"
"SABSL","2024-04-14","757.8","836","745","833","7.76 %","4,482.00"
"SABSL","2024-04-10","816","818","773","773","-5.50 %","4,393.00"
"SABSL","2024-04-09","856","856","802.7","818","-4.42 %","10,001.00"
"SABSL","2024-04-07","796","860","796","855.8","9.02 %","15,396.00"
"SABSL","2024-04-04","752.6","809","738.6","785","6.38 %","16,598.00"
"SABSL","2024-04-03","723.8","744","705","737.9","3.93 %","6,415.00"
"SABSL","2024-04-02","680","715","680","710","3.65 %","2,686.00"
"SABSL","2024-04-01","690","691.5","678","685","1.17 %","593.00"
"SABSL","2024-03-31","708","732","677","677.1","-2.58 %","1,129.00"
"SABSL","2024-03-28","699","699","673","695","-0.43 %","1,861.00"
"SABSL","2024-03-27","690","703","690","698","-0.85 %","1,543.00"
"SABSL","2024-03-26","709","710","700","704","1.27 %","1,422.00"
"SABSL","2024-03-25","743.5","750","692.5","695.2","-4.64 %","2,482.00"
"SABSL","2024-03-21","745","745","710.7","729","-0.21 %","3,352.00"
"SABSL","2024-03-20","710","752.7","702.1","730.5","4.36 %","10,409.00"
"SABSL","2024-03-19","697","710.9","675.2","700","2.34 %","4,175.00"
"SABSL","2024-03-18","671","684","652.3","684","1.79 %","3,877.00"
"SABSL","2024-03-17","685","689","660","672","-1.90 %","2,672.00"
"SABSL","2024-03-14","655","720.5","650","685","4.58 %","10,601.00"
"SABSL","2024-03-13","682","682","651.1","655","-2.24 %","831.00"
"SABSL","2024-03-12","631","670","631","670","5.95 %","4,368.00"
"SABSL","2024-03-10","606.9","632.4","606.9","632.4","6.29 %","3,063.00"
"SABSL","2024-03-07","595.6","609","574","595","1.88 %","769.00"
"SABSL","2024-03-06","567.5","595","560.1","584","0.86 %","596.00"
"SABSL","2024-03-05","580.3","589","572","579","1.76 %","375.00"
"SABSL","2024-03-03","568","569","558","569","-1.04 %","1,326.00"
"SABSL","2024-02-29","593","593","572","575","-3.04 %","651.00"
"SABSL","2024-02-28","595","595","585","593","-0.34 %","169.00"
"SABSL","2024-02-27","580.2","595","580.2","595","0.83 %","342.00"
"SABSL","2024-02-26","611.8","612","590.1","590.1","-1.63 %","367.00"
"SABSL","2024-02-25","590","601","589","599.9","-0.35 %","1,175.00"
"SABSL","2024-02-22","625","625","602","602","-1.76 %","553.00"
"SABSL","2024-02-21","601","612.8","601","612.8","-0.03 %","583.00"
"SABSL","2024-02-20","605","614","603","613","0.00 %","519.00"
"SABSL","2024-02-18","610","613","600","613","-1.13 %","1,132.00"
"SABSL","2024-02-15","630","630","608.2","620","-1.59 %","1,061.00"
"SABSL","2024-02-14","621","630","620","630","0.02 %","636.00"
"SABSL","2024-02-13","625","630","620","629.9","-0.80 %","536.00"
"SABSL","2024-02-12","621","635","621","635","0.95 %","430.00"
"SABSL","2024-02-11","625","630","615.1","629","1.42 %","859.00"
"SABSL","2024-02-08","616","624","616","620.2","-1.08 %","481.00"
"SABSL","2024-02-07","616","627","616","627","0.80 %","271.00"
"SABSL","2024-02-06","609","630","609","622","0.16 %","1,270.00"
"SABSL","2024-02-05","628","628","612","621","0.81 %","890.00"
"SABSL","2024-02-04","610","627","610","616","-0.65 %","271.00"
"SABSL","2024-02-01","624","624","616.1","620","-0.82 %","613.00"
"SABSL","2024-01-31","656.8","656.8","620","625.1","-2.93 %","780.00"
"SABSL","2024-01-30","630","644","629.1","644","0.63 %","1,240.00"
"SABSL","2024-01-29","650","650","628","640","0.00 %","566.00"
"SABSL","2024-01-28","631","654","631","640","1.43 %","500.00"
"SABSL","2024-01-25","640","640","618.1","631","-2.62 %","783.00"
"SABSL","2024-01-24","649.9","650","640","648","-0.29 %","446.00"
"SABSL","2024-01-23","655","655","640","649.9","-0.17 %","369.00"
"SABSL","2024-01-22","653","653","626","651","-1.96 %","1,273.00"
"SABSL","2024-01-21","680","680","662","664","-3.21 %","1,064.00"
"SABSL","2024-01-18","691.5","691.5","638","686","1.18 %","1,471.00"
"SABSL","2024-01-17","666","695.6","660.2","678","1.36 %","6,179.00"
"SABSL","2024-01-16","655","675","643.4","668.9","3.71 %","4,483.00"
"SABSL","2024-01-14","642.1","654","635","645","0.47 %","1,021.00"
"SABSL","2024-01-11","640","642","628","642","0.31 %","844.00"
"SABSL","2024-01-10","619.5","640","619.5","640","4.75 %","1,144.00"
"SABSL","2024-01-09","606","630","606","611","0.98 %","506.00"
