"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SGHC","2024-08-11","418.1","440","418.1","438","2.82 %","43,278.00"
"SGHC","2024-08-08","430","438","420","426","-0.93 %","29,998.00"
"SGHC","2024-08-07","403","440","403","430","5.21 %","32,908.00"
"SGHC","2024-08-06","435","451.8","408.7","408.7","-7.74 %","52,697.00"
"SGHC","2024-08-05","420","460","418.8","443","4.24 %","60,567.00"
"SGHC","2024-08-01","435","438","417.2","425","-1.62 %","34,243.00"
"SGHC","2024-07-31","439","462.9","431","432","-1.59 %","57,918.00"
"SGHC","2024-07-30","403","444.7","403","439","7.07 %","74,949.00"
"SGHC","2024-07-29","425","425","405","410","-1.89 %","45,576.00"
"SGHC","2024-07-28","419.2","430","403","417.9","1.68 %","31,286.00"
"SGHC","2024-07-25","399","414.9","391.2","411","3.01 %","81,393.00"
"SGHC","2024-07-24","412","418","396","399","-5.00 %","60,839.00"
"SGHC","2024-07-23","412","427","405","420","3.70 %","57,439.00"
"SGHC","2024-07-22","384","414","380.2","405","5.72 %","152,629.00"
"SGHC","2024-07-21","388","393","379.3","383.1","0.29 %","60,867.00"
"SGHC","2024-07-18","384.2","399.1","380","382","-2.55 %","49,507.00"
"SGHC","2024-07-17","392.4","400","380","392","0.20 %","80,306.00"
"SGHC","2024-07-16","370","395.7","370","391.2","6.30 %","90,216.00"
"SGHC","2024-07-15","376","383","356","368","-0.27 %","105,140.00"
"SGHC","2024-07-14","363","391","359","369","3.62 %","34,373.00"
"SGHC","2024-07-11","335.1","359.9","335.1","356.1","5.36 %","83,420.00"
"SGHC","2024-07-10","329.5","345","329.4","338","1.17 %","21,496.00"
"SGHC","2024-07-09","330.4","336.5","330.4","334.1","0.03 %","14,401.00"
"SGHC","2024-07-08","333.5","339","333.1","334","-1.65 %","8,798.00"
"SGHC","2024-07-07","334.2","341","332.4","339.6","0.62 %","14,139.00"
"SGHC","2024-07-04","334.1","348","334.1","337.5","0.45 %","24,809.00"
"SGHC","2024-07-03","331.4","344.7","331.4","336","-0.59 %","17,851.00"
"SGHC","2024-07-02","342.6","368","336.1","338","0.63 %","22,010.00"
"SGHC","2024-07-01","327","339.6","327","335.9","0.87 %","11,095.00"
"SGHC","2024-06-30","340","340","330.1","333","-0.89 %","23,056.00"
"SGHC","2024-06-27","342.5","349.3","336","336","-3.72 %","19,414.00"
"SGHC","2024-06-26","336.1","355.9","336.1","349","1.78 %","99,682.00"
"SGHC","2024-06-25","318","344","318","342.9","5.83 %","40,174.00"
"SGHC","2024-06-24","317","334.9","317","324","0.62 %","15,928.00"
"SGHC","2024-06-23","321","331","320","322","-1.53 %","14,835.00"
"SGHC","2024-06-20","330.2","336.8","326.4","327","-2.10 %","9,727.00"
"SGHC","2024-06-19","321","334","321","334","2.33 %","12,662.00"
"SGHC","2024-06-18","328","336","326.1","326.4","-2.28 %","14,490.00"
"SGHC","2024-06-16","339","344","332","334","-1.47 %","19,223.00"
"SGHC","2024-06-13","344.9","344.9","332.6","339","0.12 %","24,701.00"
"SGHC","2024-06-12","352.8","353","336","338.6","-2.11 %","24,626.00"
"SGHC","2024-06-11","340","350.5","340","345.9","2.64 %","51,932.00"
"SGHC","2024-06-10","335","345","334.5","337","1.20 %","29,660.00"
"SGHC","2024-06-09","325","336","324.2","333","2.46 %","19,907.00"
"SGHC","2024-06-06","328.4","330","322.1","325","0.93 %","13,634.00"
"SGHC","2024-06-05","335.5","335.5","322","322","-2.13 %","7,535.00"
"SGHC","2024-06-04","330.4","337","324.4","329","-1.26 %","12,504.00"
"SGHC","2024-06-03","340","346.8","333.2","333.2","-1.42 %","19,153.00"
"SGHC","2024-06-02","332","348","331.1","338","1.62 %","26,481.00"
"SGHC","2024-05-30","325","341","325","332.6","2.65 %","40,774.00"
"SGHC","2024-05-29","325","342","320","324","0.03 %","14,466.00"
"SGHC","2024-05-27","321","330","317.1","323.9","-0.34 %","7,544.00"
"SGHC","2024-05-26","327.1","335","321","325","-2.40 %","19,227.00"
"SGHC","2024-05-22","339","345","330","333","-1.77 %","22,436.00"
"SGHC","2024-05-21","330","352","330","339","3.99 %","64,584.00"
"SGHC","2024-05-20","321.1","329","321.1","326","1.75 %","28,799.00"
"SGHC","2024-05-19","322.4","323","315.6","320.4","-0.62 %","6,145.00"
"SGHC","2024-05-16","321","323","314","322.4","0.16 %","19,591.00"
"SGHC","2024-05-15","320","327","317","321.9","0.59 %","22,691.00"
"SGHC","2024-05-14","310.2","322.9","310.2","320","1.62 %","16,179.00"
"SGHC","2024-05-13","308.1","315","308.1","314.9","0.29 %","9,790.00"
"SGHC","2024-05-12","311.4","319","309","314","-0.32 %","6,288.00"
"SGHC","2024-05-09","314","319","311.2","315","0.32 %","5,260.00"
"SGHC","2024-05-08","310","316","310","314","0.32 %","9,660.00"
"SGHC","2024-05-07","316","320","310.1","313","-0.95 %","5,230.00"
"SGHC","2024-05-06","312.3","318","310","316","-0.63 %","16,000.00"
"SGHC","2024-05-05","320","322","312.9","318","-0.63 %","10,664.00"
"SGHC","2024-05-02","325","325","315.5","320","0.13 %","13,559.00"
"SGHC","2024-04-30","311","326.6","311","319.6","1.78 %","27,603.00"
"SGHC","2024-04-29","315","319","312","314","-0.32 %","17,431.00"
"SGHC","2024-04-28","311","320.5","310","315","0.22 %","11,249.00"
"SGHC","2024-04-25","315","323","313.6","314.3","-0.85 %","22,251.00"
"SGHC","2024-04-24","314","324","314","317","-0.84 %","5,175.00"
"SGHC","2024-04-22","322","328","316","319.7","-0.09 %","29,433.00"
"SGHC","2024-04-21","315","322","310.2","320","1.59 %","16,019.00"
"SGHC","2024-04-18","318","318","312.2","315","-0.94 %","10,554.00"
"SGHC","2024-04-16","309","325","309","318","0.89 %","18,465.00"
"SGHC","2024-04-15","321","325","314.9","315.2","-0.79 %","24,664.00"
"SGHC","2024-04-14","310.1","329.4","310.1","317.7","1.05 %","31,582.00"
"SGHC","2024-04-10","325.3","325.3","313","314.4","-1.44 %","21,148.00"
"SGHC","2024-04-09","318.1","324","313.3","319","1.27 %","14,063.00"
"SGHC","2024-04-07","306","317","302.1","315","2.61 %","8,188.00"
"SGHC","2024-04-04","310","329","307","307","-2.85 %","12,655.00"
"SGHC","2024-04-03","317","326.9","312","316","-2.17 %","10,065.00"
"SGHC","2024-04-02","330","330","316","323","-1.52 %","17,711.00"
"SGHC","2024-04-01","324","331","318.1","328","1.55 %","41,848.00"
"SGHC","2024-03-31","323","328.8","316.8","323","1.89 %","55,249.00"
"SGHC","2024-03-28","306","320","306","317","1.93 %","19,624.00"
"SGHC","2024-03-27","304","316","304","311","0.32 %","9,568.00"
"SGHC","2024-03-26","301","314.9","300.5","310","2.96 %","9,897.00"
"SGHC","2024-03-25","301.3","304","301","301.1","-1.57 %","8,867.00"
"SGHC","2024-03-21","305","315","301.3","305.9","-1.29 %","5,863.00"
"SGHC","2024-03-20","308.1","314.5","306.1","309.9","-0.93 %","9,860.00"
"SGHC","2024-03-19","304.2","315","304.2","312.8","1.72 %","6,553.00"
"SGHC","2024-03-18","307.1","317","306.3","307.5","-1.73 %","5,597.00"
"SGHC","2024-03-17","310","314","307","312.9","0.29 %","5,811.00"
"SGHC","2024-03-14","310","318.9","310","312","-1.27 %","7,976.00"
"SGHC","2024-03-13","321.3","321.3","308.7","316","0.32 %","9,157.00"
"SGHC","2024-03-12","320.4","325","311","315","0.25 %","14,042.00"
"SGHC","2024-03-10","311","323.3","311","314.2","-0.88 %","9,769.00"
"SGHC","2024-03-07","317","320","311","317","0.00 %","11,663.00"
"SGHC","2024-03-06","304","317.3","303","317","2.26 %","15,797.00"
"SGHC","2024-03-05","327","327","300.7","310","-5.20 %","22,344.00"
"SGHC","2024-03-04","309","327","309","327","7.67 %","950.00"
"SGHC","2024-03-03","312","312","295.2","303.7","-1.07 %","7,554.00"
"SGHC","2024-02-29","309","313","300","307","-2.54 %","31,325.00"
"SGHC","2024-02-28","315.5","320","309","315","-1.87 %","11,900.00"
"SGHC","2024-02-27","305","321","305","321","3.88 %","17,399.00"
"SGHC","2024-02-26","302","324","302","309","0.98 %","20,404.00"
"SGHC","2024-02-25","312.1","315.1","301","306","-2.86 %","28,710.00"
"SGHC","2024-02-22","325.1","333","313.8","315","-4.83 %","27,052.00"
"SGHC","2024-02-21","339","342.7","325","331","-0.63 %","22,793.00"
"SGHC","2024-02-20","343","344.9","333","333.1","-3.06 %","24,114.00"
"SGHC","2024-02-18","347","359","333.5","343.6","0.76 %","71,108.00"
"SGHC","2024-02-15","331.1","341","326","341","1.19 %","46,818.00"
"SGHC","2024-02-14","328","339","326","337","0.90 %","24,533.00"
"SGHC","2024-02-13","340","346","326","334","-1.76 %","83,100.00"
"SGHC","2024-02-12","325","340.6","317","340","4.62 %","77,986.00"
"SGHC","2024-02-11","330","335","314","325","-1.52 %","38,450.00"
"SGHC","2024-02-08","313.1","331","307.1","330","7.49 %","66,309.00"
"SGHC","2024-02-07","310","322","302","307","0.95 %","31,773.00"
"SGHC","2024-02-06","305","312","300","304.1","-0.62 %","15,733.00"
"SGHC","2024-02-05","303.4","315","297.6","306","-1.13 %","9,765.00"
"SGHC","2024-02-04","310","318","298","309.5","-2.06 %","19,384.00"
"SGHC","2024-02-01","323.5","323.6","311.9","316","-2.32 %","12,590.00"
"SGHC","2024-01-31","331","335","323.5","323.5","-2.27 %","14,800.00"
"SGHC","2024-01-30","316","333","316","331","3.12 %","69,474.00"
"SGHC","2024-01-29","315.6","326","315","321","-0.31 %","33,481.00"
"SGHC","2024-01-28","325","331","314","322","0.53 %","7,598.00"
"SGHC","2024-01-25","318.5","336.6","310","320.3","0.57 %","23,304.00"
"SGHC","2024-01-24","323.4","336","317","318.5","-3.48 %","20,663.00"
"SGHC","2024-01-23","336","336","319","330","0.15 %","26,607.00"
"SGHC","2024-01-22","335","340","322","329.5","-1.64 %","36,086.00"
"SGHC","2024-01-21","325","349","325","335","2.45 %","52,133.00"
"SGHC","2024-01-18","320","342.9","313.5","327","0.31 %","49,796.00"
"SGHC","2024-01-17","351","363","325.5","326","-7.12 %","61,730.00"
"SGHC","2024-01-16","327","359.7","327","351","7.34 %","128,781.00"
"SGHC","2024-01-14","308.9","334","308.9","327","5.86 %","70,700.00"
"SGHC","2024-01-11","297","315","291.1","308.9","5.39 %","35,882.00"
"SGHC","2024-01-10","300","302","290.1","293.1","-2.27 %","26,438.00"
