"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIFC","2024-08-11","627.9","645.1","605","629","2.11 %","126,679.00"
"SIFC","2024-08-08","647","653","610","616","-2.99 %","72,077.00"
"SIFC","2024-08-07","567.5","636.9","567.5","635","9.67 %","195,275.00"
"SIFC","2024-08-06","643.1","655","579","579","-9.97 %","200,569.00"
"SIFC","2024-08-05","699.7","699.7","634.2","643.1","-6.25 %","172,215.00"
"SIFC","2024-08-01","646.2","696.9","646.2","686","8.27 %","211,729.00"
"SIFC","2024-07-31","587","633.6","583","633.6","10.00 %","167,230.00"
"SIFC","2024-07-30","545","582","545","576","6.08 %","143,598.00"
"SIFC","2024-07-29","539","554","535","543","-0.53 %","78,780.00"
"SIFC","2024-07-28","547.7","558","529","545.9","1.66 %","62,056.00"
"SIFC","2024-07-25","545","553","532.2","537","-0.37 %","71,844.00"
"SIFC","2024-07-24","544","566","536.1","539","0.54 %","152,238.00"
"SIFC","2024-07-23","524","540","524","536.1","2.11 %","55,977.00"
"SIFC","2024-07-22","524.1","531","514.1","525","0.00 %","68,899.00"
"SIFC","2024-07-21","521","540","516","525","1.35 %","141,873.00"
"SIFC","2024-07-18","540","546","511","518","-3.90 %","87,359.00"
"SIFC","2024-07-17","511","550","506","539","6.75 %","92,739.00"
"SIFC","2024-07-16","498","504.9","496","504.9","3.04 %","49,282.00"
"SIFC","2024-07-15","496.7","508","480.6","490","0.62 %","116,895.00"
"SIFC","2024-07-14","494.7","504","484.2","487","0.41 %","40,716.00"
"SIFC","2024-07-11","502","502","481","485","-1.92 %","49,453.00"
"SIFC","2024-07-10","477.2","503","477.2","494.5","1.56 %","58,391.00"
"SIFC","2024-07-09","482.4","501.8","475","486.9","2.94 %","73,842.00"
"SIFC","2024-07-08","479","480","471","473","0.55 %","36,111.00"
"SIFC","2024-07-07","493","493","470.4","470.4","-3.21 %","71,767.00"
"SIFC","2024-07-04","497.5","504","478","486","-0.61 %","89,216.00"
"SIFC","2024-07-03","473","500","458","489","5.16 %","150,090.00"
"SIFC","2024-07-02","461.1","480","457.2","465","2.85 %","41,950.00"
"SIFC","2024-07-01","463.3","463.3","452","452.1","-1.16 %","32,413.00"
"SIFC","2024-06-30","455","470","454","457.4","0.29 %","50,843.00"
"SIFC","2024-06-27","465","465","453","456.1","-0.83 %","41,608.00"
"SIFC","2024-06-26","467","475","457","459.9","-1.65 %","53,278.00"
"SIFC","2024-06-25","465.1","489.6","462","467.6","1.21 %","81,843.00"
"SIFC","2024-06-24","483.3","485.6","459.1","462","-2.51 %","112,945.00"
"SIFC","2024-06-23","446.1","479","446","473.9","6.85 %","127,394.00"
"SIFC","2024-06-20","444","452.7","431.3","443.5","1.72 %","62,141.00"
"SIFC","2024-06-19","432","446","432","436","1.40 %","35,327.00"
"SIFC","2024-06-18","436","444.6","428","430","-1.38 %","35,190.00"
"SIFC","2024-06-16","448","455","432","436","-2.46 %","60,842.00"
"SIFC","2024-06-13","442","460","442","447","2.29 %","115,517.00"
"SIFC","2024-06-12","428","443.9","426","437","1.42 %","90,511.00"
"SIFC","2024-06-11","431","432.9","425","430.9","1.39 %","34,548.00"
"SIFC","2024-06-10","411.1","430","411.1","425","1.43 %","20,694.00"
"SIFC","2024-06-09","429","429","415","419","-0.71 %","18,080.00"
"SIFC","2024-06-06","436.8","436.8","416","422","-1.84 %","32,107.00"
"SIFC","2024-06-05","434.8","438","426","429.9","0.21 %","17,322.00"
"SIFC","2024-06-04","435","436.5","423.6","429","0.05 %","24,923.00"
"SIFC","2024-06-03","436","451.8","425.1","428.8","-1.65 %","74,698.00"
"SIFC","2024-06-02","426","444","423.1","436","3.07 %","63,135.00"
"SIFC","2024-05-30","418","431.4","415","423","1.93 %","48,336.00"
"SIFC","2024-05-29","428.4","435","412","415","-1.19 %","21,354.00"
"SIFC","2024-05-27","409.3","437","409.3","420","1.45 %","47,908.00"
"SIFC","2024-05-26","419.5","430","414","414","-3.27 %","30,769.00"
"SIFC","2024-05-22","436.2","443","424","428","-1.61 %","51,016.00"
"SIFC","2024-05-21","424.7","442","421.1","435","3.62 %","84,763.00"
"SIFC","2024-05-20","425","433","417","419.8","-1.22 %","30,865.00"
"SIFC","2024-05-19","423.8","426","412","425","2.29 %","43,165.00"
"SIFC","2024-05-16","418","424.9","415","415.5","-0.60 %","26,166.00"
"SIFC","2024-05-15","430.4","430.4","417.2","418","-0.95 %","34,858.00"
"SIFC","2024-05-14","425.9","430","419.1","422","-0.71 %","25,154.00"
"SIFC","2024-05-13","434","434","419","425","-0.23 %","27,464.00"
"SIFC","2024-05-12","440","443.7","424","426","-2.96 %","53,892.00"
"SIFC","2024-05-09","443","448","431","439","0.97 %","82,138.00"
"SIFC","2024-05-08","419.9","440","412.4","434.8","4.77 %","65,455.00"
"SIFC","2024-05-07","420.1","429.9","407","415","-1.21 %","44,918.00"
"SIFC","2024-05-06","417","427","414","420.1","0.26 %","54,157.00"
"SIFC","2024-05-05","427.9","435","418","419","-2.08 %","97,798.00"
"SIFC","2024-05-02","442.6","451","422.5","427.9","-1.41 %","85,074.00"
"SIFC","2024-04-30","455","470","416","434","-2.91 %","139,703.00"
"SIFC","2024-04-29","426","453","410.1","447","5.42 %","149,594.00"
"SIFC","2024-04-28","400","434.5","400","424","6.80 %","116,643.00"
"SIFC","2024-04-25","380","406","380","397","5.03 %","118,295.00"
