"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SJLIC","2024-08-11","523","552","513","552","7.58 %","269,578.00"
"SJLIC","2024-08-08","520","530","511.6","513.1","-1.33 %","116,286.00"
"SJLIC","2024-08-07","501","520.2","496.1","520","3.81 %","136,279.00"
"SJLIC","2024-08-06","533.1","542.1","499.8","500.9","-5.85 %","215,256.00"
"SJLIC","2024-08-05","528","545","520.2","532","0.76 %","203,113.00"
"SJLIC","2024-08-01","519","550","500.1","528","3.73 %","299,609.00"
"SJLIC","2024-07-31","500","518.9","496","509","3.46 %","226,716.00"
"SJLIC","2024-07-30","491","499","481","492","0.20 %","132,529.00"
"SJLIC","2024-07-29","505","513","490","491","-3.35 %","162,674.00"
"SJLIC","2024-07-28","500","520","491","508","3.46 %","126,437.00"
"SJLIC","2024-07-25","488","500.8","480","491","0.82 %","153,386.00"
"SJLIC","2024-07-24","491.1","509","481","487","1.14 %","202,255.00"
"SJLIC","2024-07-23","456","482.8","455","481.5","4.90 %","169,431.00"
"SJLIC","2024-07-22","469.8","469.8","453.1","459","-0.78 %","113,897.00"
"SJLIC","2024-07-21","461.1","469","454","462.6","0.57 %","103,317.00"
"SJLIC","2024-07-18","454.6","470","449","460","1.21 %","128,071.00"
"SJLIC","2024-07-17","447.8","455","440","454.5","3.06 %","105,019.00"
"SJLIC","2024-07-16","426.1","442","425","441","2.58 %","67,208.00"
"SJLIC","2024-07-15","438.8","440","427","429.9","-0.07 %","80,988.00"
"SJLIC","2024-07-14","433.7","443.7","425.2","430.2","1.18 %","80,031.00"
"SJLIC","2024-07-11","415","426","415","425.2","3.33 %","108,606.00"
"SJLIC","2024-07-10","408.5","420","408.5","411.5","-0.36 %","52,666.00"
"SJLIC","2024-07-09","407.6","415.7","407.6","413","-0.15 %","33,429.00"
"SJLIC","2024-07-08","425","425","412.7","413.6","-0.82 %","23,689.00"
"SJLIC","2024-07-07","415","422","412","417","0.51 %","63,664.00"
"SJLIC","2024-07-04","405","414.9","402.5","414.9","2.44 %","44,638.00"
"SJLIC","2024-07-03","408","408","400.1","405","-0.76 %","32,436.00"
"SJLIC","2024-07-02","410.6","429","405.2","408.1","1.37 %","49,882.00"
"SJLIC","2024-07-01","399.9","404.9","395.1","402.6","0.50 %","25,356.00"
"SJLIC","2024-06-30","399.9","404","399.9","400.6","0.18 %","21,416.00"
"SJLIC","2024-06-27","403","406","399.2","399.9","-0.77 %","30,450.00"
"SJLIC","2024-06-26","402","409","402","403","-0.49 %","12,455.00"
"SJLIC","2024-06-25","411.9","411.9","404","405","0.25 %","14,365.00"
"SJLIC","2024-06-24","400.1","409","400.1","404","0.05 %","18,964.00"
"SJLIC","2024-06-23","413.3","413.3","400.1","403.8","-0.35 %","45,392.00"
"SJLIC","2024-06-20","410.9","410.9","404","405.2","-0.69 %","22,518.00"
"SJLIC","2024-06-19","408","415","405","408","0.25 %","15,815.00"
"SJLIC","2024-06-18","420","420","405.4","407","-1.19 %","26,216.00"
"SJLIC","2024-06-16","415","415","409","411.9","-0.29 %","19,135.00"
"SJLIC","2024-06-13","420","425","412","413.1","-1.41 %","26,501.00"
"SJLIC","2024-06-12","415","426","415","419","0.96 %","50,506.00"
"SJLIC","2024-06-11","409","416.9","408","415","1.47 %","41,343.00"
"SJLIC","2024-06-10","417","417","403.7","409","-0.70 %","30,268.00"
"SJLIC","2024-06-09","412","413","404.8","411.9","0.22 %","58,267.00"
"SJLIC","2024-06-06","420.9","421","410.2","411","-0.44 %","15,679.00"
"SJLIC","2024-06-05","415.5","416","412","412.8","-0.65 %","17,893.00"
"SJLIC","2024-06-04","415","419","414","415.5","0.12 %","13,976.00"
"SJLIC","2024-06-03","413.2","416","411.4","415","0.44 %","16,297.00"
"SJLIC","2024-06-02","417.9","417.9","410.1","413.2","0.15 %","23,378.00"
"SJLIC","2024-05-30","421","421","412.6","412.6","-1.29 %","15,535.00"
"SJLIC","2024-05-29","432","433","414.3","418","-1.42 %","18,893.00"
"SJLIC","2024-05-27","423","427.9","418","424","0.24 %","19,964.00"
"SJLIC","2024-05-26","432","432","422.3","423","-1.17 %","24,350.00"
"SJLIC","2024-05-22","435","437","428","428","-1.61 %","39,053.00"
"SJLIC","2024-05-21","435","435","425.8","435","0.69 %","39,399.00"
"SJLIC","2024-05-20","430","439","427.1","432","2.47 %","75,808.00"
"SJLIC","2024-05-19","405","429","405","421.6","3.87 %","64,461.00"
"SJLIC","2024-05-16","414","416.9","405.9","405.9","-1.96 %","22,540.00"
"SJLIC","2024-05-15","416","423","414","414","-0.48 %","33,541.00"
"SJLIC","2024-05-14","409.2","420","409.2","416","1.66 %","16,538.00"
"SJLIC","2024-05-13","418","418","407.2","409.2","-0.39 %","30,020.00"
"SJLIC","2024-05-12","404","414","403.3","410.8","2.21 %","22,797.00"
"SJLIC","2024-05-09","401.9","406","400","401.9","0.00 %","25,256.00"
"SJLIC","2024-05-08","400","405.5","400","401.9","0.22 %","20,859.00"
"SJLIC","2024-05-07","410","412.1","400","401","-0.77 %","24,040.00"
"SJLIC","2024-05-06","419","419","400","404.1","-1.68 %","49,539.00"
"SJLIC","2024-05-05","416","420","411","411","-1.20 %","26,022.00"
"SJLIC","2024-05-02","425","428","415.6","416","-0.95 %","43,327.00"
"SJLIC","2024-04-30","418","426","416","420","0.48 %","41,915.00"
"SJLIC","2024-04-29","419.1","425","417","418","-0.02 %","19,589.00"
"SJLIC","2024-04-28","424","425","417","418.1","0.50 %","27,212.00"
"SJLIC","2024-04-25","420","427","416","416","0.65 %","35,336.00"
"SJLIC","2024-04-24","423.1","427.1","412.5","413.3","-2.32 %","56,247.00"
"SJLIC","2024-04-22","440","440","422.2","423.1","-2.74 %","56,728.00"
"SJLIC","2024-04-21","448.6","448.6","425","435","-4.97 %","100,419.00"
"SJLIC","2024-04-18","505.4","508","501.9","504.7","0.36 %","215,212.00"
"SJLIC","2024-04-16","510","510","499","502.9","0.58 %","148,605.00"
"SJLIC","2024-04-15","500","503.8","499","500","0.00 %","130,175.00"
"SJLIC","2024-04-14","500","511","499","500","1.42 %","178,223.00"
