"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SKBBL","2024-08-11","995","1015","985.1","1010","3.17 %","83,725.00"
"SKBBL","2024-08-08","990","995","975","979","-0.51 %","41,374.00"
"SKBBL","2024-08-07","960","993","960","984","0.82 %","55,660.00"
"SKBBL","2024-08-06","996","1010","975.3","976","-2.01 %","92,820.00"
"SKBBL","2024-08-05","992","999.7","985","996","0.45 %","44,771.00"
"SKBBL","2024-08-01","1011.9","1014.9","991.1","991.5","-0.15 %","58,684.00"
"SKBBL","2024-07-31","1007","1007","988","993","0.46 %","51,037.00"
"SKBBL","2024-07-30","1001.6","1001.6","962","988.5","0.66 %","52,062.00"
"SKBBL","2024-07-29","1035","1035","975.1","982","-3.25 %","78,732.00"
"SKBBL","2024-07-28","1003.6","1035","948","1015","3.15 %","85,002.00"
"SKBBL","2024-07-25","955","989.8","937","984","5.02 %","113,191.00"
"SKBBL","2024-07-24","948.5","958","930","937","-0.64 %","47,687.00"
"SKBBL","2024-07-23","925.4","945","925.4","943","1.51 %","54,348.00"
"SKBBL","2024-07-22","935","939","925","929","0.00 %","48,616.00"
"SKBBL","2024-07-21","925.9","936","908","929","2.31 %","44,706.00"
"SKBBL","2024-07-18","905","925","887","908","2.25 %","55,837.00"
"SKBBL","2024-07-17","880","889.9","870","888","2.09 %","35,484.00"
"SKBBL","2024-07-16","850.1","870.7","847.1","869.8","1.89 %","26,974.00"
"SKBBL","2024-07-15","872","873.1","850","853.7","-0.27 %","33,515.00"
"SKBBL","2024-07-14","861.5","906","848","856","1.34 %","21,942.00"
"SKBBL","2024-07-11","850","855","840","844.7","0.56 %","26,813.00"
"SKBBL","2024-07-10","841.7","845","825","840","1.79 %","26,806.00"
"SKBBL","2024-07-09","812.1","829.9","809.1","825.2","1.25 %","16,640.00"
"SKBBL","2024-07-08","819","819","810.2","815","0.36 %","16,624.00"
"SKBBL","2024-07-07","807","818","807","812.1","0.63 %","19,460.00"
"SKBBL","2024-07-04","810","815","805","807","0.12 %","14,647.00"
"SKBBL","2024-07-03","801.5","810","795.3","806","-0.25 %","15,575.00"
"SKBBL","2024-07-02","816","837","808","808","1.00 %","10,749.00"
"SKBBL","2024-07-01","796","801.4","796","800","0.50 %","7,148.00"
"SKBBL","2024-06-30","802","809","796","796","-0.76 %","11,916.00"
"SKBBL","2024-06-27","805","807","801.5","802.1","-0.38 %","12,615.00"
"SKBBL","2024-06-26","808","811","805.2","805.2","-0.47 %","7,482.00"
"SKBBL","2024-06-25","807","811.7","807","809","0.12 %","7,111.00"
"SKBBL","2024-06-24","815","815","804","808","0.36 %","8,829.00"
"SKBBL","2024-06-23","808.5","815","805","805.1","-0.73 %","10,134.00"
"SKBBL","2024-06-20","826","826","810.5","811","-0.12 %","8,772.00"
"SKBBL","2024-06-19","815.5","819","810.1","812","-0.37 %","10,872.00"
"SKBBL","2024-06-18","809","823.8","808.3","815","0.23 %","12,798.00"
"SKBBL","2024-06-16","829.9","829.9","809","813.1","-1.44 %","16,795.00"
"SKBBL","2024-06-13","834.8","834.8","821.2","825","-0.13 %","23,897.00"
"SKBBL","2024-06-12","824","833.7","823","826.1","0.41 %","17,792.00"
"SKBBL","2024-06-11","832.3","832.3","822","822.7","0.57 %","15,314.00"
"SKBBL","2024-06-10","810.4","825","810.4","818","-0.26 %","22,067.00"
"SKBBL","2024-06-09","840.4","840.4","820","820.1","-0.47 %","17,436.00"
"SKBBL","2024-06-06","819","836","818","824","0.61 %","28,379.00"
"SKBBL","2024-06-05","829","829.7","815","819","-0.36 %","12,085.00"
"SKBBL","2024-06-04","813","828","813","822","0.24 %","15,057.00"
"SKBBL","2024-06-03","822","822","811.2","820","1.11 %","12,376.00"
"SKBBL","2024-06-02","811","814","805.1","811","0.00 %","16,408.00"
"SKBBL","2024-05-30","815.5","824","810.2","811","-1.22 %","14,289.00"
"SKBBL","2024-05-29","846.6","846.6","818","821","-1.08 %","19,915.00"
"SKBBL","2024-05-27","830","845","823","830","0.59 %","22,817.00"
"SKBBL","2024-05-26","846.6","846.6","820.1","825.1","-0.59 %","25,462.00"
"SKBBL","2024-05-22","836.5","836.5","825.4","830","-0.05 %","20,867.00"
"SKBBL","2024-05-21","835","835","825.1","830.4","0.05 %","19,893.00"
"SKBBL","2024-05-20","845","845","827.1","830","-0.60 %","40,451.00"
"SKBBL","2024-05-19","846.6","846.6","820.3","835","0.60 %","29,175.00"
"SKBBL","2024-05-16","826.5","839.4","813.5","830","2.29 %","45,708.00"
"SKBBL","2024-05-15","827","832.8","811.3","811.4","-0.81 %","22,696.00"
"SKBBL","2024-05-14","800","825","800","818","2.25 %","19,555.00"
"SKBBL","2024-05-13","810","816","800","800","-0.25 %","14,799.00"
"SKBBL","2024-05-12","809","809","797","802","-0.87 %","14,877.00"
"SKBBL","2024-05-09","814","818.7","808","809","1.13 %","18,253.00"
"SKBBL","2024-05-08","810","830","800","800","-1.21 %","33,162.00"
"SKBBL","2024-05-07","797","822","796.5","809.8","1.93 %","43,287.00"
"SKBBL","2024-05-06","796","820","793","794.5","-1.30 %","19,896.00"
"SKBBL","2024-05-05","830","830","805","805","-1.23 %","25,119.00"
"SKBBL","2024-05-02","815","830","813","815","1.79 %","22,315.00"
"SKBBL","2024-04-30","794","809.8","794","800.7","0.21 %","17,603.00"
"SKBBL","2024-04-29","800","805","795","799","-0.13 %","5,510.00"
"SKBBL","2024-04-28","794","808.9","794","800","0.76 %","6,493.00"
"SKBBL","2024-04-25","796","808","790","794","-0.75 %","13,758.00"
"SKBBL","2024-04-24","811","811","799.5","800","0.13 %","7,585.00"
"SKBBL","2024-04-22","812","812","799","799","-0.13 %","8,047.00"
"SKBBL","2024-04-21","800","810","799.5","800","-0.25 %","8,613.00"
"SKBBL","2024-04-18","810","812","800","802","-1.24 %","8,484.00"
