"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLICL","2022-06-26","373","389.9","365","387","5.74 %","72,644.00"
"SLICL","2022-06-24","368.2","380.4","355","366","1.39 %","19,017.00"
"SLICL","2022-06-23","361","363","351","361","-0.82 %","21,697.00"
"SLICL","2022-06-22","378","382","364","364","-5.21 %","47,317.00"
"SLICL","2022-06-21","375","387","373","384","4.29 %","27,584.00"
"SLICL","2022-06-20","380.1","380.1","367.5","368.2","-4.36 %","28,253.00"
"SLICL","2022-06-19","410","413.1","381.3","385","-4.94 %","17,742.00"
"SLICL","2022-06-17","400","407","390","405","0.25 %","14,920.00"
"SLICL","2022-06-16","405","405","395.1","404","1.00 %","15,996.00"
"SLICL","2022-06-15","392.5","400","385","400","0.00 %","24,654.00"
"SLICL","2022-06-14","418","418","394","400","-3.15 %","39,962.00"
"SLICL","2022-06-13","422","423","412","413","-3.05 %","19,467.00"
"SLICL","2022-06-10","426","428.2","418","426","-1.82 %","26,471.00"
"SLICL","2022-06-09","448.9","448.9","426","433.9","-1.61 %","35,482.00"
"SLICL","2022-06-08","435","445.1","430","441","2.56 %","39,055.00"
"SLICL","2022-06-07","433.9","437.7","423","430","-1.58 %","14,307.00"
"SLICL","2022-06-06","436","440","430","436.9","0.44 %","17,968.00"
"SLICL","2022-06-03","431","442","425","435","0.28 %","24,140.00"
"SLICL","2022-06-02","440","440","425.2","433.8","0.30 %","15,973.00"
"SLICL","2022-06-01","456","456.8","432.5","432.5","-3.89 %","32,366.00"
"SLICL","2022-05-31","452","466.9","446","450","-1.96 %","24,449.00"
"SLICL","2022-05-30","479","479","455","459","-2.34 %","20,085.00"
"SLICL","2022-05-27","480","484","460.9","470","-2.08 %","39,731.00"
"SLICL","2022-05-26","478","485","469.1","480","0.02 %","36,219.00"
"SLICL","2022-05-25","475","486.5","467","479.9","2.98 %","25,496.00"
"SLICL","2022-05-24","471.9","472.5","454","466","0.65 %","34,994.00"
"SLICL","2022-05-23","489","494","460","463","-4.54 %","54,159.00"
"SLICL","2022-05-20","494","496","482.6","485","-1.82 %","37,921.00"
"SLICL","2022-05-19","517","522","486","494","-4.08 %","55,779.00"
"SLICL","2022-05-18","542","542","515","515","-0.04 %","60,174.00"
"SLICL","2022-05-17","579","579","531","538","-8.81 %","101,598.00"
"SLICL","2022-05-12","609","609","585","590","-3.12 %","37,022.00"
"SLICL","2022-05-11","593","611","592.1","609","3.05 %","27,245.00"
"SLICL","2022-05-10","585","598.9","585","591","1.03 %","8,286.00"
"SLICL","2022-05-09","595","595","583.1","585","0.00 %","22,701.00"
"SLICL","2022-05-08","577","588","570.5","585","0.52 %","30,418.00"
"SLICL","2022-05-05","604","604","580","582","-1.85 %","142,443.00"
"SLICL","2022-05-04","600","619","593","593","-2.31 %","28,921.00"
"SLICL","2022-05-02","637.5","650.2","607","607","-2.88 %","22,791.00"
"SLICL","2022-04-28","635","636","621.1","625","-1.56 %","17,743.00"
"SLICL","2022-04-27","637","639.9","625.5","634.9","0.14 %","15,243.00"
