"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMATA","2024-08-11","1028.1","1096","1028.1","1078","6.94 %","16,878.00"
"SMATA","2024-08-08","1049","1050","1007","1008","-2.33 %","12,641.00"
"SMATA","2024-08-07","1007","1082.9","1002","1032","2.48 %","13,464.00"
"SMATA","2024-08-06","1093","1093","1000","1007","-6.06 %","19,438.00"
"SMATA","2024-08-05","1133","1149.9","1068.2","1072","-3.51 %","7,318.00"
"SMATA","2024-08-01","1115","1137","1100","1111","-1.24 %","6,808.00"
"SMATA","2024-07-31","1109","1130","1109","1125","1.44 %","13,289.00"
"SMATA","2024-07-30","1120","1122","1060","1109","0.82 %","12,525.00"
"SMATA","2024-07-29","1186.2","1186.2","1095","1100","-5.42 %","19,215.00"
"SMATA","2024-07-28","1200","1213","1120","1163","-2.27 %","13,592.00"
"SMATA","2024-07-25","1146","1193","1129","1190","3.57 %","31,270.00"
"SMATA","2024-07-24","1185.8","1271","1125","1149","-5.03 %","39,761.00"
"SMATA","2024-07-23","1213","1235","1168.1","1209.9","1.67 %","15,390.00"
"SMATA","2024-07-22","1138","1228.1","1138","1190","6.58 %","44,509.00"
"SMATA","2024-07-21","1014.9","1116.5","1009.4","1116.5","10.00 %","48,766.00"
"SMATA","2024-07-18","1010","1060","1010","1015","0.87 %","19,728.00"
"SMATA","2024-07-17","1015.6","1020","1000","1006.2","0.60 %","11,316.00"
"SMATA","2024-07-16","990","1007","973.1","1000.2","1.96 %","4,954.00"
"SMATA","2024-07-15","1012","1012.8","977.5","981","-1.21 %","9,068.00"
"SMATA","2024-07-14","1030.2","1040","986","993","-1.68 %","10,780.00"
"SMATA","2024-07-11","1031","1031","1000","1010","-0.30 %","7,507.00"
"SMATA","2024-07-10","1025","1040","1000.1","1013","0.49 %","11,037.00"
"SMATA","2024-07-09","975","1019","961.5","1008.1","3.94 %","17,468.00"
"SMATA","2024-07-08","990.3","990.3","954","969.9","-0.11 %","7,504.00"
"SMATA","2024-07-07","975","982.9","960","971","1.15 %","11,245.00"
"SMATA","2024-07-04","960.4","970","950.1","960","-2.04 %","8,525.00"
"SMATA","2024-07-03","940.1","986","937.2","980","3.09 %","11,500.00"
"SMATA","2024-07-02","963.9","1002","947","950.6","0.59 %","10,669.00"
"SMATA","2024-07-01","960","968","939","945","-1.36 %","12,127.00"
"SMATA","2024-06-30","1001","1020","942.2","958","-4.30 %","19,106.00"
"SMATA","2024-06-27","1001","1027","998.1","1001","-0.60 %","5,880.00"
"SMATA","2024-06-26","1031.1","1043","1007","1007","-1.85 %","5,681.00"
"SMATA","2024-06-25","1030","1063","1021.5","1026","0.69 %","13,807.00"
"SMATA","2024-06-24","1022.9","1078","1015","1019","1.09 %","5,334.00"
"SMATA","2024-06-23","1022","1024","986.3","1008","-1.56 %","8,645.00"
"SMATA","2024-06-20","1024","1037","1008.1","1024","-0.29 %","9,986.00"
"SMATA","2024-06-19","1050","1050","1001.1","1027","-0.58 %","7,658.00"
"SMATA","2024-06-18","1051.1","1051.1","999.8","1033","0.24 %","17,250.00"
"SMATA","2024-06-16","1030","1054","1012.1","1030.5","-0.43 %","16,273.00"
"SMATA","2024-06-13","1031.2","1080","1031.2","1035","2.37 %","35,255.00"
"SMATA","2024-06-12","991","1040","990","1011","2.64 %","23,658.00"
"SMATA","2024-06-11","981.7","990","964.1","985","2.34 %","11,406.00"
"SMATA","2024-06-10","979","979","962","962.5","0.16 %","6,641.00"
"SMATA","2024-06-09","975","1008","956","961","-2.93 %","11,316.00"
"SMATA","2024-06-06","1020","1033","990","990","-2.94 %","13,417.00"
"SMATA","2024-06-05","1002.1","1024","985.3","1020","1.85 %","20,461.00"
"SMATA","2024-06-04","957","1001.6","945","1001.5","6.54 %","43,596.00"
"SMATA","2024-06-03","906","960","900","940","5.74 %","13,654.00"
"SMATA","2024-06-02","882","890","875","889","-1.00 %","4,163.00"
"SMATA","2024-05-30","915","915","882","898","-0.22 %","7,247.00"
"SMATA","2024-05-29","938","942","895","900","-4.56 %","7,422.00"
"SMATA","2024-05-27","935","955","931.1","943","-0.63 %","5,444.00"
"SMATA","2024-05-26","978","978","927","949","-1.15 %","5,727.00"
"SMATA","2024-05-22","965","985","958.9","960","1.16 %","20,538.00"
"SMATA","2024-05-21","920.3","979.2","910","949","1.06 %","12,948.00"
