"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMJC","2024-08-11","630","691","613.7","691","9.70 %","209,757.00"
"SMJC","2024-08-08","611.5","629.9","596","629.9","3.01 %","147,159.00"
"SMJC","2024-08-07","558","611.5","548","611.5","9.39 %","226,044.00"
"SMJC","2024-08-06","562.1","570","522","559","1.43 %","262,987.00"
"SMJC","2024-08-05","501","551.1","492.1","551.1","10.00 %","262,960.00"
"SMJC","2024-08-01","500","518.1","490.1","501","0.20 %","148,560.00"
"SMJC","2024-07-31","500","519","487","500","0.40 %","173,852.00"
"SMJC","2024-07-30","464.1","500","464.1","498","9.45 %","274,612.00"
"SMJC","2024-07-29","424","455","424","455","5.32 %","207,808.00"
"SMJC","2024-07-28","443.7","443.7","425","432","-0.69 %","88,586.00"
"SMJC","2024-07-25","450.8","450.8","432.3","435","-2.47 %","84,671.00"
"SMJC","2024-07-24","465","468","438","446","-3.04 %","116,840.00"
"SMJC","2024-07-23","442","466","442","460","2.27 %","102,449.00"
"SMJC","2024-07-22","435","459","420","449.8","5.34 %","181,923.00"
"SMJC","2024-07-21","416","434.5","416","427","1.43 %","167,616.00"
"SMJC","2024-07-18","433","440.6","420","421","-1.38 %","92,167.00"
"SMJC","2024-07-17","428","435","415","426.9","0.21 %","94,422.00"
"SMJC","2024-07-16","403","428","403","426","4.93 %","147,238.00"
"SMJC","2024-07-15","415","415","400.1","406","-1.46 %","58,830.00"
"SMJC","2024-07-14","415.1","415.1","405","412","1.23 %","49,548.00"
"SMJC","2024-07-11","410.1","413","405.2","407","0.49 %","37,714.00"
"SMJC","2024-07-10","400.6","411","400.6","405","0.65 %","66,426.00"
"SMJC","2024-07-09","403.1","407","402","402.4","-0.89 %","34,849.00"
"SMJC","2024-07-08","410","415","403","406","-0.90 %","33,355.00"
"SMJC","2024-07-07","405.5","419","405.5","409.7","-0.53 %","70,701.00"
"SMJC","2024-07-04","400.2","415","400.2","411.9","1.78 %","116,897.00"
"SMJC","2024-07-03","400.1","405","399.1","404.7","-0.78 %","52,927.00"
"SMJC","2024-07-02","411.8","422","401.1","407.9","1.02 %","31,430.00"
"SMJC","2024-07-01","400","407","395.2","403.8","0.95 %","40,932.00"
"SMJC","2024-06-30","400","405","395","400","-0.25 %","61,984.00"
"SMJC","2024-06-27","417.8","417.8","400","401","-2.20 %","45,732.00"
"SMJC","2024-06-26","395.1","425","395.1","410","2.04 %","160,589.00"
"SMJC","2024-06-25","401","403.8","395.9","401.8","1.01 %","33,384.00"
"SMJC","2024-06-24","395","403","392.3","397.8","-0.55 %","34,136.00"
"SMJC","2024-06-23","395","404","389","400","0.05 %","44,844.00"
"SMJC","2024-06-20","402","405","392.1","399.8","0.68 %","40,395.00"
"SMJC","2024-06-19","387.9","403","387.9","397.1","1.53 %","41,397.00"
"SMJC","2024-06-18","385.5","398","385.4","391.1","0.28 %","59,074.00"
"SMJC","2024-06-16","405","408.8","390","390","-4.65 %","57,314.00"
"SMJC","2024-06-13","393.2","416","393.2","409","2.00 %","89,593.00"
"SMJC","2024-06-12","407","419","397","401","-1.47 %","104,445.00"
"SMJC","2024-06-11","390.3","411.9","390.3","407","4.39 %","180,251.00"
"SMJC","2024-06-10","391.8","396","384","389.9","1.04 %","80,557.00"
"SMJC","2024-06-09","374","387","374","385.9","3.18 %","48,384.00"
"SMJC","2024-06-06","377","384","374","374","-0.80 %","23,285.00"
"SMJC","2024-06-05","387.9","387.9","372.2","377","-0.92 %","26,884.00"
"SMJC","2024-06-04","390","397","379","380.5","-0.91 %","21,019.00"
"SMJC","2024-06-03","398.9","402","382","384","-2.78 %","32,508.00"
"SMJC","2024-06-02","382","400","380","395","3.40 %","130,900.00"
"SMJC","2024-05-30","374","386.5","369","382","1.95 %","48,264.00"
"SMJC","2024-05-29","375","395","367.1","374.7","1.27 %","60,924.00"
"SMJC","2024-05-27","359","373","359","370","1.37 %","15,596.00"
"SMJC","2024-05-26","381.4","381.4","360","365","-2.41 %","11,912.00"
"SMJC","2024-05-22","380","383","370.5","374","-1.58 %","21,777.00"
"SMJC","2024-05-21","377.4","384","371","380","2.70 %","44,458.00"
"SMJC","2024-05-20","361.3","373","361.3","370","2.18 %","25,052.00"
"SMJC","2024-05-19","365","369.8","355.1","362.1","-0.25 %","10,727.00"
"SMJC","2024-05-16","368.2","368.2","356","363","0.55 %","16,780.00"
"SMJC","2024-05-15","362.4","375","358.7","361","-0.30 %","26,308.00"
"SMJC","2024-05-14","346.1","367","346.1","362.1","2.87 %","21,745.00"
"SMJC","2024-05-13","346","352.9","345.3","352","0.86 %","7,677.00"
"SMJC","2024-05-12","346.1","354","346.1","349","-0.68 %","15,591.00"
"SMJC","2024-05-09","360","360.8","351.4","351.4","-1.29 %","16,026.00"
"SMJC","2024-05-08","355","358","351","356","1.14 %","19,692.00"
"SMJC","2024-05-07","348","355.9","345","352","1.15 %","16,827.00"
"SMJC","2024-05-06","345","352","343.6","348","-0.34 %","23,972.00"
"SMJC","2024-05-05","356","365","348.2","349.2","-3.00 %","31,029.00"
"SMJC","2024-05-02","362.2","367.7","359.1","360","-0.55 %","22,936.00"
"SMJC","2024-04-30","362","371","360.6","362","0.00 %","23,204.00"
"SMJC","2024-04-29","359","369","359","362","-0.82 %","12,972.00"
"SMJC","2024-04-28","369","376","362","365","-1.08 %","13,260.00"
"SMJC","2024-04-25","363.1","374","363.1","369","-0.27 %","14,036.00"
"SMJC","2024-04-24","376.3","376.3","365","370","0.27 %","13,306.00"
"SMJC","2024-04-22","379.4","381","367.5","369","-0.81 %","23,265.00"
"SMJC","2024-04-21","365.5","372.9","359","372","1.78 %","23,788.00"
"SMJC","2024-04-18","368.5","370","365","365.5","-2.53 %","21,921.00"
"SMJC","2024-04-16","375.1","382.4","371.2","375","-1.96 %","19,735.00"
"SMJC","2024-04-15","385","395","373.6","382.5","-1.39 %","28,649.00"
"SMJC","2024-04-14","385.9","393.9","378.2","387.9","1.02 %","39,393.00"
"SMJC","2024-04-10","394","395","383","384","-0.93 %","60,307.00"
"SMJC","2024-04-09","379","387.6","376","387.6","2.57 %","54,197.00"
"SMJC","2024-04-07","377","378","366.7","377.9","0.27 %","22,412.00"
"SMJC","2024-04-04","375","382","374.1","376.9","-1.08 %","25,739.00"
"SMJC","2024-04-03","387","388","375","381","-1.32 %","34,651.00"
"SMJC","2024-04-02","375","395","375","386.1","1.87 %","91,372.00"
"SMJC","2024-04-01","372","387","372","379","0.26 %","50,987.00"
"SMJC","2024-03-31","368.1","387.5","368.1","378","0.80 %","93,568.00"
"SMJC","2024-03-28","362.2","380","362.2","375","1.93 %","44,297.00"
"SMJC","2024-03-27","376.9","376.9","363","367.9","-0.57 %","24,312.00"
"SMJC","2024-03-26","354.2","376","354.2","370","2.81 %","33,383.00"
"SMJC","2024-03-25","357","359.9","352.6","359.9","0.81 %","12,921.00"
"SMJC","2024-03-21","360.4","375","355.1","357","-2.46 %","34,748.00"
"SMJC","2024-03-20","365","376.1","363.2","366","-0.81 %","26,880.00"
"SMJC","2024-03-19","380.4","380.4","366","369","-1.07 %","28,289.00"
"SMJC","2024-03-18","365.1","374","364.1","373","0.67 %","24,454.00"
"SMJC","2024-03-17","378.9","380","368.5","370.5","-2.22 %","27,964.00"
"SMJC","2024-03-14","375.1","390","375.1","378.9","-0.16 %","39,995.00"
"SMJC","2024-03-13","380.5","385","377.4","379.5","-0.13 %","53,201.00"
"SMJC","2024-03-12","384","385","375","380","0.80 %","51,654.00"
"SMJC","2024-03-10","386.6","387","376","377","-0.76 %","37,431.00"
"SMJC","2024-03-07","389","396","375.5","379.9","-0.52 %","60,152.00"
"SMJC","2024-03-06","376.1","393","370","381.9","0.24 %","76,241.00"
"SMJC","2024-03-05","400","400","377.2","381","-4.51 %","87,646.00"
"SMJC","2024-03-04","372.3","401","372.3","399","9.32 %","22,498.00"
"SMJC","2024-03-03","369","374.3","353.1","365","0.63 %","59,649.00"
"SMJC","2024-02-29","380","388","362.7","362.7","-4.65 %","99,789.00"
"SMJC","2024-02-28","392","397","380.4","380.4","-1.45 %","76,055.00"
"SMJC","2024-02-27","400","409","383.2","386","-1.96 %","74,084.00"
"SMJC","2024-02-26","389.5","415","386","393.7","1.73 %","55,732.00"
"SMJC","2024-02-25","391.1","405.9","386","387","-3.01 %","125,213.00"
"SMJC","2024-02-22","405","413","390.1","399","-2.92 %","101,403.00"
"SMJC","2024-02-21","398","414","396.2","411","3.27 %","144,150.00"
"SMJC","2024-02-20","410","416","395","398","-2.43 %","121,661.00"
"SMJC","2024-02-18","430","432.7","404.1","407.9","-5.14 %","222,325.00"
"SMJC","2024-02-15","420","449","420","430","3.37 %","267,626.00"
"SMJC","2024-02-14","390","417","390","416","6.12 %","247,589.00"
"SMJC","2024-02-13","390","407","375.4","392","0.51 %","234,654.00"
"SMJC","2024-02-12","387","397","387","390","1.30 %","136,493.00"
"SMJC","2024-02-11","381","395","381","385","1.29 %","188,874.00"
"SMJC","2024-02-08","363","385","363","380.1","3.71 %","116,328.00"
"SMJC","2024-02-07","363.5","374.3","360","366.5","0.83 %","65,900.00"
"SMJC","2024-02-06","365","367.2","357","363.5","0.97 %","34,708.00"
"SMJC","2024-02-05","356","365","356","360","1.04 %","32,460.00"
"SMJC","2024-02-04","355.1","367.9","355","356.3","-1.57 %","53,948.00"
"SMJC","2024-02-01","378","378","360","362","-3.72 %","67,941.00"
"SMJC","2024-01-31","379.4","388.6","370","376","1.08 %","180,392.00"
"SMJC","2024-01-30","367","377.5","362.1","372","1.64 %","124,598.00"
"SMJC","2024-01-29","354","374","354","366","3.42 %","105,218.00"
"SMJC","2024-01-28","335.7","359","335.7","353.9","3.75 %","56,161.00"
"SMJC","2024-01-25","341.1","353","341.1","341.1","-1.13 %","27,874.00"
"SMJC","2024-01-24","346.1","362","343","345","-2.27 %","43,287.00"
"SMJC","2024-01-23","353","362.1","347","353","-1.40 %","55,503.00"
"SMJC","2024-01-22","368","372.3","353.3","358","-2.95 %","56,837.00"
"SMJC","2024-01-21","374","381","363","368.9","0.52 %","103,028.00"
"SMJC","2024-01-18","355","389.8","351.1","367","1.66 %","88,676.00"
"SMJC","2024-01-17","382","387","360","361","-5.00 %","129,822.00"
"SMJC","2024-01-16","385","393","377.5","380","-0.78 %","175,558.00"
"SMJC","2024-01-14","372","400","372","383","2.96 %","144,943.00"
"SMJC","2024-01-11","377.4","377.4","364","372","0.54 %","73,469.00"
"SMJC","2024-01-10","371","378.4","365","370","-0.27 %","94,034.00"
"SMJC","2024-01-09","375","403","363","371","-1.20 %","203,031.00"
"SMJC","2024-01-08","373","387","369.1","375.5","0.94 %","161,435.00"
"SMJC","2024-01-07","370","379","356","372","1.09 %","241,432.00"
"SMJC","2024-01-04","371","394","357","368","0.93 %","207,377.00"
"SMJC","2024-01-03","335","364.6","335","364.6","8.74 %","200,902.00"
"SMJC","2024-01-02","329","343.3","325","335.3","1.91 %","121,837.00"
"SMJC","2024-01-01","346","356","325.9","329","-4.91 %","95,296.00"
"SMJC","2023-12-28","359","359.9","346","346","-1.70 %","121,678.00"
"SMJC","2023-12-27","335","365.1","335","352","5.04 %","214,353.00"
"SMJC","2023-12-24","319","347","318","335.1","3.75 %","266,890.00"
"SMJC","2023-12-21","311","336","311","323","2.02 %","173,251.00"
"SMJC","2023-12-20","329","329","313","316.6","-2.28 %","112,850.00"
"SMJC","2023-12-19","310","324","297","324","3.85 %","134,993.00"
"SMJC","2023-12-18","322","328","306","312","-1.17 %","156,986.00"
"SMJC","2023-12-17","285","315.7","275.7","315.7","10.00 %","216,299.00"
"SMJC","2023-12-14","275","289.8","273","287","3.24 %","93,227.00"
"SMJC","2023-12-13","269.9","283.9","269.9","278","3.35 %","90,321.00"
"SMJC","2023-12-12","265.2","274","255","269","3.46 %","106,252.00"
"SMJC","2023-12-11","268","268.2","253.9","260","-1.14 %","88,957.00"
"SMJC","2023-12-10","249","273.6","249","263","5.62 %","680.00"
"SMJC","2023-12-07","241","255","241","249","1.47 %","26,876.00"
"SMJC","2023-12-06","247","250","242.3","245.4","-2.62 %","8,440.00"
"SMJC","2023-12-05","257","257","238.2","252","0.00 %","8,560.00"
"SMJC","2023-12-04","250","255","242.1","252","2.02 %","18,925.00"
"SMJC","2023-12-03","245","252","242.1","247","-1.20 %","11,138.00"
"SMJC","2023-11-30","252.1","258","245","250","-2.72 %","23,280.00"
"SMJC","2023-11-29","262","270","253","257","-1.91 %","36,302.00"
"SMJC","2023-11-28","260.8","275","256","262","0.46 %","18,782.00"
"SMJC","2023-11-27","261","266.2","255.8","260.8","-1.95 %","21,603.00"
"SMJC","2023-11-26","265","266","253","266","2.31 %","74,635.00"
"SMJC","2023-11-23","247.9","262","231","260","4.88 %","25,521.00"
"SMJC","2023-11-22","236","247.9","231.4","247.9","3.29 %","13,898.00"
"SMJC","2023-11-21","238.1","240.2","233.4","240","-1.19 %","5,577.00"
"SMJC","2023-11-20","241.1","247.8","236.6","242.9","0.37 %","10,070.00"
"SMJC","2023-11-09","238.8","248","238.8","242","1.34 %","26,374.00"
"SMJC","2023-11-08","235.5","238.8","233.5","238.8","0.34 %","12,610.00"
"SMJC","2023-11-07","234.3","238.4","232","238","-0.42 %","43,450.00"
"SMJC","2023-11-06","229.6","239","225.5","239","2.58 %","7,972.00"
"SMJC","2023-11-05","235","235","230","233","-2.80 %","3,925.00"
"SMJC","2023-11-02","245","246.3","232","239.7","-0.75 %","10,595.00"
"SMJC","2023-11-01","237.2","254","233","241.5","-0.21 %","5,562.00"
"SMJC","2023-10-31","240.4","242","232.1","242","-1.35 %","9,561.00"
"SMJC","2023-10-30","239.2","245.3","231.1","245.3","0.53 %","7,265.00"
"SMJC","2023-10-29","249","249","235.1","244","-2.87 %","9,276.00"
"SMJC","2023-10-19","259","259","240","251.2","-1.49 %","9,133.00"
"SMJC","2023-10-18","233.6","255","233.6","255","7.19 %","49,227.00"
"SMJC","2023-10-17","232.5","241","232.5","237.9","0.38 %","8,740.00"
"SMJC","2023-10-16","235.1","237","231","237","-1.09 %","15,721.00"
"SMJC","2023-10-12","240","244.8","231.6","239.6","-0.17 %","18,149.00"
"SMJC","2023-10-11","242","246.8","238","240","-0.83 %","18,754.00"
"SMJC","2023-10-10","240","243","238.2","242","-0.82 %","14,667.00"
"SMJC","2023-10-09","241.2","250.6","239.2","244","-0.69 %","21,591.00"
"SMJC","2023-10-08","256.1","260","241.3","245.7","-5.79 %","36,159.00"
"SMJC","2023-10-05","259","265","258.3","260.8","-0.80 %","22,951.00"
"SMJC","2023-10-04","266","266","256","262.9","0.73 %","39,140.00"
"SMJC","2023-10-03","260","270","255.3","261","-1.47 %","33,025.00"
"SMJC","2023-10-02","255","265","249","264.9","3.88 %","42,105.00"
"SMJC","2023-10-01","253.9","260","246.4","255","-1.54 %","67,721.00"
"SMJC","2023-09-27","271","271","252.3","259","-3.25 %","47,585.00"
