"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SNLI","2024-08-11","620","644","620","640","2.07 %","163,881.00"
"SNLI","2024-08-08","637","647","620.1","627","-0.79 %","103,241.00"
"SNLI","2024-08-07","603","633","595.1","632","4.81 %","103,200.00"
"SNLI","2024-08-06","639","642","594.9","603","-5.63 %","166,805.00"
"SNLI","2024-08-05","625","648.2","625","639","2.40 %","93,440.00"
"SNLI","2024-08-01","600.5","649.9","593","624","4.87 %","217,041.00"
"SNLI","2024-07-31","585","605","585","595","2.06 %","103,971.00"
"SNLI","2024-07-30","580","583","560.9","583","0.52 %","63,198.00"
"SNLI","2024-07-29","600","600","575","580","-1.69 %","76,225.00"
"SNLI","2024-07-28","582.5","601.9","570","590","3.31 %","80,483.00"
"SNLI","2024-07-25","558.4","576","558.4","571.1","0.72 %","58,294.00"
"SNLI","2024-07-24","578","590","555","567","-1.56 %","94,890.00"
"SNLI","2024-07-23","545","577","541","576","4.54 %","67,840.00"
"SNLI","2024-07-22","545","555.9","534.6","551","1.45 %","91,567.00"
"SNLI","2024-07-21","538","550","528.1","543.1","0.95 %","110,961.00"
"SNLI","2024-07-18","544","546","531","538","-0.19 %","97,903.00"
"SNLI","2024-07-17","523","540","523","539","2.28 %","74,719.00"
"SNLI","2024-07-16","518","528","505.1","527","3.07 %","55,815.00"
"SNLI","2024-07-15","524","539.9","510","511.3","-2.78 %","69,795.00"
"SNLI","2024-07-14","521.2","541","515","525.9","2.92 %","63,929.00"
"SNLI","2024-07-11","495","511","495","511","3.23 %","64,421.00"
"SNLI","2024-07-10","484.1","499","484.1","495","1.64 %","34,726.00"
"SNLI","2024-07-09","485","490.1","481","487","0.41 %","29,891.00"
"SNLI","2024-07-08","491.1","500","482.1","485","-2.02 %","49,461.00"
"SNLI","2024-07-07","489","497","483","495","2.95 %","50,999.00"
"SNLI","2024-07-04","460","483.5","460","480.8","3.42 %","40,521.00"
"SNLI","2024-07-03","465","470","460","464.9","-0.66 %","24,131.00"
"SNLI","2024-07-02","462.5","489","460","468","3.20 %","22,777.00"
"SNLI","2024-07-01","449","453.5","447.2","453.5","0.76 %","19,593.00"
