"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SONA","2024-08-11","587.9","624","584","597","3.57 %","870,835.00"
"SONA","2024-08-08","523","576.4","515","576.4","10.00 %","824,167.00"
"SONA","2024-08-07","497.9","531","497.9","524","3.15 %","229,354.00"
"SONA","2024-08-06","546","556","507","508","-6.96 %","371,950.00"
"SONA","2024-08-05","543","557","534.2","546","0.55 %","287,966.00"
"SONA","2024-08-01","560","569","534","543","-2.95 %","435,811.00"
"SONA","2024-07-31","525","571","525","559.5","5.59 %","459,923.00"
"SONA","2024-07-30","520","538","516.1","529.9","1.90 %","319,431.00"
"SONA","2024-07-29","523.2","544","510","520","1.36 %","439,517.00"
"SONA","2024-07-28","516.1","530","507","513","1.38 %","240,977.00"
"SONA","2024-07-25","512","520","502.3","506","-2.49 %","214,279.00"
"SONA","2024-07-24","544.6","544.6","510","518.9","-2.83 %","372,893.00"
"SONA","2024-07-23","514.5","535","510.2","534","4.28 %","299,381.00"
"SONA","2024-07-22","515","524.7","506","512.1","0.41 %","317,061.00"
"SONA","2024-07-21","507.9","526","491","510","2.41 %","391,287.00"
"SONA","2024-07-18","507","510","497","498","-1.58 %","334,085.00"
"SONA","2024-07-17","485","509.9","485","506","4.37 %","405,316.00"
"SONA","2024-07-16","451.5","485","451.5","484.8","6.29 %","207,132.00"
"SONA","2024-07-15","470","472","456","456.1","-1.49 %","165,354.00"
"SONA","2024-07-14","459","470","451","463","2.89 %","152,171.00"
"SONA","2024-07-11","457.1","457.1","448.3","450","0.40 %","119,313.00"
"SONA","2024-07-10","446.1","454.9","446.1","448.2","-0.40 %","86,243.00"
"SONA","2024-07-09","456.9","456.9","445.3","450","0.45 %","52,667.00"
"SONA","2024-07-08","452","458","446.5","448","-0.67 %","64,751.00"
"SONA","2024-07-07","450","457","445.2","451","1.55 %","105,583.00"
"SONA","2024-07-04","440.2","457","439","444.1","0.02 %","91,945.00"
"SONA","2024-07-03","441","445","437","444","0.66 %","50,078.00"
"SONA","2024-07-02","442.7","461","439","441.1","1.61 %","63,326.00"
"SONA","2024-07-01","431","437","428","434.1","0.72 %","26,325.00"
"SONA","2024-06-30","431","434.9","430","431","0.23 %","53,867.00"
"SONA","2024-06-27","432.1","439.5","429.1","430","-0.92 %","86,154.00"
"SONA","2024-06-26","439","444","433.9","434","-0.96 %","57,605.00"
"SONA","2024-06-25","435","448","435","438.2","0.21 %","57,747.00"
"SONA","2024-06-24","435","446.4","434.1","437.3","-0.39 %","56,748.00"
"SONA","2024-06-23","440","450","438","439","-1.08 %","92,490.00"
"SONA","2024-06-20","454","454","442.1","443.8","-0.49 %","57,734.00"
"SONA","2024-06-19","445","450","442","446","0.22 %","51,601.00"
"SONA","2024-06-18","460","460","444","445","-1.33 %","66,259.00"
"SONA","2024-06-16","456","468","450.1","451","-1.10 %","95,947.00"
"SONA","2024-06-13","474.5","474.5","456","456","-1.98 %","122,736.00"
"SONA","2024-06-12","460","472","445","465.2","3.15 %","301,612.00"
"SONA","2024-06-11","444.2","454.4","443.5","451","1.87 %","99,920.00"
"SONA","2024-06-10","444","449.6","439.3","442.7","0.39 %","81,217.00"
"SONA","2024-06-09","441","448","440","441","0.00 %","78,208.00"
"SONA","2024-06-06","440.3","446","437","441","0.18 %","92,637.00"
"SONA","2024-06-05","443","448","440","440.2","-1.28 %","86,225.00"
"SONA","2024-06-04","445","449.5","440","445.9","0.20 %","61,824.00"
"SONA","2024-06-03","445","449.9","441.1","445","-0.07 %","90,037.00"
"SONA","2024-06-02","448","459.9","445","445.3","-1.04 %","67,026.00"
"SONA","2024-05-30","461.9","461.9","447","450","-1.34 %","93,183.00"
"SONA","2024-05-29","470.2","479","455.7","456.1","-1.06 %","154,506.00"
"SONA","2024-05-27","448","470","448","461","1.54 %","135,238.00"
"SONA","2024-05-26","457.5","463.9","450.8","454","-1.30 %","120,483.00"
"SONA","2024-05-22","470.2","470.2","456","460","-0.22 %","119,954.00"
"SONA","2024-05-21","450","464.2","450","461","0.88 %","94,630.00"
"SONA","2024-05-20","471.1","472.7","450","457","-1.06 %","160,450.00"
"SONA","2024-05-19","450","469","442","461.9","3.52 %","202,023.00"
"SONA","2024-05-16","448","455.3","443.1","446.2","-0.40 %","106,284.00"
"SONA","2024-05-15","436","459","436","448","1.82 %","173,303.00"
"SONA","2024-05-14","436.6","445","436.6","440","0.00 %","75,003.00"
"SONA","2024-05-13","443.6","446.1","436","440","-0.81 %","62,351.00"
"SONA","2024-05-12","430","454","422.1","443.6","1.81 %","182,472.00"
"SONA","2024-05-09","432","442.3","432","435.7","1.09 %","80,706.00"
"SONA","2024-05-08","435.1","440","430","431","-1.19 %","54,165.00"
