"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPC","2024-08-11","632.4","668","620","660","6.45 %","20,843.00"
"SPC","2024-08-08","657.9","657.9","618","620","-3.88 %","11,116.00"
"SPC","2024-08-07","623","650","615","645","3.53 %","11,299.00"
"SPC","2024-08-06","680","690","616","623","-8.38 %","20,378.00"
"SPC","2024-08-05","661.9","682","655","680","4.78 %","31,852.00"
"SPC","2024-08-01","610","665","605.5","649","7.27 %","44,119.00"
"SPC","2024-07-31","609","613","602.2","605","1.00 %","10,604.00"
"SPC","2024-07-30","605","610.8","586","599","0.84 %","11,169.00"
"SPC","2024-07-29","595","617","585","594","-0.17 %","9,622.00"
"SPC","2024-07-28","620","630","593","595","-2.14 %","7,728.00"
"SPC","2024-07-25","610","613.9","600","608","-0.33 %","6,778.00"
"SPC","2024-07-24","610","622.2","600","610","0.66 %","17,139.00"
"SPC","2024-07-23","609","615","569.5","606","0.18 %","17,666.00"
"SPC","2024-07-22","601","609","594.1","604.9","-0.67 %","8,582.00"
"SPC","2024-07-21","620","627","598.1","609","-0.94 %","15,188.00"
"SPC","2024-07-18","623","623.2","601","614.8","0.62 %","14,322.00"
"SPC","2024-07-17","615","626","601.8","611","-0.49 %","17,769.00"
"SPC","2024-07-16","584","616","584","614","4.42 %","22,709.00"
"SPC","2024-07-15","611","611","580","588","-5.68 %","8,076.00"
"SPC","2024-07-14","587.5","623.4","576","623.4","8.23 %","6,357.00"
"SPC","2024-07-11","580","580.6","566","576","1.05 %","7,895.00"
"SPC","2024-07-10","571.9","573","565.1","570","-0.35 %","5,342.00"
"SPC","2024-07-09","575","575","560","572","0.00 %","6,604.00"
"SPC","2024-07-08","574","574","563.1","572","1.26 %","2,791.00"
"SPC","2024-07-07","553","569","553","564.9","1.06 %","2,060.00"
"SPC","2024-07-04","570","575","559","559","-1.50 %","3,236.00"
"SPC","2024-07-03","570","579","560","567.5","-2.32 %","1,672.00"
"SPC","2024-07-02","564.1","608","554","581","5.04 %","5,323.00"
"SPC","2024-07-01","560","568","550","553.1","0.38 %","2,419.00"
"SPC","2024-06-30","557.5","572","551","551","-3.13 %","1,498.00"
"SPC","2024-06-27","569.9","580","547.9","568.8","1.57 %","5,564.00"
"SPC","2024-06-26","581","587","559.1","560","-4.11 %","6,732.00"
"SPC","2024-06-25","570","590","570","584","1.57 %","7,903.00"
"SPC","2024-06-24","564","597.7","561","575","0.00 %","2,096.00"
"SPC","2024-06-23","593","593","565","575","-1.37 %","1,800.00"
"SPC","2024-06-20","600","600","571","583","-4.21 %","7,834.00"
"SPC","2024-06-19","574","608.6","562","608.6","8.08 %","4,562.00"
"SPC","2024-06-18","571","587","563.1","563.1","-2.91 %","4,570.00"
"SPC","2024-06-16","581","590","566","580","-1.53 %","6,207.00"
"SPC","2024-06-13","578.5","590.2","570","589","0.19 %","10,325.00"
"SPC","2024-06-12","598","599","567.1","587.9","-2.02 %","13,910.00"
"SPC","2024-06-11","624.3","624.3","600","600","-5.81 %","9,085.00"
