"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPL","2024-08-11","820","902","820","902","10.00 %","36,537.00"
"SPL","2024-08-08","845.1","861","820","820","-4.54 %","13,094.00"
"SPL","2024-08-07","810","859","785","859","6.52 %","13,417.00"
"SPL","2024-08-06","881","892","806.4","806.4","-10.00 %","26,610.00"
"SPL","2024-08-05","886.3","939","886","896","3.11 %","21,540.00"
"SPL","2024-08-01","805.8","869","795.3","869","10.00 %","40,237.00"
"SPL","2024-07-31","794","806","781.1","790","1.28 %","14,853.00"
"SPL","2024-07-30","767","790","767","780","0.01 %","11,069.00"
"SPL","2024-07-29","795","810","779.1","779.9","-1.90 %","9,778.00"
"SPL","2024-07-28","816","832","776.5","795","-0.63 %","9,908.00"
"SPL","2024-07-25","800","816","784.5","800","-0.86 %","14,781.00"
"SPL","2024-07-24","820","837.9","791.9","806.9","0.11 %","17,163.00"
"SPL","2024-07-23","777.7","808.9","777.7","806","3.67 %","21,044.00"
"SPL","2024-07-22","772.3","800","772.3","777.5","-1.33 %","13,272.00"
"SPL","2024-07-21","777.3","805","777.3","788","-0.38 %","7,636.00"
"SPL","2024-07-18","810","810","784","791","-2.10 %","24,137.00"
"SPL","2024-07-17","811.9","811.9","791","808","1.51 %","10,969.00"
"SPL","2024-07-16","761","805.2","760","796","4.04 %","21,197.00"
"SPL","2024-07-15","789.9","790","765.1","765.1","-1.57 %","8,202.00"
"SPL","2024-07-14","798","813.9","775.3","777.3","-0.73 %","11,030.00"
"SPL","2024-07-11","774","788.9","762.2","783","3.03 %","17,490.00"
"SPL","2024-07-10","748.5","778","746","760","1.88 %","7,512.00"
"SPL","2024-07-09","755","759.9","745","746","-0.53 %","12,424.00"
"SPL","2024-07-08","760","780","750","750","-0.53 %","8,201.00"
"SPL","2024-07-07","740","764","740","754","-0.13 %","8,723.00"
"SPL","2024-07-04","761","778","755","755","0.94 %","7,971.00"
"SPL","2024-07-03","749","751","745","748","0.00 %","4,668.00"
"SPL","2024-07-02","772.1","787.5","742.9","748","-1.19 %","5,654.00"
"SPL","2024-07-01","760","761","747.1","757","0.93 %","2,799.00"
"SPL","2024-06-30","778","778","750","750","-2.09 %","5,634.00"
"SPL","2024-06-27","765","768","762","766","0.00 %","5,516.00"
"SPL","2024-06-26","772.3","790","761","766","-0.26 %","8,542.00"
"SPL","2024-06-25","755","783","755","768","1.72 %","8,692.00"
"SPL","2024-06-24","770","775","755","755","-1.29 %","8,472.00"
"SPL","2024-06-23","755.2","775.9","754","764.9","-0.52 %","7,911.00"
