"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SSIS","2024-08-07","11.3","11.3","11.3","11.3","0.00 %","0.00"
"SSIS","2024-07-16","9.62","9.62","9.62","9.62","0.00 %","0.00"
"SSIS","2024-07-08","9.32","9.32","9.32","9.32","0.00 %","0.00"
"SSIS","2024-06-24","9.11","9.11","9.11","9.11","0.00 %","0.00"
"SSIS","2024-06-18","9.25","9.25","9.25","9.25","0.00 %","0.00"
"SSIS","2024-06-10","9.14","9.14","9.14","9.14","0.00 %","0.00"
"SSIS","2024-06-04","9.14","9.14","9.14","9.14","0.00 %","0.00"
"SSIS","2024-05-29","9.34","9.34","9.34","9.34","0.00 %","0.00"
"SSIS","2024-05-20","9.02","9.02","9.02","9.02","0.00 %","0.00"
"SSIS","2024-05-16","8.85","8.85","8.85","8.85","0.00 %","0.00"
"SSIS","2024-04-22","8.9","8.9","8.9","8.9","0.00 %","0.00"
"SSIS","2024-04-03","9.03","9.03","9.03","9.03","0.00 %","0.00"
"SSIS","2024-03-10","9.04","9.04","9.04","9.04","0.00 %","0.00"
"SSIS","2024-02-27","9.01","9.01","9.01","9.01","0.00 %","0.00"
"SSIS","2023-12-28","9.21","9.21","9.21","9.21","0.00 %","0.00"
"SSIS","2023-12-11","8.65","8.65","8.65","8.65","0.00 %","0.00"
"SSIS","2023-12-06","8.64","8.64","8.64","8.64","0.00 %","0.00"
"SSIS","2023-11-28","8.62","8.62","8.62","8.62","0.00 %","0.00"
"SSIS","2023-11-02","8.73","8.73","8.73","8.73","0.00 %","0.00"
"SSIS","2023-10-31","8.84","8.84","8.84","8.84","0.00 %","0.00"
"SSIS","2023-10-09","8.84","8.84","8.84","8.84","0.00 %","0.00"
"SSIS","2023-09-25","9.04","9.04","9.04","9.04","0.00 %","0.00"
"SSIS","2023-09-13","8.68","8.68","8.68","8.68","0.00 %","0.00"
"SSIS","2023-09-07","8.85","8.85","8.85","8.85","0.00 %","0.00"
"SSIS","2023-08-22","8.96","8.96","8.96","8.96","0.00 %","0.00"
"SSIS","2023-08-20","9.03","9.03","9.03","9.03","0.00 %","0.00"
"SSIS","2023-08-09","8.97","8.97","8.97","8.97","0.00 %","0.00"
"SSIS","2023-07-25","9.22","9.22","9.22","9.22","0.00 %","0.00"
"SSIS","2023-07-18","8.98","8.98","8.98","8.98","0.00 %","0.00"
