"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TVCL","2024-08-11","535","557","528","555","5.11 %","56,500.00"
"TVCL","2024-08-08","530","542","526.5","528","-0.75 %","55,126.00"
"TVCL","2024-08-07","499","535","490","532","6.29 %","35,297.00"
"TVCL","2024-08-06","547","557.9","500.4","500.5","-8.50 %","41,027.00"
"TVCL","2024-08-05","535","564","528","547","1.30 %","37,267.00"
"TVCL","2024-08-01","561","569.9","540","540","-3.74 %","56,722.00"
"TVCL","2024-07-31","545.3","569.8","545.3","561","1.81 %","58,299.00"
"TVCL","2024-07-30","525","570","525","551","4.85 %","48,774.00"
"TVCL","2024-07-29","521.4","555","521.4","525.5","-1.22 %","40,731.00"
"TVCL","2024-07-28","544.6","544.6","522.2","532","-0.37 %","28,505.00"
"TVCL","2024-07-25","539.5","539.5","529.1","534","0.95 %","25,344.00"
"TVCL","2024-07-24","555","570","528","529","-3.82 %","41,990.00"
"TVCL","2024-07-23","534","565","526.5","550","4.07 %","49,405.00"
"TVCL","2024-07-22","536","536","516.6","528.5","0.48 %","36,098.00"
"TVCL","2024-07-21","512","535.5","512","526","1.94 %","47,159.00"
"TVCL","2024-07-18","524.3","539","513","516","-3.55 %","64,326.00"
"TVCL","2024-07-17","538","545.9","520.2","535","1.42 %","82,973.00"
"TVCL","2024-07-16","500","529.9","490","527.5","6.14 %","48,458.00"
"TVCL","2024-07-15","495","514","491.1","497","-0.60 %","22,636.00"
"TVCL","2024-07-14","481.2","508.9","481.2","500","1.83 %","29,425.00"
"TVCL","2024-07-11","496.7","496.7","483","491","0.82 %","21,238.00"
"TVCL","2024-07-10","480","495","476.1","487","1.56 %","21,920.00"
"TVCL","2024-07-09","472.4","484","472.4","479.5","-0.52 %","11,371.00"
"TVCL","2024-07-08","485","494","476.3","482","-1.03 %","13,986.00"
"TVCL","2024-07-07","485.3","501","485","487","-1.42 %","20,228.00"
"TVCL","2024-07-04","474.4","499.5","474.4","494","2.07 %","33,719.00"
"TVCL","2024-07-03","479.3","495","470","484","-1.02 %","20,069.00"
"TVCL","2024-07-02","500.8","530","485.1","489","-0.41 %","18,665.00"
"TVCL","2024-07-01","479.3","495","479.3","491","0.41 %","15,624.00"
"TVCL","2024-06-30","509.8","509.8","485.2","489","-2.18 %","40,916.00"
"TVCL","2024-06-27","470","507","468","499.9","7.09 %","81,772.00"
