"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ULI","2023-05-28","351","393.8","351","393.8","10.00 %","190.00"
"ULI","2023-05-08","363.6","370","355","358","-3.50 %","7,451.00"
"ULI","2023-05-07","363.2","371","363","371","0.27 %","3,168.00"
"ULI","2023-05-04","365","371.2","363.1","370","0.27 %","2,234.00"
"ULI","2023-05-03","372","372","365.1","369","-0.81 %","3,642.00"
"ULI","2023-05-02","365","372","365","372","0.27 %","2,186.00"
"ULI","2023-04-30","367","371","367","371","-0.62 %","2,040.00"
"ULI","2023-04-27","370.1","377.5","370.1","373.3","-0.45 %","2,573.00"
"ULI","2023-04-26","370","380","370","375","-0.27 %","5,500.00"
"ULI","2023-04-25","367.1","376.9","367.1","376","0.80 %","3,640.00"
"ULI","2023-04-24","366","379.5","365","373","0.24 %","3,643.00"
"ULI","2023-04-23","371","376","370","372.1","-1.56 %","4,805.00"
"ULI","2023-04-20","383","383","378","378","-1.31 %","2,558.00"
"ULI","2023-04-19","380","390.1","380","383","-0.47 %","2,730.00"
"ULI","2023-04-18","380","386","380","384.8","-0.05 %","3,265.00"
"ULI","2023-04-17","383","395","381.2","385","-1.28 %","1,897.00"
"ULI","2023-04-16","387.1","397","385","390","-1.27 %","3,572.00"
"ULI","2023-04-13","410","410","392.5","395","-1.74 %","6,674.00"
"ULI","2023-04-12","370","408","370","402","6.80 %","9,114.00"
"ULI","2023-04-11","370","382","370","376.4","0.37 %","5,088.00"
"ULI","2023-04-10","370","379.5","370","375","0.00 %","4,097.00"
"ULI","2023-04-09","377.6","380","374","375","-2.60 %","10,751.00"
"ULI","2023-04-06","385","393","381","385","-0.08 %","4,441.00"
"ULI","2023-04-05","385","390","380","385.3","0.08 %","4,594.00"
"ULI","2023-04-04","381.2","390","381","385","-0.77 %","4,451.00"
"ULI","2023-04-03","384","392","384","388","-0.89 %","8,398.00"
"ULI","2023-04-02","392","397","391","391.5","-0.13 %","9,992.00"
"ULI","2023-03-30","391.1","399.3","391.1","392","-1.01 %","8,049.00"
"ULI","2023-03-29","390","404.9","390","396","0.00 %","5,405.00"
