"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ACLBSL","2024-08-11","1250","1324","1231","1270","3.24 %","14,328.00"
"ACLBSL","2024-08-08","1295","1295","1221","1230.2","-4.93 %","10,751.00"
"ACLBSL","2024-08-07","1176","1294","1151.5","1294","7.83 %","15,271.00"
"ACLBSL","2024-08-06","1170","1200","1098.6","1200","0.59 %","15,826.00"
"ACLBSL","2024-08-05","1224","1224","1167.1","1193","-2.53 %","18,032.00"
"ACLBSL","2024-08-01","1275","1300","1219","1224","-2.08 %","16,822.00"
"ACLBSL","2024-07-31","1270","1280","1245","1250","-2.65 %","12,988.00"
"ACLBSL","2024-07-30","1222.1","1309.6","1210.3","1284","2.97 %","19,338.00"
"ACLBSL","2024-07-29","1333.4","1333.5","1239.7","1247","-8.35 %","23,308.00"
"ACLBSL","2024-07-28","1362.2","1468","1310","1360.6","-2.12 %","15,097.00"
"ACLBSL","2024-07-25","1413.2","1413.2","1304.4","1390","-3.61 %","26,159.00"
"ACLBSL","2024-07-24","1305","1442","1295","1442","9.17 %","21,169.00"
"ACLBSL","2024-07-23","1392","1440","1301.4","1320.9","-3.23 %","21,663.00"
"ACLBSL","2024-07-22","1370","1370.2","1330","1365","-2.22 %","16,122.00"
"ACLBSL","2024-07-21","1372","1479","1321","1396","-0.29 %","15,203.00"
"ACLBSL","2024-07-18","1386.7","1491","1308","1400","-1.06 %","29,077.00"
"ACLBSL","2024-07-17","1263.3","1417.9","1240","1415","9.78 %","27,969.00"
"ACLBSL","2024-07-16","1215","1320","1210","1289","4.80 %","23,615.00"
"ACLBSL","2024-07-15","1269.9","1269.9","1201","1230","-1.20 %","20,085.00"
"ACLBSL","2024-07-14","1216","1260","1196.5","1245","4.40 %","20,008.00"
"ACLBSL","2024-07-11","1235","1235","1190","1192.5","-1.93 %","17,703.00"
"ACLBSL","2024-07-10","1281.1","1281.1","1208","1216","-3.18 %","17,816.00"
"ACLBSL","2024-07-09","1199.6","1271","1199.6","1256","2.61 %","18,842.00"
