"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AHPC","2024-08-11","257.5","277.7","255","277.7","9.98 %","1,392,573.00"
"AHPC","2024-08-08","244.8","258.4","242","252.5","5.21 %","1,385,366.00"
"AHPC","2024-08-07","229","243","221.1","240","6.67 %","941,058.00"
"AHPC","2024-08-06","236","243.9","222","225","-4.17 %","969,491.00"
"AHPC","2024-08-05","234.6","243","223","234.8","2.09 %","721,783.00"
"AHPC","2024-08-01","236","237.9","228","230","-1.67 %","771,075.00"
"AHPC","2024-07-31","223","238.9","223","233.9","6.32 %","1,285,670.00"
"AHPC","2024-07-30","219","222.9","212","220","1.62 %","660,235.00"
"AHPC","2024-07-29","219","225","214","216.5","-0.18 %","730,545.00"
"AHPC","2024-07-28","216.7","226","212","216.9","2.07 %","571,248.00"
"AHPC","2024-07-25","215.6","218","210","212.5","-1.44 %","643,350.00"
"AHPC","2024-07-24","225.7","226","214.7","215.6","-2.58 %","854,267.00"
"AHPC","2024-07-23","212","221.9","212","221.3","4.39 %","701,968.00"
"AHPC","2024-07-22","204","215","199","212","5.37 %","1,154,042.00"
"AHPC","2024-07-21","201","205","197","201.2","0.10 %","645,405.00"
"AHPC","2024-07-18","207","207","198.5","201","-0.99 %","687,648.00"
"AHPC","2024-07-17","199.5","208","195.6","203","3.78 %","962,887.00"
"AHPC","2024-07-16","181.4","195.6","178.8","195.6","9.95 %","881,530.00"
"AHPC","2024-07-15","177","185","175","177.9","2.30 %","703,434.00"
"AHPC","2024-07-14","162.1","174","162.1","173.9","9.37 %","526,265.00"
"AHPC","2024-07-11","158.3","159","156.5","159","1.92 %","150,827.00"
"AHPC","2024-07-10","154","157","154","156","0.78 %","109,046.00"
"AHPC","2024-07-09","157.2","157.2","153.1","154.8","-0.13 %","95,155.00"
"AHPC","2024-07-08","159","159","154","155","-0.64 %","124,685.00"
"AHPC","2024-07-07","156.5","157.9","153.5","156","0.65 %","178,352.00"
"AHPC","2024-07-04","155.5","157","153","155","0.65 %","150,705.00"
"AHPC","2024-07-03","157.1","157.1","151","154","-0.71 %","91,974.00"
"AHPC","2024-07-02","153","164","153","155.1","3.40 %","151,276.00"
"AHPC","2024-07-01","152","152","149","150","0.60 %","114,384.00"
"AHPC","2024-06-30","152","152","149","149.1","-1.26 %","140,140.00"
"AHPC","2024-06-27","152","152","150.8","151","-0.66 %","102,231.00"
"AHPC","2024-06-26","157","157","151.4","152","-1.94 %","110,592.00"
"AHPC","2024-06-25","156","156","153","155","1.17 %","112,700.00"
"AHPC","2024-06-24","153","156","151.1","153.2","-0.07 %","100,452.00"
"AHPC","2024-06-23","155","155.8","153","153.3","-1.03 %","119,668.00"
"AHPC","2024-06-20","157","157","154.1","154.9","-0.71 %","77,673.00"
"AHPC","2024-06-19","155.3","157.5","155.3","156","0.00 %","77,091.00"
"AHPC","2024-06-18","161","161","156","156","-1.20 %","118,322.00"
"AHPC","2024-06-16","156","161.5","155.7","157.9","1.02 %","245,032.00"
"AHPC","2024-06-13","159","159.9","155.8","156.3","-1.57 %","119,455.00"
"AHPC","2024-06-12","161.3","162.4","157","158.8","-0.31 %","119,655.00"
"AHPC","2024-06-11","158.1","163","156.4","159.3","2.77 %","213,532.00"
"AHPC","2024-06-10","154.5","157.9","152","155","2.31 %","239,741.00"
"AHPC","2024-06-09","155","156","151.3","151.5","-1.43 %","122,009.00"
"AHPC","2024-06-06","157.6","157.6","153.4","153.7","-0.58 %","107,690.00"
"AHPC","2024-06-05","155","157","154.1","154.6","-0.77 %","84,985.00"
"AHPC","2024-06-04","155","157.9","155","155.8","-0.13 %","92,664.00"
"AHPC","2024-06-03","159.8","160.1","155","156","-0.64 %","133,983.00"
"AHPC","2024-06-02","160","160","156.4","157","-1.20 %","177,319.00"
"AHPC","2024-05-30","161.3","163","158","158.9","-1.49 %","172,008.00"
"AHPC","2024-05-29","165","166","161.1","161.3","-0.80 %","200,870.00"
"AHPC","2024-05-27","165.3","167","162.1","162.6","-1.33 %","191,749.00"
"AHPC","2024-05-26","166","166","161.1","164.8","0.61 %","272,417.00"
"AHPC","2024-05-22","163","166","161.2","163.8","1.74 %","323,763.00"
"AHPC","2024-05-21","161.8","163","150","161","-1.83 %","571,540.00"
"AHPC","2024-05-20","163","166.4","162","164","1.17 %","74,008.00"
"AHPC","2024-05-19","162","164","154","162.1","0.06 %","50,807.00"
"AHPC","2024-05-16","168.3","168.3","161.7","162","-1.82 %","16,093.00"
"AHPC","2024-05-15","165","171","164","165","-0.54 %","36,594.00"
"AHPC","2024-05-14","160.1","167","158","165.9","5.00 %","40,183.00"
"AHPC","2024-05-13","158.2","160","156.1","158","1.35 %","39,301.00"
"AHPC","2024-05-12","153.9","160","153.9","155.9","-0.70 %","40,482.00"
"AHPC","2024-05-09","162.8","162.8","156","157","-1.69 %","49,152.00"
"AHPC","2024-05-08","162.5","162.5","157","159.7","-0.37 %","23,064.00"
"AHPC","2024-05-07","163","163","160","160.3","0.19 %","20,721.00"
"AHPC","2024-05-06","165","165","160","160","-1.23 %","26,471.00"
"AHPC","2024-05-05","168.4","168.4","161.7","162","-2.41 %","27,925.00"
"AHPC","2024-05-02","168.2","168.2","164","166","0.12 %","23,857.00"
"AHPC","2024-04-30","165.4","166.2","161","165.8","1.72 %","54,496.00"
"AHPC","2024-04-29","165.4","165.4","161","163","0.00 %","22,842.00"
"AHPC","2024-04-28","164.4","164.4","162","163","0.62 %","24,529.00"
"AHPC","2024-04-25","163","166","162","162","-0.74 %","26,991.00"
"AHPC","2024-04-24","168","168","163.2","163.2","-1.98 %","13,608.00"
"AHPC","2024-04-22","169","170","163.3","166.5","0.00 %","32,967.00"
"AHPC","2024-04-21","168","168","163.7","166.5","0.91 %","23,012.00"
"AHPC","2024-04-18","168","169","163.8","165","-1.79 %","35,949.00"
"AHPC","2024-04-16","172.8","172.8","168","168","-0.88 %","34,556.00"
"AHPC","2024-04-15","174","174","169.5","169.5","-1.05 %","28,757.00"
"AHPC","2024-04-14","176","176","171","171.3","-1.55 %","32,132.00"
"AHPC","2024-04-10","178.4","178.4","174","174","-1.02 %","20,486.00"
"AHPC","2024-04-09","175","178.9","175","175.8","1.68 %","35,345.00"
"AHPC","2024-04-07","172","173","170","172.9","1.59 %","34,890.00"
"AHPC","2024-04-04","170.1","172.2","170","170.2","-0.47 %","27,640.00"
"AHPC","2024-04-03","170","173","170","171","-0.12 %","21,355.00"
"AHPC","2024-04-02","174","174","171.1","171.2","-0.52 %","27,007.00"
"AHPC","2024-04-01","177","177","172.1","172.1","-1.66 %","40,371.00"
"AHPC","2024-03-31","179.8","179.8","174","175","-1.30 %","31,507.00"
"AHPC","2024-03-28","179","179","174","177.3","0.57 %","24,520.00"
"AHPC","2024-03-27","178","179.4","176","176.3","-0.51 %","31,085.00"
"AHPC","2024-03-26","178","179","175","177.2","0.51 %","54,589.00"
"AHPC","2024-03-25","180","180","176.2","176.3","-1.40 %","28,851.00"
"AHPC","2024-03-21","184","184","178.7","178.8","-1.60 %","31,260.00"
"AHPC","2024-03-20","185.3","187","181","181.7","0.00 %","29,213.00"
"AHPC","2024-03-19","186.9","186.9","181.6","181.7","-1.36 %","38,048.00"
"AHPC","2024-03-18","185","186.5","181.5","184.2","0.66 %","36,203.00"
