"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ANLB","2024-08-11","2930","3190.2","2842","3190.2","10.00 %","8,053.00"
"ANLB","2024-08-08","2925","3042","2872.1","2900.2","1.00 %","2,330.00"
"ANLB","2024-08-07","2830","2907","2825","2871.5","0.75 %","5,278.00"
"ANLB","2024-08-06","2861","2958","2823","2850","-1.04 %","9,259.00"
"ANLB","2024-08-05","2800","2886","2753","2880","2.86 %","5,124.00"
"ANLB","2024-08-01","2835","2856","2730","2800","0.28 %","3,434.00"
"ANLB","2024-07-31","3046.7","3046.7","2715","2792.2","-6.52 %","11,354.00"
"ANLB","2024-07-30","2950","3000","2855","2987","2.68 %","2,776.00"
"ANLB","2024-07-29","3076","3076","2871","2909","-5.43 %","3,201.00"
"ANLB","2024-07-28","2876.4","3077","2771","3076","7.70 %","5,718.00"
"ANLB","2024-07-25","2675","2856","2675","2856","8.02 %","6,115.00"
"ANLB","2024-07-24","2690","2720","2616.7","2644","-3.50 %","5,316.00"
"ANLB","2024-07-23","2725","2765","2685.2","2740","0.00 %","4,283.00"
"ANLB","2024-07-22","2761.1","2762","2651","2740","-1.55 %","4,811.00"
"ANLB","2024-07-21","2813","2813","2740","2783","-1.07 %","2,996.00"
"ANLB","2024-07-18","2740","2856","2727.2","2813","2.66 %","7,363.00"
"ANLB","2024-07-17","2631","2740","2631","2740","2.74 %","1,868.00"
"ANLB","2024-07-16","2725","2725","2628","2667","-2.13 %","956.00"
"ANLB","2024-07-15","2626","2725","2550","2725","3.97 %","3,368.00"
"ANLB","2024-07-14","2733.6","2780","2610","2621","-2.20 %","3,277.00"
"ANLB","2024-07-11","2830","2850","2633","2680","-3.60 %","3,410.00"
"ANLB","2024-07-10","2710","2876.8","2661","2780","4.53 %","3,771.00"
"ANLB","2024-07-09","2450","2659.6","2450","2659.6","10.00 %","9,114.00"
"ANLB","2024-07-08","2438","2450","2345","2417.9","0.13 %","4,827.00"
"ANLB","2024-07-07","2400","2419","2377","2414.8","0.62 %","1,473.00"
"ANLB","2024-07-04","2330","2400","2330","2400","1.05 %","1,659.00"
"ANLB","2024-07-03","2335","2377","2300.3","2375","-0.21 %","3,110.00"
"ANLB","2024-07-02","2428.6","2477","2353","2380","-0.04 %","1,039.00"
"ANLB","2024-07-01","2320","2381","2320","2381","1.32 %","1,367.00"
"ANLB","2024-06-30","2354.2","2398","2315","2350","-2.08 %","468.00"
"ANLB","2024-06-27","2400","2400","2307","2400","0.25 %","3,526.00"
"ANLB","2024-06-26","2359","2429","2359","2393.9","-0.07 %","1,152.00"
"ANLB","2024-06-25","2400","2400","2339","2395.5","-0.10 %","1,332.00"
"ANLB","2024-06-24","2440","2440","2353.1","2398","-0.08 %","1,084.00"
"ANLB","2024-06-23","2450","2497","2382","2400","-4.00 %","1,517.00"
"ANLB","2024-06-20","2626.5","2626.5","2490","2500","-2.91 %","1,162.00"
"ANLB","2024-06-19","2420","2575","2420","2575","7.34 %","6,359.00"
"ANLB","2024-06-18","2290.1","2439.8","2290.1","2399","3.71 %","4,662.00"
"ANLB","2024-06-16","2304.1","2365","2304.1","2313.1","-1.15 %","3,162.00"
"ANLB","2024-06-13","2345","2370","2301.3","2340","-2.09 %","1,305.00"
"ANLB","2024-06-12","2386.8","2482","2303","2390","2.14 %","563.00"
"ANLB","2024-06-11","2327.1","2399","2327.1","2340","-1.22 %","1,510.00"
"ANLB","2024-06-10","2311.1","2399","2311.1","2369","0.59 %","3,716.00"
"ANLB","2024-06-09","2390.8","2395","2340","2355","0.47 %","2,662.00"
"ANLB","2024-06-06","2360","2394","2326","2344","0.09 %","2,588.00"
"ANLB","2024-06-05","2312.1","2433","2312.1","2342","0.09 %","2,975.00"
"ANLB","2024-06-04","2340","2424","2340","2340","-1.89 %","4,636.00"
"ANLB","2024-06-03","2260","2439","2222.2","2385","5.53 %","3,797.00"
"ANLB","2024-06-02","2205","2284","2200.2","2260","0.89 %","616.00"
"ANLB","2024-05-30","2317.4","2351","2232","2240","-1.41 %","4,215.00"
"ANLB","2024-05-29","2448","2448","2270","2272","-5.33 %","1,935.00"
"ANLB","2024-05-27","2431.4","2578","2303.1","2400","0.68 %","3,389.00"
"ANLB","2024-05-26","2255","2385","2223","2383.8","5.71 %","5,211.00"
"ANLB","2024-05-22","2364","2411.2","2255","2255","-4.61 %","3,364.00"
"ANLB","2024-05-21","2326","2390","2250.1","2364","-0.35 %","4,855.00"
"ANLB","2024-05-20","2454","2590.3","2291","2372.3","-1.43 %","6,568.00"
"ANLB","2024-05-19","2150","2406.8","2150","2406.8","10.00 %","10,618.00"
"ANLB","2024-05-16","2144","2229","2110","2188","3.21 %","4,308.00"
"ANLB","2024-05-15","2135","2170","2093","2120","-0.79 %","3,366.00"
"ANLB","2024-05-14","2022.6","2150","2010","2136.9","5.65 %","4,505.00"
"ANLB","2024-05-13","2000","2022.6","1980.4","2022.6","0.14 %","417.00"
"ANLB","2024-05-12","2040","2040","1985.6","2019.8","0.99 %","509.00"
"ANLB","2024-05-09","2058","2058","1990","2000","-1.19 %","342.00"
"ANLB","2024-05-08","1975","2024","1975","2024","3.21 %","1,582.00"
"ANLB","2024-05-07","1950","1961","1950","1961","-0.20 %","235.00"
"ANLB","2024-05-06","1940","1965","1920.2","1965","0.71 %","739.00"
"ANLB","2024-05-05","2000","2036.9","1951","1951.1","-2.30 %","911.00"
"ANLB","2024-05-02","1999","2045","1997","1997","1.58 %","536.00"
"ANLB","2024-04-30","1926","1966.5","1926","1966","0.05 %","700.00"
"ANLB","2024-04-29","1910.1","1965","1910","1965","1.03 %","619.00"
"ANLB","2024-04-28","1930","1961","1930","1945","1.17 %","290.00"
"ANLB","2024-04-25","1940","2012","1922.6","1922.6","-0.90 %","200.00"
"ANLB","2024-04-24","1920","1971.6","1915.5","1940.1","0.37 %","309.00"
"ANLB","2024-04-22","2004","2004","1933","1933","-1.64 %","152.00"
"ANLB","2024-04-21","1950","1965.2","1926","1965.2","0.27 %","875.00"
"ANLB","2024-04-18","1940","1960","1930","1960","0.00 %","441.00"
"ANLB","2024-04-16","2040","2040","1960","1960","-3.92 %","325.00"
"ANLB","2024-04-15","2000","2060","1990","2040","2.26 %","818.00"
"ANLB","2024-04-14","1950","2030","1931","1995","3.31 %","1,140.00"
"ANLB","2024-04-10","2027","2060","1931","1931","-5.34 %","1,240.00"
"ANLB","2024-04-09","2084","2084","2018.8","2040","-2.30 %","885.00"
"ANLB","2024-04-07","2055","2119.5","2055","2088","0.34 %","830.00"
"ANLB","2024-04-04","2020","2115","2020","2081","1.76 %","1,871.00"
"ANLB","2024-04-03","2000","2070","1990","2045","3.81 %","3,020.00"
"ANLB","2024-04-02","1930","1970","1894","1970","2.01 %","2,580.00"
"ANLB","2024-04-01","1965","1965","1931","1931.2","-1.97 %","1,261.00"
"ANLB","2024-03-31","2000","2000","1965","1970","-0.61 %","180.00"
"ANLB","2024-03-28","1979","2019","1973.6","1982","0.10 %","1,465.00"
"ANLB","2024-03-27","1980","1980","1980","1980","-0.60 %","70.00"
"ANLB","2024-03-26","1980","2020","1965","1992","2.62 %","880.00"
"ANLB","2024-03-25","2087","2087","1941.2","1941.2","-8.82 %","2,141.00"
"ANLB","2024-03-21","2162.2","2162.2","2050.3","2129","-3.45 %","1,958.00"
"ANLB","2024-03-20","2200","2254","2181","2205","0.23 %","1,872.00"
"ANLB","2024-03-19","2239","2254.9","2182","2200","-0.77 %","1,370.00"
"ANLB","2024-03-18","2200","2255","2120","2217","-0.93 %","5,300.00"
"ANLB","2024-03-17","2196.9","2244","2183","2237.9","3.44 %","8,575.00"
"ANLB","2024-03-14","2195","2265","2080.1","2163.4","-3.33 %","2,868.00"
"ANLB","2024-03-13","2079","2253.9","2079","2238","9.22 %","8,512.00"
"ANLB","2024-03-12","1900","2049","1900","2049","7.16 %","3,481.00"
