"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BBC","2024-08-11","4998","5115","4920","5110","4.29 %","3,629.00"
"BBC","2024-08-08","4564.6","4922.6","4406","4900","9.49 %","3,830.00"
"BBC","2024-08-07","4400","4540","4400","4475.1","0.79 %","1,045.00"
"BBC","2024-08-06","4679","4708.4","4370","4440","-3.81 %","1,456.00"
"BBC","2024-08-05","4600","4700","4590","4616.1","0.35 %","1,445.00"
"BBC","2024-08-01","4650","4689","4570","4599.9","-0.44 %","852.00"
"BBC","2024-07-31","4607","4690","4581","4620","2.28 %","1,473.00"
"BBC","2024-07-30","4537.9","4620","4411","4517.2","1.53 %","844.00"
"BBC","2024-07-29","4675","4760","4362","4449","-5.52 %","1,380.00"
"BBC","2024-07-28","4681.8","4845","4530","4709","2.59 %","1,609.00"
"BBC","2024-07-25","4550","4641","4470","4590","0.88 %","1,557.00"
"BBC","2024-07-24","4654","4740","4480.1","4550","-2.23 %","1,153.00"
"BBC","2024-07-23","4595","4670","4580","4654","2.74 %","1,131.00"
"BBC","2024-07-22","4599","4605","4500","4530","-1.50 %","1,141.00"
"BBC","2024-07-21","4360.5","4692","4360","4599","7.58 %","3,973.00"
"BBC","2024-07-18","4390","4396","4275","4275","-0.81 %","1,738.00"
"BBC","2024-07-17","4300","4364.5","4182","4310","0.72 %","1,574.00"
"BBC","2024-07-16","4015","4279","4015","4279","4.70 %","1,016.00"
"BBC","2024-07-15","4130","4130","3975.5","4087","0.91 %","495.00"
"BBC","2024-07-14","4095.3","4150","4026.1","4050","0.87 %","458.00"
"BBC","2024-07-11","4000","4050","4000","4015","0.38 %","463.00"
"BBC","2024-07-10","4000","4000","3961","4000","0.00 %","196.00"
"BBC","2024-07-09","4029","4050","3969","4000","1.27 %","369.00"
"BBC","2024-07-08","3986","3986","3950","3950","-2.47 %","185.00"
"BBC","2024-07-07","4000","4050","3970","4050","0.00 %","238.00"
"BBC","2024-07-04","4140","4140","4050","4050","-0.25 %","727.00"
"BBC","2024-07-03","3957.5","4111","3901.1","4060","4.64 %","1,565.00"
"BBC","2024-07-02","3999.4","3999.4","3875","3880.1","-1.04 %","261.00"
"BBC","2024-07-01","3851","3955","3851","3921","0.03 %","70.00"
"BBC","2024-06-30","4000","4000","3892","3920","-0.20 %","593.00"
"BBC","2024-06-27","3980","3980","3880","3928","-0.66 %","230.00"
"BBC","2024-06-26","3950.1","4029","3945","3954","-1.15 %","712.00"
"BBC","2024-06-25","3979","4136","3935","4000","2.54 %","398.00"
"BBC","2024-06-24","3868","3949","3868","3901.1","0.29 %","566.00"
"BBC","2024-06-23","3918","3984","3885","3890","-0.71 %","741.00"
"BBC","2024-06-20","3916.1","3993","3916.1","3918","-1.26 %","290.00"
"BBC","2024-06-19","4049","4050.4","3920","3968","-0.06 %","1,060.00"
"BBC","2024-06-18","4050","4129","3969","3970.5","-0.61 %","1,136.00"
"BBC","2024-06-16","3980","4180.9","3979","3995","-1.60 %","635.00"
"BBC","2024-06-13","3985","4145.2","3975","4060","2.14 %","1,386.00"
"BBC","2024-06-12","4002","4081","3975","3975","-0.60 %","1,549.00"
